Plate,Repeat,Well,Type,Time,ANTS (Counts)
1,1,A01,M,00:00:13.27,67115
1,2,A01,M,00:00:57.88,66741
1,3,A01,M,00:01:42.50,66930
1,4,A01,M,00:02:27.11,66681
1,5,A01,M,00:03:11.72,66540
1,6,A01,M,00:03:56.33,66522
1,7,A01,M,00:04:40.95,66062
1,8,A01,M,00:05:25.56,66160
1,9,A01,M,00:06:10.17,66603
1,10,A01,M,00:06:54.78,66049
1,1,A02,M,00:00:14.19,65885
1,2,A02,M,00:00:58.80,66332
1,3,A02,M,00:01:43.42,66042
1,4,A02,M,00:02:28.03,65859
1,5,A02,M,00:03:12.64,66059
1,6,A02,M,00:03:57.25,65808
1,7,A02,M,00:04:41.87,65150
1,8,A02,M,00:05:26.48,65914
1,9,A02,M,00:06:11.09,66022
1,10,A02,M,00:06:55.71,65992
1,1,A03,M,00:00:15.11,65737
1,2,A03,M,00:00:59.72,65907
1,3,A03,M,00:01:44.34,65584
1,4,A03,M,00:02:28.95,65804
1,5,A03,M,00:03:13.56,65782
1,6,A03,M,00:03:58.17,65762
1,7,A03,M,00:04:42.79,65488
1,8,A03,M,00:05:27.40,66127
1,9,A03,M,00:06:12.01,65321
1,10,A03,M,00:06:56.63,65704
1,1,A04,M,00:00:16.03,66834
1,2,A04,M,00:01:00.64,66816
1,3,A04,M,00:01:45.26,66420
1,4,A04,M,00:02:29.87,66370
1,5,A04,M,00:03:14.48,66700
1,6,A04,M,00:03:59.09,66338
1,7,A04,M,00:04:43.71,66609
1,8,A04,M,00:05:28.32,66464
1,9,A04,M,00:06:12.93,66117
1,10,A04,M,00:06:57.55,66238
1,1,A05,M,00:00:16.95,67032
1,2,A05,M,00:01:01.56,66522
1,3,A05,M,00:01:46.18,67213
1,4,A05,M,00:02:30.79,66890
1,5,A05,M,00:03:15.40,67018
1,6,A05,M,00:04:00.01,66344
1,7,A05,M,00:04:44.63,66660
1,8,A05,M,00:05:29.24,66618
1,9,A05,M,00:06:13.85,66276
1,10,A05,M,00:06:58.47,66448
1,1,A06,M,00:00:17.87,69800
1,2,A06,M,00:01:02.48,67988
1,3,A06,M,00:01:47.10,67759
1,4,A06,M,00:02:31.71,68207
1,5,A06,M,00:03:16.32,68001
1,6,A06,M,00:04:00.93,67673
1,7,A06,M,00:04:45.55,67967
1,8,A06,M,00:05:30.16,67457
1,9,A06,M,00:06:14.77,67738
1,10,A06,M,00:06:59.39,67960
1,1,A07,M,00:00:18.79,70759
1,2,A07,M,00:01:03.40,68374
1,3,A07,M,00:01:48.02,68585
1,4,A07,M,00:02:32.63,68350
1,5,A07,M,00:03:17.24,68601
1,6,A07,M,00:04:01.85,68635
1,7,A07,M,00:04:46.47,68468
1,8,A07,M,00:05:31.08,67990
1,9,A07,M,00:06:15.69,68320
1,10,A07,M,00:07:00.31,68078
1,1,A08,M,00:00:19.71,66513
1,2,A08,M,00:01:04.32,67348
1,3,A08,M,00:01:48.94,66969
1,4,A08,M,00:02:33.55,67116
1,5,A08,M,00:03:18.16,66970
1,6,A08,M,00:04:02.77,66518
1,7,A08,M,00:04:47.39,66440
1,8,A08,M,00:05:32.00,66432
1,9,A08,M,00:06:16.61,66376
1,10,A08,M,00:07:01.22,66541
1,1,A09,M,00:00:20.63,67615
1,2,A09,M,00:01:05.24,66791
1,3,A09,M,00:01:49.86,66870
1,4,A09,M,00:02:34.47,66942
1,5,A09,M,00:03:19.08,66988
1,6,A09,M,00:04:03.69,67215
1,7,A09,M,00:04:48.31,66734
1,8,A09,M,00:05:32.92,66869
1,9,A09,M,00:06:17.53,66515
1,10,A09,M,00:07:02.14,66916
1,1,A10,M,00:00:21.55,66241
1,2,A10,M,00:01:06.16,65685
1,3,A10,M,00:01:50.78,66182
1,4,A10,M,00:02:35.39,66671
1,5,A10,M,00:03:20.00,66344
1,6,A10,M,00:04:04.61,66640
1,7,A10,M,00:04:49.23,66095
1,8,A10,M,00:05:33.84,66639
1,9,A10,M,00:06:18.45,66231
1,10,A10,M,00:07:03.06,66103
1,1,A11,M,00:00:22.47,67032
1,2,A11,M,00:01:07.08,66533
1,3,A11,M,00:01:51.70,66964
1,4,A11,M,00:02:36.31,67405
1,5,A11,M,00:03:20.92,66609
1,6,A11,M,00:04:05.53,66948
1,7,A11,M,00:04:50.15,66937
1,8,A11,M,00:05:34.76,66963
1,9,A11,M,00:06:19.37,66822
1,10,A11,M,00:07:03.99,66436
1,1,A12,M,00:00:23.39,66527
1,2,A12,M,00:01:08.00,66702
1,3,A12,M,00:01:52.62,66981
1,4,A12,M,00:02:37.23,66639
1,5,A12,M,00:03:21.84,66523
1,6,A12,M,00:04:06.45,67227
1,7,A12,M,00:04:51.07,66299
1,8,A12,M,00:05:35.68,66467
1,9,A12,M,00:06:20.29,66538
1,10,A12,M,00:07:04.91,66390
1,1,B01,M,00:00:26.75,66825
1,2,B01,M,00:01:11.36,67344
1,3,B01,M,00:01:55.98,67001
1,4,B01,M,00:02:40.59,67113
1,5,B01,M,00:03:25.20,67039
1,6,B01,M,00:04:09.81,66556
1,7,B01,M,00:04:54.43,66774
1,8,B01,M,00:05:39.04,67041
1,9,B01,M,00:06:23.65,66385
1,10,B01,M,00:07:08.26,66548
1,1,B02,M,00:00:27.67,66964
1,2,B02,M,00:01:12.28,66850
1,3,B02,M,00:01:56.90,66694
1,4,B02,M,00:02:41.51,66987
1,5,B02,M,00:03:26.12,66608
1,6,B02,M,00:04:10.73,66901
1,7,B02,M,00:04:55.35,66752
1,8,B02,M,00:05:39.96,67016
1,9,B02,M,00:06:24.57,66524
1,10,B02,M,00:07:09.18,66879
1,1,B03,M,00:00:28.59,66165
1,2,B03,M,00:01:13.20,66365
1,3,B03,M,00:01:57.82,66417
1,4,B03,M,00:02:42.43,66564
1,5,B03,M,00:03:27.04,66516
1,6,B03,M,00:04:11.65,65804
1,7,B03,M,00:04:56.27,67113
1,8,B03,M,00:05:40.88,67021
1,9,B03,M,00:06:25.49,66186
1,10,B03,M,00:07:10.13,66266
1,1,B04,M,00:00:29.51,67302
1,2,B04,M,00:01:14.12,67101
1,3,B04,M,00:01:58.74,67252
1,4,B04,M,00:02:43.35,67579
1,5,B04,M,00:03:27.96,67485
1,6,B04,M,00:04:12.57,67761
1,7,B04,M,00:04:57.19,66988
1,8,B04,M,00:05:41.80,66797
1,9,B04,M,00:06:26.41,66985
1,10,B04,M,00:07:11.05,66763
1,1,B05,M,00:00:30.43,69042
1,2,B05,M,00:01:15.04,68962
1,3,B05,M,00:01:59.66,68781
1,4,B05,M,00:02:44.27,69187
1,5,B05,M,00:03:28.88,68547
1,6,B05,M,00:04:13.49,69264
1,7,B05,M,00:04:58.11,68400
1,8,B05,M,00:05:42.72,69587
1,9,B05,M,00:06:27.33,69338
1,10,B05,M,00:07:11.97,68834
1,1,B06,M,00:00:31.35,68818
1,2,B06,M,00:01:15.96,67647
1,3,B06,M,00:02:00.58,68044
1,4,B06,M,00:02:45.19,67822
1,5,B06,M,00:03:29.80,68311
1,6,B06,M,00:04:14.41,68097
1,7,B06,M,00:04:59.03,68345
1,8,B06,M,00:05:43.64,67599
1,9,B06,M,00:06:28.25,67400
1,10,B06,M,00:07:12.89,68035
1,1,B07,M,00:00:32.27,68088
1,2,B07,M,00:01:16.88,68002
1,3,B07,M,00:02:01.50,68056
1,4,B07,M,00:02:46.11,68587
1,5,B07,M,00:03:30.72,68076
1,6,B07,M,00:04:15.33,68509
1,7,B07,M,00:04:59.95,68089
1,8,B07,M,00:05:44.56,68050
1,9,B07,M,00:06:29.17,68553
1,10,B07,M,00:07:13.81,67992
1,1,B08,M,00:00:33.19,68100
1,2,B08,M,00:01:17.80,67543
1,3,B08,M,00:02:02.42,67745
1,4,B08,M,00:02:47.03,67539
1,5,B08,M,00:03:31.64,68131
1,6,B08,M,00:04:16.25,68237
1,7,B08,M,00:05:00.87,67685
1,8,B08,M,00:05:45.48,67423
1,9,B08,M,00:06:30.09,67156
1,10,B08,M,00:07:14.73,67485
1,1,B09,M,00:00:34.11,67141
1,2,B09,M,00:01:18.72,67375
1,3,B09,M,00:02:03.34,67072
1,4,B09,M,00:02:47.95,67368
1,5,B09,M,00:03:32.56,67156
1,6,B09,M,00:04:17.17,68037
1,7,B09,M,00:05:01.79,67135
1,8,B09,M,00:05:46.40,67202
1,9,B09,M,00:06:31.01,67078
1,10,B09,M,00:07:15.65,67516
1,1,B10,M,00:00:35.03,65049
1,2,B10,M,00:01:19.64,64683
1,3,B10,M,00:02:04.26,64959
1,4,B10,M,00:02:48.87,65080
1,5,B10,M,00:03:33.48,65052
1,6,B10,M,00:04:18.09,64998
1,7,B10,M,00:05:02.71,64467
1,8,B10,M,00:05:47.32,64741
1,9,B10,M,00:06:31.93,65040
1,10,B10,M,00:07:16.57,64417
1,1,B11,M,00:00:35.95,68319
1,2,B11,M,00:01:20.56,67959
1,3,B11,M,00:02:05.18,68196
1,4,B11,M,00:02:49.79,68293
1,5,B11,M,00:03:34.40,67677
