Plate,Repeat,Well,Type,Time,ANTS (Counts)
1,1,E01,M,00:00:11.97,30715
1,2,E01,M,00:00:39.12,32195
1,3,E01,M,00:01:06.27,32935
1,4,E01,M,00:01:33.41,33301
1,5,E01,M,00:02:00.56,33041
1,6,E01,M,00:02:27.71,33394
1,7,E01,M,00:02:54.86,33154
1,8,E01,M,00:03:22.00,33346
1,9,E01,M,00:03:49.17,33600
1,10,E01,M,00:04:16.32,33666
1,11,E01,M,00:04:43.47,33754
1,12,E01,M,00:05:10.61,33402
1,13,E01,M,00:05:37.76,33651
1,14,E01,M,00:06:04.91,33901
1,15,E01,M,00:06:32.06,33933
1,16,E01,M,00:06:59.21,33924
1,17,E01,M,00:07:26.35,33896
1,18,E01,M,00:07:53.50,33822
1,19,E01,M,00:08:20.65,33783
1,20,E01,M,00:08:47.80,33996
1,21,E01,M,00:09:14.94,34138
1,22,E01,M,00:09:42.09,34169
1,23,E01,M,00:10:09.24,34336
1,24,E01,M,00:10:36.41,34228
1,25,E01,M,00:11:03.55,34270
1,26,E01,M,00:11:30.70,34417
1,27,E01,M,00:11:57.85,34552
1,28,E01,M,00:12:25.00,34056
1,29,E01,M,00:12:52.14,34430
1,30,E01,M,00:13:19.31,34591
1,31,E01,M,00:13:46.46,34537
1,32,E01,M,00:14:13.61,34693
1,33,E01,M,00:14:40.75,34653
1,34,E01,M,00:15:07.90,34748
1,35,E01,M,00:15:35.05,34747
1,36,E01,M,00:16:02.20,34636
1,37,E01,M,00:16:29.34,34980
1,38,E01,M,00:16:56.49,34674
1,39,E01,M,00:17:23.64,34804
1,40,E01,M,00:17:50.79,34692
1,41,E01,M,00:18:17.94,35046
1,42,E01,M,00:18:45.08,34781
1,43,E01,M,00:19:12.23,34818
1,44,E01,M,00:19:39.38,35096
1,45,E01,M,00:20:06.53,34744
1,46,E01,M,00:20:33.67,34991
1,47,E01,M,00:21:00.83,35113
1,48,E01,M,00:21:27.97,35082
1,49,E01,M,00:21:55.12,35083
1,50,E01,M,00:22:22.27,35268
1,51,E01,M,00:22:49.42,35342
1,52,E01,M,00:23:16.56,34964
1,53,E01,M,00:23:43.71,35028
1,54,E01,M,00:24:10.86,35192
1,55,E01,M,00:24:38.01,35210
1,56,E01,M,00:25:05.15,35336
1,57,E01,M,00:25:32.30,35342
1,58,E01,M,00:25:59.45,35353
1,59,E01,M,00:26:26.60,35502
1,60,E01,M,00:26:53.74,35510
1,61,E01,M,00:27:20.89,35574
1,62,E01,M,00:27:48.04,35410
1,63,E01,M,00:28:15.19,35116
1,64,E01,M,00:28:42.34,35449
1,65,E01,M,00:29:09.48,35573
1,66,E01,M,00:29:36.63,35378
1,67,E01,M,00:30:03.78,34747
1,68,E01,M,00:30:30.93,35578
1,69,E01,M,00:30:58.07,35180
1,70,E01,M,00:31:25.22,35526
1,71,E01,M,00:31:52.37,35152
1,72,E01,M,00:32:19.52,35304
1,73,E01,M,00:32:46.67,35614
1,74,E01,M,00:33:13.82,35384
1,75,E01,M,00:33:40.96,35455
1,76,E01,M,00:34:08.11,35344
1,77,E01,M,00:34:35.26,35173
1,78,E01,M,00:35:02.41,35222
1,79,E01,M,00:35:29.55,35738
1,80,E01,M,00:35:56.70,35465
1,81,E01,M,00:36:23.85,35047
1,82,E01,M,00:36:51.00,35705
1,83,E01,M,00:37:18.15,35502
1,84,E01,M,00:37:45.29,35396
1,85,E01,M,00:38:12.44,35655
1,86,E01,M,00:38:39.59,35562
1,87,E01,M,00:39:06.74,35849
1,88,E01,M,00:39:33.88,35608
1,89,E01,M,00:40:01.03,35554
1,90,E01,M,00:40:28.18,35203
1,91,E01,M,00:40:55.33,35993
1,92,E01,M,00:41:22.47,35494
1,93,E01,M,00:41:49.62,35592
1,94,E01,M,00:42:16.77,35629
1,95,E01,M,00:42:43.92,35524
1,96,E01,M,00:43:11.06,35386
1,97,E01,M,00:43:38.21,35674
1,98,E01,M,00:44:05.36,35915
1,99,E01,M,00:44:32.51,35383
1,100,E01,M,00:44:59.65,35502
1,101,E01,M,00:45:26.80,35669
1,102,E01,M,00:45:53.95,35781
1,103,E01,M,00:46:21.10,35707
1,104,E01,M,00:46:48.25,35417
1,105,E01,M,00:47:15.40,35893
1,106,E01,M,00:47:42.54,35477
1,107,E01,M,00:48:09.69,35720
1,108,E01,M,00:48:36.84,35729
1,109,E01,M,00:49:03.99,35526
1,110,E01,M,00:49:31.16,35334
1,111,E01,M,00:49:58.31,35780
1,112,E01,M,00:50:25.46,35696
1,113,E01,M,00:50:52.60,35921
1,114,E01,M,00:51:19.75,35842
1,115,E01,M,00:51:46.90,35936
1,116,E01,M,00:52:14.05,35744
1,117,E01,M,00:52:41.19,35907
1,118,E01,M,00:53:08.34,35690
1,119,E01,M,00:53:35.49,35294
1,120,E01,M,00:54:02.64,35785
1,121,E01,M,00:54:29.78,35687
1,122,E01,M,00:54:56.93,35549
1,123,E01,M,00:55:24.08,35538
1,124,E01,M,00:55:51.23,36014
1,125,E01,M,00:56:18.39,35510
1,126,E01,M,00:56:45.54,35512
1,127,E01,M,00:57:12.69,35948
1,128,E01,M,00:57:39.84,35720
1,129,E01,M,00:58:06.98,35954
1,130,E01,M,00:58:34.13,35603
1,131,E01,M,00:59:01.30,35531
1,132,E01,M,00:59:28.45,35828
1,133,E01,M,00:59:55.59,35779
1,134,E01,M,01:00:22.74,35953
1,135,E01,M,01:00:49.89,35840
1,136,E01,M,01:01:17.04,35719
