Plate,Repeat,Well,Type,Time,ANTS (Counts)
1,1,E01,M,00:00:13.64,276768
1,2,E01,M,00:00:40.79,283169
1,3,E01,M,00:01:07.94,286008
1,4,E01,M,00:01:35.09,288437
1,5,E01,M,00:02:02.23,287808
1,6,E01,M,00:02:29.38,286085
1,7,E01,M,00:02:56.53,289254
1,8,E01,M,00:03:23.68,290576
1,9,E01,M,00:03:50.82,290782
1,10,E01,M,00:04:17.97,288771
1,1,E02,M,00:00:14.56,280564
1,2,E02,M,00:00:41.70,278374
1,3,E02,M,00:01:08.86,279842
1,4,E02,M,00:01:36.00,282550
1,5,E02,M,00:02:03.15,282529
1,6,E02,M,00:02:30.30,282128
1,7,E02,M,00:02:57.45,282528
1,8,E02,M,00:03:24.60,285490
1,9,E02,M,00:03:51.74,284272
1,10,E02,M,00:04:18.89,283300
1,1,E03,M,00:00:15.48,277019
1,2,E03,M,00:00:42.62,277611
1,3,E03,M,00:01:09.78,279729
1,4,E03,M,00:01:36.92,281862
1,5,E03,M,00:02:04.07,282884
1,6,E03,M,00:02:31.22,283009
1,7,E03,M,00:02:58.37,285343
1,8,E03,M,00:03:25.52,285360
1,9,E03,M,00:03:52.66,283905
1,10,E03,M,00:04:19.81,287215
1,1,E04,M,00:00:16.40,281239
1,2,E04,M,00:00:43.54,281222
1,3,E04,M,00:01:10.70,282199
1,4,E04,M,00:01:37.84,282538
1,5,E04,M,00:02:04.99,283578
1,6,E04,M,00:02:32.14,285154
1,7,E04,M,00:02:59.29,285400
1,8,E04,M,00:03:26.44,287540
1,9,E04,M,00:03:53.58,286544
1,10,E04,M,00:04:20.73,287366
1,1,E05,M,00:00:17.32,286761
1,2,E05,M,00:00:44.46,287154
1,3,E05,M,00:01:11.62,286832
1,4,E05,M,00:01:38.76,287325
1,5,E05,M,00:02:05.91,288218
1,6,E05,M,00:02:33.06,288856
1,7,E05,M,00:03:00.21,289266
1,8,E05,M,00:03:27.35,289785
1,9,E05,M,00:03:54.50,290920
1,10,E05,M,00:04:21.65,290284
1,1,E06,M,00:00:18.24,282596
1,2,E06,M,00:00:45.38,283835
1,3,E06,M,00:01:12.54,285907
1,4,E06,M,00:01:39.69,286593
1,5,E06,M,00:02:06.83,290382
1,6,E06,M,00:02:33.98,289929
1,7,E06,M,00:03:01.13,290149
1,8,E06,M,00:03:28.27,291220
1,9,E06,M,00:03:55.42,291225
1,10,E06,M,00:04:22.57,292278
1,1,F01,M,00:00:21.06,276500
1,2,F01,M,00:00:48.20,278861
1,3,F01,M,00:01:15.36,280367
1,4,F01,M,00:01:42.50,282758
1,5,F01,M,00:02:09.65,283339
1,6,F01,M,00:02:36.80,284686
1,7,F01,M,00:03:03.95,284891
1,8,F01,M,00:03:31.09,286521
1,9,F01,M,00:03:58.24,286841
1,10,F01,M,00:04:25.39,287370
1,1,F02,M,00:00:21.98,278082
1,2,F02,M,00:00:49.12,279492
1,3,F02,M,00:01:16.28,281288
1,4,F02,M,00:01:43.42,281177
1,5,F02,M,00:02:10.57,283135
1,6,F02,M,00:02:37.72,283127
1,7,F02,M,00:03:04.87,284442
1,8,F02,M,00:03:32.02,286029
1,9,F02,M,00:03:59.16,286136
1,10,F02,M,00:04:26.31,286827
1,1,F03,M,00:00:22.90,283001
1,2,F03,M,00:00:50.04,282812
1,3,F03,M,00:01:17.20,282574
1,4,F03,M,00:01:44.34,282899
1,5,F03,M,00:02:11.49,283004
1,6,F03,M,00:02:38.64,284715
1,7,F03,M,00:03:05.79,285135
1,8,F03,M,00:03:32.93,286748
1,9,F03,M,00:04:00.08,286401
1,10,F03,M,00:04:27.23,286507
1,1,F04,M,00:00:23.82,284235
1,2,F04,M,00:00:50.96,284610
1,3,F04,M,00:01:18.12,285604
1,4,F04,M,00:01:45.26,285620
1,5,F04,M,00:02:12.41,285370
1,6,F04,M,00:02:39.56,285397
1,7,F04,M,00:03:06.71,286665
1,8,F04,M,00:03:33.85,287074
1,9,F04,M,00:04:01.00,286919
1,10,F04,M,00:04:28.15,286560
1,1,F05,M,00:00:24.74,282573
1,2,F05,M,00:00:51.88,281906
1,3,F05,M,00:01:19.04,282363
1,4,F05,M,00:01:46.18,283448
1,5,F05,M,00:02:13.33,283795
1,6,F05,M,00:02:40.48,284528
1,7,F05,M,00:03:07.63,285167
1,8,F05,M,00:03:34.77,286440
1,9,F05,M,00:04:01.92,286798
1,10,F05,M,00:04:29.07,286596
1,1,F06,M,00:00:25.66,287297
1,2,F06,M,00:00:52.80,289380
1,3,F06,M,00:01:19.96,290559
1,4,F06,M,00:01:47.10,290403
1,5,F06,M,00:02:14.25,292913
1,6,F06,M,00:02:41.40,292827
1,7,F06,M,00:03:08.55,294035
1,8,F06,M,00:03:35.69,292746
1,9,F06,M,00:04:02.84,293847
1,10,F06,M,00:04:29.99,294546
1,1,G01,M,00:00:28.47,285256
1,2,G01,M,00:00:55.62,285647
1,3,G01,M,00:01:22.78,286983
1,4,G01,M,00:01:49.92,288728
1,5,G01,M,00:02:17.07,288079
1,6,G01,M,00:02:44.22,289119
1,7,G01,M,00:03:11.37,288508
1,8,G01,M,00:03:38.51,290239
