Plate,Repeat,Well,Type,Time,ANTS (Counts)
1,1,H01,M,00:00:22.41,18755
,,,,00:00:23.62,25716
,,,,00:00:24.83,31731
,,,,00:00:26.04,35584
,,,,00:00:27.25,39698
,,,,00:00:28.46,42148
,,,,00:00:29.67,44273
,,,,00:00:30.88,46264
,,,,00:00:32.09,47910
,,,,00:00:33.30,49236
,,,,00:00:34.51,50225
,,,,00:00:35.72,51614
,,,,00:00:36.93,52152
,,,,00:00:38.14,52976
,,,,00:00:39.35,53886
,,,,00:00:40.56,54834
,,,,00:00:41.77,55132
,,,,00:00:42.98,55997
,,,,00:00:44.19,56342
,,,,00:00:45.40,56730
,,,,00:00:46.61,57088
,,,,00:00:47.82,57335
,,,,00:00:49.03,57437
,,,,00:00:50.24,58081
,,,,00:00:51.45,58460
,,,,00:00:52.66,58722
,,,,00:00:53.87,58678
,,,,00:00:55.08,59409
,,,,00:00:56.29,59104
,,,,00:00:57.50,59912
,,,,00:00:58.71,60145
,,,,00:00:59.92,59691
,,,,00:01:01.13,60104
,,,,00:01:02.34,60472
,,,,00:01:03.55,60491
,,,,00:01:04.76,60617
,,,,00:01:05.97,60511
,,,,00:01:07.18,60641
,,,,00:01:08.39,60718
,,,,00:01:09.60,60685
,,,,00:01:10.81,61122
,,,,00:01:12.02,60815
,,,,00:01:13.23,60960
,,,,00:01:14.44,61253
,,,,00:01:15.65,61367
,,,,00:01:16.86,61092
,,,,00:01:18.07,60911
,,,,00:01:19.28,61087
,,,,00:01:20.49,61186
,,,,00:01:21.70,61462
,,,,00:01:22.91,61134
,,,,00:01:24.12,61625
,,,,00:01:25.33,61294
,,,,00:01:26.54,61752
,,,,00:01:27.75,61662
,,,,00:01:28.96,61560
,,,,00:01:30.17,61567
,,,,00:01:31.38,61938
,,,,00:01:32.59,61943
,,,,00:01:33.80,62027
,,,,00:01:35.01,61930
,,,,00:01:36.22,61972
,,,,00:01:37.43,62264
,,,,00:01:38.64,61982
,,,,00:01:39.85,62457
,,,,00:01:41.06,62400
,,,,00:01:42.27,62280
,,,,00:01:43.48,62565
,,,,00:01:44.69,62779
,,,,00:01:45.90,62724
,,,,00:01:47.11,63022
,,,,00:01:48.32,63154
,,,,00:01:49.53,62609
,,,,00:01:50.74,62756
,,,,00:01:51.95,62848
,,,,00:01:53.16,62983
,,,,00:01:54.37,62462
,,,,00:01:55.58,62487
,,,,00:01:56.79,62681
,,,,00:01:58.00,63216
,,,,00:01:59.21,62689
,,,,00:02:00.42,62840
,,,,00:02:01.63,62825
,,,,00:02:02.84,62847
,,,,00:02:04.05,63075
,,,,00:02:05.26,62944
,,,,00:02:06.47,62249
,,,,00:02:07.68,62623
,,,,00:02:08.89,62428
,,,,00:02:10.10,62378
,,,,00:02:11.31,62774
,,,,00:02:12.52,63237
