Plate,Repeat,Well,Type,Time,ANTS (Counts)
1,1,H01,M,00:00:45.46,66448
1,2,H01,M,00:00:56.23,66907
1,3,H01,M,00:01:07.00,66959
1,4,H01,M,00:01:17.77,66849
1,5,H01,M,00:01:28.53,66402
1,6,H01,M,00:01:39.29,66488
1,7,H01,M,00:01:50.05,66658
1,8,H01,M,00:02:00.82,66015
1,9,H01,M,00:02:11.59,66340
1,10,H01,M,00:02:22.36,66674
1,1,H02,M,00:00:46.39,60848
1,2,H02,M,00:00:57.16,61190
1,3,H02,M,00:01:07.92,61399
1,4,H02,M,00:01:18.69,61397
1,5,H02,M,00:01:29.45,61507
1,6,H02,M,00:01:40.21,61563
1,7,H02,M,00:01:50.98,61158
1,8,H02,M,00:02:01.74,61395
1,9,H02,M,00:02:12.51,61370
1,10,H02,M,00:02:23.28,61503
1,1,H03,M,00:00:47.31,55590
1,2,H03,M,00:00:58.08,55652
1,3,H03,M,00:01:08.84,56063
1,4,H03,M,00:01:19.61,56006
1,5,H03,M,00:01:30.37,56112
1,6,H03,M,00:01:41.13,55953
1,7,H03,M,00:01:51.90,56108
1,8,H03,M,00:02:02.66,56304
1,9,H03,M,00:02:13.43,56268
1,10,H03,M,00:02:24.20,55805
1,1,H04,M,00:00:48.23,56850
1,2,H04,M,00:00:59.00,57227
1,3,H04,M,00:01:09.76,57047
1,4,H04,M,00:01:20.53,57057
1,5,H04,M,00:01:31.29,56686
1,6,H04,M,00:01:42.05,57158
1,7,H04,M,00:01:52.82,56626
1,8,H04,M,00:02:03.58,57131
1,9,H04,M,00:02:14.35,57097
1,10,H04,M,00:02:25.12,57112
