Plate,Repeat,Well,Type,Time,ANTS (Counts)
1,1,A01,M,00:00:11.01,391
1,2,A01,M,00:00:48.68,391
1,3,A01,M,00:01:26.36,380
1,4,A01,M,00:02:04.04,432
1,5,A01,M,00:02:41.74,398
1,6,A01,M,00:03:19.42,437
1,7,A01,M,00:03:57.09,442
1,8,A01,M,00:04:34.77,387
1,9,A01,M,00:05:12.44,403
1,10,A01,M,00:05:50.12,422
1,11,A01,M,00:06:27.80,387
1,12,A01,M,00:07:05.47,382
1,13,A01,M,00:07:43.14,397
1,14,A01,M,00:08:20.82,448
1,15,A01,M,00:08:58.50,429
1,16,A01,M,00:09:36.18,417
1,17,A01,M,00:10:13.86,416
1,18,A01,M,00:10:51.54,441
1,19,A01,M,00:11:29.23,426
1,20,A01,M,00:12:06.94,397
1,21,A01,M,00:12:44.62,412
1,22,A01,M,00:13:22.29,420
1,23,A01,M,00:13:59.97,400
1,24,A01,M,00:14:37.64,406
1,25,A01,M,00:15:15.32,415
1,26,A01,M,00:15:53.00,415
1,27,A01,M,00:16:30.68,442
1,28,A01,M,00:17:08.36,382
1,29,A01,M,00:17:46.04,386
1,30,A01,M,00:18:23.73,423
1,31,A01,M,00:19:01.41,427
1,32,A01,M,00:19:39.10,442
1,33,A01,M,00:20:16.79,386
1,34,A01,M,00:20:54.47,444
1,35,A01,M,00:21:32.15,410
1,36,A01,M,00:22:09.83,387
1,37,A01,M,00:22:47.51,425
1,38,A01,M,00:23:25.19,431
1,39,A01,M,00:24:02.87,429
1,40,A01,M,00:24:40.55,402
1,41,A01,M,00:25:18.24,418
1,42,A01,M,00:25:55.91,374
1,43,A01,M,00:26:33.59,420
1,44,A01,M,00:27:11.27,439
1,45,A01,M,00:27:48.98,412
1,46,A01,M,00:28:26.67,416
1,47,A01,M,00:29:04.35,432
1,48,A01,M,00:29:42.03,424
1,49,A01,M,00:30:19.70,391
1,50,A01,M,00:30:57.38,425
1,51,A01,M,00:31:35.07,377
1,52,A01,M,00:32:12.75,377
1,53,A01,M,00:32:50.43,398
1,54,A01,M,00:33:28.10,411
1,55,A01,M,00:34:05.78,402
1,56,A01,M,00:34:43.46,419
1,57,A01,M,00:35:21.14,413
1,58,A01,M,00:35:58.82,447
1,59,A01,M,00:36:36.51,412
1,60,A01,M,00:37:14.19,399
1,61,A01,M,00:37:51.87,400
1,62,A01,M,00:38:29.55,441
1,63,A01,M,00:39:07.24,434
1,64,A01,M,00:39:44.91,431
1,65,A01,M,00:40:22.59,418
1,66,A01,M,00:41:00.28,410
1,67,A01,M,00:41:37.97,400
1,68,A01,M,00:42:15.64,427
1,69,A01,M,00:42:53.32,403
1,70,A01,M,00:43:31.02,410
1,71,A01,M,00:44:08.71,392
1,72,A01,M,00:44:46.39,415
1,73,A01,M,00:45:24.07,402
1,74,A01,M,00:46:01.74,434
1,75,A01,M,00:46:39.42,393
1,76,A01,M,00:47:17.09,408
1,77,A01,M,00:47:54.77,407
1,78,A01,M,00:48:32.44,414
1,79,A01,M,00:49:10.12,419
1,80,A01,M,00:49:47.81,424
1,81,A01,M,00:50:25.48,400
1,82,A01,M,00:51:03.16,390
1,83,A01,M,00:51:40.84,385
1,84,A01,M,00:52:18.52,426
1,85,A01,M,00:52:56.20,455
1,86,A01,M,00:53:33.87,390
1,87,A01,M,00:54:11.57,416
1,88,A01,M,00:54:49.25,415
1,89,A01,M,00:55:26.93,432
1,90,A01,M,00:56:04.61,405
1,91,A01,M,00:56:42.30,410
1,92,A01,M,00:57:19.97,443
1,93,A01,M,00:57:57.64,404
1,94,A01,M,00:58:35.32,417
1,95,A01,M,00:59:13.00,415
1,96,A01,M,00:59:50.68,406
1,97,A01,M,01:00:28.37,431
1,98,A01,M,01:01:06.08,421
1,99,A01,M,01:01:43.76,411
1,100,A01,M,01:02:21.44,406
1,101,A01,M,01:02:59.12,449
1,102,A01,M,01:03:36.80,428
1,103,A01,M,01:04:14.50,421
1,104,A01,M,01:04:52.17,407
1,105,A01,M,01:05:29.86,418
1,106,A01,M,01:06:07.55,402
1,107,A01,M,01:06:45.23,391
1,108,A01,M,01:07:22.91,421
1,109,A01,M,01:08:00.60,442
1,110,A01,M,01:08:38.28,395
1,111,A01,M,01:09:15.96,429
1,112,A01,M,01:09:53.67,407
1,113,A01,M,01:10:31.34,385
1,114,A01,M,01:11:09.02,406
1,115,A01,M,01:11:46.70,438
1,116,A01,M,01:12:24.38,403
1,117,A01,M,01:13:02.06,404
1,118,A01,M,01:13:39.74,421
1,119,A01,M,01:14:17.42,401
1,120,A01,M,01:14:55.10,397
1,121,A01,M,01:15:32.78,416
1,122,A01,M,01:16:10.46,407
1,123,A01,M,01:16:48.17,446
1,124,A01,M,01:17:25.86,425
1,125,A01,M,01:18:03.54,406
1,126,A01,M,01:18:41.23,413
1,127,A01,M,01:19:18.92,438
1,128,A01,M,01:19:56.60,396
1,129,A01,M,01:20:34.28,408
1,130,A01,M,01:21:11.99,430
1,131,A01,M,01:21:49.67,420
1,132,A01,M,01:22:27.35,421
1,133,A01,M,01:23:05.03,381
1,134,A01,M,01:23:42.71,402
1,135,A01,M,01:24:20.39,427
1,136,A01,M,01:24:58.07,421
1,137,A01,M,01:25:35.74,436
1,138,A01,M,01:26:13.42,410
1,139,A01,M,01:26:51.11,418
1,140,A01,M,01:27:28.78,402
1,141,A01,M,01:28:06.49,395
1,142,A01,M,01:28:44.18,415
1,143,A01,M,01:29:21.86,387
1,144,A01,M,01:29:59.56,454
1,145,A01,M,01:30:37.25,414
1,146,A01,M,01:31:14.93,448
1,147,A01,M,01:31:52.62,420
1,148,A01,M,01:32:30.30,440
1,149,A01,M,01:33:07.98,429
1,150,A01,M,01:33:45.66,384
1,151,A01,M,01:34:23.36,450
1,152,A01,M,01:35:01.04,377
1,153,A01,M,01:35:38.72,408
1,154,A01,M,01:36:16.40,435
1,155,A01,M,01:36:54.08,430
1,156,A01,M,01:37:31.77,421
1,157,A01,M,01:38:09.44,416
1,158,A01,M,01:38:47.14,412
1,159,A01,M,01:39:24.82,405
1,160,A01,M,01:40:02.51,461
1,161,A01,M,01:40:40.19,402
1,162,A01,M,01:41:17.89,385
1,163,A01,M,01:41:55.58,443
1,164,A01,M,01:42:33.25,437
1,165,A01,M,01:43:10.94,413
1,166,A01,M,01:43:48.62,383
1,167,A01,M,01:44:26.31,375
1,168,A01,M,01:45:04.00,410
1,169,A01,M,01:45:41.69,418
1,170,A01,M,01:46:19.37,389
1,171,A01,M,01:46:57.07,421
1,172,A01,M,01:47:34.75,410
1,173,A01,M,01:48:12.44,410
1,174,A01,M,01:48:50.15,452
1,175,A01,M,01:49:27.84,396
1,176,A01,M,01:50:05.53,403
1,177,A01,M,01:50:43.21,439
1,178,A01,M,01:51:20.89,433
1,179,A01,M,01:51:58.57,427
1,180,A01,M,01:52:36.25,391
1,181,A01,M,01:53:13.92,428
1,182,A01,M,01:53:51.60,436
1,183,A01,M,01:54:29.29,418
1,184,A01,M,01:55:06.97,421
1,185,A01,M,01:55:44.66,411
1,186,A01,M,01:56:22.34,446
1,187,A01,M,01:57:00.02,386
1,188,A01,M,01:57:37.70,404
1,189,A01,M,01:58:15.39,384
1,190,A01,M,01:58:53.06,446
1,191,A01,M,01:59:30.74,395
1,192,A01,M,02:00:08.43,415
1,193,A01,M,02:00:46.11,407
1,194,A01,M,02:01:23.80,446
1,195,A01,M,02:02:01.48,407
1,196,A01,M,02:02:39.16,441
1,197,A01,M,02:03:16.84,405
1,198,A01,M,02:03:54.53,407
1,199,A01,M,02:04:32.22,442
1,200,A01,M,02:05:09.91,412
1,1,A02,M,00:00:11.63,477
1,2,A02,M,00:00:49.30,419
1,3,A02,M,00:01:26.98,420
1,4,A02,M,00:02:04.66,452
1,5,A02,M,00:02:42.36,433
1,6,A02,M,00:03:20.03,439
1,7,A02,M,00:03:57.71,409
1,8,A02,M,00:04:35.38,449
1,9,A02,M,00:05:13.06,404
1,10,A02,M,00:05:50.74,462
1,11,A02,M,00:06:28.41,484
1,12,A02,M,00:07:06.08,407
1,13,A02,M,00:07:43.76,422
1,14,A02,M,00:08:21.44,443
1,15,A02,M,00:08:59.12,442
1,16,A02,M,00:09:36.80,431
1,17,A02,M,00:10:14.47,430
1,18,A02,M,00:10:52.16,412
1,19,A02,M,00:11:29.85,459
1,20,A02,M,00:12:07.55,398
1,21,A02,M,00:12:45.23,455
1,22,A02,M,00:13:22.91,419
1,23,A02,M,00:14:00.58,447
1,24,A02,M,00:14:38.25,416
1,25,A02,M,00:15:15.94,415
1,26,A02,M,00:15:53.61,405
1,27,A02,M,00:16:31.30,419
1,28,A02,M,00:17:08.98,418
1,29,A02,M,00:17:46.66,389
1,30,A02,M,00:18:24.35,437
1,31,A02,M,00:19:02.03,429
1,32,A02,M,00:19:39.72,463
1,33,A02,M,00:20:17.41,399
1,34,A02,M,00:20:55.09,451
1,35,A02,M,00:21:32.77,457
1,36,A02,M,00:22:10.44,432
1,37,A02,M,00:22:48.13,477
1,38,A02,M,00:23:25.81,455
1,39,A02,M,00:24:03.49,402
1,40,A02,M,00:24:41.17,414
1,41,A02,M,00:25:18.85,431
1,42,A02,M,00:25:56.52,421
1,43,A02,M,00:26:34.21,451
1,44,A02,M,00:27:11.89,435
1,45,A02,M,00:27:49.60,438
1,46,A02,M,00:28:27.29,459
1,47,A02,M,00:29:04.97,424
1,48,A02,M,00:29:42.64,432
1,49,A02,M,00:30:20.32,397
1,50,A02,M,00:30:58.00,456
1,51,A02,M,00:31:35.69,441
1,52,A02,M,00:32:13.36,422
1,53,A02,M,00:32:51.04,442
1,54,A02,M,00:33:28.72,428
1,55,A02,M,00:34:06.40,406
1,56,A02,M,00:34:44.08,420
1,57,A02,M,00:35:21.76,460
1,58,A02,M,00:35:59.44,424
1,59,A02,M,00:36:37.13,433
1,60,A02,M,00:37:14.81,442
1,61,A02,M,00:37:52.49,447
1,62,A02,M,00:38:30.17,442
1,63,A02,M,00:39:07.86,470
1,64,A02,M,00:39:45.53,424
1,65,A02,M,00:40:23.21,438
1,66,A02,M,00:41:00.90,414
1,67,A02,M,00:41:38.58,479
1,68,A02,M,00:42:16.26,409
1,69,A02,M,00:42:53.94,436
1,70,A02,M,00:43:31.64,448
1,71,A02,M,00:44:09.33,477
1,72,A02,M,00:44:47.01,430
1,73,A02,M,00:45:24.68,435
1,74,A02,M,00:46:02.36,426
1,75,A02,M,00:46:40.04,442
1,76,A02,M,00:47:17.70,459
1,77,A02,M,00:47:55.38,428
1,78,A02,M,00:48:33.06,463
1,79,A02,M,00:49:10.74,440
1,80,A02,M,00:49:48.42,441
1,81,A02,M,00:50:26.10,437
1,82,A02,M,00:51:03.78,446
1,83,A02,M,00:51:41.46,415
1,84,A02,M,00:52:19.14,444
1,85,A02,M,00:52:56.81,448
1,86,A02,M,00:53:34.48,451
1,87,A02,M,00:54:12.19,431
1,88,A02,M,00:54:49.87,397
1,89,A02,M,00:55:27.55,448
1,90,A02,M,00:56:05.23,448
1,91,A02,M,00:56:42.91,446
1,92,A02,M,00:57:20.58,417
1,93,A02,M,00:57:58.26,384
1,94,A02,M,00:58:35.94,474
1,95,A02,M,00:59:13.62,447
1,96,A02,M,00:59:51.30,422
1,97,A02,M,01:00:28.99,452
1,98,A02,M,01:01:06.70,416
1,99,A02,M,01:01:44.38,420
1,100,A02,M,01:02:22.06,458
1,101,A02,M,01:02:59.73,436
1,102,A02,M,01:03:37.42,449
1,103,A02,M,01:04:15.11,443
1,104,A02,M,01:04:52.78,435
1,105,A02,M,01:05:30.48,450
1,106,A02,M,01:06:08.17,454
1,107,A02,M,01:06:45.85,395
1,108,A02,M,01:07:23.53,441
1,109,A02,M,01:08:01.22,435
1,110,A02,M,01:08:38.90,410
1,111,A02,M,01:09:16.58,435
1,112,A02,M,01:09:54.28,458
1,113,A02,M,01:10:31.96,432
1,114,A02,M,01:11:09.64,449
1,115,A02,M,01:11:47.32,424
1,116,A02,M,01:12:25.00,473
1,117,A02,M,01:13:02.68,440
1,118,A02,M,01:13:40.36,459
1,119,A02,M,01:14:18.04,431
1,120,A02,M,01:14:55.72,468
1,121,A02,M,01:15:33.40,452
1,122,A02,M,01:16:11.08,443
1,123,A02,M,01:16:48.79,455
1,124,A02,M,01:17:26.48,414
1,125,A02,M,01:18:04.16,413
1,126,A02,M,01:18:41.85,430
1,127,A02,M,01:19:19.54,446
1,128,A02,M,01:19:57.22,439
1,129,A02,M,01:20:34.90,409
1,130,A02,M,01:21:12.60,443
1,131,A02,M,01:21:50.29,387
1,132,A02,M,01:22:27.97,457
1,133,A02,M,01:23:05.65,411
1,134,A02,M,01:23:43.33,429
1,135,A02,M,01:24:21.01,450
1,136,A02,M,01:24:58.68,444
1,137,A02,M,01:25:36.36,411
1,138,A02,M,01:26:14.04,472
1,139,A02,M,01:26:51.72,424
1,140,A02,M,01:27:29.40,470
1,141,A02,M,01:28:07.11,461
1,142,A02,M,01:28:44.80,461
1,143,A02,M,01:29:22.48,421
1,144,A02,M,01:30:00.18,455
1,145,A02,M,01:30:37.86,478
1,146,A02,M,01:31:15.55,461
1,147,A02,M,01:31:53.24,455
1,148,A02,M,01:32:30.92,444
1,149,A02,M,01:33:08.60,450
1,150,A02,M,01:33:46.30,399
1,151,A02,M,01:34:23.98,413
1,152,A02,M,01:35:01.66,437
1,153,A02,M,01:35:39.34,427
1,154,A02,M,01:36:17.02,420
1,155,A02,M,01:36:54.70,426
1,156,A02,M,01:37:32.38,424
1,157,A02,M,01:38:10.06,440
1,158,A02,M,01:38:47.76,445
1,159,A02,M,01:39:25.44,423
1,160,A02,M,01:40:03.12,439
1,161,A02,M,01:40:40.81,459
1,162,A02,M,01:41:18.51,413
1,163,A02,M,01:41:56.20,425
1,164,A02,M,01:42:33.87,444
1,165,A02,M,01:43:11.56,437
1,166,A02,M,01:43:49.24,440
1,167,A02,M,01:44:26.93,478
1,168,A02,M,01:45:04.62,445
