Plate,Repeat,Well,Type,Time,ANTS (Counts)
1,1,A01,M,00:00:10.99,470
1,2,A01,M,00:00:48.66,472
1,3,A01,M,00:01:26.33,477
1,4,A01,M,00:02:04.01,528
1,5,A01,M,00:02:41.69,476
1,6,A01,M,00:03:19.37,469
1,7,A01,M,00:03:57.05,479
1,8,A01,M,00:04:34.72,484
1,9,A01,M,00:05:12.41,499
1,10,A01,M,00:05:50.08,494
1,1,A02,M,00:00:11.60,564
1,2,A02,M,00:00:49.27,570
1,3,A02,M,00:01:26.95,557
1,4,A02,M,00:02:04.63,588
1,5,A02,M,00:02:42.31,519
1,6,A02,M,00:03:19.99,552
1,7,A02,M,00:03:57.66,536
1,8,A02,M,00:04:35.34,563
1,9,A02,M,00:05:13.03,536
1,10,A02,M,00:05:50.70,556
1,1,A03,M,00:00:12.22,610
1,2,A03,M,00:00:49.89,630
1,3,A03,M,00:01:27.56,614
1,4,A03,M,00:02:05.25,639
1,5,A03,M,00:02:42.92,637
1,6,A03,M,00:03:20.61,567
1,7,A03,M,00:03:58.28,669
1,8,A03,M,00:04:35.95,590
1,9,A03,M,00:05:13.64,609
1,10,A03,M,00:05:51.31,646
1,1,A04,M,00:00:12.83,1200
1,2,A04,M,00:00:50.50,1175
1,3,A04,M,00:01:28.18,1217
1,4,A04,M,00:02:05.86,1234
1,5,A04,M,00:02:43.54,1177
1,6,A04,M,00:03:21.22,1148
1,7,A04,M,00:03:58.89,1129
1,8,A04,M,00:04:36.57,1213
1,9,A04,M,00:05:14.26,1265
1,10,A04,M,00:05:51.93,1116
1,1,A05,M,00:00:13.45,1348
1,2,A05,M,00:00:51.12,1374
1,3,A05,M,00:01:28.79,1390
1,4,A05,M,00:02:06.48,1450
1,5,A05,M,00:02:44.15,1440
1,6,A05,M,00:03:21.84,1395
1,7,A05,M,00:03:59.51,1348
1,8,A05,M,00:04:37.18,1394
1,9,A05,M,00:05:14.87,1454
1,10,A05,M,00:05:52.54,1455
1,1,A06,M,00:00:14.06,2197
1,2,A06,M,00:00:51.73,2179
1,3,A06,M,00:01:29.41,2165
1,4,A06,M,00:02:07.09,2182
1,5,A06,M,00:02:44.77,2177
1,6,A06,M,00:03:22.45,2156
1,7,A06,M,00:04:00.12,2148
1,8,A06,M,00:04:37.80,2206
1,9,A06,M,00:05:15.49,2152
1,10,A06,M,00:05:53.16,2083
1,1,B01,M,00:00:16.58,68462
1,2,B01,M,00:00:54.25,68732
1,3,B01,M,00:01:31.92,68794
1,4,B01,M,00:02:09.61,67928
1,5,B01,M,00:02:47.28,68536
1,6,B01,M,00:03:24.96,68216
1,7,B01,M,00:04:02.64,68289
1,8,B01,M,00:04:40.31,68249
1,9,B01,M,00:05:18.00,68301
1,10,B01,M,00:05:55.67,68487
1,1,B02,M,00:00:17.19,69757
1,2,B02,M,00:00:54.86,70456
1,3,B02,M,00:01:32.53,69964
1,4,B02,M,00:02:10.22,70140
1,5,B02,M,00:02:47.90,69804
1,6,B02,M,00:03:25.58,69888
1,7,B02,M,00:04:03.25,70218
1,8,B02,M,00:04:40.93,69918
1,9,B02,M,00:05:18.62,69562
1,10,B02,M,00:05:56.29,69774
1,1,B03,M,00:00:17.81,70055
1,2,B03,M,00:00:55.48,70042
1,3,B03,M,00:01:33.15,69559
1,4,B03,M,00:02:10.84,69874
1,5,B03,M,00:02:48.51,69325
1,6,B03,M,00:03:26.20,70169
1,7,B03,M,00:04:03.87,69590
1,8,B03,M,00:04:41.54,69843
1,9,B03,M,00:05:19.23,69809
1,10,B03,M,00:05:56.90,69444
1,1,B04,M,00:00:18.42,69218
1,2,B04,M,00:00:56.09,69423
1,3,B04,M,00:01:33.77,69580
1,4,B04,M,00:02:11.45,69876
1,5,B04,M,00:02:49.13,69141
1,6,B04,M,00:03:26.81,69892
1,7,B04,M,00:04:04.48,69401
1,8,B04,M,00:04:42.16,69622
1,9,B04,M,00:05:19.85,69002
1,10,B04,M,00:05:57.52,70005
1,1,B05,M,00:00:19.04,66808
1,2,B05,M,00:00:56.71,66915
1,3,B05,M,00:01:34.38,67367
1,4,B05,M,00:02:12.07,67215
1,5,B05,M,00:02:49.74,66774
1,6,B05,M,00:03:27.43,66921
1,7,B05,M,00:04:05.10,67340
1,8,B05,M,00:04:42.77,67272
1,9,B05,M,00:05:20.46,66824
1,10,B05,M,00:05:58.13,66959
1,1,B06,M,00:00:19.65,74727
1,2,B06,M,00:00:57.32,75059
1,3,B06,M,00:01:34.99,74971
1,4,B06,M,00:02:12.68,74733
1,5,B06,M,00:02:50.36,74453
1,6,B06,M,00:03:28.04,74629
1,7,B06,M,00:04:05.71,74804
1,8,B06,M,00:04:43.39,74832
1,9,B06,M,00:05:21.07,74842
1,10,B06,M,00:05:58.75,74630
1,1,C01,M,00:00:22.17,78128
1,2,C01,M,00:00:59.84,77785
1,3,C01,M,00:01:37.51,77459
1,4,C01,M,00:02:15.20,77641
1,5,C01,M,00:02:52.87,77233
1,6,C01,M,00:03:30.55,77603
1,7,C01,M,00:04:08.23,77779
1,8,C01,M,00:04:45.90,77804
1,9,C01,M,00:05:23.59,77344
1,10,C01,M,00:06:01.27,77144
1,1,C02,M,00:00:22.78,77488
1,2,C02,M,00:01:00.45,77565
1,3,C02,M,00:01:38.12,77122
1,4,C02,M,00:02:15.81,77604
1,5,C02,M,00:02:53.49,77192
1,6,C02,M,00:03:31.17,77237
1,7,C02,M,00:04:08.84,77205
1,8,C02,M,00:04:46.52,77021
1,9,C02,M,00:05:24.20,77645
1,10,C02,M,00:06:01.88,77234
1,1,C03,M,00:00:23.40,75431
1,2,C03,M,00:01:01.07,75579
1,3,C03,M,00:01:38.74,74750
1,4,C03,M,00:02:16.43,74922
1,5,C03,M,00:02:54.10,74508
1,6,C03,M,00:03:31.78,75078
1,7,C03,M,00:04:09.46,74546
1,8,C03,M,00:04:47.13,74922
1,9,C03,M,00:05:24.82,74941
1,10,C03,M,00:06:02.50,75168
1,1,C04,M,00:00:24.01,72823
1,2,C04,M,00:01:01.68,72665
1,3,C04,M,00:01:39.35,72548
1,4,C04,M,00:02:17.04,72851
1,5,C04,M,00:02:54.72,73148
1,6,C04,M,00:03:32.40,73024
1,7,C04,M,00:04:10.07,73170
1,8,C04,M,00:04:47.75,73183
1,9,C04,M,00:05:25.43,72511
1,10,C04,M,00:06:03.11,72707
1,1,C05,M,00:00:24.63,72622
1,2,C05,M,00:01:02.30,72839
1,3,C05,M,00:01:39.97,72888
1,4,C05,M,00:02:17.66,72495
1,5,C05,M,00:02:55.33,72867
1,6,C05,M,00:03:33.01,73075
1,7,C05,M,00:04:10.69,72610
1,8,C05,M,00:04:48.36,73238
1,9,C05,M,00:05:26.05,72889
1,10,C05,M,00:06:03.73,72932
1,1,C06,M,00:00:25.24,79497
1,2,C06,M,00:01:02.91,79441
1,3,C06,M,00:01:40.58,79855
1,4,C06,M,00:02:18.27,79549
1,5,C06,M,00:02:55.95,79561
1,6,C06,M,00:03:33.63,79280
1,7,C06,M,00:04:11.30,79819
1,8,C06,M,00:04:48.98,79153
1,9,C06,M,00:05:26.66,79397
1,10,C06,M,00:06:04.34,79849
1,1,D01,M,00:00:27.75,76113
1,2,D01,M,00:01:05.43,75295
1,3,D01,M,00:01:43.10,74948
1,4,D01,M,00:02:20.78,74866
1,5,D01,M,00:02:58.46,75399
1,6,D01,M,00:03:36.14,75172
1,7,D01,M,00:04:13.81,75024
1,8,D01,M,00:04:51.50,75205
1,9,D01,M,00:05:29.18,74756
1,10,D01,M,00:06:06.86,75032
1,1,D02,M,00:00:28.37,74975
1,2,D02,M,00:01:06.04,75506
1,3,D02,M,00:01:43.71,75282
1,4,D02,M,00:02:21.40,75045
1,5,D02,M,00:02:59.08,74801
1,6,D02,M,00:03:36.76,75121
1,7,D02,M,00:04:14.43,75011
1,8,D02,M,00:04:52.11,74804
1,9,D02,M,00:05:29.79,74837
1,10,D02,M,00:06:07.47,74620
1,1,D03,M,00:00:28.99,73676
