Plate,Repeat,Well,Type,Time,ANTS (Counts)
1,1,A01,M,00:00:27.01,8897
1,2,A01,M,00:01:07.91,9347
1,3,A01,M,00:01:48.81,9782
1,4,A01,M,00:02:29.72,9996
1,5,A01,M,00:03:10.61,10392
1,6,A01,M,00:03:51.52,11040
1,7,A01,M,00:04:32.42,11352
1,8,A01,M,00:05:13.32,11763
1,9,A01,M,00:05:54.22,12654
1,10,A01,M,00:06:35.12,12866
1,11,A01,M,00:07:16.02,13432
1,12,A01,M,00:07:56.92,14051
1,13,A01,M,00:08:37.82,14545
1,14,A01,M,00:09:18.72,15056
1,15,A01,M,00:09:59.62,15318
1,16,A01,M,00:10:40.51,15859
1,17,A01,M,00:11:21.41,16319
1,18,A01,M,00:12:02.31,16666
1,19,A01,M,00:12:43.20,17400
1,20,A01,M,00:13:24.10,17544
1,21,A01,M,00:14:05.02,18212
1,22,A01,M,00:14:45.92,18486
1,23,A01,M,00:15:26.82,19023
1,24,A01,M,00:16:07.73,19455
1,25,A01,M,00:16:48.63,19876
1,26,A01,M,00:17:29.53,20470
1,27,A01,M,00:18:10.42,20639
1,28,A01,M,00:18:51.32,21059
1,29,A01,M,00:19:32.23,21368
1,30,A01,M,00:20:13.12,21918
1,31,A01,M,00:20:54.02,22153
1,32,A01,M,00:21:34.92,22562
1,33,A01,M,00:22:15.82,22803
1,34,A01,M,00:22:56.73,23250
1,35,A01,M,00:23:37.64,23574
1,36,A01,M,00:24:18.55,23946
1,37,A01,M,00:24:59.45,24267
1,38,A01,M,00:25:40.35,24489
1,39,A01,M,00:26:21.26,24711
1,40,A01,M,00:27:02.17,25220
1,41,A01,M,00:27:43.07,25320
1,42,A01,M,00:28:23.97,25550
1,43,A01,M,00:29:04.88,25939
1,44,A01,M,00:29:45.78,26286
1,45,A01,M,00:30:26.68,26737
1,46,A01,M,00:31:07.59,26739
1,47,A01,M,00:31:48.49,27194
1,48,A01,M,00:32:29.41,27220
1,49,A01,M,00:33:10.32,27386
1,50,A01,M,00:33:51.24,27548
1,51,A01,M,00:34:32.13,28318
1,52,A01,M,00:35:13.03,28373
1,53,A01,M,00:35:53.93,28715
1,54,A01,M,00:36:34.83,29125
1,55,A01,M,00:37:15.73,29242
1,56,A01,M,00:37:56.63,29194
1,57,A01,M,00:38:37.54,29362
1,58,A01,M,00:39:18.44,29817
1,59,A01,M,00:39:59.34,29872
1,60,A01,M,00:40:40.25,30134
1,61,A01,M,00:41:21.15,30173
1,62,A01,M,00:42:02.05,30642
1,63,A01,M,00:42:42.96,30635
1,64,A01,M,00:43:23.87,30914
1,65,A01,M,00:44:04.78,30949
1,66,A01,M,00:44:45.67,31199
1,67,A01,M,00:45:26.58,31446
1,68,A01,M,00:46:07.49,31682
1,69,A01,M,00:46:48.41,31836
1,70,A01,M,00:47:29.34,32060
1,71,A01,M,00:48:10.27,32174
1,72,A01,M,00:48:51.19,32487
1,73,A01,M,00:49:32.09,32317
1,74,A01,M,00:50:13.00,32746
1,75,A01,M,00:50:53.89,32884
1,76,A01,M,00:51:34.79,33033
1,77,A01,M,00:52:15.69,33020
1,78,A01,M,00:52:56.59,33272
1,79,A01,M,00:53:37.52,33488
1,80,A01,M,00:54:18.44,33535
1,81,A01,M,00:54:59.36,33547
1,82,A01,M,00:55:40.27,33896
1,83,A01,M,00:56:21.16,33915
1,84,A01,M,00:57:02.05,34403
1,85,A01,M,00:57:42.97,34385
1,86,A01,M,00:58:23.86,34524
1,87,A01,M,00:59:04.75,34531
1,88,A01,M,00:59:45.65,34970
1,89,A01,M,01:00:26.55,34904
1,90,A01,M,01:01:07.45,35074
1,91,A01,M,01:01:48.35,35350
1,92,A01,M,01:02:29.25,35297
1,93,A01,M,01:03:10.15,35603
1,94,A01,M,01:03:51.05,35150
1,95,A01,M,01:04:31.96,35736
1,96,A01,M,01:05:12.85,35795
1,97,A01,M,01:05:53.76,35736
1,98,A01,M,01:06:34.65,35454
1,99,A01,M,01:07:15.56,35789
1,100,A01,M,01:07:56.46,36097
1,101,A01,M,01:08:37.36,35967
1,102,A01,M,01:09:18.27,36232
1,103,A01,M,01:09:59.17,36691
1,104,A01,M,01:10:40.07,36416
1,105,A01,M,01:11:20.98,36683
1,106,A01,M,01:12:01.89,36998
1,107,A01,M,01:12:42.79,36857
1,108,A01,M,01:13:23.70,36944
1,109,A01,M,01:14:04.60,37130
1,110,A01,M,01:14:45.50,36860
1,111,A01,M,01:15:26.40,37493
1,112,A01,M,01:16:07.30,37376
1,113,A01,M,01:16:48.21,37638
1,114,A01,M,01:17:29.11,37492
1,115,A01,M,01:18:10.01,37799
1,116,A01,M,01:18:50.92,37840
1,117,A01,M,01:19:31.82,37805
1,118,A01,M,01:20:12.72,37800
1,119,A01,M,01:20:53.63,37808
1,120,A01,M,01:21:34.53,38244
1,121,A01,M,01:22:15.43,37918
1,122,A01,M,01:22:56.34,37912
1,123,A01,M,01:23:37.25,38100
1,124,A01,M,01:24:18.15,38040
1,125,A01,M,01:24:59.06,38406
1,126,A01,M,01:25:39.97,38491
1,127,A01,M,01:26:20.88,38513
1,128,A01,M,01:27:01.78,38744
1,129,A01,M,01:27:42.68,38822
1,130,A01,M,01:28:23.61,38667
1,131,A01,M,01:29:04.53,38802
1,132,A01,M,01:29:45.43,38544
1,133,A01,M,01:30:26.34,39173
1,134,A01,M,01:31:07.24,39094
1,135,A01,M,01:31:48.14,39403
1,136,A01,M,01:32:29.05,39193
1,137,A01,M,01:33:09.95,39181
1,138,A01,M,01:33:50.85,38931
1,139,A01,M,01:34:31.75,39095
1,140,A01,M,01:35:12.65,39452
1,141,A01,M,01:35:53.56,39390
1,142,A01,M,01:36:34.46,39753
1,143,A01,M,01:37:15.36,39511
1,144,A01,M,01:37:56.27,39460
1,145,A01,M,01:38:37.17,39302
1,146,A01,M,01:39:18.07,39674
1,147,A01,M,01:39:58.98,39844
1,148,A01,M,01:40:39.88,39888
1,149,A01,M,01:41:20.78,40106
1,150,A01,M,01:42:01.68,40125
