Plate,Repeat,Well,Type,Time,ANTS (Counts)
1,1,A01,M,00:00:12.97,46883
1,2,A01,M,00:00:53.86,46282
1,3,A01,M,00:01:34.75,46211
1,4,A01,M,00:02:15.64,46384
1,5,A01,M,00:02:56.54,46695
1,6,A01,M,00:03:37.44,46999
1,7,A01,M,00:04:18.33,46580
1,8,A01,M,00:04:59.22,46362
1,9,A01,M,00:05:40.12,46572
1,10,A01,M,00:06:21.02,46344
1,1,A02,M,00:00:13.79,44524
1,2,A02,M,00:00:54.68,44841
1,3,A02,M,00:01:35.57,45382
1,4,A02,M,00:02:16.46,45567
1,5,A02,M,00:02:57.36,45379
1,6,A02,M,00:03:38.26,45731
1,7,A02,M,00:04:19.15,45948
1,8,A02,M,00:05:00.03,45734
1,9,A02,M,00:05:40.94,44979
1,10,A02,M,00:06:21.84,44769
1,1,A03,M,00:00:14.60,42958
1,2,A03,M,00:00:55.50,43231
1,3,A03,M,00:01:36.39,42944
1,4,A03,M,00:02:17.28,43020
1,5,A03,M,00:02:58.18,43273
1,6,A03,M,00:03:39.08,43423
1,7,A03,M,00:04:19.97,43413
1,8,A03,M,00:05:00.85,43187
1,9,A03,M,00:05:41.76,43118
1,10,A03,M,00:06:22.66,43310
1,1,A04,M,00:00:15.42,43054
1,2,A04,M,00:00:56.32,42776
1,3,A04,M,00:01:37.21,42779
1,4,A04,M,00:02:18.10,42870
1,5,A04,M,00:02:59.00,42641
1,6,A04,M,00:03:39.90,42628
1,7,A04,M,00:04:20.79,42939
1,8,A04,M,00:05:01.67,42868
1,9,A04,M,00:05:42.58,42654
1,10,A04,M,00:06:23.48,43016
1,1,A05,M,00:00:16.24,43630
1,2,A05,M,00:00:57.14,44027
1,3,A05,M,00:01:38.03,43886
1,4,A05,M,00:02:18.92,43899
1,5,A05,M,00:02:59.82,44202
1,6,A05,M,00:03:40.72,43341
1,7,A05,M,00:04:21.61,44014
1,8,A05,M,00:05:02.49,44165
1,9,A05,M,00:05:43.40,44020
1,10,A05,M,00:06:24.30,43644
1,1,A06,M,00:00:17.06,43340
1,2,A06,M,00:00:57.96,43295
1,3,A06,M,00:01:38.85,43824
1,4,A06,M,00:02:19.74,43719
1,5,A06,M,00:03:00.64,43537
1,6,A06,M,00:03:41.54,43349
1,7,A06,M,00:04:22.43,43272
1,8,A06,M,00:05:03.31,43348
1,9,A06,M,00:05:44.22,43424
1,10,A06,M,00:06:25.12,43450
1,1,A07,M,00:00:17.88,42576
1,2,A07,M,00:00:58.78,43157
1,3,A07,M,00:01:39.67,42705
1,4,A07,M,00:02:20.56,43125
1,5,A07,M,00:03:01.46,42887
1,6,A07,M,00:03:42.36,42883
1,7,A07,M,00:04:23.25,42789
1,8,A07,M,00:05:04.13,42867
1,9,A07,M,00:05:45.04,42482
1,10,A07,M,00:06:25.94,42717
1,1,A08,M,00:00:18.70,43786
1,2,A08,M,00:00:59.60,43543
1,3,A08,M,00:01:40.49,43308
1,4,A08,M,00:02:21.37,43600
1,5,A08,M,00:03:02.27,43744
1,6,A08,M,00:03:43.18,43235
1,7,A08,M,00:04:24.07,43281
1,8,A08,M,00:05:04.95,43159
1,9,A08,M,00:05:45.86,43625
1,10,A08,M,00:06:26.76,43307
1,1,A09,M,00:00:19.52,42892
1,2,A09,M,00:01:00.42,43091
1,3,A09,M,00:01:41.31,43125
1,4,A09,M,00:02:22.19,42680
1,5,A09,M,00:03:03.09,42952
1,6,A09,M,00:03:44.00,42915
1,7,A09,M,00:04:24.89,42675
1,8,A09,M,00:05:05.77,42670
1,9,A09,M,00:05:46.68,42688
1,10,A09,M,00:06:27.58,42688
1,1,A10,M,00:00:20.34,42511
1,2,A10,M,00:01:01.24,42419
1,3,A10,M,00:01:42.13,42425
1,4,A10,M,00:02:23.01,42838
1,5,A10,M,00:03:03.91,42979
1,6,A10,M,00:03:44.82,42728
1,7,A10,M,00:04:25.71,42452
1,8,A10,M,00:05:06.59,42569
1,9,A10,M,00:05:47.50,42406
1,10,A10,M,00:06:28.40,42747
1,1,A11,M,00:00:21.16,42696
1,2,A11,M,00:01:02.06,42903
1,3,A11,M,00:01:42.95,42815
1,4,A11,M,00:02:23.83,42948
1,5,A11,M,00:03:04.74,43126
1,6,A11,M,00:03:45.64,42745
1,7,A11,M,00:04:26.53,42888
1,8,A11,M,00:05:07.41,42827
1,9,A11,M,00:05:48.32,42604
1,10,A11,M,00:06:29.22,43177
1,1,A12,M,00:00:21.98,43271
1,2,A12,M,00:01:02.88,43365
1,3,A12,M,00:01:43.77,43433
1,4,A12,M,00:02:24.65,43615
1,5,A12,M,00:03:05.55,43411
1,6,A12,M,00:03:46.46,43523
1,7,A12,M,00:04:27.35,43105
1,8,A12,M,00:05:08.23,43637
1,9,A12,M,00:05:49.14,43455
1,10,A12,M,00:06:30.04,43239
1,1,B01,M,00:00:25.24,47328
1,2,B01,M,00:01:06.13,47572
1,3,B01,M,00:01:47.03,47265
1,4,B01,M,00:02:27.91,46996
1,5,B01,M,00:03:08.81,47221
1,6,B01,M,00:03:49.71,47459
1,7,B01,M,00:04:30.61,47199
1,8,B01,M,00:05:11.49,47018
1,9,B01,M,00:05:52.39,47032
1,10,B01,M,00:06:33.30,46907
1,1,B02,M,00:00:26.06,43669
1,2,B02,M,00:01:06.95,43760
1,3,B02,M,00:01:47.84,44109
1,4,B02,M,00:02:28.73,43983
1,5,B02,M,00:03:09.63,44055
1,6,B02,M,00:03:50.53,44024
1,7,B02,M,00:04:31.42,44453
1,8,B02,M,00:05:12.31,43968
1,9,B02,M,00:05:53.21,44156
1,10,B02,M,00:06:34.12,44324
1,1,B03,M,00:00:26.87,43540
1,2,B03,M,00:01:07.77,43979
1,3,B03,M,00:01:48.66,44365
1,4,B03,M,00:02:29.55,44222
1,5,B03,M,00:03:10.45,44098
1,6,B03,M,00:03:51.35,43942
1,7,B03,M,00:04:32.24,44025
1,8,B03,M,00:05:13.13,43889
1,9,B03,M,00:05:54.03,44278
1,10,B03,M,00:06:34.94,44000
1,1,B04,M,00:00:27.69,43429
1,2,B04,M,00:01:08.59,43328
1,3,B04,M,00:01:49.48,43869
1,4,B04,M,00:02:30.37,43308
1,5,B04,M,00:03:11.27,43542
1,6,B04,M,00:03:52.17,43509
1,7,B04,M,00:04:33.06,43439
1,8,B04,M,00:05:13.95,43339
1,9,B04,M,00:05:54.85,43379
1,10,B04,M,00:06:35.76,43466
1,1,B05,M,00:00:28.51,43172
1,2,B05,M,00:01:09.41,43453
1,3,B05,M,00:01:50.30,43225
1,4,B05,M,00:02:31.19,43213
1,5,B05,M,00:03:12.09,43231
1,6,B05,M,00:03:52.99,43625
1,7,B05,M,00:04:33.88,43520
1,8,B05,M,00:05:14.77,43694
1,9,B05,M,00:05:55.67,43477
1,10,B05,M,00:06:36.58,43839
1,1,B06,M,00:00:29.33,43026
1,2,B06,M,00:01:10.23,43137
1,3,B06,M,00:01:51.12,43079
1,4,B06,M,00:02:32.01,43165
1,5,B06,M,00:03:12.91,42936
1,6,B06,M,00:03:53.81,43001
1,7,B06,M,00:04:34.70,43257
1,8,B06,M,00:05:15.59,43286
1,9,B06,M,00:05:56.49,43255
1,10,B06,M,00:06:37.40,43036
1,1,B07,M,00:00:30.15,43190
1,2,B07,M,00:01:11.05,43633
1,3,B07,M,00:01:51.94,43588
1,4,B07,M,00:02:32.83,43071
1,5,B07,M,00:03:13.73,43305
1,6,B07,M,00:03:54.63,43175
1,7,B07,M,00:04:35.52,43642
1,8,B07,M,00:05:16.41,43551
1,9,B07,M,00:05:57.31,43033
1,10,B07,M,00:06:38.22,43196
1,1,B08,M,00:00:30.97,42731
1,2,B08,M,00:01:11.87,43704
