Plate,Repeat,Well,Type,Time,ANTS (Counts)
1,1,A01,M,00:05:22.04,21964
1,2,A01,M,00:06:25.78,22033
1,3,A01,M,00:07:29.53,21914
1,4,A01,M,00:08:33.26,22335
1,5,A01,M,00:09:37.00,22096
1,6,A01,M,00:10:40.73,22546
1,7,A01,M,00:11:44.46,22374
1,8,A01,M,00:12:48.20,22189
1,9,A01,M,00:13:51.94,22518
1,10,A01,M,00:14:55.65,22656
1,11,A01,M,00:15:59.39,22349
1,12,A01,M,00:17:03.12,22720
1,13,A01,M,00:18:06.88,22420
1,14,A01,M,00:19:10.62,22628
1,15,A01,M,00:20:14.35,22413
1,16,A01,M,00:21:18.08,22371
1,17,A01,M,00:22:21.82,22667
1,18,A01,M,00:23:25.56,22547
1,19,A01,M,00:24:29.30,22548
1,20,A01,M,00:25:33.04,22850
1,1,A02,M,00:05:22.46,22221
1,2,A02,M,00:06:26.20,22303
1,3,A02,M,00:07:29.94,22137
1,4,A02,M,00:08:33.67,22181
1,5,A02,M,00:09:37.41,22262
1,6,A02,M,00:10:41.14,22565
1,7,A02,M,00:11:44.87,22819
1,8,A02,M,00:12:48.61,22623
1,9,A02,M,00:13:52.35,22449
1,10,A02,M,00:14:56.07,22625
1,11,A02,M,00:15:59.80,22602
1,12,A02,M,00:17:03.53,22940
1,13,A02,M,00:18:07.29,22734
1,14,A02,M,00:19:11.03,22756
1,15,A02,M,00:20:14.76,22791
1,16,A02,M,00:21:18.49,22800
1,17,A02,M,00:22:22.24,22753
1,18,A02,M,00:23:25.98,22799
1,19,A02,M,00:24:29.72,22996
1,20,A02,M,00:25:33.45,22895
1,1,A03,M,00:05:22.87,22599
1,2,A03,M,00:06:26.61,22555
1,3,A03,M,00:07:30.36,22459
1,4,A03,M,00:08:34.09,22468
1,5,A03,M,00:09:37.82,22566
1,6,A03,M,00:10:41.56,23129
1,7,A03,M,00:11:45.28,22850
1,8,A03,M,00:12:49.03,22699
1,9,A03,M,00:13:52.76,22948
1,10,A03,M,00:14:56.48,22908
1,11,A03,M,00:16:00.22,22750
1,12,A03,M,00:17:03.95,23030
1,13,A03,M,00:18:07.71,23078
1,14,A03,M,00:19:11.44,22761
1,15,A03,M,00:20:15.18,23026
1,16,A03,M,00:21:18.91,22986
1,17,A03,M,00:22:22.65,22782
1,18,A03,M,00:23:26.39,22903
1,19,A03,M,00:24:30.13,22626
1,20,A03,M,00:25:33.87,22988
1,1,A04,M,00:05:23.29,22679
