Plate,Repeat,Well,Type,Time,Fluorescein High Count (0.1s) (RFU)
1,1,A01,M,00:00:08.58,105717
1,2,A01,M,00:00:28.94,107670
1,3,A01,M,00:00:49.29,107652
1,4,A01,M,00:01:09.64,108882
1,5,A01,M,00:01:30.00,106988
1,6,A01,M,00:01:50.37,107304
1,7,A01,M,00:02:10.73,108725
1,8,A01,M,00:02:31.09,108470
1,9,A01,M,00:02:51.45,108024
1,10,A01,M,00:03:11.82,107115
1,11,A01,M,00:03:32.19,107249
1,12,A01,M,00:03:52.55,105797
1,13,A01,M,00:04:12.92,106498
1,14,A01,M,00:04:33.28,108338
1,15,A01,M,00:04:53.65,109309
1,16,A01,M,00:05:14.01,106135
1,17,A01,M,00:05:34.37,105974
1,18,A01,M,00:05:54.74,107723
1,19,A01,M,00:06:15.12,108916
1,20,A01,M,00:06:35.51,107575
1,21,A01,M,00:06:55.87,108873
1,22,A01,M,00:07:16.24,105346
1,23,A01,M,00:07:36.60,108654
1,24,A01,M,00:07:56.96,107247
1,25,A01,M,00:08:17.33,106475
1,26,A01,M,00:08:37.69,107089
1,27,A01,M,00:08:58.06,105364
1,28,A01,M,00:09:18.42,105358
1,29,A01,M,00:09:38.78,107121
1,30,A01,M,00:09:59.14,106540
1,31,A01,M,00:10:19.50,107637
1,32,A01,M,00:10:39.87,107785
1,33,A01,M,00:11:00.23,104476
1,34,A01,M,00:11:20.59,106380
1,35,A01,M,00:11:40.96,105656
1,36,A01,M,00:12:01.32,108465
1,37,A01,M,00:12:21.68,106050
1,38,A01,M,00:12:42.04,107028
1,39,A01,M,00:13:02.40,107828
1,40,A01,M,00:13:22.77,107152
1,41,A01,M,00:13:43.14,105499
1,42,A01,M,00:14:03.50,104666
1,43,A01,M,00:14:23.86,107243
1,44,A01,M,00:14:44.23,105604
1,45,A01,M,00:15:04.59,108998
1,46,A01,M,00:15:24.96,107279
1,47,A01,M,00:15:45.31,107223
1,48,A01,M,00:16:05.68,107810
1,49,A01,M,00:16:26.05,107860
1,50,A01,M,00:16:46.40,106531
1,51,A01,M,00:17:06.77,105821
1,52,A01,M,00:17:27.13,108894
1,53,A01,M,00:17:47.52,108751
1,54,A01,M,00:18:07.88,107913
1,55,A01,M,00:18:28.25,109394
1,56,A01,M,00:18:48.61,107221
1,57,A01,M,00:19:08.98,106996
1,58,A01,M,00:19:29.37,105776
1,59,A01,M,00:19:49.73,105601
1,60,A01,M,00:20:10.10,108671
1,61,A01,M,00:20:30.46,107569
1,62,A01,M,00:20:50.82,106441
1,63,A01,M,00:21:11.20,106843
1,64,A01,M,00:21:31.57,105588
1,65,A01,M,00:21:51.94,107873
1,66,A01,M,00:22:12.30,104893
1,67,A01,M,00:22:32.67,107187
1,68,A01,M,00:22:53.03,107031
1,69,A01,M,00:23:13.39,104499
1,70,A01,M,00:23:33.76,107273
1,71,A01,M,00:23:54.15,107536
1,72,A01,M,00:24:14.52,106567
1,73,A01,M,00:24:34.89,107835
1,74,A01,M,00:24:55.26,105570
1,75,A01,M,00:25:15.62,107150
1,76,A01,M,00:25:35.99,105559
1,77,A01,M,00:25:56.36,104945
1,78,A01,M,00:26:16.73,105553
1,79,A01,M,00:26:37.10,108024
1,80,A01,M,00:26:57.47,105163
1,81,A01,M,00:27:17.84,108413
1,82,A01,M,00:27:38.20,106693
1,83,A01,M,00:27:58.58,106232
1,84,A01,M,00:28:18.95,105675
1,85,A01,M,00:28:39.31,108031
1,86,A01,M,00:28:59.71,107914
1,87,A01,M,00:29:20.07,108267
1,88,A01,M,00:29:40.44,106084
1,89,A01,M,00:30:00.80,109124
1,90,A01,M,00:30:21.17,105992
1,91,A01,M,00:30:41.54,109256
1,92,A01,M,00:31:01.90,107982
