Plate,Repeat,Well,Type,Time,Fluorescein High Count (0.1s) (RFU)
1,1,A01,M,00:00:08.59,35773
1,2,A01,M,00:00:28.95,35047
1,3,A01,M,00:00:49.34,34010
1,4,A01,M,00:01:09.72,35267
1,5,A01,M,00:01:30.07,34627
1,6,A01,M,00:01:50.44,34288
1,7,A01,M,00:02:10.80,34589
1,8,A01,M,00:02:31.15,34217
1,9,A01,M,00:02:51.51,34661
1,10,A01,M,00:03:11.86,34613
1,11,A01,M,00:03:32.22,33703
1,12,A01,M,00:03:52.61,34754
1,13,A01,M,00:04:12.96,35283
1,14,A01,M,00:04:33.33,34731
1,15,A01,M,00:04:53.69,34131
1,1,A02,M,00:00:09.06,37271
1,2,A02,M,00:00:29.42,36583
1,3,A02,M,00:00:49.81,35928
1,4,A02,M,00:01:10.18,36092
1,5,A02,M,00:01:30.54,35676
1,6,A02,M,00:01:50.91,35676
1,7,A02,M,00:02:11.26,35160
1,8,A02,M,00:02:31.62,35579
1,9,A02,M,00:02:51.98,35601
1,10,A02,M,00:03:12.33,35566
1,11,A02,M,00:03:32.69,35925
1,12,A02,M,00:03:53.07,36717
1,13,A02,M,00:04:13.43,36393
1,14,A02,M,00:04:33.80,35134
1,15,A02,M,00:04:54.16,36085
1,1,A03,M,00:00:09.52,35532
1,2,A03,M,00:00:29.88,35737
1,3,A03,M,00:00:50.28,35787
1,4,A03,M,00:01:10.64,35847
1,5,A03,M,00:01:31.01,35933
1,6,A03,M,00:01:51.37,34047
1,7,A03,M,00:02:11.73,35422
1,8,A03,M,00:02:32.09,35359
1,9,A03,M,00:02:52.45,35636
1,10,A03,M,00:03:12.79,34765
1,11,A03,M,00:03:33.15,35032
1,12,A03,M,00:03:53.54,35085
1,13,A03,M,00:04:13.90,35386
1,14,A03,M,00:04:34.26,35874
1,15,A03,M,00:04:54.62,34727
1,1,A04,M,00:00:09.99,35450
1,2,A04,M,00:00:30.35,36372
1,3,A04,M,00:00:50.74,33352
1,4,A04,M,00:01:11.11,34955
1,5,A04,M,00:01:31.47,35449
1,6,A04,M,00:01:51.84,35609
1,7,A04,M,00:02:12.19,35482
1,8,A04,M,00:02:32.55,34611
1,9,A04,M,00:02:52.91,34674
1,10,A04,M,00:03:13.26,34159
1,11,A04,M,00:03:33.62,34675
1,12,A04,M,00:03:54.00,35371
1,13,A04,M,00:04:14.36,36344
1,14,A04,M,00:04:34.73,34869
1,15,A04,M,00:04:55.09,34458
1,1,A05,M,00:00:10.46,35504
1,2,A05,M,00:00:30.81,35783
1,3,A05,M,00:00:51.21,35640
1,4,A05,M,00:01:11.57,36890
1,5,A05,M,00:01:31.94,35200
1,6,A05,M,00:01:52.30,34613
1,7,A05,M,00:02:12.66,34698
1,8,A05,M,00:02:33.02,35797
1,9,A05,M,00:02:53.38,34834
1,10,A05,M,00:03:13.72,35123
1,11,A05,M,00:03:34.08,34652
1,12,A05,M,00:03:54.47,34443
1,13,A05,M,00:04:14.83,34834
1,14,A05,M,00:04:35.19,34649
1,15,A05,M,00:04:55.55,36091
1,1,B01,M,00:00:12.73,34835
1,2,B01,M,00:00:33.09,34604
1,3,B01,M,00:00:53.48,35974
1,4,B01,M,00:01:13.85,34965
1,5,B01,M,00:01:34.21,35387
1,6,B01,M,00:01:54.58,34458
1,7,B01,M,00:02:14.93,35241
1,8,B01,M,00:02:35.29,33772
1,9,B01,M,00:02:55.65,36081
1,10,B01,M,00:03:16.00,34676
1,11,B01,M,00:03:36.36,33717
1,12,B01,M,00:03:56.75,34445
1,13,B01,M,00:04:17.10,34990
1,14,B01,M,00:04:37.47,35499
1,15,B01,M,00:04:57.83,34787
1,1,B02,M,00:00:13.19,34842
1,2,B02,M,00:00:33.56,36573
1,3,B02,M,00:00:53.95,36657
1,4,B02,M,00:01:14.31,36498
1,5,B02,M,00:01:34.68,36198
1,6,B02,M,00:01:55.05,36064
1,7,B02,M,00:02:15.40,35140
1,8,B02,M,00:02:35.76,34871
1,9,B02,M,00:02:56.11,33945
1,10,B02,M,00:03:16.47,35401
1,11,B02,M,00:03:36.83,36141
1,12,B02,M,00:03:57.21,35480
1,13,B02,M,00:04:17.57,34915
1,14,B02,M,00:04:37.94,35852
1,15,B02,M,00:04:58.29,36009
1,1,B03,M,00:00:13.66,36142
1,2,B03,M,00:00:34.02,35235
1,3,B03,M,00:00:54.41,34605
1,4,B03,M,00:01:14.78,35194
1,5,B03,M,00:01:35.14,34607
1,6,B03,M,00:01:55.51,36047
1,7,B03,M,00:02:15.86,34413
1,8,B03,M,00:02:36.22,36371
1,9,B03,M,00:02:56.58,33988
1,10,B03,M,00:03:16.93,34201
1,11,B03,M,00:03:37.29,34781
1,12,B03,M,00:03:57.68,36197
1,13,B03,M,00:04:18.03,34513
1,14,B03,M,00:04:38.40,34649
1,15,B03,M,00:04:58.76,35707
1,1,B04,M,00:00:14.12,35416
1,2,B04,M,00:00:34.49,34389
1,3,B04,M,00:00:54.88,35270
1,4,B04,M,00:01:15.24,36107
1,5,B04,M,00:01:35.61,35482
1,6,B04,M,00:01:55.98,35328
1,7,B04,M,00:02:16.33,35383
1,8,B04,M,00:02:36.69,35814
1,9,B04,M,00:02:57.04,33833
1,10,B04,M,00:03:17.40,35042
1,11,B04,M,00:03:37.76,35241
1,12,B04,M,00:03:58.14,33851
1,13,B04,M,00:04:18.50,35763
1,14,B04,M,00:04:38.87,35047
1,15,B04,M,00:04:59.22,35029
1,1,B05,M,00:00:14.59,35021
1,2,B05,M,00:00:34.95,36554
1,3,B05,M,00:00:55.34,35801
1,4,B05,M,00:01:15.71,35573
1,5,B05,M,00:01:36.07,36081
1,6,B05,M,00:01:56.44,35801
1,7,B05,M,00:02:16.79,36599
1,8,B05,M,00:02:37.15,35805
1,9,B05,M,00:02:57.51,35624
1,10,B05,M,00:03:17.86,35806
1,11,B05,M,00:03:38.22,35300
1,12,B05,M,00:03:58.61,35018
1,13,B05,M,00:04:18.96,35979
1,14,B05,M,00:04:39.33,35596
1,15,B05,M,00:04:59.69,34082
1,1,C01,M,00:00:16.86,34073
1,2,C01,M,00:00:37.23,33881
1,3,C01,M,00:00:57.61,35598
1,4,C01,M,00:01:17.98,34397
1,5,C01,M,00:01:38.35,34125
1,6,C01,M,00:01:58.71,35058
1,7,C01,M,00:02:19.07,34658
1,8,C01,M,00:02:39.43,34543
1,9,C01,M,00:02:59.78,33543
1,10,C01,M,00:03:20.14,34019
1,11,C01,M,00:03:40.52,36092
1,12,C01,M,00:04:00.89,35024
1,13,C01,M,00:04:21.24,33747
1,14,C01,M,00:04:41.61,33558
1,15,C01,M,00:05:01.96,34734
1,1,C02,M,00:00:17.33,35813
1,2,C02,M,00:00:37.70,36493
1,3,C02,M,00:00:58.08,36478
1,4,C02,M,00:01:18.45,35740
1,5,C02,M,00:01:38.82,36794
1,6,C02,M,00:01:59.18,36169
1,7,C02,M,00:02:19.54,34639
1,8,C02,M,00:02:39.90,34431
1,9,C02,M,00:03:00.25,34540
1,10,C02,M,00:03:20.61,36015
1,11,C02,M,00:03:40.99,35859
1,12,C02,M,00:04:01.35,35790
1,13,C02,M,00:04:21.71,35577
1,14,C02,M,00:04:42.08,35524
1,15,C02,M,00:05:02.43,33922
1,1,C03,M,00:00:17.79,34775
1,2,C03,M,00:00:38.16,34639
1,3,C03,M,00:00:58.55,35416
1,4,C03,M,00:01:18.91,35145
1,5,C03,M,00:01:39.28,36429
1,6,C03,M,00:01:59.64,34626
1,7,C03,M,00:02:20.00,34138
1,8,C03,M,00:02:40.36,34931
1,9,C03,M,00:03:00.71,34163
1,10,C03,M,00:03:21.07,34255
1,11,C03,M,00:03:41.46,35286
1,12,C03,M,00:04:01.82,34116
1,13,C03,M,00:04:22.17,36715
1,14,C03,M,00:04:42.54,35437
1,15,C03,M,00:05:02.89,35331
1,1,C04,M,00:00:18.26,35614
1,2,C04,M,00:00:38.63,34716
1,3,C04,M,00:00:59.01,35479
1,4,C04,M,00:01:19.38,34737
1,5,C04,M,00:01:39.75,35400
1,6,C04,M,00:02:00.11,33835
1,7,C04,M,00:02:20.47,34237
1,8,C04,M,00:02:40.83,34323
1,9,C04,M,00:03:01.18,34622
1,10,C04,M,00:03:21.54,34920
1,11,C04,M,00:03:41.92,33996
1,12,C04,M,00:04:02.28,33873
1,13,C04,M,00:04:22.64,34520
1,14,C04,M,00:04:43.01,33669
1,15,C04,M,00:05:03.36,35848
1,1,C05,M,00:00:18.72,35073
1,2,C05,M,00:00:39.09,35616
1,3,C05,M,00:00:59.48,34686
1,4,C05,M,00:01:19.84,34288
1,5,C05,M,00:01:40.21,34598
1,6,C05,M,00:02:00.57,33867
1,7,C05,M,00:02:20.93,35074
1,8,C05,M,00:02:41.29,35171
1,9,C05,M,00:03:01.64,34621
1,10,C05,M,00:03:22.00,34159
1,11,C05,M,00:03:42.39,35279
1,12,C05,M,00:04:02.75,32508
1,13,C05,M,00:04:23.10,34614
1,14,C05,M,00:04:43.47,34568
1,15,C05,M,00:05:03.82,36323
1,1,D01,M,00:00:21.00,35236
1,2,D01,M,00:00:41.37,34835
1,3,D01,M,00:01:01.75,34105
1,4,D01,M,00:01:22.12,34890
1,5,D01,M,00:01:42.49,35462
1,6,D01,M,00:02:02.85,35181
1,7,D01,M,00:02:23.21,36378
1,8,D01,M,00:02:43.56,34566
1,9,D01,M,00:03:03.92,36269
1,10,D01,M,00:03:24.28,35451
1,11,D01,M,00:03:44.66,34559
1,12,D01,M,00:04:05.02,35465
1,13,D01,M,00:04:25.38,34957
1,14,D01,M,00:04:45.74,34343
1,15,D01,M,00:05:06.10,36444
1,1,D02,M,00:00:21.46,37921
1,2,D02,M,00:00:41.83,36304
1,3,D02,M,00:01:02.22,35627
1,4,D02,M,00:01:22.58,36715
1,5,D02,M,00:01:42.95,36880
1,6,D02,M,00:02:03.31,37078
1,7,D02,M,00:02:23.68,35738
1,8,D02,M,00:02:44.03,35659
1,9,D02,M,00:03:04.38,36842
1,10,D02,M,00:03:24.74,36248
1,11,D02,M,00:03:45.13,37535
1,12,D02,M,00:04:05.49,37077
1,13,D02,M,00:04:25.85,36938
1,14,D02,M,00:04:46.21,35938
1,15,D02,M,00:05:06.56,35676
1,1,D03,M,00:00:21.93,36262
1,2,D03,M,00:00:42.30,35212
1,3,D03,M,00:01:02.68,35056
1,4,D03,M,00:01:23.05,35778
1,5,D03,M,00:01:43.42,34793
1,6,D03,M,00:02:03.78,34779
1,7,D03,M,00:02:24.14,35189
1,8,D03,M,00:02:44.50,34587
1,9,D03,M,00:03:04.85,34781
1,10,D03,M,00:03:25.21,35667
1,11,D03,M,00:03:45.59,35336
1,12,D03,M,00:04:05.95,34678
1,13,D03,M,00:04:26.31,33934
1,14,D03,M,00:04:46.68,36707
1,15,D03,M,00:05:07.03,35916
1,1,D04,M,00:00:22.39,35097
1,2,D04,M,00:00:42.76,34851
1,3,D04,M,00:01:03.15,35775
1,4,D04,M,00:01:23.51,34714
1,5,D04,M,00:01:43.88,35385
1,6,D04,M,00:02:04.24,34393
1,7,D04,M,00:02:24.61,34547
1,8,D04,M,00:02:44.96,35805
1,9,D04,M,00:03:05.31,36076
1,10,D04,M,00:03:25.67,35137
1,11,D04,M,00:03:46.06,34719
1,12,D04,M,00:04:06.42,35196
1,13,D04,M,00:04:26.78,34025
1,14,D04,M,00:04:47.14,35895
1,15,D04,M,00:05:07.49,35179
1,1,D05,M,00:00:22.86,35653
1,2,D05,M,00:00:43.23,34755
1,3,D05,M,00:01:03.61,34871
1,4,D05,M,00:01:23.98,35097
1,5,D05,M,00:01:44.35,35307
1,6,D05,M,00:02:04.71,35894
1,7,D05,M,00:02:25.07,34671
1,8,D05,M,00:02:45.43,35461
1,9,D05,M,00:03:05.78,34759
1,10,D05,M,00:03:26.14,35254
1,11,D05,M,00:03:46.52,35161
1,12,D05,M,00:04:06.88,34915
1,13,D05,M,00:04:27.24,34909
1,14,D05,M,00:04:47.61,35318
1,15,D05,M,00:05:07.96,34910
