Plate,Repeat,Well,Type,Time,Fluorescein (0.1s) (Counts)
1,1,E01,M,00:00:11.01,21887
1,2,E01,M,00:01:45.13,21463
1,3,E01,M,00:03:19.26,20970
1,4,E01,M,00:04:53.39,20576
1,5,E01,M,00:06:27.50,20451
1,6,E01,M,00:08:01.61,20223
1,7,E01,M,00:09:35.73,19911
1,8,E01,M,00:11:09.84,19711
1,9,E01,M,00:12:43.96,19467
1,10,E01,M,00:14:18.09,19165
1,11,E01,M,00:15:52.21,19409
1,12,E01,M,00:17:26.36,19112
1,13,E01,M,00:19:00.50,18975
1,14,E01,M,00:20:34.64,18883
1,15,E01,M,00:22:08.78,18767
1,16,E01,M,00:23:42.92,18885
1,17,E01,M,00:25:17.06,18777
1,18,E01,M,00:26:51.20,18688
1,19,E01,M,00:28:25.33,18585
1,20,E01,M,00:29:59.47,18578
1,21,E01,M,00:31:33.61,18511
1,22,E01,M,00:33:07.75,18400
1,23,E01,M,00:34:41.88,18474
1,24,E01,M,00:36:16.02,18386
1,25,E01,M,00:37:50.16,18485
1,26,E01,M,00:39:24.31,18497
1,27,E01,M,00:40:58.45,18435
1,28,E01,M,00:42:32.58,18179
1,29,E01,M,00:44:06.71,18367
1,30,E01,M,00:45:40.85,18103
1,1,E02,M,00:00:11.43,22701
1,2,E02,M,00:01:45.54,22121
1,3,E02,M,00:03:19.68,21959
1,4,E02,M,00:04:53.81,21713
1,5,E02,M,00:06:27.92,21589
1,6,E02,M,00:08:02.02,21439
1,7,E02,M,00:09:36.14,21111
1,8,E02,M,00:11:10.26,20959
1,9,E02,M,00:12:44.38,21048
1,10,E02,M,00:14:18.51,20724
1,11,E02,M,00:15:52.63,20746
1,12,E02,M,00:17:26.78,20567
1,13,E02,M,00:19:00.92,20501
1,14,E02,M,00:20:35.05,20503
1,15,E02,M,00:22:09.20,20402
1,16,E02,M,00:23:43.34,20421
1,17,E02,M,00:25:17.47,20152
1,18,E02,M,00:26:51.62,20366
1,19,E02,M,00:28:25.75,20195
1,20,E02,M,00:29:59.88,20246
1,21,E02,M,00:31:34.03,20330
1,22,E02,M,00:33:08.16,20226
1,23,E02,M,00:34:42.29,20307
1,24,E02,M,00:36:16.44,19984
1,25,E02,M,00:37:50.58,20161
1,26,E02,M,00:39:24.72,19742
1,27,E02,M,00:40:58.86,20043
1,28,E02,M,00:42:32.99,19961
1,29,E02,M,00:44:07.12,19727
1,30,E02,M,00:45:41.27,19988
1,1,E03,M,00:00:11.84,21666
1,2,E03,M,00:01:45.96,21464
1,3,E03,M,00:03:20.10,21507
1,4,E03,M,00:04:54.22,21445
1,5,E03,M,00:06:28.33,20925
1,6,E03,M,00:08:02.44,21084
1,7,E03,M,00:09:36.56,21029
1,8,E03,M,00:11:10.67,20833
1,9,E03,M,00:12:44.79,20634
1,10,E03,M,00:14:18.92,20700
1,11,E03,M,00:15:53.04,20778
1,12,E03,M,00:17:27.19,20755
1,13,E03,M,00:19:01.33,20837
1,14,E03,M,00:20:35.47,20616
1,15,E03,M,00:22:09.61,20671
1,16,E03,M,00:23:43.75,20787
1,17,E03,M,00:25:17.89,20681
1,18,E03,M,00:26:52.03,20801
1,19,E03,M,00:28:26.16,20798
1,20,E03,M,00:30:00.30,20846
1,21,E03,M,00:31:34.44,20716
1,22,E03,M,00:33:08.58,20655
1,23,E03,M,00:34:42.71,20638
1,24,E03,M,00:36:16.85,20513
1,25,E03,M,00:37:50.99,20415
1,26,E03,M,00:39:25.14,20655
1,27,E03,M,00:40:59.28,20401
1,28,E03,M,00:42:33.41,20616
1,29,E03,M,00:44:07.54,20515
1,30,E03,M,00:45:41.68,20247
1,1,E04,M,00:00:12.26,22544
1,2,E04,M,00:01:46.37,22292
1,3,E04,M,00:03:20.51,22570
1,4,E04,M,00:04:54.63,22200
1,5,E04,M,00:06:28.75,22260
1,6,E04,M,00:08:02.85,22074
1,7,E04,M,00:09:36.97,21799
1,8,E04,M,00:11:11.09,22033
1,9,E04,M,00:12:45.21,21775
1,10,E04,M,00:14:19.34,21930
1,11,E04,M,00:15:53.46,21464
1,12,E04,M,00:17:27.61,21720
1,13,E04,M,00:19:01.75,21954
1,14,E04,M,00:20:35.88,21564
1,15,E04,M,00:22:10.03,21767
1,16,E04,M,00:23:44.17,21816
1,17,E04,M,00:25:18.30,21622
1,18,E04,M,00:26:52.45,21894
1,19,E04,M,00:28:26.58,21577
1,20,E04,M,00:30:00.71,21722
1,21,E04,M,00:31:34.86,21367
1,22,E04,M,00:33:08.99,21554
1,23,E04,M,00:34:43.12,21654
1,24,E04,M,00:36:17.27,21509
1,25,E04,M,00:37:51.41,21518
1,26,E04,M,00:39:25.55,21582
1,27,E04,M,00:40:59.69,21547
1,28,E04,M,00:42:33.82,21306
1,29,E04,M,00:44:07.96,21516
1,30,E04,M,00:45:42.10,21593
1,1,E05,M,00:00:12.67,23807
1,2,E05,M,00:01:46.79,23469
1,3,E05,M,00:03:20.92,23453
1,4,E05,M,00:04:55.04,23331
1,5,E05,M,00:06:29.16,23317
1,6,E05,M,00:08:03.26,23249
1,7,E05,M,00:09:37.39,23521
1,8,E05,M,00:11:11.50,23140
1,9,E05,M,00:12:45.62,23270
1,10,E05,M,00:14:19.75,23235
1,11,E05,M,00:15:53.87,23121
1,12,E05,M,00:17:28.02,23197
1,13,E05,M,00:19:02.16,22999
1,14,E05,M,00:20:36.30,23405
1,15,E05,M,00:22:10.44,23422
1,16,E05,M,00:23:44.58,23201
1,17,E05,M,00:25:18.72,22845
1,18,E05,M,00:26:52.86,23260
1,19,E05,M,00:28:26.99,23095
1,20,E05,M,00:30:01.13,23268
1,21,E05,M,00:31:35.27,23108
1,22,E05,M,00:33:09.41,22784
1,23,E05,M,00:34:43.54,22962
1,24,E05,M,00:36:17.68,23080
1,25,E05,M,00:37:51.82,23050
1,26,E05,M,00:39:25.97,22823
1,27,E05,M,00:41:00.11,23086
1,28,E05,M,00:42:34.24,23136
1,29,E05,M,00:44:08.37,23225
1,30,E05,M,00:45:42.51,22823
1,1,E06,M,00:00:13.09,23972
1,2,E06,M,00:01:47.20,24295
1,3,E06,M,00:03:21.34,24336
1,4,E06,M,00:04:55.46,24451
1,5,E06,M,00:06:29.58,24634
1,6,E06,M,00:08:03.68,24360
1,7,E06,M,00:09:37.80,24324
1,8,E06,M,00:11:11.92,23991
1,9,E06,M,00:12:46.03,24359
1,10,E06,M,00:14:20.17,24111
1,11,E06,M,00:15:54.29,24343
1,12,E06,M,00:17:28.44,24327
1,13,E06,M,00:19:02.58,24178
