Plate,Repeat,Well,Type,Time,Fluorescein High Count (0.1s) (RFU)
1,1,A01,M,00:00:26.34,6250797
1,2,A01,M,00:01:22.12,6247481
1,3,A01,M,00:02:17.90,6194574
1,4,A01,M,00:03:13.72,6192599
1,5,A01,M,00:04:09.50,6144878
1,6,A01,M,00:05:05.29,6116129
1,7,A01,M,00:06:01.07,6109194
1,8,A01,M,00:06:56.89,6119341
1,9,A01,M,00:07:52.67,6091497
1,10,A01,M,00:08:48.45,6105681
1,11,A01,M,00:09:44.26,6089338
1,12,A01,M,00:10:40.07,6070783
1,13,A01,M,00:11:35.86,6081304
1,14,A01,M,00:12:31.67,6073961
1,15,A01,M,00:13:27.48,6058799
1,16,A01,M,00:14:23.27,6064974
1,17,A01,M,00:15:19.07,6073780
1,18,A01,M,00:16:14.86,6059697
1,19,A01,M,00:17:10.65,6053244
1,20,A01,M,00:18:06.45,6043715
1,21,A01,M,00:19:02.25,6033817
1,22,A01,M,00:19:58.03,6046488
1,23,A01,M,00:20:53.80,6006744
1,24,A01,M,00:21:49.60,6037520
1,25,A01,M,00:22:45.38,6025573
1,26,A01,M,00:23:41.23,6035231
1,27,A01,M,00:24:37.01,6031514
1,28,A01,M,00:25:32.80,6032043
1,29,A01,M,00:26:28.59,6042478
1,30,A01,M,00:27:24.39,6057717
1,31,A01,M,00:28:20.25,6035960
1,32,A01,M,00:29:16.06,6040552
1,33,A01,M,00:30:11.87,6022697
1,34,A01,M,00:31:07.67,6024829
1,35,A01,M,00:32:03.45,6025801
1,36,A01,M,00:32:59.27,6009947
1,37,A01,M,00:33:55.08,5971633
1,38,A01,M,00:34:50.91,6030169
1,39,A01,M,00:35:46.73,6008517
1,40,A01,M,00:36:42.56,6020506
1,41,A01,M,00:37:38.36,6032707
1,42,A01,M,00:38:34.19,6025167
1,43,A01,M,00:39:29.97,6019878
1,44,A01,M,00:40:25.76,6035141
1,45,A01,M,00:41:21.56,6013649
1,46,A01,M,00:42:17.36,6005399
1,47,A01,M,00:43:13.18,5943695
1,48,A01,M,00:44:08.97,6008641
1,49,A01,M,00:45:04.75,6010764
1,50,A01,M,00:46:00.59,6008238
1,51,A01,M,00:46:56.37,6010044
1,52,A01,M,00:47:52.21,6011392
1,53,A01,M,00:48:47.99,6010186
1,54,A01,M,00:49:43.78,6004541
1,55,A01,M,00:50:39.59,6006655
1,56,A01,M,00:51:35.41,6010078
1,57,A01,M,00:52:31.19,6022216
1,58,A01,M,00:53:26.98,6007729
1,59,A01,M,00:54:22.84,5974819
1,60,A01,M,00:55:18.62,5978997
1,61,A01,M,00:56:14.45,5958722
1,62,A01,M,00:57:10.24,5992173
1,63,A01,M,00:58:06.03,5990102
1,64,A01,M,00:59:01.84,5989361
1,65,A01,M,00:59:57.62,5977334
1,66,A01,M,01:00:53.40,5980380
1,67,A01,M,01:01:49.20,6000568
1,68,A01,M,01:02:44.99,5965408
1,69,A01,M,01:03:40.78,5980977
1,70,A01,M,01:04:36.62,5965222
1,71,A01,M,01:05:32.43,5990380
1,72,A01,M,01:06:28.24,5984468
1,73,A01,M,01:07:24.02,5990914
1,74,A01,M,01:08:19.82,5961662
1,75,A01,M,01:09:15.61,5977376
1,76,A01,M,01:10:11.44,5982190
1,77,A01,M,01:11:07.23,5970983
1,78,A01,M,01:12:03.05,5953242
1,79,A01,M,01:12:58.82,5978407
1,80,A01,M,01:13:54.64,5971357
1,81,A01,M,01:14:50.45,5981492
1,82,A01,M,01:15:46.24,5971043
1,83,A01,M,01:16:42.02,5967706
1,84,A01,M,01:17:37.81,5968571
1,85,A01,M,01:18:33.60,5957114
1,86,A01,M,01:19:29.44,5979346
1,87,A01,M,01:20:25.26,5990808
1,88,A01,M,01:21:21.11,5964904
1,89,A01,M,01:22:16.89,5979829
1,90,A01,M,01:23:12.69,5988869
1,91,A01,M,01:24:08.49,5975091
1,92,A01,M,01:25:04.27,6037562
1,93,A01,M,01:26:00.09,5949396
1,94,A01,M,01:26:55.87,5976915
1,95,A01,M,01:27:51.66,5935866
1,96,A01,M,01:28:47.45,6134751
1,97,A01,M,01:29:43.25,5964741
1,98,A01,M,01:30:39.03,5959065
1,99,A01,M,01:31:34.81,5952815
1,100,A01,M,01:32:30.65,5954763
1,101,A01,M,01:33:26.45,5952354
1,102,A01,M,01:34:22.25,5956901
1,1,A02,M,00:00:26.81,3232648
1,2,A02,M,00:01:22.59,3228526
