Plate,Repeat,Well,Type,Time,Fluorescein (1.0s) (Counts)
1,1,B01,M,00:00:12.55,2517889
1,2,B01,M,00:01:45.10,2504129
1,3,B01,M,00:03:17.65,2502015
1,4,B01,M,00:04:50.21,2498439
1,5,B01,M,00:06:22.78,2500199
1,6,B01,M,00:07:55.33,2494113
1,7,B01,M,00:09:27.89,2494637
1,8,B01,M,00:11:00.45,2493775
1,9,B01,M,00:12:33.00,2494413
1,10,B01,M,00:14:05.57,2493477
1,11,B01,M,00:15:38.13,2497485
1,12,B01,M,00:17:10.69,2498369
1,13,B01,M,00:18:43.24,2493111
1,14,B01,M,00:20:15.82,2496378
1,15,B01,M,00:21:48.38,2496325
1,16,B01,M,00:23:20.95,2496506
1,17,B01,M,00:24:53.50,2497387
1,18,B01,M,00:26:26.06,2495785
1,19,B01,M,00:27:58.62,2499870
1,20,B01,M,00:29:31.20,2498855
1,1,B02,M,00:00:13.88,1384565
1,2,B02,M,00:01:46.42,1377910
1,3,B02,M,00:03:18.98,1379549
1,4,B02,M,00:04:51.53,1376651
1,5,B02,M,00:06:24.11,1378966
1,6,B02,M,00:07:56.66,1374324
1,7,B02,M,00:09:29.21,1375004
1,8,B02,M,00:11:01.77,1377697
1,9,B02,M,00:12:34.33,1377329
1,10,B02,M,00:14:06.90,1376517
1,11,B02,M,00:15:39.46,1376173
1,12,B02,M,00:17:12.01,1377789
1,13,B02,M,00:18:44.56,1377468
1,14,B02,M,00:20:17.14,1377775
1,15,B02,M,00:21:49.70,1375561
1,16,B02,M,00:23:22.27,1377631
1,17,B02,M,00:24:54.83,1376407
1,18,B02,M,00:26:27.38,1373649
1,19,B02,M,00:27:59.94,1376397
1,20,B02,M,00:29:32.52,1375878
1,1,B03,M,00:00:15.20,757281
1,2,B03,M,00:01:47.75,753671
1,3,B03,M,00:03:20.30,751976
1,4,B03,M,00:04:52.85,750738
1,5,B03,M,00:06:25.43,750439
1,6,B03,M,00:07:57.98,750372
1,7,B03,M,00:09:30.53,750862
