Plate,Repeat,Well,Type,Time,Fluorescein High Count (0.1s) (RFU)
1,1,A01,M,00:00:10.69,14972722
1,2,A01,M,00:00:38.48,14762999
1,3,A01,M,00:01:06.27,14509007
1,4,A01,M,00:01:34.05,14293951
1,5,A01,M,00:02:01.84,14144525
1,6,A01,M,00:02:29.62,14076421
1,7,A01,M,00:02:57.43,13962254
1,8,A01,M,00:03:25.22,13847923
1,9,A01,M,00:03:53.01,13793217
1,10,A01,M,00:04:20.79,13651248
1,11,A01,M,00:04:48.59,13653372
1,12,A01,M,00:05:16.37,13565245
1,13,A01,M,00:05:44.16,13569603
1,14,A01,M,00:06:11.94,13580058
1,15,A01,M,00:06:39.75,13573185
1,16,A01,M,00:07:07.53,13550019
1,17,A01,M,00:07:35.32,13511655
1,18,A01,M,00:08:03.13,13498143
1,19,A01,M,00:08:30.92,13515817
1,20,A01,M,00:08:58.70,13434202
1,1,A02,M,00:00:11.16,5764432
1,2,A02,M,00:00:38.95,5647134
1,3,A02,M,00:01:06.73,5537108
1,4,A02,M,00:01:34.52,5438872
1,5,A02,M,00:02:02.30,5377019
1,6,A02,M,00:02:30.09,5336737
1,7,A02,M,00:02:57.90,5323741
1,8,A02,M,00:03:25.69,5297446
1,9,A02,M,00:03:53.47,5256456
1,10,A02,M,00:04:21.26,5241097
1,11,A02,M,00:04:49.05,5248756
1,12,A02,M,00:05:16.84,5264137
1,13,A02,M,00:05:44.62,5278696
1,14,A02,M,00:06:12.41,5292764
1,15,A02,M,00:06:40.21,5301732
1,16,A02,M,00:07:08.00,5298684
1,17,A02,M,00:07:35.78,5292242
1,18,A02,M,00:08:03.60,5304644
1,19,A02,M,00:08:31.39,5301516
1,20,A02,M,00:08:59.17,5275424
1,1,A03,M,00:00:11.62,2069488
1,2,A03,M,00:00:39.42,2032110
1,3,A03,M,00:01:07.20,2003713
1,4,A03,M,00:01:34.98,1987793
1,5,A03,M,00:02:02.77,1977883
1,6,A03,M,00:02:30.55,1975864
1,7,A03,M,00:02:58.36,1973762
1,8,A03,M,00:03:26.16,1954997
1,9,A03,M,00:03:53.94,1968711
1,10,A03,M,00:04:21.72,1951473
1,11,A03,M,00:04:49.52,1966221
1,12,A03,M,00:05:17.31,1969487
1,13,A03,M,00:05:45.09,1979493
1,14,A03,M,00:06:12.87,1987467
1,15,A03,M,00:06:40.68,2000291
1,16,A03,M,00:07:08.47,2005323
1,17,A03,M,00:07:36.25,2003077
1,18,A03,M,00:08:04.07,1991496
1,19,A03,M,00:08:31.85,2006492
1,20,A03,M,00:08:59.64,2020079
1,1,A04,M,00:00:12.09,781739
1,2,A04,M,00:00:39.88,766736
1,3,A04,M,00:01:07.66,761521
1,4,A04,M,00:01:35.45,759772
1,5,A04,M,00:02:03.23,769660
1,6,A04,M,00:02:31.02,763101
1,7,A04,M,00:02:58.83,765811
1,8,A04,M,00:03:26.62,754811
1,9,A04,M,00:03:54.40,754161
1,10,A04,M,00:04:22.19,761516
1,11,A04,M,00:04:49.98,761914
1,12,A04,M,00:05:17.77,772996
1,13,A04,M,00:05:45.55,781719
1,14,A04,M,00:06:13.36,791589
1,15,A04,M,00:06:41.15,789157
1,16,A04,M,00:07:08.93,781538
1,17,A04,M,00:07:36.71,770190
1,18,A04,M,00:08:04.53,768774
1,19,A04,M,00:08:32.32,772992
1,20,A04,M,00:09:00.10,787988
1,1,A05,M,00:00:12.55,332393
1,2,A05,M,00:00:40.35,330633
1,3,A05,M,00:01:08.13,327061
1,4,A05,M,00:01:35.91,323896
1,5,A05,M,00:02:03.70,319586
1,6,A05,M,00:02:31.48,324091
1,7,A05,M,00:02:59.29,318241
1,8,A05,M,00:03:27.09,324021
1,9,A05,M,00:03:54.87,324401
1,10,A05,M,00:04:22.65,323879
1,11,A05,M,00:04:50.45,322270
1,12,A05,M,00:05:18.24,324900
1,13,A05,M,00:05:46.02,324555
1,14,A05,M,00:06:13.83,329248
1,15,A05,M,00:06:41.61,328494
1,16,A05,M,00:07:09.40,327385
1,17,A05,M,00:07:37.18,329091
1,18,A05,M,00:08:05.00,325932
1,19,A05,M,00:08:32.78,326171
1,20,A05,M,00:09:00.57,333772
1,1,A06,M,00:00:13.02,140487
1,2,A06,M,00:00:40.81,140793
1,3,A06,M,00:01:08.59,139075
1,4,A06,M,00:01:36.38,139730
1,5,A06,M,00:02:04.16,136826
1,6,A06,M,00:02:31.95,138688
1,7,A06,M,00:02:59.76,137007
1,8,A06,M,00:03:27.55,136694
1,9,A06,M,00:03:55.33,138603
1,10,A06,M,00:04:23.12,135904
1,11,A06,M,00:04:50.92,139438
1,12,A06,M,00:05:18.70,138792
1,13,A06,M,00:05:46.48,138456
1,14,A06,M,00:06:14.29,137760
1,15,A06,M,00:06:42.08,140134
1,16,A06,M,00:07:09.86,141740
1,17,A06,M,00:07:37.64,138185
1,18,A06,M,00:08:05.46,139872
1,19,A06,M,00:08:33.25,138318
1,20,A06,M,00:09:01.03,141389
1,1,A07,M,00:00:13.48,70928
1,2,A07,M,00:00:41.28,70478
1,3,A07,M,00:01:09.06,69505
1,4,A07,M,00:01:36.84,70259
1,5,A07,M,00:02:04.63,70936
1,6,A07,M,00:02:32.41,69439
1,7,A07,M,00:03:00.22,68664
1,8,A07,M,00:03:28.02,68495
1,9,A07,M,00:03:55.80,69235
1,10,A07,M,00:04:23.58,67078
1,11,A07,M,00:04:51.38,70456
1,12,A07,M,00:05:19.17,69859
1,13,A07,M,00:05:46.95,67617
1,14,A07,M,00:06:14.76,70113
1,15,A07,M,00:06:42.54,68653
1,16,A07,M,00:07:10.33,68999
1,17,A07,M,00:07:38.11,69569
1,18,A07,M,00:08:05.93,70255
1,19,A07,M,00:08:33.71,70472
1,20,A07,M,00:09:01.50,70511
1,1,A08,M,00:00:13.95,34421
1,2,A08,M,00:00:41.74,35032
