Plate,Repeat,Well,Type,Time,Fluorescein (0.3s) (Counts)
1,1,A01,M,00:00:20.55,81574
,,,,00:00:20.96,82282
,,,,00:00:21.37,82262
,,,,00:00:21.79,102843
,,,,00:00:22.20,140192
,,,,00:00:22.61,147781
,,,,00:00:23.02,144282
,,,,00:00:23.43,141544
,,,,00:00:23.84,140982
,,,,00:00:24.25,141068
,,,,00:00:24.66,140208
,,,,00:00:25.07,139835
,,,,00:00:25.48,139741
,,,,00:00:25.89,138814
,,,,00:00:26.30,137930
,,,,00:00:26.71,138039
,,,,00:00:27.12,137112
,,,,00:00:27.53,137384
,,,,00:00:27.94,137124
,,,,00:00:28.35,136768
,,,,00:00:28.76,136335
,,,,00:00:29.17,136404
,,,,00:00:29.58,136644
,,,,00:00:30.00,135696
,,,,00:00:30.41,135702
,,,,00:00:30.82,135479
,,,,00:00:31.23,136060
,,,,00:00:31.64,135401
,,,,00:00:32.05,135824
,,,,00:00:32.46,135303
,,,,00:00:32.87,135452
,,,,00:00:33.28,134657
,,,,00:00:33.69,134848
,,,,00:00:34.10,134717
,,,,00:00:34.51,135670
,,,,00:00:34.92,134905
,,,,00:00:35.33,135679
,,,,00:00:35.74,135143
,,,,00:00:36.15,134749
,,,,00:00:36.56,134797
,,,,00:00:36.97,134710
,,,,00:00:37.39,134337
,,,,00:00:37.80,134330
,,,,00:00:38.21,134351
,,,,00:00:38.62,134982
,,,,00:00:39.03,134210
,,,,00:00:39.44,133813
,,,,00:00:39.85,134295
,,,,00:00:40.26,134478
,,,,00:00:40.67,134179
,,,,00:00:41.08,134468
,,,,00:00:41.49,134215
,,,,00:00:41.90,134048
,,,,00:00:42.31,134041
,,,,00:00:42.72,134708
,,,,00:00:43.13,133967
,,,,00:00:43.54,134354
,,,,00:00:43.95,134681
,,,,00:00:44.36,134883
,,,,00:00:44.78,134207
,,,,00:00:45.19,134396
,,,,00:00:45.60,134954
,,,,00:00:46.01,134235
,,,,00:00:46.42,135026
,,,,00:00:46.83,134429
,,,,00:00:47.24,134228
,,,,00:00:47.65,133552
,,,,00:00:48.06,134028
,,,,00:00:48.47,134380
,,,,00:00:48.88,133988
,,,,00:00:49.29,134019
,,,,00:00:49.70,133831
,,,,00:00:50.11,134091
,,,,00:00:50.52,134179
,,,,00:00:50.93,133795
,,,,00:00:51.34,133754
,,,,00:00:51.75,134407
,,,,00:00:52.16,133712
,,,,00:00:52.57,134112
,,,,00:00:52.99,134296
,,,,00:00:53.40,134056
,,,,00:00:53.81,133959
,,,,00:00:54.22,134635
,,,,00:00:54.63,133435
,,,,00:00:55.04,134516
,,,,00:00:55.45,134221
,,,,00:00:55.86,134923
,,,,00:00:56.27,133735
,,,,00:00:56.68,134162
,,,,00:00:57.09,134010
,,,,00:00:57.50,134539
,,,,00:00:57.91,134097
,,,,00:00:58.32,134004
,,,,00:00:58.73,134006
,,,,00:00:59.14,134444
,,,,00:00:59.55,134315
,,,,00:00:59.96,134444
,,,,00:01:00.37,134111
,,,,00:01:00.78,133824
