Plate,Repeat,Well,Type,Time,Fluorescein (0.3s) (Counts)
1,1,D01,M,00:00:18.65,98161
,,,,00:00:19.06,97552
,,,,00:00:19.47,98426
,,,,00:00:19.88,117709
,,,,00:00:20.29,152730
,,,,00:00:20.70,151335
,,,,00:00:21.11,157017
,,,,00:00:21.52,160460
,,,,00:00:21.93,159401
,,,,00:00:22.34,158863
,,,,00:00:22.75,158362
,,,,00:00:23.16,157591
,,,,00:00:23.57,157971
,,,,00:00:23.98,157098
,,,,00:00:24.39,156791
,,,,00:00:24.80,156723
,,,,00:00:25.21,156663
,,,,00:00:25.63,157201
,,,,00:00:26.04,157524
,,,,00:00:26.45,156931
,,,,00:00:26.86,156735
,,,,00:00:27.27,156373
,,,,00:00:27.68,155345
,,,,00:00:28.09,156793
,,,,00:00:28.50,156215
,,,,00:00:28.91,155317
,,,,00:00:29.32,155982
,,,,00:00:29.73,156599
,,,,00:00:30.14,155801
,,,,00:00:30.55,156142
,,,,00:00:30.96,156018
,,,,00:00:31.37,155754
,,,,00:00:31.78,155853
,,,,00:00:32.19,155379
,,,,00:00:32.60,155332
,,,,00:00:33.01,155430
,,,,00:00:33.43,155095
,,,,00:00:33.84,154183
,,,,00:00:34.25,155276
,,,,00:00:34.66,155343
,,,,00:00:35.07,154899
,,,,00:00:35.48,154564
,,,,00:00:35.89,154375
,,,,00:00:36.30,154438
,,,,00:00:36.71,155093
,,,,00:00:37.12,154182
,,,,00:00:37.53,154368
,,,,00:00:37.94,154472
,,,,00:00:38.35,154615
,,,,00:00:38.76,154468
,,,,00:00:39.17,154150
,,,,00:00:39.58,153968
,,,,00:00:39.99,154252
,,,,00:00:40.40,154285
,,,,00:00:40.82,154668
,,,,00:00:41.23,154166
,,,,00:00:41.64,153222
,,,,00:00:42.05,154271
,,,,00:00:42.46,153169
,,,,00:00:42.87,153982
,,,,00:00:43.28,153108
,,,,00:00:43.69,153747
,,,,00:00:44.10,153167
,,,,00:00:44.51,154217
,,,,00:00:44.92,153958
,,,,00:00:45.33,153726
,,,,00:00:45.74,153902
,,,,00:00:46.15,153621
,,,,00:00:46.56,153047
,,,,00:00:46.97,153535
,,,,00:00:47.38,152938
,,,,00:00:47.79,153240
,,,,00:00:48.21,152579
,,,,00:00:48.62,152953
,,,,00:00:49.03,153159
,,,,00:00:49.44,152533
,,,,00:00:49.85,152712
,,,,00:00:50.26,152889
,,,,00:00:50.67,152534
,,,,00:00:51.08,153049
,,,,00:00:51.49,152897
,,,,00:00:51.90,153480
,,,,00:00:52.31,153226
,,,,00:00:52.72,153605
,,,,00:00:53.13,152208
,,,,00:00:53.54,153397
,,,,00:00:53.95,152950
,,,,00:00:54.36,153023
,,,,00:00:54.77,152571
,,,,00:00:55.18,152466
,,,,00:00:55.59,153141
,,,,00:00:56.01,152788
,,,,00:00:56.42,152924
,,,,00:00:56.83,153506
,,,,00:00:57.24,153242
,,,,00:00:57.65,152992
,,,,00:00:58.06,153154
,,,,00:00:58.47,152462
,,,,00:00:58.88,152359
,,,,00:00:59.29,152200
,,,,00:00:59.70,153066
,,,,00:01:00.11,152556
,,,,00:01:00.52,152758
,,,,00:01:00.93,152794
,,,,00:01:01.34,152420
,,,,00:01:01.75,152194
,,,,00:01:02.16,152935
,,,,00:01:02.58,152582
,,,,00:01:02.99,153119
,,,,00:01:03.40,152361
,,,,00:01:03.81,152471
,,,,00:01:04.22,152720
,,,,00:01:04.63,152486
,,,,00:01:05.04,153007
,,,,00:01:05.45,151981
,,,,00:01:05.86,152284
,,,,00:01:06.27,152854
,,,,00:01:06.68,152576
,,,,00:01:07.09,152252
,,,,00:01:07.50,152609
,,,,00:01:07.91,151650
,,,,00:01:08.33,152696
,,,,00:01:08.74,152651
,,,,00:01:09.15,151892
,,,,00:01:09.56,152027
,,,,00:01:09.97,152376
,,,,00:01:10.38,152407
,,,,00:01:10.79,152999
,,,,00:01:11.20,152115
,,,,00:01:11.61,152275
,,,,00:01:12.02,152663
,,,,00:01:12.43,151859
,,,,00:01:12.84,153018
