Plate,Repeat,Well,Type,Time,Fluorescein (0.3s) (Counts)
1,1,A01,M,00:00:13.08,82378
1,2,A01,M,00:01:15.84,81728
1,3,A01,M,00:02:18.59,82431
1,4,A01,M,00:03:21.35,83147
1,5,A01,M,00:04:24.11,83342
1,6,A01,M,00:05:26.87,84020
1,7,A01,M,00:06:29.63,83780
1,8,A01,M,00:07:32.39,83852
1,9,A01,M,00:08:35.15,84078
1,10,A01,M,00:09:37.91,84261
1,1,A02,M,00:00:13.69,39898
1,2,A02,M,00:01:16.45,40103
1,3,A02,M,00:02:19.21,39862
1,4,A02,M,00:03:21.97,39737
1,5,A02,M,00:04:24.73,39460
1,6,A02,M,00:05:27.49,39548
1,7,A02,M,00:06:30.25,39341
1,8,A02,M,00:07:33.01,39325
1,9,A02,M,00:08:35.77,39198
1,10,A02,M,00:09:38.53,39303
1,1,A03,M,00:00:14.31,19348
1,2,A03,M,00:01:17.07,19436
1,3,A03,M,00:02:19.82,19392
1,4,A03,M,00:03:22.58,19507
1,5,A03,M,00:04:25.34,19669
1,6,A03,M,00:05:28.10,19498
1,7,A03,M,00:06:30.86,19886
1,8,A03,M,00:07:33.63,19817
1,9,A03,M,00:08:36.39,20057
1,10,A03,M,00:09:39.14,20101
1,1,A04,M,00:00:14.92,9360
1,2,A04,M,00:01:17.68,9333
1,3,A04,M,00:02:20.44,9579
1,4,A04,M,00:03:23.20,9379
1,5,A04,M,00:04:25.96,9667
1,6,A04,M,00:05:28.72,9603
1,7,A04,M,00:06:31.48,9823
1,8,A04,M,00:07:34.24,9824
1,9,A04,M,00:08:37.00,9519
1,10,A04,M,00:09:39.76,9747
1,1,A05,M,00:00:15.54,4549
1,2,A05,M,00:01:18.30,4640
1,3,A05,M,00:02:21.05,4673
1,4,A05,M,00:03:23.81,4639
1,5,A05,M,00:04:26.57,4687
1,6,A05,M,00:05:29.33,4695
1,7,A05,M,00:06:32.09,4751
1,8,A05,M,00:07:34.85,4790
1,9,A05,M,00:08:37.61,4709
1,10,A05,M,00:09:40.37,4828
1,1,A06,M,00:00:16.15,2345
1,2,A06,M,00:01:18.91,2259
1,3,A06,M,00:02:21.67,2310
1,4,A06,M,00:03:24.43,2414
1,5,A06,M,00:04:27.19,2413
1,6,A06,M,00:05:29.95,2398
1,7,A06,M,00:06:32.71,2463
1,8,A06,M,00:07:35.47,2458
1,9,A06,M,00:08:38.23,2442
1,10,A06,M,00:09:40.99,2382
1,1,A07,M,00:00:16.77,1276
1,2,A07,M,00:01:19.53,1262
1,3,A07,M,00:02:22.28,1225
1,4,A07,M,00:03:25.04,1232
1,5,A07,M,00:04:27.80,1232
1,6,A07,M,00:05:30.56,1266
1,7,A07,M,00:06:33.32,1269
1,8,A07,M,00:07:36.08,1295
1,9,A07,M,00:08:38.84,1282
1,10,A07,M,00:09:41.60,1267
1,1,A08,M,00:00:17.38,745
1,2,A08,M,00:01:20.14,782
1,3,A08,M,00:02:22.90,677
1,4,A08,M,00:03:25.66,730
1,5,A08,M,00:04:28.42,714
1,6,A08,M,00:05:31.18,725
1,7,A08,M,00:06:33.94,706
1,8,A08,M,00:07:36.70,729
1,9,A08,M,00:08:39.46,747
1,10,A08,M,00:09:42.22,764
1,1,A09,M,00:00:18.00,393
1,2,A09,M,00:01:20.76,411
1,3,A09,M,00:02:23.51,414
1,4,A09,M,00:03:26.27,373
1,5,A09,M,00:04:29.03,437
1,6,A09,M,00:05:31.79,427
1,7,A09,M,00:06:34.55,439
1,8,A09,M,00:07:37.31,433
1,9,A09,M,00:08:40.07,438
1,10,A09,M,00:09:42.83,449
1,1,A10,M,00:00:18.61,219
1,2,A10,M,00:01:21.37,247
1,3,A10,M,00:02:24.13,241
1,4,A10,M,00:03:26.89,229
1,5,A10,M,00:04:29.65,256
1,6,A10,M,00:05:32.41,262
1,7,A10,M,00:06:35.17,252
1,8,A10,M,00:07:37.93,255
1,9,A10,M,00:08:40.69,275
1,10,A10,M,00:09:43.45,253
1,1,A11,M,00:00:19.23,171
1,2,A11,M,00:01:21.99,169
1,3,A11,M,00:02:24.74,167
1,4,A11,M,00:03:27.50,179
1,5,A11,M,00:04:30.26,185
1,6,A11,M,00:05:33.02,158
1,7,A11,M,00:06:35.78,183
1,8,A11,M,00:07:38.55,166
1,9,A11,M,00:08:41.30,182
1,10,A11,M,00:09:44.06,165
1,1,A12,M,00:00:19.84,56
1,2,A12,M,00:01:22.60,45
1,3,A12,M,00:02:25.36,58
1,4,A12,M,00:03:28.12,67
1,5,A12,M,00:04:30.88,47
1,6,A12,M,00:05:33.64,50
1,7,A12,M,00:06:36.40,51
1,8,A12,M,00:07:39.16,57
1,9,A12,M,00:08:41.92,44
1,10,A12,M,00:09:44.68,50
