Plate,Repeat,Well,Type,Time,Fluorescein (0.3s) (Counts)
1,1,A01,M,00:00:11.35,36605
1,2,A01,M,00:04:33.59,38040
1,3,A01,M,00:08:55.84,37802
1,4,A01,M,00:13:18.11,37736
1,5,A01,M,00:17:40.38,37856
1,6,A01,M,00:22:02.70,37515
1,7,A01,M,00:26:25.04,37261
1,8,A01,M,00:30:47.42,37328
1,9,A01,M,00:35:09.73,37173
1,10,A01,M,00:39:32.03,36962
1,11,A01,M,00:43:54.36,37176
1,12,A01,M,00:48:16.74,36319
1,13,A01,M,00:52:39.10,36856
1,14,A01,M,00:57:01.42,36199
1,1,A02,M,00:00:11.92,36718
1,2,A02,M,00:04:34.16,36697
1,3,A02,M,00:08:56.41,37125
1,4,A02,M,00:13:18.68,37169
1,5,A02,M,00:17:40.95,37082
1,6,A02,M,00:22:03.27,36536
1,7,A02,M,00:26:25.62,36435
1,8,A02,M,00:30:47.99,36730
1,9,A02,M,00:35:10.30,36362
1,10,A02,M,00:39:32.60,35812
1,11,A02,M,00:43:54.93,36148
1,12,A02,M,00:48:17.32,35606
1,13,A02,M,00:52:39.67,35748
1,14,A02,M,00:57:01.99,35253
1,1,A03,M,00:00:12.49,36970
1,2,A03,M,00:04:34.73,36893
1,3,A03,M,00:08:56.98,37193
1,4,A03,M,00:13:19.25,36383
1,5,A03,M,00:17:41.52,36978
1,6,A03,M,00:22:03.84,36679
1,7,A03,M,00:26:26.19,36641
1,8,A03,M,00:30:48.56,36659
1,9,A03,M,00:35:10.87,35992
1,10,A03,M,00:39:33.17,36294
1,11,A03,M,00:43:55.50,35710
1,12,A03,M,00:48:17.89,35898
1,13,A03,M,00:52:40.24,35774
1,14,A03,M,00:57:02.56,35141
1,1,A04,M,00:00:13.06,37305
1,2,A04,M,00:04:35.30,37330
1,3,A04,M,00:08:57.55,37006
1,4,A04,M,00:13:19.82,36962
1,5,A04,M,00:17:42.09,37129
1,6,A04,M,00:22:04.41,37341
1,7,A04,M,00:26:26.76,36311
1,8,A04,M,00:30:49.13,36816
1,9,A04,M,00:35:11.44,36166
1,10,A04,M,00:39:33.74,36256
1,11,A04,M,00:43:56.07,36377
1,12,A04,M,00:48:18.45,35920
1,13,A04,M,00:52:40.81,36106
1,14,A04,M,00:57:03.13,35929
1,1,A05,M,00:00:13.63,36501
1,2,A05,M,00:04:35.87,36529
1,3,A05,M,00:08:58.12,37007
1,4,A05,M,00:13:20.39,36784
1,5,A05,M,00:17:42.66,36574
1,6,A05,M,00:22:04.98,36552
1,7,A05,M,00:26:27.32,36366
1,8,A05,M,00:30:49.70,36335
1,9,A05,M,00:35:12.01,36181
1,10,A05,M,00:39:34.31,36327
1,11,A05,M,00:43:56.64,35895
1,12,A05,M,00:48:19.02,35711
1,13,A05,M,00:52:41.38,35877
1,14,A05,M,00:57:03.70,36018
1,1,A06,M,00:00:14.20,35782
1,2,A06,M,00:04:36.44,36669
1,3,A06,M,00:08:58.69,36265
1,4,A06,M,00:13:20.96,36737
1,5,A06,M,00:17:43.23,36644
1,6,A06,M,00:22:05.55,36397
1,7,A06,M,00:26:27.89,36336
1,8,A06,M,00:30:50.27,36257
1,9,A06,M,00:35:12.58,36196
1,10,A06,M,00:39:34.88,36338
1,11,A06,M,00:43:57.21,35698
1,12,A06,M,00:48:19.59,35606
1,13,A06,M,00:52:41.95,36179
1,14,A06,M,00:57:04.27,35494
1,1,A07,M,00:00:14.77,36309
1,2,A07,M,00:04:37.01,36816
1,3,A07,M,00:08:59.26,36452
1,4,A07,M,00:13:21.53,36866
1,5,A07,M,00:17:43.80,36393
1,6,A07,M,00:22:06.12,36336
1,7,A07,M,00:26:28.47,36290
1,8,A07,M,00:30:50.87,36232
1,9,A07,M,00:35:13.15,35821
1,10,A07,M,00:39:35.45,36293
1,11,A07,M,00:43:57.78,35286
1,12,A07,M,00:48:20.17,35562
1,13,A07,M,00:52:42.52,36128
1,14,A07,M,00:57:04.84,35851
1,1,A08,M,00:00:15.34,36479
1,2,A08,M,00:04:37.58,36728
1,3,A08,M,00:08:59.83,36292
1,4,A08,M,00:13:22.10,36641
1,5,A08,M,00:17:44.37,35932
1,6,A08,M,00:22:06.69,36142
1,7,A08,M,00:26:29.03,36165
1,8,A08,M,00:30:51.44,35990
1,9,A08,M,00:35:13.72,36151
1,10,A08,M,00:39:36.02,35722
1,11,A08,M,00:43:58.35,35818
1,12,A08,M,00:48:20.73,35606
1,13,A08,M,00:52:43.09,35839
1,14,A08,M,00:57:05.41,35432
1,1,A09,M,00:00:15.91,35668
1,2,A09,M,00:04:38.15,36097
1,3,A09,M,00:09:00.40,36311
1,4,A09,M,00:13:22.67,35676
1,5,A09,M,00:17:44.94,35575
1,6,A09,M,00:22:07.26,35374
1,7,A09,M,00:26:29.61,35153
1,8,A09,M,00:30:52.01,35302
1,9,A09,M,00:35:14.29,35248
1,10,A09,M,00:39:36.59,35233
1,11,A09,M,00:43:58.92,35124
1,12,A09,M,00:48:21.30,34988
1,13,A09,M,00:52:43.66,35124
1,14,A09,M,00:57:05.98,34579
1,1,A10,M,00:00:16.48,36262
1,2,A10,M,00:04:38.72,36204
1,3,A10,M,00:09:00.97,36641
1,4,A10,M,00:13:23.24,36182
1,5,A10,M,00:17:45.51,35740
1,6,A10,M,00:22:07.83,35741
1,7,A10,M,00:26:30.18,35514
1,8,A10,M,00:30:52.58,35841
