##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	FLEX	Fluorescence	FALSE	Raw	FALSE	50	98	2				1	522	3	10	96	490	Manual	None			12	Medium			1	8	TimeTags	
	Temperature(¡C)	A1T	A1	A2T	A2	A3T	A3	A4T	A4	A5T	A5	A6T	A6	A7T	A7	A8T	A8	A9T	A9	A10T	A10	A11T	A11	A12T	A12	B1T	B1	B2T	B2	B3T	B3	B4T	B4	B5T	B5	B6T	B6	B7T	B7	B8T	B8	B9T	B9	B10T	B10	B11T	B11	B12T	B12	C1T	C1	C2T	C2	C3T	C3	C4T	C4	C5T	C5	C6T	C6	C7T	C7	C8T	C8	C9T	C9	C10T	C10	C11T	C11	C12T	C12	D1T	D1	D2T	D2	D3T	D3	D4T	D4	D5T	D5	D6T	D6	D7T	D7	D8T	D8	D9T	D9	D10T	D10	D11T	D11	D12T	D12	E1T	E1	E2T	E2	E3T	E3	E4T	E4	E5T	E5	E6T	E6	E7T	E7	E8T	E8	E9T	E9	E10T	E10	E11T	E11	E12T	E12	F1T	F1	F2T	F2	F3T	F3	F4T	F4	F5T	F5	F6T	F6	F7T	F7	F8T	F8	F9T	F9	F10T	F10	F11T	F11	F12T	F12	G1T	G1	G2T	G2	G3T	G3	G4T	G4	G5T	G5	G6T	G6	G7T	G7	G8T	G8	G9T	G9	G10T	G10	G11T	G11	G12T	G12	H1T	H1	H2T	H2	H3T	H3	H4T	H4	H5T	H5	H6T	H6	H7T	H7	H8T	H8	H9T	H9	H10T	H10	H11T	H11	H12T	H12	
	27.65					0.8098	575.646	0.8052	560.753	0.8098	745.245	0.8084	703.65	0.8044	710.4	0.8048	691.073	0.8074	838.738	0.8054	821.727	0.8064	750.907	0.7994	1055.593					1.005	659.652	1.002	588.332	1.005	681.404	1.0068	838.378	1.0092	859.403	1.0016	889.712	1.0042	926.307	1.0006	903.765	1.0016	826.624	0.9882	777.926					1.2002	774.742	1.2004	888.045	1.1954	803.981	1.1972	848.469	1.1996	831.568	1.2016	932.616	1.2026	933.237	1.2006	966.966	1.2016	922.579	1.1882	794.064					1.3954	737.934	1.4004	788.844	1.3954	876.127	1.3972	802.719	1.3996	918.877	1.4016	880.395	1.393	1017.663	1.4006	913.803	1.392	916.315	1.3882	871.403					1.5954	685.393	1.5908	682.643	1.5954	817.373	1.5876	833.043	1.59	887.731	1.6016	760.675	1.5946	1083.846	1.591	933.079	1.592	892.902	1.5802	844.185					1.7874	638.865	1.7908	677.147	1.7858	803.82	1.7892	941.504	1.79	1011.905	1.8032	1003.149	1.7834	1312.211	1.791	945.037	1.792	1034.013	1.7802	937.918					1.9858	659.819	1.9812	776.686	1.9858	857.381	1.9876	918.301	1.9804	974.893	1.992	977.706	1.9834	958.673	1.9814	1030.371	1.9824	971.983	1.969	942.839					2.1762	738.961	2.1812	849.078	2.1762	887.011	2.1796	886.199	2.1804	925.39	2.192	970.556	2.1738	1012.422	2.1814	934.424	2.1824	861.829	2.1706	957.584	
	27.65					3.2018	541.508	3.1876	549.468	3.2018	730.029	3.2052	688.249	3.206	692.653	3.2176	679.073	3.1962	812.959	3.1926	792.169	3.1936	741.907	3.1962	1023.12					3.3986	636.533	3.3828	593.826	3.3986	676.135	3.41	827.937	3.4028	850.116	3.4144	883.14	3.3946	927.636	3.383	907.215	3.384	844.159	3.3914	775.034					3.5874	745.558	3.5828	877.336	3.5874	813.426	3.602	861.638	3.6012	838.55	3.6128	939.638	3.585	928.176	3.583	958.812	3.584	932.112	3.593	782.632					3.789	704.231	3.7876	796.343	3.7874	862.188	3.8004	805.103	3.8012	923.485	3.8032	903.333	3.785	1023.232	3.783	903.978	3.7744	917.484	3.7818	869.569					3.989	668.516	3.9828	687.234	3.9778	833.446	3.9908	847.715	3.9932	895.81	4.0048	761.741	3.9866	1084.794	3.9846	923.833	3.976	900.618	3.9818	839.836					4.189	636.647	4.1828	663.432	4.1778	807.373	4.1924	944.149	4.1916	1003.413	4.2032	1010.055	4.1754	1309.416	4.183	945.228	4.1744	1031.717	4.1818	922.667					4.389	645.105	4.3748	771.205	4.3778	869.776	4.3812	916.498	4.382	982.566	4.4048	994.219	4.3754	950.105	4.3734	1030.005	4.3648	971.452	4.3738	942.816					4.5794	734.001	4.5732	844.494	4.5682	885.773	4.5812	885.571	4.582	933.894	4.6048	975.524	4.5658	1000.665	4.5734	942.213	4.5648	848.559	4.5722	956.434	
	27.65					5.6002	534.484	5.6004	560.921	5.581	735.538	5.6068	678.918	5.5884	708.325	5.616	668.417	5.5834	803.717	5.599	808.351	5.5712	746.145	5.5978	1015.313					5.8002	633.169	5.7956	598.552	5.7794	665.932	5.8036	847.019	5.7836	852.127	5.816	880.99	5.777	924.335	5.7942	902.022	5.7664	841.385	5.7946	773.333					5.9906	733.362	5.994	879.964	5.9698	805.808	6.0036	864.184	5.9836	843.523	6.016	932.814	5.969	915.076	5.9958	959.62	5.9664	934.617	5.993	795.413					6.1906	708.273	6.186	799.528	6.1698	871.553	6.202	817.241	6.1788	930.962	6.2064	910.415	6.169	1014.482	6.1846	917.327	6.1568	910.642	6.1834	871.921					6.381	677.162	6.386	681.006	6.3618	818.581	6.394	849.569	6.374	907.006	6.4064	757.239	6.3674	1073.116	6.3846	928.283	6.3568	896.258	6.385	836.068					6.581	635.979	6.5748	649.717	6.5602	799.891	6.5924	946.742	6.574	1000.388	6.5968	1020.911	6.5594	1308.603	6.5862	949.811	6.5472	1044.832	6.5834	924.392					6.781	651.165	6.7764	775.072	6.7602	853.027	6.7828	919.974	6.766	991.59	6.7968	978.083	6.7594	952.849	6.791	1028.221	6.7472	968.571	6.785	923.111					6.973	739.666	6.9764	842.512	6.9618	881.153	6.9828	885.027	6.9644	924.382	6.9984	974.67	6.9498	993.931	6.9862	942.144	6.9472	849.594	6.985	956.723	
	27.66					7.997	552.277	7.9876	553.893	7.9874	722.21	7.9956	693.232	7.9916	691.372	8.0336	668.493	7.985	807.772	8.0118	795.85	7.9728	743.813	7.9914	1028.546					8.2018	645.887	8.1876	601.793	8.1826	680.657	8.1844	831.433	8.1868	842.864	8.2288	883.886	8.1802	907.614	8.2086	890.544	8.1696	829.247	8.1866	772.981					8.4034	745.913	8.3876	872.419	8.3826	805.058	8.3844	873.152	8.3868	838.993	8.424	933.127	8.3706	930.87	8.407	945.296	8.368	933.825	8.385	798.87					8.6018	709.564	8.5796	817.272	8.5826	866.92	8.5748	823.968	8.5772	940.454	8.6192	897.763	8.5706	1020.37	8.5974	908.467	8.5584	911.569	8.5818	868.932					8.7938	679.495	8.778	694.853	8.773	827.869	8.778	849.779	8.7772	894.985	8.8176	768.698	8.761	1086.617	8.7974	929.273	8.76	900.835	8.7754	832.732					8.9938	631.907	8.9684	673.678	8.973	806.495	8.9764	959.3	8.9692	1010.997	9.0112	1013.787	8.9514	1308.857	8.9926	958.796	8.9488	1054.502	8.9674	928.071					9.1842	669.122	9.1684	769.407	9.1634	860.469	9.1652	919.633	9.1676	971.211	9.2096	980.19	9.1514	959.075	9.1894	1029.468	9.1488	960.76	9.1674	926.824					9.3842	739.705	9.3684	852.656	9.3634	882.294	9.3652	903.153	9.3676	916.127	9.4	961.803	9.3514	1007.548	9.3894	943.152	9.3408	852.141	9.3674	960.993	
	27.66					10.4002	561.362	22.466	515.452	22.5522	498.49	22.4644	495.646	22.4652	489.736	22.5376	483.469	22.5498	495.446	22.5062	489.339	22.5376	501.183	21.3594	474.635					10.5954	647.234	22.6612	519.688	22.7474	517.93	22.6596	534.339	22.6604	496.434	22.7328	507.202	22.745	516.673	22.7014	499.157	22.7328	508.634	21.5498	472.722					10.7954	749.628	22.8612	530.76	22.9458	525.944	22.8596	528.855	22.8604	506.016	22.9232	506.161	22.945	502.271	22.9014	488.915	22.9232	513.198	21.7514	484.448					10.9954	710.765	23.0532	515.081	23.1378	496.05	23.0516	525.567	23.0556	510.259	23.128	496.783	23.1498	497.109	23.0934	487.015	23.128	508.257	21.9498	468.862					11.1954	686.85	23.2516	515.19	23.3378	503.264	23.25	519.453	23.2508	477.131	23.3328	497.234	23.345	506.725	23.2918	490.627	23.3328	514.854	22.1402	453.819					11.3954	649.099	23.442	516.068	23.5378	509.539	23.45	496.891	23.4412	482.957	23.5232	497.736	23.545	511.333	23.4822	485.637	23.5344	520.973	22.3402	455.115					11.5858	670.033	23.6436	499.716	23.7282	475.792	23.642	487.713	23.6428	458.699	23.7248	499.51	23.737	507.059	23.6838	485.492	23.7344	500.106	22.5306	449.427					11.7858	746.313	23.842	485.436	23.9282	508.721	23.8404	493.774	23.8412	501.218	23.9136	510.738	23.9354	520.047	23.8726	477.496	23.9248	529.328	22.7306	470.385	
	27.66					12.797	559.31	24.858	496.633	24.9538	508.629	24.866	481.825	24.8572	465.839	24.9488	448.673	24.9514	480.508	24.9094	473.326	24.96	475.454	23.7562	437.965					12.9874	649.052	25.0532	510.399	25.1506	520.256	25.0612	511.975	25.054	493.358	25.144	487.806	25.1466	510.618	25.103	488.494	25.1648	485.927	23.953	445.04					13.1874	756.744	25.2548	506.613	25.349	521.856	25.2612	523.426	25.2524	493.505	25.3392	481.163	25.3466	489.543	25.2998	480.064	25.3552	506.584	24.1514	467.512					13.3778	717.938	25.4436	503.851	25.5394	498.044	25.4516	512.399	25.4428	480.032	25.5344	484.991	25.537	491.691	25.495	476.372	25.5552	492.995	24.3418	458.519					13.5794	687.142	25.6452	499.646	25.741	492.219	25.6516	496.344	25.6428	462.925	25.7264	468.098	25.737	494.966	25.6934	473.66	25.7456	489.341	24.5434	436.413					13.7794	640.671	25.8356	509.398	25.9298	495.486	25.8436	486.99	25.8348	458.939	25.9264	469.03	25.9386	495.666	25.8854	469.325	25.9472	488.646	24.7418	435.912					13.9794	669.727	26.034	489.548	26.1298	469.651	26.042	468.928	26.0332	457.64	26.1264	467.931	26.1274	490.832	26.0838	463.894	26.136	480.71	24.9322	429.954					14.1778	756.681	26.2244	468.148	26.3298	499.665	26.242	485.221	26.2348	474.195	26.3168	465.847	26.3274	495.606	26.2758	462.792	26.336	494.371	25.1322	454.775	
	27.66					22.7922	493.179	27.2612	483.89	27.3426	486.702	27.2692	477.861	27.2604	448.798	27.3424	430.029	27.3546	460.275	27.311	455.224	27.3632	464.202	26.145	431.434					22.9874	486.044	27.4612	493.52	27.541	493.816	27.4644	497.453	27.4572	473.282	27.5488	465.433	27.5514	479.87	27.5078	460.716	27.5584	474.154	26.3338	431.73					23.1778	487.527	27.6564	492.856	27.741	510.021	27.6644	497.853	27.646	491.494	27.7472	458.125	27.7498	461.313	27.6966	463.154	27.7584	481.111	26.5338	448.056					23.3826	478.924	27.8564	486.258	27.9314	504.694	27.8548	489.884	27.846	459.932	27.9472	460.063	27.9402	475.407	27.8966	471.213	27.9584	472.03	26.7242	438.929					23.5874	498.659	28.058	502.928	28.133	465.755	28.0548	490.143	28.046	456.371	28.1376	474.976	28.1418	489.371	28.087	467.45	28.1488	494.853	26.9258	414.905					23.7778	489.418	28.2564	503.733	28.3218	490.432	28.2452	478.596	28.2364	448.944	28.3376	466.85	28.3306	506.094	28.2886	479.978	28.3488	489.13	27.1242	439.353					23.9794	483.953	28.4564	495.586	28.5218	472.953	28.4452	464.605	28.4364	462.11	28.528	471.332	28.5306	473.1	28.487	470.008	28.5392	480.04	27.3146	440.478					24.1682	460.732	28.6468	469.779	28.7122	483.65	28.6452	481.387	28.6268	478.586	28.728	488.53	28.7306	506.693	28.6774	469.863	28.7392	501.161	27.5162	450.888	
	27.66					25.205	452.717	29.6628	481.896	29.7282	483.038	29.6676	461.945	29.6524	451.144	29.7408	440.539	29.7434	463.44	29.7094	462.921	29.7408	461.321	28.5418	422.574					25.3986	464.695	29.858	502.2	29.9234	481.299	29.866	483.072	29.8492	463.507	29.9296	467.784	29.9418	484.381	29.9078	461.331	29.9296	471.418	28.737	420.942					25.5906	480.414	30.0484	490.68	30.1154	501.955	30.0564	496.018	30.038	474.364	30.1296	462.409	30.1418	466.106	30.0998	459.324	30.1296	484.3	28.937	450.146					25.789	467.167	30.25	486.703	30.3138	485.178	30.2564	486.023	30.238	464.617	30.3296	466.057	30.3322	489.636	30.2982	469.399	30.3312	471.7	29.1274	432.77					25.981	471.765	30.4388	498.322	30.5138	477.639	30.458	492.771	30.438	454.053	30.5216	463.006	30.5338	480.678	30.4902	478.957	30.5312	489.042	29.3274	411.282					26.181	465.988	30.6404	497.816	30.7042	509.935	30.6564	478.484	30.638	453.157	30.72	480.146	30.7226	505.455	30.6902	475.61	30.7312	496.505	29.5178	442.978					26.381	444.819	30.8404	486.157	30.9042	462.833	30.858	462.279	30.838	463.593	30.9104	471.366	30.9226	477.098	30.8806	478.825	30.9216	493.593	29.7178	436.588					26.5714	445.709	31.0404	479.075	31.0946	475.841	31.0484	468.147	31.0284	477.488	31.112	486.678	31.1226	501.341	31.0806	462.604	31.1216	492.216	29.9178	444.301	
	27.66					27.6066	454.231	32.066	493.408	32.1202	483.531	32.074	464.3	32.0508	458.866	32.1376	428.656	32.129	465.296	32.1062	461.259	32.1472	469.839	30.9434	432.731					27.813	452.984	32.2708	491.13	32.317	504.045	32.2692	484.724	32.2508	470.431	32.3328	463.028	32.3242	485.806	32.3014	453.426	32.3424	477.068	31.1402	430.902					28.013	465.199	32.4708	488.149	32.5058	501.717	32.4596	487.284	32.4396	470.174	32.5328	466.804	32.5258	464.651	32.503	466.894	32.5424	487.642	31.3386	447.775					28.2114	441.636	32.6708	480.928	32.7058	488.502	32.6596	483.461	32.6412	463.338	32.7232	469.592	32.7242	479.916	32.7014	466.431	32.7328	471.801	31.529	436.298					28.4034	456.818	32.8612	492.472	32.9074	485.711	32.85	490.444	32.8316	451.669	32.9232	465.536	32.9242	483.912	32.8918	463.446	32.9328	492.024	31.729	418.675					28.6018	458.448	33.0628	490.408	33.0962	487.81	33.05	469.69	33.0316	451.22	33.1232	468.093	33.1162	501.081	33.0918	477.175	33.1344	489.195	31.9194	428.255					28.7938	452.876	33.2516	484.908	33.2978	473.642	33.25	469.998	33.2316	460.677	33.3136	470.687	33.3146	483.608	33.2822	472.988	33.3328	500.378	32.1194	438.581					28.9938	448.738	33.4532	489.163	33.4866	481.916	33.4404	475.729	33.422	475.917	33.5136	483.173	33.505	499.356	33.4822	469.38	33.5328	510.414	32.3098	452.842	
	27.66					30.005	458.68	34.4788	505.172	34.509	494.896	34.466	476.516	34.4476	450.555	34.5392	434.785	34.5418	466.023	34.4982	457.427	34.56	474.25	33.3322	432.647					30.1954	449.563	34.674	485.824	34.709	503.862	34.6724	491.93	34.6524	465.646	34.736	470.531	34.737	480.366	34.695	461.738	34.7568	474.802	33.5322	429.203					30.3954	435.461	34.874	494.23	34.8994	505.981	34.8708	499.192	34.854	481.057	34.9344	470.431	34.9274	476.384	34.8934	458.364	34.9552	482.33	33.721	453.19					30.5954	451.177	35.074	496.206	35.0994	492.533	35.0708	491.35	35.0524	464.337	35.1248	464.073	35.1274	481.136	35.0838	467.005	35.1456	476.501	33.9226	431.099					30.7858	466.023	35.274	485.692	35.2898	468.969	35.2628	493.123	35.2428	458.225	35.3264	473.835	35.3274	486.928	35.2838	469.555	35.3456	485.285	34.121	423.97					30.9858	458.068	35.4756	492.55	35.4898	494.962	35.4628	472.231	35.4444	455.588	35.5152	466.154	35.5178	503.419	35.4838	479.035	35.536	488.863	34.3114	435.752					31.1746	439.492	35.674	497.415	35.6898	471.365	35.6516	473.454	35.6332	458.881	35.7152	471.471	35.7178	485.196	35.6742	481.838	35.736	484.812	34.5114	447.375					31.3762	461.922	35.874	468.118	35.8802	470.5	35.8532	469.021	35.8332	483.237	35.9152	482.462	35.9082	484.042	35.8742	471.635	35.936	503.002	34.7034	460.918	
