##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	FLEX	Fluorescence	TRUE	Raw	FALSE	40	110	2.8				1	521	1	12	96	492	Automatic	515			22	High			1	8	TimeTags	
	Temperature(¡C)	A1T	A1	A2T	A2	A3T	A3	A4T	A4	A5T	A5	A6T	A6	A7T	A7	A8T	A8	A9T	A9	A10T	A10	A11T	A11	A12T	A12	B1T	B1	B2T	B2	B3T	B3	B4T	B4	B5T	B5	B6T	B6	B7T	B7	B8T	B8	B9T	B9	B10T	B10	B11T	B11	B12T	B12	C1T	C1	C2T	C2	C3T	C3	C4T	C4	C5T	C5	C6T	C6	C7T	C7	C8T	C8	C9T	C9	C10T	C10	C11T	C11	C12T	C12	D1T	D1	D2T	D2	D3T	D3	D4T	D4	D5T	D5	D6T	D6	D7T	D7	D8T	D8	D9T	D9	D10T	D10	D11T	D11	D12T	D12	E1T	E1	E2T	E2	E3T	E3	E4T	E4	E5T	E5	E6T	E6	E7T	E7	E8T	E8	E9T	E9	E10T	E10	E11T	E11	E12T	E12	F1T	F1	F2T	F2	F3T	F3	F4T	F4	F5T	F5	F6T	F6	F7T	F7	F8T	F8	F9T	F9	F10T	F10	F11T	F11	F12T	F12	G1T	G1	G2T	G2	G3T	G3	G4T	G4	G5T	G5	G6T	G6	G7T	G7	G8T	G8	G9T	G9	G10T	G10	G11T	G11	G12T	G12	H1T	H1	H2T	H2	H3T	H3	H4T	H4	H5T	H5	H6T	H6	H7T	H7	H8T	H8	H9T	H9	H10T	H10	H11T	H11	H12T	H12	
	26.63	4.2512	5.53	0.9068	5.268	0.9054	5.469	0.9066	5.813	0.9012	5.743	0.9024	5.751	0.9096	5.755	0.9828	6.21	0.901	6.121	0.9924	5.732	0.9094	5.761	0.9008	5.717	4.5708	5.503	1.2252	5.301	1.2252	5.774	1.2262	5.953	1.246	6.115	1.2212	6.15	1.2184	6.423	1.3028	6.329	1.221	6.333	1.3116	6.093	1.2958	6.21	1.2104	5.729	4.89	6.406	1.547	6.085	1.5444	6.459	1.5454	6.741	1.57	7.078	1.5332	6.55	1.54	7.09	1.6136	6.673	1.5402	6.909	1.6212	7.06	1.6182	6.841	1.61	6.862	5.2942	5.61	1.946	5.394	1.8658	5.847	1.857	6.055	1.8912	6.116	1.8924	5.864	1.8588	5.589	1.9336	6.395	1.8614	6.399	1.9424	6.092	1.9398	6.392	1.932	5.872	5.6108	5.934	2.2674	5.316	2.215	5.872	2.1762	6.091	2.2104	5.98	2.2128	5.941	2.1704	5.933	2.304	6.34	2.1706	6.02	2.3116	5.963	2.249	6.157	2.2504	5.625	5.9322	5.979	2.5864	5.502	2.5364	6.348	2.521	6.417	2.562	6.112	2.5332	6.173	2.5576	6.574	2.624	6.148	2.5322	6.467	2.622	6.198	2.6102	6.113	2.572	5.94	6.2512	6.114	2.898	6.103	2.8458	6.386	2.837	6.386	2.8812	6.359	2.8436	6.436	2.8808	7.005	2.936	6.643	2.8514	6.812	2.9424	6.172	2.9294	6.154	2.8912	5.841	6.6128	6.774	3.2172	7.003	3.167	7.314	3.1582	7.563	3.2024	7.473	3.1652	6.541	3.2004	7.336	3.2552	7.003	3.173	6.685	3.2624	7.011	3.241	6.325	3.2128	6.249	
	26.62	7.7246	5.781	4.3402	5.255	4.389	5.801	4.2802	5.994	4.3344	5.887	4.2868	5.616	4.3132	5.81	4.4576	5.955	4.305	5.911	4.3556	5.861	4.383	5.673	4.3244	5.562	8.0442	5.271	4.6498	5.428	4.6986	5.922	4.677	6.085	4.734	5.965	4.606	6.103	4.7144	6.453	4.7664	6.401	4.7042	6.357	4.674	5.988	4.7826	6.011	4.6436	5.502	8.3534	6.286	4.969	5.848	5.0178	6.478	4.9986	6.705	5.0532	6.696	4.9252	6.396	5.032	7.129	5.088	6.942	5.0234	6.771	4.9944	6.771	5.1018	6.617	4.9536	6.755	8.7648	5.729	5.2902	5.575	5.3392	5.911	5.3202	5.95	5.3648	6.221	5.2368	5.859	5.3528	5.691	5.4072	6.48	5.345	6.607	5.3148	6.143	5.423	6.194	5.2744	5.872	9.084	5.595	5.5996	5.515	5.6486	5.625	5.6298	6.001	5.684	5.872	5.556	5.742	5.6728	5.783	5.7184	6.261	5.6642	6.06	5.6368	5.932	5.7422	5.995	5.6948	5.449	9.3956	5.802	6.0274	5.45	5.9698	6.38	5.991	6.348	6.0052	6.378	5.9776	6.288	6.0344	6.488	6.0376	6.382	5.9858	6.482	5.9556	6.025	6.0638	6.221	6.0152	5.76	9.7148	6.268	6.3504	5.96	6.3024	6.251	6.3098	6.591	6.3148	6.207	6.2964	6.256	6.3436	6.909	6.3824	6.922	6.295	6.623	6.2668	6.102	6.383	6.066	6.3248	5.662	10.0352	6.97	6.6718	6.621	6.6204	7.567	6.6218	7.618	6.6556	7.423	6.608	6.708	6.6648	7.099	6.6984	7.091	6.6262	6.719	6.626	7.077	6.7058	6.473	6.646	5.992	
	26.64	11.148	5.738	7.7836	5.248	7.7324	5.551	7.7634	5.896	7.778	5.907	7.72	5.687	7.7968	5.911	7.8112	5.867	7.7382	5.938	7.7388	5.673	7.8262	5.44	7.8704	5.52	11.4666	5.221	8.185	5.367	8.052	5.85	8.1626	5.82	8.0964	5.94	8.1332	6.048	8.2056	6.331	8.1312	6.366	8.057	6.134	8.058	5.981	8.145	6.034	8.1876	5.558	11.7868	6.171	8.5026	5.747	8.4582	6.521	8.4826	6.713	8.4164	6.685	8.4488	6.406	8.5256	6.927	8.5368	6.771	8.377	6.686	8.3776	6.786	8.465	6.58	8.5068	6.72	12.0972	5.691	8.823	5.502	8.7828	6.094	8.8038	5.897	8.8112	6.141	8.77	6.099	8.8472	5.899	8.8624	6.613	8.7826	6.251	8.7892	6.118	8.8614	6.246	8.828	5.945	12.4192	5.544	9.1432	5.318	9.1018	5.763	9.1226	6.107	9.1276	5.847	9.0892	5.39	9.1564	5.747	9.1808	6.245	9.1078	6.108	9.0988	5.841	9.1862	6.043	9.1872	5.597	12.7376	5.779	9.5048	5.459	9.4134	6.264	9.4346	6.357	9.4476	6.157	9.4508	6.181	9.4776	6.435	9.492	6.282	9.4282	6.356	9.4188	6.071	9.5062	6.081	9.5088	5.733	13.0892	6.184	9.8138	6.088	9.7726	6.246	9.7538	6.517	9.77	6.313	9.77	6.135	9.7968	6.651	9.8516	6.682	9.7482	6.51	9.7412	5.993	9.8266	6.169	9.818	5.702	13.4084	6.839	10.1352	6.774	10.0926	7.534	10.0854	7.491	10.1284	7.283	10.0916	6.336	10.1344	7.354	10.1728	6.884	10.0986	6.673	10.0596	6.923	10.177	6.35	10.1296	6.009	
	26.63	14.5208	5.657	11.267	5.303	11.196	5.579	11.197	5.891	11.2316	5.862	11.2236	5.763	11.2504	5.704	11.2948	5.987	11.2018	5.962	11.1612	5.636	11.2798	5.792	11.3496	5.268	14.84	5.186	11.6758	5.291	11.5154	5.652	11.5154	5.999	11.55	6.142	11.6132	6.17	11.5696	6.355	11.6144	6.41	11.521	6.23	11.4708	6.156	11.5982	6.16	11.6708	5.539	15.2414	5.925	11.996	5.549	11.9346	6.501	11.8358	6.555	11.8604	6.722	11.932	6.437	11.8888	6.935	12.0136	6.505	11.8406	6.924	11.792	6.709	11.9186	6.663	11.9804	6.598	15.5604	5.821	12.3176	5.659	12.245	6.075	12.2422	5.824	12.2816	6.083	12.2436	5.84	12.29	5.775	12.3252	6.359	12.2522	6.406	12.1012	5.993	12.3302	6.122	12.3016	5.911	15.872	5.638	12.6266	5.42	12.5654	5.891	12.5666	6.007	12.6004	5.949	12.5628	5.794	12.6096	5.777	12.6444	6.262	12.571	6.116	12.4116	5.749	12.6494	5.864	12.6208	5.616	16.1912	5.583	12.948	5.713	12.8856	6.403	12.8866	6.192	12.9112	6.147	12.8828	6.153	12.9212	6.301	12.9656	6.331	12.8818	6.299	12.734	6.048	12.9598	5.924	12.9324	5.766	16.5114	6.125	13.267	6	13.1972	6.14	13.2074	6.551	13.2332	6.263	13.1956	6.096	13.2404	6.865	13.2848	6.894	13.2038	6.516	13.1028	6.138	13.2818	5.99	13.28	5.698	16.8238	6.787	13.6046	6.659	13.5164	7.513	13.5574	7.545	13.5516	7.088	13.5424	6.541	13.6016	7.16	13.6064	6.941	13.5218	6.372	13.4244	6.857	13.5998	6.431	13.6016	5.882	
	26.65	17.9348	5.418	14.7206	5.275	14.6286	5.566	14.6706	5.889	14.654	5.705	14.6572	5.624	14.724	5.562	14.728	6.108	14.6242	6.004	14.5356	5.61	14.7022	5.609	14.7148	5.403	18.2534	5.184	15.0402	5.308	14.9478	5.842	14.989	5.852	14.9732	5.956	14.9756	6.077	15.0432	6.317	15.0376	6.464	14.9434	6.321	14.8548	5.935	15.0214	5.902	15.0344	5.437	18.5736	6.134	15.3594	5.777	15.2692	6.274	15.309	6.557	15.2948	6.691	15.2956	6.368	15.3624	6.705	15.3568	6.74	15.261	6.822	15.2648	6.592	15.3398	6.591	15.4356	6.732	18.895	5.829	15.7598	5.336	15.5884	5.937	15.7098	6.116	15.6036	6.064	15.6996	5.871	15.764	5.724	15.6784	6.452	15.5842	6.281	15.5864	6.143	15.6622	6.36	15.7552	5.791	19.2144	6.003	16.0798	5.363	15.8988	5.756	16.0298	6.091	15.9244	5.788	16.0164	5.668	16.0832	5.643	16.09	6.243	15.9042	5.974	15.9052	5.7	15.9826	6.003	16.0744	5.574	19.5656	8.727	16.3912	5.611	16.2592	6.367	16.3402	6.299	16.2464	6.087	16.3368	6.017	16.4048	6.32	16.4092	6.296	16.2166	6.426	16.2268	6.019	16.295	5.92	16.396	5.667	19.886	20.038	16.7008	5.931	16.5792	6.432	16.6622	6.563	16.6048	6.143	16.6588	6.479	16.724	6.693	16.7284	6.615	16.5754	6.485	16.536	6.139	16.6534	6.169	16.7552	5.614	20.206	5.853	17.0732	6.542	16.8908	7.416	16.981	7.617	16.9268	6.981	17.0076	6.528	17.0444	7.129	17.0496	7.024	16.8974	6.617	16.8572	7.009	16.9754	6.273	17.0656	6.015	
	26.65	21.3382	338.716	18.194	5.295	18.0226	5.676	18.083	5.89	18.048	5.72	18.1204	5.747	18.1572	5.806	18.2648	6.036	18.0186	5.907	17.9792	5.557	18.0966	5.555	18.178	5.541	21.7368	396.547	18.5136	5.584	18.4212	5.877	18.4018	5.791	18.3676	6.066	18.4388	6.049	18.4656	6.495	18.5816	6.448	18.3378	6.335	18.2988	6.049	18.4162	6.076	18.488	5.435	22.0572	404.205	18.8328	6.643	18.7316	6.685	18.7202	6.857	18.7672	6.733	18.7492	6.787	18.786	7.285	18.9008	7.127	18.737	7.052	18.618	7.032	18.8154	6.852	18.9072	6.862	22.3686	404.198	19.2354	15.538	19.053	6.703	19.043	6.949	19.0892	7.223	19.1716	8.131	19.1064	7.685	19.2232	9.413	19.0594	7.068	18.9292	6.73	19.1278	7.364	19.2296	7.227	22.6878	412.608	19.5536	54.186	19.372	23.159	19.363	19.772	19.4076	29.398	19.49	55.946	19.4176	34.162	19.5816	72.774	19.3786	10.846	19.3468	11.924	19.4462	41.294	19.548	53.237	23.0088	430.946	19.875	154.68	19.6836	131.428	19.6754	116.135	19.7292	148.586	19.81	156.695	19.8392	141.075	19.9024	164.688	19.6994	53.783	19.67	54.839	19.7678	139.424	19.8592	145.373	23.3184	378.576	20.1942	216.299	20.0028	196.628	20.0338	202.735	20.048	210.426	20.1224	217.84	20.1576	231.044	20.212	219.719	20.0186	182.584	19.9892	182.067	20.087	231.605	20.1784	218.647	23.6692	4.234	20.5156	6.426	20.3564	6.656	20.3558	6.483	20.3596	5.728	20.4408	5.781	20.4776	6.068	20.5332	5.78	20.3298	7.64	20.2996	7.783	20.3982	5.43	20.4988	5.673	
	26.65	24.8016	380.167	21.6374	396.39	21.4762	394.591	21.477	399.901	21.4716	389.492	21.5532	386.333	21.58	385.172	21.7552	393.003	21.4514	387.991	21.4124	381.837	21.5202	398.921	21.6016	387.3	25.1202	391.363	21.9472	408.284	21.7956	409.465	21.797	399.352	21.7912	404.059	21.8724	405.033	22.0008	418.531	22.0648	403.929	21.7714	397.226	21.782	398.252	21.8294	417.382	21.92	405.43	25.4406	368.185	22.2664	395.359	22.115	387.589	22.1958	390.582	22.1104	395.043	22.1932	402.323	22.3208	397.339	22.384	413.55	22.0906	399.814	22.1016	406.966	22.149	393.749	22.2304	395.142	25.8252	327.994	22.5874	379.165	22.5128	373.581	22.5078	364.527	22.4316	365.297	22.5028	366.297	22.64	364.109	22.7052	366.729	22.4118	369.069	22.4216	364.967	22.4702	362.232	22.5508	366.127	26.1412	358.655	22.897	369.901	22.8356	384.695	22.8266	374.162	22.8436	382.246	22.8244	377.831	22.9612	370.292	23.0148	372.73	22.8154	386.413	22.742	374.19	22.7798	377.868	22.8728	386.952	26.4628	389.448	23.3148	356.348	23.157	365.339	23.1482	361.094	23.1632	362.261	23.1432	359.589	23.32	347.615	23.336	355.151	23.133	372.554	23.0628	375.339	23.1298	355.678	23.2316	347.021	26.7816	384.945	23.6376	356.019	23.4764	357.041	23.4674	354.569	23.482	354.748	23.494	358.333	23.6308	359.816	23.6684	346.406	23.4522	366.898	23.3836	362.114	23.4498	354.671	23.5528	342.069	27.1432	4.164	23.958	4.646	23.8278	4.435	23.7886	4.797	23.8032	4.999	23.814	5.151	23.9512	5.15	23.9868	5.284	23.7722	5.602	23.7076	5.906	23.7606	4.936	23.872	5.216	
	26.65	28.2652	380.853	25.0508	330.682	24.9596	336.275	24.9206	348.71	25.0212	341.848	24.9472	343.085	25.094	334.781	25.0984	334.752	24.8754	356.385	24.8152	353.651	24.9134	345.123	25.0144	337.727	28.5846	402.63	25.471	339.252	25.2692	341.761	25.2302	337.215	25.3444	340.638	25.2568	337.901	25.4928	361.556	25.4172	341.243	25.245	333.05	25.134	336.293	25.323	352.363	25.4136	346.61	28.894	412.063	25.7898	367.46	25.5884	372.601	25.5494	371.45	25.6636	377.307	25.646	376.682	25.8128	387.205	25.824	380.184	25.5642	357.993	25.446	350.108	25.6422	375.511	25.7352	377.44	29.2954	384.805	26.1102	371.753	25.99	373.647	25.8706	366.002	25.9752	369.01	25.968	369.628	26.1344	368.07	26.1488	372.889	25.8846	351.289	25.8628	341.824	25.9638	368.704	26.0544	369.632	29.6144	402.593	26.432	359.431	26.3092	362.441	26.2746	371.534	26.3348	360.392	26.2868	362.602	26.4436	351.559	26.468	362.197	26.2066	381.151	26.1868	367.76	26.283	368.071	26.376	369.391	29.926	413.015	26.7906	334.353	26.6306	347.161	26.6018	348.552	26.656	345.697	26.608	347.199	26.7648	332.09	26.7784	335.94	26.525	361.135	26.506	366.025	26.5934	340.974	26.6952	338.367	30.2454	392.151	27.1022	311.066	26.9498	320.982	26.921	313.439	26.9752	314.411	26.9268	313.075	27.074	321.951	27.1388	327.021	26.8466	342.36	26.8164	335.472	26.9154	320.497	27.0152	312.976	30.5666	4.942	27.4214	4.733	27.2712	4.296	27.2422	4.802	27.2868	5.044	27.2388	5.338	27.4216	5.017	27.4588	5.406	27.177	5.88	27.1868	5.869	27.2454	5.004	27.3448	5.003	
	26.65	31.6986	396.027	28.5636	384.741	28.3932	389.995	28.4522	395.184	28.5084	398.484	28.3604	393.947	28.5472	395.184	28.552	396.223	28.2882	390.59	28.3196	388.316	28.3566	393.705	28.4784	388.965	32.0182	398.673	28.973	380.542	28.7124	381.4	28.7738	384.391	28.8284	376.887	28.6804	382.213	28.8672	386.133	28.8708	378.773	28.6074	383.212	28.6392	384.151	28.6758	399.414	28.7984	387.358	32.3374	409.486	29.2944	381.61	29.022	399.17	29.093	398.179	29.1476	390.426	28.9896	386.279	29.1864	397.847	29.2908	386.976	28.9282	393.682	28.958	385.571	28.9958	392.319	29.1176	398.645	32.6478	383.645	29.6134	369.209	29.3432	377.693	29.4146	374.704	29.5688	374.66	29.3108	372.774	29.5776	373.895	29.6024	380.535	29.3326	377.547	29.34	373.742	29.4022	377.833	29.5004	375.162	32.9698	405.306	29.9252	381.72	29.6622	387.382	29.7634	385.568	29.8876	386.516	29.7316	380.464	29.8968	381.051	29.9216	388.608	29.6594	390.28	29.6492	379.038	29.7262	391.516	29.818	390.265	33.3798	414.821	30.2442	388.88	30.0684	395.295	30.085	387.987	30.1996	390.269	30.0516	385.263	30.2084	389.876	30.2416	387.301	29.9786	384.965	29.9704	387.451	30.047	381.97	30.1296	384.031	33.6988	392.519	30.5654	370.144	30.3832	388.58	30.3942	380.668	30.5188	374.353	30.3708	384.226	30.5276	378.194	30.554	385.614	30.299	388.132	30.2892	384.654	30.367	382.456	30.4488	378.718	34.0192	5.062	30.9006	5.317	30.7036	5.42	30.7146	5.516	30.8388	5.743	30.6912	5.657	30.8888	5.87	30.8728	6.04	30.649	6.06	30.6012	5.673	30.7174	5.708	30.8096	5.911	
	26.65	35.132	392.766	32.0278	381.963	31.8164	390.123	31.9274	391.972	31.952	394.066	31.804	395.238	32.0208	392.888	31.9852	394.257	31.7722	391.196	31.7228	386.701	31.8198	392.879	31.942	388.84	35.537	395.307	32.3474	377.84	32.2232	381.224	32.237	381.551	32.2708	375.47	32.1636	383.096	32.3408	385.886	32.304	381.216	32.0918	380.273	32.0428	380.07	32.129	397.295	32.2616	386.585	35.861	410.824	32.6568	381.763	32.5454	399.17	32.5562	397.996	32.5916	389.114	32.4828	388.767	32.6596	398.008	32.6256	383.465	32.411	392.691	32.362	383.163	32.4494	391.1	32.5808	398.797	36.1824	382.546	33.0574	366.238	32.8658	375.932	32.8778	374.552	32.9012	373.564	32.7932	375.689	33.052	374.35	32.9448	379.113	32.813	375.363	32.6832	370.42	32.8706	375.91	32.972	374.254	36.5016	402.817	33.377	383.66	33.187	387.727	33.187	384.049	33.2228	384.538	33.1156	380.318	33.3704	378.884	33.256	390.369	33.1314	388.582	33.0024	379.72	33.1902	386.398	33.2916	388.18	36.853	412.078	33.6888	389.487	33.5364	392.633	33.5082	387.275	33.5416	389.688	33.4336	383.613	33.692	389.075	33.6152	386.158	33.4434	385.732	33.42	385.391	33.5002	382.197	33.6128	383.706	37.1722	392.048	34.008	371.176	33.8576	386.415	33.8506	381.902	33.8932	373.562	33.7452	383.114	34.0112	379.437	33.9364	383.919	33.7626	388.448	33.7432	382.544	33.8222	380.719	33.9224	377.866	37.4922	4.898	34.3694	5.451	34.167	5.275	34.169	5.37	34.2124	5.7	34.0932	5.482	34.3328	5.861	34.246	6.132	34.0834	6.104	34.0632	6.012	34.1406	5.688	34.2436	5.698	
