##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	FLEX	Fluorescence	FALSE	Raw	FALSE	40	110	2.8				1	521	1	12	96	492	Automatic	515			22	High			1	8	TimeTags	
	Temperature(¡C)	A1T	A1	A2T	A2	A3T	A3	A4T	A4	A5T	A5	A6T	A6	A7T	A7	A8T	A8	A9T	A9	A10T	A10	A11T	A11	A12T	A12	B1T	B1	B2T	B2	B3T	B3	B4T	B4	B5T	B5	B6T	B6	B7T	B7	B8T	B8	B9T	B9	B10T	B10	B11T	B11	B12T	B12	C1T	C1	C2T	C2	C3T	C3	C4T	C4	C5T	C5	C6T	C6	C7T	C7	C8T	C8	C9T	C9	C10T	C10	C11T	C11	C12T	C12	D1T	D1	D2T	D2	D3T	D3	D4T	D4	D5T	D5	D6T	D6	D7T	D7	D8T	D8	D9T	D9	D10T	D10	D11T	D11	D12T	D12	E1T	E1	E2T	E2	E3T	E3	E4T	E4	E5T	E5	E6T	E6	E7T	E7	E8T	E8	E9T	E9	E10T	E10	E11T	E11	E12T	E12	F1T	F1	F2T	F2	F3T	F3	F4T	F4	F5T	F5	F6T	F6	F7T	F7	F8T	F8	F9T	F9	F10T	F10	F11T	F11	F12T	F12	G1T	G1	G2T	G2	G3T	G3	G4T	G4	G5T	G5	G6T	G6	G7T	G7	G8T	G8	G9T	G9	G10T	G10	G11T	G11	G12T	G12	H1T	H1	H2T	H2	H3T	H3	H4T	H4	H5T	H5	H6T	H6	H7T	H7	H8T	H8	H9T	H9	H10T	H10	H11T	H11	H12T	H12	
	27.77	0.8816	5.036	0.883	6.655	0.8874	6.341	0.881	7.828	0.8808	6.775	0.8862	4.612	0.8814	4.724	0.8886	3.955	0.8866	4.86	0.9306	6.823	0.893	5.776	0.8868	6.207	1.1812	4.974	1.183	4.818	1.187	5.047	1.1698	5.51	1.17	5.71	1.1766	4.991	1.1814	4.266	1.1878	4.355	1.1866	5.65	1.2298	7.107	1.193	5.725	1.1852	8.077	1.48	4.548	1.5386	4.139	1.4862	4.406	1.471	4.236	1.5404	4.96	1.4754	4.675	1.4806	4.218	1.4774	4.375	1.4858	5.336	1.529	6.055	1.4922	5.041	1.4876	9.232	1.772	5.079	1.8438	4.164	1.7774	4.008	1.7706	4.085	1.8404	3.64	1.7758	4.229	1.781	4.005	1.779	4.796	1.8642	4.733	1.8306	5.494	1.7938	4.525	1.786	8.986	2.16	4.744	2.1422	4.134	2.077	4.22	2.0718	4.549	2.132	3.829	2.1634	3.396	2.1626	4.204	2.1606	4.299	2.1666	4.37	2.1194	5.042	2.093	4.29	2.1676	7.316	2.4612	4.615	2.4342	4.739	2.3782	5.129	2.3706	5.021	2.4312	4.385	2.4662	4.274	2.4614	3.798	2.4582	4.037	2.4674	4.184	2.4202	5.072	2.3946	4.452	2.4668	6.821	2.752	5.27	2.7334	5.456	2.7374	5.546	2.7622	5.808	2.7328	5.481	2.7678	5.025	2.753	5.172	2.759	6.159	2.7674	5.807	2.721	7.242	2.693	6.831	2.758	7.103	3.052	5.958	3.0346	5.757	3.0378	5.66	3.0514	5.298	3.022	5.001	3.057	4.882	3.0522	4.617	3.059	4.94	3.1682	5.757	3.081	5.435	3.0442	5.991	3.058	8.481	
	27.77	4.1544	5.321	4.1326	6.886	4.1306	6.617	4.1602	7.999	4.1304	7.339	4.159	4.519	4.1606	4.633	4.151	3.86	4.2762	4.831	4.173	6.818	4.1362	5.688	4.166	5.959	4.4536	4.828	4.415	5.248	4.4294	5.218	4.4542	5.935	4.4244	5.972	4.4486	5.473	4.5646	4.859	4.4502	3.702	4.5802	5.468	4.4618	7.123	4.4354	5.767	4.47	7.967	4.7544	4.483	4.773	4.43	4.7314	4.581	4.7534	4.601	4.7836	5.06	4.7486	4.977	4.8638	4.596	4.7414	4.987	4.8786	5.899	4.7634	6.619	4.737	5.572	4.7692	9.446	5.044	5.073	5.0758	4.281	5.0198	4.152	5.0546	4.17	5.0848	3.838	5.049	4.444	5.1554	4.241	5.0406	4.881	5.169	4.902	5.0626	5.625	5.0354	4.739	5.1764	9.071	5.4332	4.993	5.3778	4.286	5.3214	4.25	5.3538	4.198	5.3744	3.702	5.4354	3.376	5.4546	4.093	5.435	4.526	5.4706	4.708	5.353	5.112	5.3274	4.243	5.4804	7.953	5.7344	4.794	5.6766	4.534	5.6206	5.222	5.6538	4.986	5.6756	4.331	5.7398	3.618	5.7558	3.702	5.7318	4.08	5.7698	4.198	5.6546	5.33	5.6266	4.316	5.7812	7.093	6.0248	5.034	6.0782	4.507	5.9818	5.08	5.9962	5.098	5.9752	4.001	6.0398	4.209	6.0454	4.329	6.0318	4.239	6.061	4.835	5.9538	5.111	5.9274	4.666	6.0708	6.993	6.3264	6.273	6.3766	5.61	6.281	5.629	6.295	5.321	6.2752	5.151	6.3314	4.738	6.3454	4.602	6.3334	4.919	6.4106	5.65	6.325	5.36	6.2874	5.994	6.3708	8.371	
	27.77	7.4336	5.627	7.459	7.055	7.3898	6.884	7.387	8.039	7.368	7.328	7.4294	4.758	7.4382	4.642	7.431	3.923	7.5194	5.003	7.4234	6.164	7.3962	5.727	7.5636	6.051	7.8384	5.211	7.7582	5.307	7.6934	5.043	7.6866	5.9	7.6664	5.989	7.723	5.312	7.8382	4.538	7.7142	3.791	7.8234	5.39	7.7162	7.481	7.6898	6.003	7.8636	8.051	8.1372	4.598	8.0498	4.415	7.9926	4.656	7.9874	4.58	8.028	4.957	8.0222	4.74	8.137	4.378	8.0038	4.387	8.1218	5.524	8.0154	6.687	7.989	5.379	8.162	9.657	8.4384	5.074	8.349	4.28	8.2842	4.187	8.287	4.089	8.3272	3.776	8.3234	4.493	8.4278	4.074	8.3046	4.958	8.4138	4.83	8.317	5.739	8.2898	4.683	8.4532	9.208	8.7376	5.035	8.6494	4.142	8.5834	4.247	8.5874	4.326	8.6184	3.55	8.6886	3.305	8.729	4.076	8.687	4.494	8.713	4.545	8.6162	5.172	8.5794	4.283	8.754	7.768	9.0392	4.915	8.9506	4.705	8.9894	5.263	8.8886	4.805	8.918	4.125	8.993	3.569	9.0278	3.545	8.9846	4.12	9.013	4.032	8.9162	5.563	8.8794	4.306	9.0532	7.092	9.3384	4.994	9.3198	4.438	9.2842	4.999	9.2478	5.056	9.2192	3.89	9.293	3.986	9.3198	4.246	9.287	4.107	9.305	4.819	9.2178	5.27	9.181	4.671	9.3444	7.309	9.6384	6.379	9.621	5.865	9.5846	5.768	9.5494	5.446	9.5184	4.912	9.5838	4.687	9.619	4.736	9.5854	4.925	9.6538	5.727	9.5674	5.55	9.5402	6.008	9.714	8.54	
	27.77	10.7312	5.804	10.719	6.955	10.677	6.801	10.6566	7.952	10.6272	7.338	10.6854	4.703	10.7278	4.704	10.6774	3.872	10.7466	4.85	10.6594	6.308	10.6218	5.615	10.8276	6.037	11.1112	5.19	11.0026	5.524	10.9758	5.322	10.9606	5.8	11.0372	6.139	10.975	5.455	11.1014	4.586	10.9766	3.892	11.045	5.539	10.949	7.43	10.9114	5.888	11.1268	8.092	11.4104	4.771	11.2922	4.522	11.3758	4.532	11.2594	4.628	11.34	5.18	11.2766	4.616	11.4006	4.356	11.2686	4.499	11.3458	5.65	11.2498	6.434	11.213	5.444	11.426	9.825	11.7104	5.214	11.5934	4.261	11.6666	4.191	11.5514	4.156	11.6416	3.835	11.5758	4.466	11.6918	4.071	11.5678	4.881	11.6474	4.859	11.549	5.678	11.5122	4.771	11.7172	9.156	12.012	4.886	11.8926	4.298	11.9686	4.311	11.8506	4.429	11.9308	3.699	11.9622	3.361	11.991	4.154	11.9606	4.448	11.9466	4.67	11.8498	5.362	11.8026	4.272	12.0164	7.863	12.3112	4.888	12.1926	4.549	12.267	5.066	12.2522	4.928	12.232	4.114	12.2662	3.644	12.2922	3.669	12.2582	4.155	12.2474	4.21	12.1514	5.414	12.1042	4.295	12.3172	7.184	12.6024	4.979	12.565	4.496	12.5582	5.144	12.5514	5.062	12.5312	3.825	12.5662	3.883	12.5818	3.897	12.559	4.241	12.5466	4.823	12.4506	5.271	12.4034	4.684	12.6068	7.286	12.9016	6.502	12.8634	5.798	12.8578	5.713	12.8414	5.392	12.8216	5.034	12.8578	4.656	12.8822	4.654	12.8598	4.984	12.8986	5.696	12.8114	5.485	12.7746	6.019	12.9572	8.582	
	27.77	14.0104	5.735	13.9458	7.016	13.9662	6.644	13.9338	7.986	13.9144	7.436	13.9658	4.903	13.9746	4.661	13.9574	3.878	14.0058	4.928	13.9194	6.208	13.8722	5.636	14.05	6.145	14.3744	5.255	14.245	5.553	14.3766	5.335	14.233	6.041	14.2712	6.139	14.3702	5.395	14.3746	4.657	14.2414	3.849	14.3098	5.538	14.2234	7.335	14.1658	6.017	14.3492	7.899	14.6744	4.629	14.5462	4.474	14.6798	4.486	14.6434	4.559	14.5736	5.17	14.6694	4.724	14.6742	4.372	14.5302	4.21	14.609	5.59	14.5226	6.726	14.465	5.399	14.65	9.701	14.9756	5.159	14.8462	4.25	14.9814	4.227	14.9458	3.986	14.8748	3.916	14.9706	4.569	14.975	4.073	14.8326	5.023	14.9114	4.972	14.825	5.72	14.7674	4.835	14.9396	9.363	15.2744	5.008	15.1462	4.235	15.2802	4.172	15.2442	4.352	15.1656	3.672	15.2694	3.415	15.2742	4.054	15.215	4.496	15.2098	4.335	15.1234	5.217	15.0562	4.055	15.2396	8.122	15.5744	4.86	15.4462	4.625	15.6806	5.028	15.5442	4.905	15.4644	4.125	15.5694	3.54	15.5742	3.656	15.5118	4.147	15.5098	4.052	15.4226	5.606	15.3562	4.381	15.5396	7.19	15.8648	4.915	15.8062	4.458	15.9806	5.112	15.8442	5.177	15.7648	3.812	15.8694	3.985	15.865	4.004	15.8118	4.132	15.9066	4.748	15.8154	5.29	15.6562	4.57	15.83	7.24	16.1652	6.303	16.1066	5.658	16.271	5.571	16.1346	5.503	16.0648	4.873	16.1602	4.71	16.1654	4.607	16.1118	5.085	16.2106	5.716	16.1034	5.421	16.0066	5.887	16.2004	8.566	
	27.77	32.3628	292.947	32.2946	318.726	32.545	292.584	32.3322	295.946	32.2824	283.525	32.3378	273.338	32.3326	283.687	32.3198	278.38	32.4074	303.508	32.321	291.252	32.2146	255.544	32.398	231.885	32.7528	313.54	32.593	319.485	32.8486	316.555	32.6314	317.245	32.616	298.9	32.7366	288.124	32.7318	315.332	32.6182	329.72	32.697	334.185	32.6202	343.62	32.513	252.386	32.6868	258.506	33.052	314.604	32.8846	326.292	33.1478	318.83	32.9914	331.551	32.9228	320.117	33.0286	311.668	33.0334	301.444	32.9206	342.741	32.9986	378.963	32.9114	348.284	32.8154	281.444	32.9892	270.15	33.352	306.618	33.1838	315.788	33.4494	311.315	33.2918	319.118	33.2224	325.317	33.3274	310.496	33.3322	295.175	33.219	326.986	33.3874	320.287	33.301	322.947	33.1138	281.572	33.2876	259.452	33.6536	319.183	33.4846	322.876	33.8102	318.742	33.593	311.07	33.5224	308.248	33.6286	301.839	33.6238	307.523	33.6006	344.914	33.6794	337.655	33.601	351.957	33.4154	301.762	33.5892	265.548	33.9528	310.293	33.7742	320.737	34.109	321.547	33.8826	334.596	33.9228	306.442	33.9182	300.449	33.923	310.492	33.8998	329.622	33.9786	361.383	33.8914	310.498	33.7146	283.881	33.8884	237.771	34.2544	295.574	34.1458	315.422	34.411	302.078	34.1838	330.79	34.2232	289.765	34.2182	295.457	34.2234	295.895	34.191	336.335	34.2794	291.248	34.1922	297.27	34.0154	257.613	34.1892	242.447	34.5536	22.081	34.4446	24.52	34.7094	18.433	34.483	17.905	34.524	17.019	34.5182	16.907	34.5146	14.805	34.4902	16.735	34.569	18.623	34.493	21.872	34.3754	17.982	34.5588	20.254	
	27.78	35.6536	276.608	35.5454	304.932	35.8018	277.344	35.583	281.499	35.684	269.957	35.619	260.141	35.6238	264.649	35.6006	266.616	35.6786	288.913	35.593	275.173	35.4754	244.504	35.6692	220.07	36.006	295.47	35.8474	307.735	36.1006	301.085	35.8654	301.581	35.9856	281.53	36.0018	271.581	35.9862	298.779	36.0038	315.901	35.9714	315.681	35.8946	324.502	35.7778	237.692	35.9612	243.158	36.3052	298.286	36.147	309.634	36.3922	299.344	36.2346	315.521	36.2852	300.17	36.3006	290.977	36.2854	286.205	36.3022	324.299	36.2706	356.277	36.1834	329.63	36.077	266.651	36.2612	254.626	36.6064	287.019	36.4478	296.796	36.6914	290.796	36.5362	297.686	36.5864	307.531	36.6014	290.989	36.5862	276.43	36.5934	307.936	36.6314	302.688	36.545	306.563	36.3786	263.307	36.562	244.733	36.9056	301.174	36.747	308.773	37.0838	307.348	36.8354	297.953	36.9472	300.145	36.9006	294.421	36.8758	295.55	36.8934	334.103	36.921	325.05	36.8442	344.359	36.6778	288.92	36.8612	256.426	37.2072	300.169	37.0374	312.96	37.3822	314.275	37.1266	320.311	37.2464	307.724	37.1922	296.317	37.1766	305.058	37.1942	321.382	37.2226	353.549	37.1354	307.953	36.9778	275.802	37.162	233.481	37.5064	290.99	37.3894	308.402	37.6822	298.538	37.4258	323.638	37.5464	291.457	37.4914	292.858	37.4766	290.84	37.4838	330.616	37.5218	286.529	37.4354	294.678	37.3794	250.866	37.5692	237.029	37.7968	20.182	37.6878	22.115	37.9838	18.365	37.7262	17.489	37.8464	17.112	37.7914	16.675	37.777	14.875	37.7838	16.656	37.8122	17.727	37.7354	21.577	37.6778	16.946	37.8628	19.226	
	27.77	38.8896	277.218	38.7806	303.749	39.093	279.118	38.809	279.614	38.9388	273.521	38.8742	263.158	38.869	263.081	38.8766	268.479	38.905	287.109	38.8178	278.309	38.761	242.65	38.9444	221.694	39.288	292.069	39.0794	301.339	39.4854	298.569	39.1078	297.942	39.2376	284.705	39.2742	274.008	39.2686	298.464	39.2758	318.124	39.2034	310.731	39.117	322.166	39.0602	234.761	39.234	240.807	39.5896	297.685	39.371	306.676	39.7842	301.912	39.4778	311.637	39.5296	301.592	39.5734	292.246	39.5698	288.907	39.575	329.179	39.505	350.381	39.4186	329.938	39.3514	265.716	39.5348	254.705	39.8884	290.442	39.6702	296.069	40.0758	291.148	39.7786	299.271	39.8288	310.402	39.8738	292.764	39.8686	279.832	39.8662	310.599	39.8738	305.271	39.7874	309.291	39.6498	264.202	39.834	248.061	40.19	305.575	39.9702	312.933	40.375	308.851	40.0798	302.622	40.2216	305.126	40.175	298.832	40.1606	300.469	40.167	336.488	40.1658	327.047	40.089	346.457	39.9514	290.823	40.1252	259.183	40.4896	303.642	40.2618	316.352	40.6766	316.46	40.379	324.043	40.5192	310.574	40.4742	299.608	40.4598	307.571	40.4662	324.396	40.465	353.624	40.3786	310.292	40.2506	278.49	40.4244	235.145	40.7908	292.584	40.631	311.558	40.9758	301.658	40.6802	323.249	40.8196	294.975	40.7758	294.716	40.7598	293.664	40.7574	332.062	40.7658	289.314	40.6794	295.285	40.613	250.763	40.7988	239.435	41.09	19.819	40.9326	20.362	41.2758	18.244	40.9794	17.796	41.1208	17.387	41.075	16.471	41.051	14.782	41.0566	16.531	41.065	18.224	40.9786	21.413	40.9114	15.733	41.0956	17.821	
	27.77	42.19	278.405	42.0318	305.199	42.3582	281.175	42.0794	283.766	42.2304	274.927	42.1758	265.235	42.1606	264.421	42.167	270.548	42.1754	288.877	42.0794	280.595	42.0122	244.668	42.2052	222.087	42.5424	293.896	42.3334	304.002	42.7574	301.039	42.3722	300.824	42.6224	286.852	42.5374	277.428	42.5226	301.937	42.5398	322.45	42.4778	310.929	42.361	324.863	42.3042	235.367	42.498	243.342	42.8416	301.16	42.623	309.612	43.0586	304.728	42.721	314.299	42.9216	302.199	42.8366	292.849	42.8222	294.461	42.839	330.582	42.8802	350.725	42.6602	332.245	42.6034	268.925	42.7972	258.428	43.1432	288.7	42.9246	298.265	43.3482	292.362	43.0226	301.96	43.2128	311.418	43.1382	289.547	43.123	281.478	43.1302	311.564	43.1786	307.32	43.0314	310.545	42.9946	265.354	43.1884	252.293	43.4424	307.313	43.2238	315.978	43.6502	311.323	43.3218	305.811	43.5124	307.924	43.4382	299.957	43.4126	299.436	43.4294	338.122	43.4674	327.862	43.3306	347.007	43.2938	290.13	43.4884	261.531	43.7436	301.046	43.515	318.533	43.9486	317.764	43.623	323.756	43.8136	311.843	43.7286	301.012	43.7142	308.449	43.7302	327.204	43.769	354.812	43.633	313.653	43.585	278.481	43.7892	235.844	44.0428	293.195	43.8762	313.106	44.249	303.185	43.9242	324.216	44.1128	296.782	44.0278	296.469	44.0134	294.395	44.0198	332.858	44.0682	292.081	43.9314	297.386	43.885	255.001	44.0884	240.057	44.3332	18.439	44.1746	19.549	44.5502	17.681	44.2226	17.233	44.4128	17.599	44.3278	16.084	44.3134	14.788	44.3206	16.746	44.3586	18.219	44.2218	21.221	44.185	15.697	44.3796	17.966	
	27.77	45.4256	279.586	45.257	305.982	45.6598	281.643	45.3046	284.005	45.496	277.169	45.411	267.375	45.4062	264.865	45.4126	273.527	45.4506	290.076	45.3146	282.307	45.2674	247.438	45.4788	223.614	45.8256	293.573	45.5562	305.76	46.0218	301.871	45.5942	301.608	45.8948	290.257	45.8094	279.113	45.8062	303.775	45.8126	325.866	45.7402	311.892	45.6138	326.194	45.5666	238.494	45.7716	243.978	46.1248	301.888	45.8478	310.178	46.3206	306.026	45.9658	314.201	46.196	303.753	46.1014	293.441	46.1054	297.793	46.1118	332.314	46.121	348.858	45.9154	333.882	45.8682	272.811	46.0708	259.399	46.4264	288.598	46.1462	299.229	46.6126	292.764	46.2642	304.924	46.4856	312.701	46.4006	292.28	46.4054	282.409	46.4022	311.368	46.4202	310.054	46.2634	311.955	46.237	266.869	46.4204	254.294	46.7256	309.773	46.447	317.206	46.9118	311.587	46.5562	307.984	46.7864	308.897	46.7014	299.874	46.6966	303.056	46.7038	339.124	46.7122	329.224	46.5554	346.259	46.5386	291.132	46.7124	263.403	47.026	303.592	46.7486	319.881	47.213	320.743	46.8554	324.541	47.086	315.693	46.991	303.424	46.9962	309.707	47.0022	328.576	47.0114	356.043	46.8546	316.792	46.8274	278.129	47.0116	238.833	47.3272	294.03	47.1174	315.112	47.5126	305.125	47.1554	323.22	47.3872	299.381	47.2926	298.431	47.2974	297.422	47.2942	332.073	47.3114	293.786	47.1554	297.251	47.129	257.178	47.3124	241.734	47.6264	18.119	47.419	19.547	47.8122	17.598	47.447	17.298	47.6864	17.191	47.5914	16.056	47.587	14.726	47.5934	16.642	47.613	18.306	47.445	21.218	47.4282	15.083	47.602	17.564	
