Plate,Repeat,Well,Type,Time,Fluorescein (0.3s) (Counts)
1,1,A01,M,00:00:14.99,33712
1,2,A01,M,00:01:37.86,33078
1,3,A01,M,00:03:00.73,32848
1,4,A01,M,00:04:23.60,31847
1,5,A01,M,00:05:46.47,32261
1,6,A01,M,00:07:09.34,31921
1,7,A01,M,00:08:32.24,32048
1,8,A01,M,00:09:55.15,31272
1,9,A01,M,00:11:18.02,30870
1,10,A01,M,00:12:40.89,30519
1,1,A02,M,00:00:15.61,2690
1,2,A02,M,00:01:38.48,2643
1,3,A02,M,00:03:01.35,2671
1,4,A02,M,00:04:24.22,2550
1,5,A02,M,00:05:47.09,2503
1,6,A02,M,00:07:09.96,2565
1,7,A02,M,00:08:32.86,2471
1,8,A02,M,00:09:55.77,2479
1,9,A02,M,00:11:18.64,2491
1,10,A02,M,00:12:41.51,2428
1,1,A03,M,00:00:16.22,38171
1,2,A03,M,00:01:39.09,37173
1,3,A03,M,00:03:01.96,37354
1,4,A03,M,00:04:24.84,36655
1,5,A03,M,00:05:47.70,36429
1,6,A03,M,00:07:10.60,35815
1,7,A03,M,00:08:33.47,35429
1,8,A03,M,00:09:56.39,34999
1,9,A03,M,00:11:19.25,35462
1,10,A03,M,00:12:42.12,34964
1,1,A04,M,00:00:16.84,2722
1,2,A04,M,00:01:39.71,2553
1,3,A04,M,00:03:02.58,2638
1,4,A04,M,00:04:25.45,2600
1,5,A04,M,00:05:48.32,2521
1,6,A04,M,00:07:11.22,2565
1,7,A04,M,00:08:34.09,2487
1,8,A04,M,00:09:57.00,2575
1,9,A04,M,00:11:19.87,2516
1,10,A04,M,00:12:42.74,2554
1,1,A05,M,00:00:17.45,37326
1,2,A05,M,00:01:40.32,36419
1,3,A05,M,00:03:03.19,36031
1,4,A05,M,00:04:26.07,35807
1,5,A05,M,00:05:48.93,35187
1,6,A05,M,00:07:11.83,34791
1,7,A05,M,00:08:34.70,34622
1,8,A05,M,00:09:57.62,34633
1,9,A05,M,00:11:20.48,35011
1,10,A05,M,00:12:43.35,34265
1,1,A06,M,00:00:18.07,2952
1,2,A06,M,00:01:40.94,2903
1,3,A06,M,00:03:03.81,2889
1,4,A06,M,00:04:26.68,2933
1,5,A06,M,00:05:49.55,2861
1,6,A06,M,00:07:12.45,2807
1,7,A06,M,00:08:35.32,2692
1,8,A06,M,00:09:58.23,2870
