Plate,Repeat,Well,Type,Time,ANTS (Counts)
1,1,A01,M,00:00:31.65,5807
1,2,A01,M,00:01:01.27,6182
1,3,A01,M,00:01:30.90,6247
1,4,A01,M,00:02:00.52,6212
1,5,A01,M,00:02:30.19,6583
1,6,A01,M,00:02:59.83,6804
1,7,A01,M,00:03:29.47,6805
1,8,A01,M,00:03:59.12,6815
1,9,A01,M,00:04:28.75,7094
1,10,A01,M,00:04:58.37,7286
1,11,A01,M,00:05:28.00,7396
1,12,A01,M,00:05:57.63,7445
1,13,A01,M,00:06:27.25,7662
1,14,A01,M,00:06:56.88,7779
1,15,A01,M,00:07:26.50,8045
1,16,A01,M,00:07:56.13,8163
1,17,A01,M,00:08:25.75,8163
1,18,A01,M,00:08:55.38,8282
1,19,A01,M,00:09:25.00,8471
1,20,A01,M,00:09:54.63,8543
1,21,A01,M,00:10:24.25,8549
1,22,A01,M,00:10:53.89,8744
1,23,A01,M,00:11:23.51,8863
1,24,A01,M,00:11:53.14,8846
1,25,A01,M,00:12:22.76,9055
1,26,A01,M,00:12:52.39,9185
1,27,A01,M,00:13:22.01,8969
1,28,A01,M,00:13:51.64,9060
1,29,A01,M,00:14:21.27,9211
1,30,A01,M,00:14:50.89,9215
1,31,A01,M,00:15:20.53,9266
1,32,A01,M,00:15:50.16,9500
1,33,A01,M,00:16:19.78,9377
1,34,A01,M,00:16:49.40,9625
1,35,A01,M,00:17:19.03,9545
1,36,A01,M,00:17:48.66,9532
1,37,A01,M,00:18:18.29,9543
1,38,A01,M,00:18:47.91,9758
1,39,A01,M,00:19:17.54,9782
1,40,A01,M,00:19:47.16,9709
1,41,A01,M,00:20:16.79,9896
1,42,A01,M,00:20:46.46,9962
1,43,A01,M,00:21:16.09,10080
1,44,A01,M,00:21:45.72,10085
1,45,A01,M,00:22:15.35,9916
1,46,A01,M,00:22:44.97,10083
1,47,A01,M,00:23:14.61,10302
1,48,A01,M,00:23:44.23,10124
1,49,A01,M,00:24:13.86,10389
1,50,A01,M,00:24:43.48,10207
1,51,A01,M,00:25:13.11,10075
1,52,A01,M,00:25:42.73,10081
1,53,A01,M,00:26:12.36,10462
1,54,A01,M,00:26:41.98,10309
1,55,A01,M,00:27:11.61,10328
1,56,A01,M,00:27:41.23,10324
1,57,A01,M,00:28:10.85,10402
1,58,A01,M,00:28:40.48,10396
1,59,A01,M,00:29:10.10,10509
1,60,A01,M,00:29:39.73,10441
1,61,A01,M,00:30:09.36,10408
1,62,A01,M,00:30:39.01,10654
1,63,A01,M,00:31:08.63,10564
1,64,A01,M,00:31:38.29,10601
1,65,A01,M,00:32:07.93,10552
1,66,A01,M,00:32:37.57,10672
1,67,A01,M,00:33:07.19,10617
1,68,A01,M,00:33:36.84,10774
1,69,A01,M,00:34:06.46,10694
1,70,A01,M,00:34:36.09,10994
1,1,A02,M,00:00:32.16,4879
1,2,A02,M,00:01:01.79,4930
1,3,A02,M,00:01:31.41,5017
1,4,A02,M,00:02:01.03,5059
1,5,A02,M,00:02:30.70,5298
1,6,A02,M,00:03:00.34,5236
1,7,A02,M,00:03:29.98,5414
1,8,A02,M,00:03:59.63,5429
1,9,A02,M,00:04:29.26,5537
1,10,A02,M,00:04:58.89,5634
1,11,A02,M,00:05:28.52,5672
1,12,A02,M,00:05:58.14,5657
1,13,A02,M,00:06:27.77,5702
1,14,A02,M,00:06:57.39,5910
1,15,A02,M,00:07:27.02,6007
1,16,A02,M,00:07:56.64,6156
1,17,A02,M,00:08:26.27,6033
1,18,A02,M,00:08:55.89,6282
1,19,A02,M,00:09:25.52,6316
1,20,A02,M,00:09:55.14,6445
1,21,A02,M,00:10:24.77,6377
1,22,A02,M,00:10:54.40,6282
1,23,A02,M,00:11:24.03,6478
1,24,A02,M,00:11:53.65,6696
1,25,A02,M,00:12:23.28,6771
1,26,A02,M,00:12:52.90,6778
1,27,A02,M,00:13:22.53,6643
1,28,A02,M,00:13:52.15,6967
1,29,A02,M,00:14:21.78,7021
1,30,A02,M,00:14:51.41,6950
1,31,A02,M,00:15:21.04,7190
1,32,A02,M,00:15:50.67,6869
1,33,A02,M,00:16:20.29,7210
1,34,A02,M,00:16:49.92,7194
1,35,A02,M,00:17:19.54,7108
1,36,A02,M,00:17:49.17,7361
1,37,A02,M,00:18:18.80,7260
1,38,A02,M,00:18:48.43,7376
1,39,A02,M,00:19:18.05,7454
1,40,A02,M,00:19:47.68,7535
