Plate,Repeat,Well,Type,Time,Fluorescein (0.1s) (Counts)
1,1,A01,M,00:00:10.73,61785
1,2,A01,M,00:03:15.93,61571
1,3,A01,M,00:06:21.19,61682
1,4,A01,M,00:09:26.45,61815
1,5,A01,M,00:12:31.68,60814
1,6,A01,M,00:15:36.89,60803
1,7,A01,M,00:18:42.11,60710
1,8,A01,M,00:21:47.34,62112
1,9,A01,M,00:24:52.54,61443
1,10,A01,M,00:27:57.75,59612
1,1,A02,M,00:00:11.10,60496
1,2,A02,M,00:03:16.30,59713
1,3,A02,M,00:06:21.56,59998
1,4,A02,M,00:09:26.82,60621
1,5,A02,M,00:12:32.05,59727
1,6,A02,M,00:15:37.25,59384
1,7,A02,M,00:18:42.48,59460
1,8,A02,M,00:21:47.71,60623
1,9,A02,M,00:24:52.91,60223
1,10,A02,M,00:27:58.11,58826
1,1,A03,M,00:00:11.47,63110
1,2,A03,M,00:03:16.67,61748
1,3,A03,M,00:06:21.93,62304
1,4,A03,M,00:09:27.19,62999
1,5,A03,M,00:12:32.42,61713
1,6,A03,M,00:15:37.62,61677
1,7,A03,M,00:18:42.85,61983
1,8,A03,M,00:21:48.08,63039
1,9,A03,M,00:24:53.28,62330
1,10,A03,M,00:27:58.48,60911
1,1,A04,M,00:00:11.84,61199
1,2,A04,M,00:03:17.04,59870
1,3,A04,M,00:06:22.30,60853
1,4,A04,M,00:09:27.56,61782
1,5,A04,M,00:12:32.79,60522
1,6,A04,M,00:15:38.00,60461
1,7,A04,M,00:18:43.22,60176
1,8,A04,M,00:21:48.45,62038
1,9,A04,M,00:24:53.65,62514
1,10,A04,M,00:27:58.85,59183
1,1,A05,M,00:00:12.21,62829
1,2,A05,M,00:03:17.41,61690
1,3,A05,M,00:06:22.67,62812
1,4,A05,M,00:09:27.93,62643
1,5,A05,M,00:12:33.16,61562
1,6,A05,M,00:15:38.36,62327
1,7,A05,M,00:18:43.59,61994
1,8,A05,M,00:21:48.82,62628
1,9,A05,M,00:24:54.02,62122
1,10,A05,M,00:27:59.22,60809
1,1,A06,M,00:00:12.58,60424
1,2,A06,M,00:03:17.78,60938
1,3,A06,M,00:06:23.04,60395
1,4,A06,M,00:09:28.30,60212
1,5,A06,M,00:12:33.53,60270
1,6,A06,M,00:15:38.75,60054
1,7,A06,M,00:18:43.96,61043
1,8,A06,M,00:21:49.19,60418
1,9,A06,M,00:24:54.39,60157
1,10,A06,M,00:27:59.59,59506
1,1,A07,M,00:00:12.95,63910
1,2,A07,M,00:03:18.15,62935
1,3,A07,M,00:06:23.41,63409
1,4,A07,M,00:09:28.67,64022
1,5,A07,M,00:12:33.90,63349
1,6,A07,M,00:15:39.12,63398
1,7,A07,M,00:18:44.33,62926
1,8,A07,M,00:21:49.56,63460
1,9,A07,M,00:24:54.76,63377
1,10,A07,M,00:27:59.96,62018
1,1,A08,M,00:00:13.32,63286
1,2,A08,M,00:03:18.52,63313
1,3,A08,M,00:06:23.78,62861
1,4,A08,M,00:09:29.04,64025
1,5,A08,M,00:12:34.27,62961
1,6,A08,M,00:15:39.50,62995
1,7,A08,M,00:18:44.70,62594
1,8,A08,M,00:21:49.93,63073
1,9,A08,M,00:24:55.13,63120
1,10,A08,M,00:28:00.33,62041
1,1,A09,M,00:00:13.69,62407
1,2,A09,M,00:03:18.89,62397
1,3,A09,M,00:06:24.15,62347
1,4,A09,M,00:09:29.41,62829
1,5,A09,M,00:12:34.64,61976
1,6,A09,M,00:15:39.86,62486
1,7,A09,M,00:18:45.07,61957
1,8,A09,M,00:21:50.30,62282
1,9,A09,M,00:24:55.50,62825
1,10,A09,M,00:28:00.70,60909
1,1,A10,M,00:00:14.06,62861
1,2,A10,M,00:03:19.26,62640
1,3,A10,M,00:06:24.52,61785
1,4,A10,M,00:09:29.78,62550
1,5,A10,M,00:12:35.01,62113
1,6,A10,M,00:15:40.24,62220
1,7,A10,M,00:18:45.44,61522
1,8,A10,M,00:21:50.67,62788
1,9,A10,M,00:24:55.87,62961
1,10,A10,M,00:28:01.07,61626
1,1,A11,M,00:00:14.43,64409
1,2,A11,M,00:03:19.63,64196
1,3,A11,M,00:06:24.89,63635
1,4,A11,M,00:09:30.15,64185
1,5,A11,M,00:12:35.38,63934
1,6,A11,M,00:15:40.60,64182
1,7,A11,M,00:18:45.81,62870
1,8,A11,M,00:21:51.04,63360
1,9,A11,M,00:24:56.24,63830
1,10,A11,M,00:28:01.44,63050
1,1,A12,M,00:00:14.80,64256
1,2,A12,M,00:03:20.00,64346
1,3,A12,M,00:06:25.26,64027
1,4,A12,M,00:09:30.52,64546
1,5,A12,M,00:12:35.75,63898
1,6,A12,M,00:15:40.97,63511
1,7,A12,M,00:18:46.18,63309
1,8,A12,M,00:21:51.41,64163
1,9,A12,M,00:24:56.61,64004
1,10,A12,M,00:28:01.81,62824
1,1,A13,M,00:00:15.17,64773
1,2,A13,M,00:03:20.37,64876
1,3,A13,M,00:06:25.63,64847
1,4,A13,M,00:09:30.89,64585
1,5,A13,M,00:12:36.12,64354
1,6,A13,M,00:15:41.35,64390
1,7,A13,M,00:18:46.55,64239
1,8,A13,M,00:21:51.78,64117
1,9,A13,M,00:24:56.98,64114
1,10,A13,M,00:28:02.18,63543
1,1,A14,M,00:00:15.54,63208
1,2,A14,M,00:03:20.74,63314
1,3,A14,M,00:06:26.00,62722
1,4,A14,M,00:09:31.26,63710
1,5,A14,M,00:12:36.49,62957
1,6,A14,M,00:15:41.72,63192
1,7,A14,M,00:18:46.92,62570
1,8,A14,M,00:21:52.15,63327
1,9,A14,M,00:24:57.35,63490
1,10,A14,M,00:28:02.55,62105
1,1,A15,M,00:00:15.91,64548
1,2,A15,M,00:03:21.11,64873
1,3,A15,M,00:06:26.37,64982
1,4,A15,M,00:09:31.65,65212
1,5,A15,M,00:12:36.86,64426
1,6,A15,M,00:15:42.08,64303
1,7,A15,M,00:18:47.29,64493
1,8,A15,M,00:21:52.52,64774
1,9,A15,M,00:24:57.72,64015
1,10,A15,M,00:28:02.93,63913
1,1,A16,M,00:00:16.28,65151
1,2,A16,M,00:03:21.48,65635
1,3,A16,M,00:06:26.74,66167
1,4,A16,M,00:09:32.02,64976
1,5,A16,M,00:12:37.23,65291
1,6,A16,M,00:15:42.45,64759
1,7,A16,M,00:18:47.66,64491
1,8,A16,M,00:21:52.89,64911
1,9,A16,M,00:24:58.09,64313
1,10,A16,M,00:28:03.29,63694
1,1,A17,M,00:00:16.65,65947
1,2,A17,M,00:03:21.85,66016
1,3,A17,M,00:06:27.11,66037
1,4,A17,M,00:09:32.39,66156
1,5,A17,M,00:12:37.60,65845
1,6,A17,M,00:15:42.82,66348
1,7,A17,M,00:18:48.03,65960
1,8,A17,M,00:21:53.26,66032
1,9,A17,M,00:24:58.46,66354
1,10,A17,M,00:28:03.66,65490
1,1,A18,M,00:00:17.02,65976
1,2,A18,M,00:03:22.22,65987
1,3,A18,M,00:06:27.48,65993
1,4,A18,M,00:09:32.76,65906
1,5,A18,M,00:12:37.97,65756
1,6,A18,M,00:15:43.19,65328
1,7,A18,M,00:18:48.40,65291
1,8,A18,M,00:21:53.63,65593
1,9,A18,M,00:24:58.83,65153
1,10,A18,M,00:28:04.03,64874
1,1,A19,M,00:00:17.39,66299
1,2,A19,M,00:03:22.59,66295
1,3,A19,M,00:06:27.85,66561
1,4,A19,M,00:09:33.13,66668
1,5,A19,M,00:12:38.34,66378
1,6,A19,M,00:15:43.56,65900
1,7,A19,M,00:18:48.77,66174
1,8,A19,M,00:21:54.00,66927
1,9,A19,M,00:24:59.20,66452
1,10,A19,M,00:28:04.40,64840
1,1,A20,M,00:00:17.76,66723
1,2,A20,M,00:03:22.96,66862
1,3,A20,M,00:06:28.22,66656
1,4,A20,M,00:09:33.50,67056
1,5,A20,M,00:12:38.71,66650
1,6,A20,M,00:15:43.93,66324
1,7,A20,M,00:18:49.14,65935
1,8,A20,M,00:21:54.37,66990
1,9,A20,M,00:24:59.57,66696
1,10,A20,M,00:28:04.77,65458
1,1,A21,M,00:00:18.13,65918
1,2,A21,M,00:03:23.33,65982
1,3,A21,M,00:06:28.59,65970
1,4,A21,M,00:09:33.87,65579
1,5,A21,M,00:12:39.08,65919
1,6,A21,M,00:15:44.30,66344
1,7,A21,M,00:18:49.51,65415
1,8,A21,M,00:21:54.74,65490
1,9,A21,M,00:24:59.94,65304
1,10,A21,M,00:28:05.14,64480
1,1,A22,M,00:00:18.50,66632
1,2,A22,M,00:03:23.70,66915
1,3,A22,M,00:06:28.96,66709
1,4,A22,M,00:09:34.24,66627
1,5,A22,M,00:12:39.45,66309
1,6,A22,M,00:15:44.67,66800
1,7,A22,M,00:18:49.88,65706
1,8,A22,M,00:21:55.11,66075
1,9,A22,M,00:25:00.31,66393
1,10,A22,M,00:28:05.51,65039
1,1,A23,M,00:00:18.87,64993
1,2,A23,M,00:03:24.07,65868
1,3,A23,M,00:06:29.33,65542
1,4,A23,M,00:09:34.61,65719
1,5,A23,M,00:12:39.82,65647
1,6,A23,M,00:15:45.05,64864
1,7,A23,M,00:18:50.25,65233
1,8,A23,M,00:21:55.48,65025
1,9,A23,M,00:25:00.68,65584
1,10,A23,M,00:28:05.88,64643
1,1,A24,M,00:00:19.24,64497
1,2,A24,M,00:03:24.47,64614
1,3,A24,M,00:06:29.70,64804
1,4,A24,M,00:09:34.98,64699
1,5,A24,M,00:12:40.19,64498
1,6,A24,M,00:15:45.41,64325
1,7,A24,M,00:18:50.62,64575
1,8,A24,M,00:21:55.85,64672
1,9,A24,M,00:25:01.05,64187
1,10,A24,M,00:28:06.25,63665
1,1,B01,M,00:00:22.04,60391
1,2,B01,M,00:03:27.27,60538
1,3,B01,M,00:06:32.51,60137
1,4,B01,M,00:09:37.78,60253
1,5,B01,M,00:12:42.99,60613
1,6,B01,M,00:15:48.22,59882
1,7,B01,M,00:18:53.42,59639
1,8,B01,M,00:21:58.65,60756
1,9,B01,M,00:25:03.85,59492
1,10,B01,M,00:28:09.06,59188
1,1,B02,M,00:00:22.41,61852
1,2,B02,M,00:03:27.64,60462
1,3,B02,M,00:06:32.88,62146
1,4,B02,M,00:09:38.15,61383
1,5,B02,M,00:12:43.36,61557
1,6,B02,M,00:15:48.59,60347
1,7,B02,M,00:18:53.79,60202
1,8,B02,M,00:21:59.02,61775
1,9,B02,M,00:25:04.23,60804
1,10,B02,M,00:28:09.43,60127
1,1,B03,M,00:00:22.78,62445
1,2,B03,M,00:03:28.01,61629
1,3,B03,M,00:06:33.25,63250
1,4,B03,M,00:09:38.52,63090
1,5,B03,M,00:12:43.73,63023
1,6,B03,M,00:15:48.96,62409
1,7,B03,M,00:18:54.16,61319
1,8,B03,M,00:21:59.39,62556
1,9,B03,M,00:25:04.60,62524
1,10,B03,M,00:28:09.80,61742
1,1,B04,M,00:00:23.15,59653
1,2,B04,M,00:03:28.38,59052
1,3,B04,M,00:06:33.62,61024
1,4,B04,M,00:09:38.89,60782
1,5,B04,M,00:12:44.10,60582
1,6,B04,M,00:15:49.33,59416
1,7,B04,M,00:18:54.53,58475
1,8,B04,M,00:21:59.76,61003
1,9,B04,M,00:25:04.96,60050
1,10,B04,M,00:28:10.17,58471
1,1,B05,M,00:00:23.52,61811
1,2,B05,M,00:03:28.75,61772
1,3,B05,M,00:06:33.99,62191
1,4,B05,M,00:09:39.26,61924
1,5,B05,M,00:12:44.47,61675
1,6,B05,M,00:15:49.70,61377
1,7,B05,M,00:18:54.90,61022
1,8,B05,M,00:22:00.13,62396
1,9,B05,M,00:25:05.34,61880
