Plate,Repeat,Well,Type,Time,ANTS bottom (Counts)
1,1,A01,M,00:00:13.20,261839
1,2,A01,M,00:01:26.35,260223
1,3,A01,M,00:02:39.51,260186
1,4,A01,M,00:03:52.67,260791
1,5,A01,M,00:05:05.84,261143
1,6,A01,M,00:06:19.00,260497
1,7,A01,M,00:07:32.18,260947
1,8,A01,M,00:08:45.33,260413
1,9,A01,M,00:09:58.49,260909
1,10,A01,M,00:11:11.68,260966
1,1,A02,M,00:00:13.71,261539
1,2,A02,M,00:01:26.87,260131
1,3,A02,M,00:02:40.02,258938
1,4,A02,M,00:03:53.18,259581
1,5,A02,M,00:05:06.36,259222
1,6,A02,M,00:06:19.52,259334
1,7,A02,M,00:07:32.69,259236
1,8,A02,M,00:08:45.85,258915
1,9,A02,M,00:09:59.01,259398
1,10,A02,M,00:11:12.19,259541
1,1,A03,M,00:00:14.22,255281
1,2,A03,M,00:01:27.38,252520
1,3,A03,M,00:02:40.54,253324
1,4,A03,M,00:03:53.69,253575
1,5,A03,M,00:05:06.87,253579
1,6,A03,M,00:06:20.03,254204
1,7,A03,M,00:07:33.20,253981
1,8,A03,M,00:08:46.36,254271
1,9,A03,M,00:09:59.52,252867
1,10,A03,M,00:11:12.71,252897
1,1,A04,M,00:00:14.74,258570
1,2,A04,M,00:01:27.90,256881
1,3,A04,M,00:02:41.05,257374
1,4,A04,M,00:03:54.21,257525
1,5,A04,M,00:05:07.39,256282
1,6,A04,M,00:06:20.55,257271
1,7,A04,M,00:07:33.72,257336
1,8,A04,M,00:08:46.88,256123
1,9,A04,M,00:10:00.04,257124
1,10,A04,M,00:11:13.22,258844
1,1,A05,M,00:00:15.25,259676
1,2,A05,M,00:01:28.41,256865
1,3,A05,M,00:02:41.57,258309
1,4,A05,M,00:03:54.72,257105
1,5,A05,M,00:05:07.90,257695
1,6,A05,M,00:06:21.06,257384
1,7,A05,M,00:07:34.23,257453
1,8,A05,M,00:08:47.39,257991
1,9,A05,M,00:10:00.55,257472
1,10,A05,M,00:11:13.74,257797
1,1,A06,M,00:00:15.77,258971
1,2,A06,M,00:01:28.93,258252
1,3,A06,M,00:02:42.08,257528
1,4,A06,M,00:03:55.24,257485
1,5,A06,M,00:05:08.42,257475
1,6,A06,M,00:06:21.57,257163
1,7,A06,M,00:07:34.75,258132
1,8,A06,M,00:08:47.91,257351
1,9,A06,M,00:10:01.07,258438
1,10,A06,M,00:11:14.25,257624
1,1,A07,M,00:00:16.28,260258
1,2,A07,M,00:01:29.44,258831
1,3,A07,M,00:02:42.59,258035
1,4,A07,M,00:03:55.75,257618
1,5,A07,M,00:05:08.93,259299
1,6,A07,M,00:06:22.09,258895
