Plate,Repeat,Well,Type,Time,ANTS bottom (Counts)
1,1,A01,M,00:00:17.15,267907
1,2,A01,M,00:01:30.32,265078
1,3,A01,M,00:02:43.48,264792
1,4,A01,M,00:03:56.64,263910
1,5,A01,M,00:05:09.80,264946
1,6,A01,M,00:06:22.96,264523
1,7,A01,M,00:07:36.12,264395
1,8,A01,M,00:08:49.31,265251
1,9,A01,M,00:10:02.47,264169
1,10,A01,M,00:11:15.62,264583
1,1,A02,M,00:00:17.67,262144
1,2,A02,M,00:01:30.83,260542
1,3,A02,M,00:02:43.99,260342
1,4,A02,M,00:03:57.15,260067
1,5,A02,M,00:05:10.31,259028
1,6,A02,M,00:06:23.47,259807
1,7,A02,M,00:07:36.63,259152
1,8,A02,M,00:08:49.82,258755
1,9,A02,M,00:10:02.98,259083
1,10,A02,M,00:11:16.13,259332
1,1,A03,M,00:00:18.19,263993
1,2,A03,M,00:01:31.34,261610
1,3,A03,M,00:02:44.50,262097
1,4,A03,M,00:03:57.67,261668
1,5,A03,M,00:05:10.83,261465
1,6,A03,M,00:06:23.98,260528
1,7,A03,M,00:07:37.15,261680
1,8,A03,M,00:08:50.34,261018
1,9,A03,M,00:10:03.49,260832
1,10,A03,M,00:11:16.65,260676
1,1,A04,M,00:00:18.70,261925
1,2,A04,M,00:01:31.86,261051
1,3,A04,M,00:02:45.02,260727
1,4,A04,M,00:03:58.18,260685
1,5,A04,M,00:05:11.34,260396
1,6,A04,M,00:06:24.50,260356
1,7,A04,M,00:07:37.66,260377
1,8,A04,M,00:08:50.85,260702
1,9,A04,M,00:10:04.01,258932
1,10,A04,M,00:11:17.16,260820
1,1,A05,M,00:00:19.22,262565
1,2,A05,M,00:01:32.38,261086
1,3,A05,M,00:02:45.53,260083
1,4,A05,M,00:03:58.70,259581
1,5,A05,M,00:05:11.86,259740
1,6,A05,M,00:06:25.01,259701
1,7,A05,M,00:07:38.18,259211
1,8,A05,M,00:08:51.37,258691
1,9,A05,M,00:10:04.52,259470
1,10,A05,M,00:11:17.68,259557
1,1,A06,M,00:00:19.73,261307
1,2,A06,M,00:01:32.89,259292
1,3,A06,M,00:02:46.05,259966
1,4,A06,M,00:03:59.21,259174
1,5,A06,M,00:05:12.37,259331
1,6,A06,M,00:06:25.53,259542
1,7,A06,M,00:07:38.69,258402
1,8,A06,M,00:08:51.88,259429
1,9,A06,M,00:10:05.04,259129
1,10,A06,M,00:11:18.19,259645
1,1,A07,M,00:00:20.25,260537
1,2,A07,M,00:01:33.40,259328
1,3,A07,M,00:02:46.56,258480
1,4,A07,M,00:03:59.73,257723
1,5,A07,M,00:05:12.89,258204
1,6,A07,M,00:06:26.04,257697
1,7,A07,M,00:07:39.21,257553
1,8,A07,M,00:08:52.40,257922
1,9,A07,M,00:10:05.55,257219
1,10,A07,M,00:11:18.71,257725
1,1,A08,M,00:00:20.76,263298
1,2,A08,M,00:01:33.92,259943
1,3,A08,M,00:02:47.08,260572
1,4,A08,M,00:04:00.24,259615
1,5,A08,M,00:05:13.40,259938
1,6,A08,M,00:06:26.56,259851
1,7,A08,M,00:07:39.72,259564
1,8,A08,M,00:08:52.91,260467
1,9,A08,M,00:10:06.07,259554
1,10,A08,M,00:11:19.22,259646
1,1,A09,M,00:00:21.28,262710
1,2,A09,M,00:01:34.43,262226
1,3,A09,M,00:02:47.59,260476
1,4,A09,M,00:04:00.76,261193
1,5,A09,M,00:05:13.91,260468
1,6,A09,M,00:06:27.07,261202
1,7,A09,M,00:07:40.24,260593
1,8,A09,M,00:08:53.43,260942
1,9,A09,M,00:10:06.58,260226
1,10,A09,M,00:11:19.74,260217
1,1,A10,M,00:00:21.79,261803
1,2,A10,M,00:01:34.95,260636
1,3,A10,M,00:02:48.11,260014
1,4,A10,M,00:04:01.27,259502
1,5,A10,M,00:05:14.43,258806
1,6,A10,M,00:06:27.59,259131
1,7,A10,M,00:07:40.75,259418
1,8,A10,M,00:08:53.95,259674
1,9,A10,M,00:10:07.10,259553
1,10,A10,M,00:11:20.25,258614
1,1,A11,M,00:00:22.31,261903
1,2,A11,M,00:01:35.47,259833
1,3,A11,M,00:02:48.62,259889
1,4,A11,M,00:04:01.79,259561
1,5,A11,M,00:05:14.95,259559
1,6,A11,M,00:06:28.10,259221
1,7,A11,M,00:07:41.27,258951
1,8,A11,M,00:08:54.46,258255
1,9,A11,M,00:10:07.61,258432
1,10,A11,M,00:11:20.77,258783
1,1,A12,M,00:00:22.82,263724
1,2,A12,M,00:01:35.98,262806
1,3,A12,M,00:02:49.14,261288
1,4,A12,M,00:04:02.30,262397
1,5,A12,M,00:05:15.46,261325
1,6,A12,M,00:06:28.62,262027
1,7,A12,M,00:07:41.78,260825
1,8,A12,M,00:08:54.98,261576
1,9,A12,M,00:10:08.13,262267
1,10,A12,M,00:11:21.28,261759
1,1,B01,M,00:00:25.77,265677
1,2,B01,M,00:01:38.93,265642
1,3,B01,M,00:02:52.09,262703
1,4,B01,M,00:04:05.25,263439
1,5,B01,M,00:05:18.41,264771
1,6,B01,M,00:06:31.57,264301
