Plate,Repeat,Well,Type,Time,ANTS bottom (Counts)
1,1,C04,M,00:00:17.60,19555
1,2,C04,M,00:02:10.96,17408
1,3,C04,M,00:04:04.32,16546
1,4,C04,M,00:05:57.68,16433
1,5,C04,M,00:07:51.04,16540
1,6,C04,M,00:09:44.39,16632
1,7,C04,M,00:11:37.75,16883
1,8,C04,M,00:13:31.11,16342
1,9,C04,M,00:15:24.46,15695
1,10,C04,M,00:17:17.81,15188
1,11,C04,M,00:19:11.16,14732
1,12,C04,M,00:21:04.51,14610
1,13,C04,M,00:22:57.87,14317
1,14,C04,M,00:24:51.22,14036
1,15,C04,M,00:26:44.57,13991
1,16,C04,M,00:28:37.93,13791
1,17,C04,M,00:30:31.28,13637
1,18,C04,M,00:32:24.66,13624
1,19,C04,M,00:34:18.01,13323
1,20,C04,M,00:36:11.36,13652
1,21,C04,M,00:38:04.71,13356
1,22,C04,M,00:39:58.06,13277
1,23,C04,M,00:41:51.41,13192
1,24,C04,M,00:43:44.76,12864
1,25,C04,M,00:45:38.11,13112
1,26,C04,M,00:47:31.46,13246
1,27,C04,M,00:49:24.81,13050
1,28,C04,M,00:51:18.16,13243
1,29,C04,M,00:53:11.51,13125
1,30,C04,M,00:55:04.86,13057
1,31,C04,M,00:56:58.21,13034
1,32,C04,M,00:58:51.56,13069
1,33,C04,M,01:00:44.91,12816
1,34,C04,M,01:02:38.26,13148
1,35,C04,M,01:04:31.61,12963
1,36,C04,M,01:06:24.96,12660
1,37,C04,M,01:08:18.31,12999
1,38,C04,M,01:10:11.66,12908
1,39,C04,M,01:12:05.01,13121
1,40,C04,M,01:13:58.36,12810
1,41,C04,M,01:15:51.71,12785
1,42,C04,M,01:17:45.06,12732
1,43,C04,M,01:19:38.41,12984
1,44,C04,M,01:21:31.76,13091
1,45,C04,M,01:23:25.11,12767
1,46,C04,M,01:25:18.46,12986
1,47,C04,M,01:27:11.80,12938
1,48,C04,M,01:29:05.16,12795
1,49,C04,M,01:30:58.52,13063
1,50,C04,M,01:32:51.88,13051
1,51,C04,M,01:34:45.24,13136
1,52,C04,M,01:36:38.60,13009
1,53,C04,M,01:38:31.96,12971
1,54,C04,M,01:40:25.32,13024
1,55,C04,M,01:42:18.71,12766
1,56,C04,M,01:44:12.07,13000
1,57,C04,M,01:46:05.42,12928
1,58,C04,M,01:47:58.80,12837
1,59,C04,M,01:49:52.16,13117
1,60,C04,M,01:51:45.52,13000
1,61,C04,M,01:53:38.88,12839
1,62,C04,M,01:55:32.24,12934
1,63,C04,M,01:57:25.60,13020
1,64,C04,M,01:59:18.96,13091
1,65,C04,M,02:01:12.32,13168
1,66,C04,M,02:03:05.70,13126
1,67,C04,M,02:04:59.05,13344
1,68,C04,M,02:06:52.40,12943
1,69,C04,M,02:08:45.75,13137
1,70,C04,M,02:10:39.11,12836
1,71,C04,M,02:12:32.47,13011
1,72,C04,M,02:14:25.82,13033
1,73,C04,M,02:16:19.17,13141
1,74,C04,M,02:18:12.52,13056
1,75,C04,M,02:20:05.88,13059
1,76,C04,M,02:21:59.23,13223
1,77,C04,M,02:23:52.58,13286
1,78,C04,M,02:25:45.93,13372
1,79,C04,M,02:27:39.28,13133
1,80,C04,M,02:29:32.63,13477
1,81,C04,M,02:31:25.98,13325
1,82,C04,M,02:33:19.35,13310
1,83,C04,M,02:35:12.70,13264
1,84,C04,M,02:37:06.05,13210
1,85,C04,M,02:38:59.40,13320
1,86,C04,M,02:40:52.75,13078
1,87,C04,M,02:42:46.10,13255
1,88,C04,M,02:44:39.45,13121
1,89,C04,M,02:46:32.81,13390
1,90,C04,M,02:48:26.16,13389
1,91,C04,M,02:50:19.51,13422
1,92,C04,M,02:52:12.86,13443
1,93,C04,M,02:54:06.21,13339
1,94,C04,M,02:55:59.56,13232
1,95,C04,M,02:57:52.91,13183
1,96,C04,M,02:59:46.26,13151
1,97,C04,M,03:01:39.61,13096
1,98,C04,M,03:03:32.96,13306
1,99,C04,M,03:05:26.31,13549
1,100,C04,M,03:07:19.66,13480
1,101,C04,M,03:09:13.02,13208
1,102,C04,M,03:11:06.37,13196
1,103,C04,M,03:12:59.75,13555
1,104,C04,M,03:14:53.11,13358
1,105,C04,M,03:16:46.46,13530
1,106,C04,M,03:18:39.81,13602
1,107,C04,M,03:20:33.16,13467
1,108,C04,M,03:22:26.51,13492
1,109,C04,M,03:24:19.89,13430
1,110,C04,M,03:26:13.25,13643
1,111,C04,M,03:28:06.60,13471
1,112,C04,M,03:29:59.96,13765
1,113,C04,M,03:31:53.31,13853
1,114,C04,M,03:33:46.66,13600
