Plate,Repeat,Well,Type,Time,ANTS bottom (Counts)
1,1,F04,M,00:00:13.93,14017
1,2,F04,M,00:00:28.38,13938
1,3,F04,M,00:00:42.83,13890
1,4,F04,M,00:00:57.28,13960
1,5,F04,M,00:01:11.73,13865
1,6,F04,M,00:01:26.18,13814
1,7,F04,M,00:01:40.64,13829
1,8,F04,M,00:01:55.09,13826
1,9,F04,M,00:02:09.54,13604
1,10,F04,M,00:02:24.00,13667
1,11,F04,M,00:02:38.45,13685
1,12,F04,M,00:02:52.90,13498
1,13,F04,M,00:03:07.35,13694
1,14,F04,M,00:03:21.82,13643
1,15,F04,M,00:03:36.27,13448
1,16,F04,M,00:03:50.72,13413
1,17,F04,M,00:04:05.18,13645
1,18,F04,M,00:04:19.63,13312
1,19,F04,M,00:04:34.09,13485
1,20,F04,M,00:04:48.54,13342
1,21,F04,M,00:05:02.99,13528
1,22,F04,M,00:05:17.45,13228
1,23,F04,M,00:05:31.90,13385
1,24,F04,M,00:05:46.35,13226
1,25,F04,M,00:06:00.82,13382
1,26,F04,M,00:06:15.27,13175
1,27,F04,M,00:06:29.72,13282
1,28,F04,M,00:06:44.17,13160
1,29,F04,M,00:06:58.63,13290
1,30,F04,M,00:07:13.09,12947
1,31,F04,M,00:07:27.54,13325
1,32,F04,M,00:07:42.02,13305
1,33,F04,M,00:07:56.47,12984
1,34,F04,M,00:08:10.93,13074
1,35,F04,M,00:08:25.38,13148
1,36,F04,M,00:08:39.83,13185
1,37,F04,M,00:08:54.29,13080
1,38,F04,M,00:09:08.75,13103
1,39,F04,M,00:09:23.20,12935
1,40,F04,M,00:09:37.65,13085
1,41,F04,M,00:09:52.12,12790
1,42,F04,M,00:10:06.57,12843
1,43,F04,M,00:10:21.03,13045
1,44,F04,M,00:10:35.48,12951
1,45,F04,M,00:10:49.94,12875
1,46,F04,M,00:11:04.41,12908
1,47,F04,M,00:11:18.86,12975
1,48,F04,M,00:11:33.31,12780
1,49,F04,M,00:11:47.76,13047
1,50,F04,M,00:12:02.21,12792
1,51,F04,M,00:12:16.67,12616
1,52,F04,M,00:12:31.11,12793
1,53,F04,M,00:12:45.56,12703
1,54,F04,M,00:13:00.01,12636
1,55,F04,M,00:13:14.46,12754
1,56,F04,M,00:13:28.91,12644
1,57,F04,M,00:13:43.37,12830
1,58,F04,M,00:13:57.82,12704
1,59,F04,M,00:14:12.26,12800
1,60,F04,M,00:14:26.71,12593
1,61,F04,M,00:14:41.16,12619
1,62,F04,M,00:14:55.62,12425
1,63,F04,M,00:15:10.07,12485
1,64,F04,M,00:15:24.53,12632
1,65,F04,M,00:15:38.98,12370
1,66,F04,M,00:15:53.44,12505
1,67,F04,M,00:16:07.89,12325
1,68,F04,M,00:16:22.34,12267
1,69,F04,M,00:16:36.80,12279
1,70,F04,M,00:16:51.26,12574
1,71,F04,M,00:17:05.71,12326
1,72,F04,M,00:17:20.17,12386
1,73,F04,M,00:17:34.63,12549
1,74,F04,M,00:17:49.08,12462
1,75,F04,M,00:18:03.53,12291
1,76,F04,M,00:18:17.98,12375
1,77,F04,M,00:18:32.44,12517
1,78,F04,M,00:18:46.90,12239
1,79,F04,M,00:19:01.37,12227
1,80,F04,M,00:19:15.83,12316
1,81,F04,M,00:19:30.28,12157
1,82,F04,M,00:19:44.74,12220
1,83,F04,M,00:19:59.20,12321
1,84,F04,M,00:20:13.65,12112
1,85,F04,M,00:20:28.10,12313
1,86,F04,M,00:20:42.55,12074
1,87,F04,M,00:20:57.00,12221
1,88,F04,M,00:21:11.46,12257
1,89,F04,M,00:21:25.92,12469
1,90,F04,M,00:21:40.37,12383
1,91,F04,M,00:21:54.82,12141
1,92,F04,M,00:22:09.27,12159
1,93,F04,M,00:22:23.73,12070
1,94,F04,M,00:22:38.18,12204
1,95,F04,M,00:22:52.66,12236
1,96,F04,M,00:23:07.11,11926
1,97,F04,M,00:23:21.56,12018
1,98,F04,M,00:23:36.01,11878
1,99,F04,M,00:23:50.48,12118
1,100,F04,M,00:24:04.93,11977
1,101,F04,M,00:24:19.38,12000
1,102,F04,M,00:24:33.83,12036
1,103,F04,M,00:24:48.28,11836
1,104,F04,M,00:25:02.74,11864
1,105,F04,M,00:25:17.19,11963
1,106,F04,M,00:25:31.64,11740
1,107,F04,M,00:25:46.09,11864
1,108,F04,M,00:26:00.55,12097
1,109,F04,M,00:26:15.02,12176
1,110,F04,M,00:26:29.47,12089
1,111,F04,M,00:26:43.92,11811
1,112,F04,M,00:26:58.37,11832
1,113,F04,M,00:27:12.82,11995
1,114,F04,M,00:27:27.27,11927
1,115,F04,M,00:27:41.73,12055
1,116,F04,M,00:27:56.18,11806
1,117,F04,M,00:28:10.63,11863
1,118,F04,M,00:28:25.08,11774
1,119,F04,M,00:28:39.54,12029
1,120,F04,M,00:28:53.99,11809
1,121,F04,M,00:29:08.44,11877
1,122,F04,M,00:29:22.89,11761
1,123,F04,M,00:29:37.36,11797
1,124,F04,M,00:29:51.81,11978
1,125,F04,M,00:30:06.26,11949
1,126,F04,M,00:30:20.73,11692
1,127,F04,M,00:30:35.18,11938
1,128,F04,M,00:30:49.64,11846
1,129,F04,M,00:31:04.09,11736
1,130,F04,M,00:31:18.54,11893
1,131,F04,M,00:31:33.00,12017
1,132,F04,M,00:31:47.45,11590
1,133,F04,M,00:32:01.90,11836
1,134,F04,M,00:32:16.35,11963
1,135,F04,M,00:32:30.80,11872
1,136,F04,M,00:32:45.25,11688
1,137,F04,M,00:32:59.70,11909
1,138,F04,M,00:33:14.16,11608
1,139,F04,M,00:33:28.62,11885
1,140,F04,M,00:33:43.07,11764
1,141,F04,M,00:33:57.51,11633
1,142,F04,M,00:34:11.96,11677
1,143,F04,M,00:34:26.41,11695
1,144,F04,M,00:34:40.86,11671
1,145,F04,M,00:34:55.31,11578
1,146,F04,M,00:35:09.77,11653
1,147,F04,M,00:35:24.24,11710
1,148,F04,M,00:35:38.69,11765
1,149,F04,M,00:35:53.14,11689
1,150,F04,M,00:36:07.60,11758
1,151,F04,M,00:36:22.05,11552
1,152,F04,M,00:36:36.50,11640
1,153,F04,M,00:36:50.96,11465
1,154,F04,M,00:37:05.41,11635
1,155,F04,M,00:37:19.86,11635
1,156,F04,M,00:37:34.31,11709
1,157,F04,M,00:37:48.76,11675
1,158,F04,M,00:38:03.23,11533
1,159,F04,M,00:38:17.68,11652
1,160,F04,M,00:38:32.13,11626
1,161,F04,M,00:38:46.58,11441
1,162,F04,M,00:39:01.03,11601
1,163,F04,M,00:39:15.49,11322
1,164,F04,M,00:39:29.94,11433
1,165,F04,M,00:39:44.39,11523
1,166,F04,M,00:39:58.85,11323
1,167,F04,M,00:40:13.31,11652
1,168,F04,M,00:40:27.76,11416
1,169,F04,M,00:40:42.22,11514
1,170,F04,M,00:40:56.67,11472
1,171,F04,M,00:41:11.13,11561
1,172,F04,M,00:41:25.58,11684
1,173,F04,M,00:41:40.06,11494
1,174,F04,M,00:41:54.52,11357
1,175,F04,M,00:42:08.97,11440
1,176,F04,M,00:42:23.42,11401
1,177,F04,M,00:42:37.88,11517
1,178,F04,M,00:42:52.34,11216
1,179,F04,M,00:43:06.79,11378
1,180,F04,M,00:43:21.28,11429
1,181,F04,M,00:43:35.73,11284
1,182,F04,M,00:43:50.18,11477
1,183,F04,M,00:44:04.64,11421
1,184,F04,M,00:44:19.10,11275
1,185,F04,M,00:44:33.55,11343
1,186,F04,M,00:44:48.01,11305
1,187,F04,M,00:45:02.46,11508
1,188,F04,M,00:45:16.91,11350
1,189,F04,M,00:45:31.37,11567
1,190,F04,M,00:45:45.83,11210
1,191,F04,M,00:46:00.28,11290
1,192,F04,M,00:46:14.73,11443
1,193,F04,M,00:46:29.20,11282
1,194,F04,M,00:46:43.65,11177
1,195,F04,M,00:46:58.11,11368
1,196,F04,M,00:47:12.59,11444
1,197,F04,M,00:47:27.04,11280
1,198,F04,M,00:47:41.50,11179
1,199,F04,M,00:47:55.95,11274
1,200,F04,M,00:48:10.42,11219
1,201,F04,M,00:48:24.87,11385
1,202,F04,M,00:48:39.33,11233
1,203,F04,M,00:48:53.79,11389
1,204,F04,M,00:49:08.24,11417
1,205,F04,M,00:49:22.70,11447
1,206,F04,M,00:49:37.16,11297
1,207,F04,M,00:49:51.61,11210
1,208,F04,M,00:50:06.06,11355
1,209,F04,M,00:50:20.51,11069
1,210,F04,M,00:50:34.98,11450
1,211,F04,M,00:50:49.44,11362
1,212,F04,M,00:51:03.90,11239
1,213,F04,M,00:51:18.35,11172
1,214,F04,M,00:51:32.80,11191
1,215,F04,M,00:51:47.25,11321
1,216,F04,M,00:52:01.71,11308
1,217,F04,M,00:52:16.17,11218
1,218,F04,M,00:52:30.62,11221
1,219,F04,M,00:52:45.07,10994
1,220,F04,M,00:52:59.53,11268
1,221,F04,M,00:53:13.98,11388
1,222,F04,M,00:53:28.43,11265
1,223,F04,M,00:53:42.89,10934
1,224,F04,M,00:53:57.34,11104
1,225,F04,M,00:54:11.80,11125
1,226,F04,M,00:54:26.26,11128
1,227,F04,M,00:54:40.73,11215
1,228,F04,M,00:54:55.19,11273
1,229,F04,M,00:55:09.64,11147
1,230,F04,M,00:55:24.09,11194
1,231,F04,M,00:55:38.54,10919
1,232,F04,M,00:55:53.00,10878
1,233,F04,M,00:56:07.46,11211
1,234,F04,M,00:56:21.92,11283
1,235,F04,M,00:56:36.37,11049
1,236,F04,M,00:56:50.83,11032
1,237,F04,M,00:57:05.29,11100
1,238,F04,M,00:57:19.74,11047
1,239,F04,M,00:57:34.19,11102
1,240,F04,M,00:57:48.65,11013
1,241,F04,M,00:58:03.11,11110
1,242,F04,M,00:58:17.57,11072
1,243,F04,M,00:58:32.03,11250
1,244,F04,M,00:58:46.50,10810
1,245,F04,M,00:59:00.95,10899
1,246,F04,M,00:59:15.41,11047
1,247,F04,M,00:59:29.86,11265
1,248,F04,M,00:59:44.33,10885
1,249,F04,M,00:59:58.78,11070
1,250,F04,M,01:00:13.23,11015
1,251,F04,M,01:00:27.69,11051
1,252,F04,M,01:00:42.14,11073
1,253,F04,M,01:00:56.60,10834
1,254,F04,M,01:01:11.05,10972
1,255,F04,M,01:01:25.51,10914
1,256,F04,M,01:01:39.96,11146
1,257,F04,M,01:01:54.41,10850
1,258,F04,M,01:02:08.86,10943
1,259,F04,M,01:02:23.32,10807
1,260,F04,M,01:02:37.78,10850
1,261,F04,M,01:02:52.23,10833
1,262,F04,M,01:03:06.68,10911
1,263,F04,M,01:03:21.14,11030
1,264,F04,M,01:03:35.59,11021
1,265,F04,M,01:03:50.04,10869
1,266,F04,M,01:04:04.49,10990
1,267,F04,M,01:04:18.94,10857
1,268,F04,M,01:04:33.40,10807
1,269,F04,M,01:04:47.85,11045
1,270,F04,M,01:05:02.31,10954
1,271,F04,M,01:05:16.76,10854
1,272,F04,M,01:05:31.22,10977
