Plate,Repeat,Well,Type,Time,ANTS (RFU)
1,1,A01,M,00:00:10.77,8381062
1,2,A01,M,00:01:29.26,8309907
1,3,A01,M,00:02:47.75,8259763
1,4,A01,M,00:04:06.23,8333554
1,5,A01,M,00:05:24.72,8401988
1,6,A01,M,00:06:43.20,8277713
1,7,A01,M,00:08:01.69,8362086
1,8,A01,M,00:09:20.17,8309503
1,9,A01,M,00:10:38.69,8252429
1,10,A01,M,00:11:57.17,8268824
1,1,A02,M,00:00:11.34,8365828
1,2,A02,M,00:01:29.82,8372758
1,3,A02,M,00:02:48.32,8114394
1,4,A02,M,00:04:06.80,8321908
1,5,A02,M,00:05:25.28,8299511
1,6,A02,M,00:06:43.77,8212566
1,7,A02,M,00:08:02.26,8334213
1,8,A02,M,00:09:20.74,8398632
1,9,A02,M,00:10:39.26,8267750
1,10,A02,M,00:11:57.74,8344389
1,1,A03,M,00:00:11.91,8462839
1,2,A03,M,00:01:30.39,8397225
1,3,A03,M,00:02:48.89,8183568
1,4,A03,M,00:04:07.37,8432797
1,5,A03,M,00:05:25.85,8260835
1,6,A03,M,00:06:44.34,8251187
1,7,A03,M,00:08:02.83,8452485
1,8,A03,M,00:09:21.31,8471579
1,9,A03,M,00:10:39.83,8413228
1,10,A03,M,00:11:58.31,8186433
1,1,A04,M,00:00:12.48,8550708
1,2,A04,M,00:01:30.96,8349368
1,3,A04,M,00:02:49.46,8406485
1,4,A04,M,00:04:07.94,8463717
1,5,A04,M,00:05:26.42,8293142
1,6,A04,M,00:06:44.91,8324356
1,7,A04,M,00:08:03.40,8428947
1,8,A04,M,00:09:21.88,8361432
1,9,A04,M,00:10:40.40,8371472
1,10,A04,M,00:11:58.88,8336043
1,1,A05,M,00:00:13.05,8625122
1,2,A05,M,00:01:31.53,8422838
1,3,A05,M,00:02:50.03,8353940
1,4,A05,M,00:04:08.51,8496473
1,5,A05,M,00:05:26.99,8501466
1,6,A05,M,00:06:45.48,8369733
1,7,A05,M,00:08:03.96,8480514
1,8,A05,M,00:09:22.45,8443253
1,9,A05,M,00:10:40.97,8410220
1,10,A05,M,00:11:59.45,8394210
1,1,A06,M,00:00:13.62,8445465
1,2,A06,M,00:01:32.10,8538487
1,3,A06,M,00:02:50.59,8395725
1,4,A06,M,00:04:09.08,8326830
1,5,A06,M,00:05:27.56,8341083
1,6,A06,M,00:06:46.05,8411516
1,7,A06,M,00:08:04.53,8577401
1,8,A06,M,00:09:23.02,8448772
1,9,A06,M,00:10:41.54,8393938
1,10,A06,M,00:12:00.02,8383829
1,1,A07,M,00:00:14.19,8534496
1,2,A07,M,00:01:32.67,8447930
1,3,A07,M,00:02:51.17,8366576
1,4,A07,M,00:04:09.65,8302684
1,5,A07,M,00:05:28.13,8482651
1,6,A07,M,00:06:46.62,8441667
1,7,A07,M,00:08:05.10,8367661
1,8,A07,M,00:09:23.59,8415095
1,9,A07,M,00:10:42.11,8410123
1,10,A07,M,00:12:00.59,8354013
1,1,A08,M,00:00:14.76,8501884
1,2,A08,M,00:01:33.24,8378181
1,3,A08,M,00:02:51.73,8296625
1,4,A08,M,00:04:10.22,8361646
1,5,A08,M,00:05:28.70,8495492
1,6,A08,M,00:06:47.19,8394104
1,7,A08,M,00:08:05.67,8366286
1,8,A08,M,00:09:24.16,8402921
1,9,A08,M,00:10:42.68,8415232
1,10,A08,M,00:12:01.16,8280645
1,1,A09,M,00:00:15.33,8546686
1,2,A09,M,00:01:33.81,8382560
1,3,A09,M,00:02:52.30,8397607
1,4,A09,M,00:04:10.79,8419140
1,5,A09,M,00:05:29.27,8476516
1,6,A09,M,00:06:47.76,8488780
1,7,A09,M,00:08:06.24,8304691
1,8,A09,M,00:09:24.73,8217564
1,9,A09,M,00:10:43.25,8351308
1,10,A09,M,00:12:01.73,8471258
1,1,A10,M,00:00:15.90,8665756
1,2,A10,M,00:01:34.38,8403898
1,3,A10,M,00:02:52.88,8509786
1,4,A10,M,00:04:11.36,8541994
1,5,A10,M,00:05:29.84,8509569
1,6,A10,M,00:06:48.33,8477134
1,7,A10,M,00:08:06.81,8375711
1,8,A10,M,00:09:25.30,8331248
1,9,A10,M,00:10:43.82,8343340
1,10,A10,M,00:12:02.30,8595886
1,1,A11,M,00:00:16.47,8571032
1,2,A11,M,00:01:34.95,8480767
1,3,A11,M,00:02:53.45,8415873
1,4,A11,M,00:04:11.93,8567372
1,5,A11,M,00:05:30.41,8423210
1,6,A11,M,00:06:48.90,8462162
1,7,A11,M,00:08:07.38,8458927
1,8,A11,M,00:09:25.87,8402229
1,9,A11,M,00:10:44.39,8490403
1,10,A11,M,00:12:02.87,8349912
1,1,A12,M,00:00:17.04,8599853
1,2,A12,M,00:01:35.52,8479379
1,3,A12,M,00:02:54.02,8424522
1,4,A12,M,00:04:12.50,8460164
1,5,A12,M,00:05:30.98,8429658
1,6,A12,M,00:06:49.47,8482991
1,7,A12,M,00:08:07.95,8393289
1,8,A12,M,00:09:26.44,8462563
1,9,A12,M,00:10:44.96,8504946
1,10,A12,M,00:12:03.44,8389601
1,1,B01,M,00:00:20.05,8538873
1,2,B01,M,00:01:38.53,8248334
1,3,B01,M,00:02:57.03,8302536
1,4,B01,M,00:04:15.51,8261094
1,5,B01,M,00:05:33.99,8362674
1,6,B01,M,00:06:52.48,8319939
1,7,B01,M,00:08:10.96,8355993
1,8,B01,M,00:09:29.45,8372277
1,9,B01,M,00:10:47.97,8406085
1,10,B01,M,00:12:06.45,8431609
1,1,B02,M,00:00:20.62,8666143
1,2,B02,M,00:01:39.10,8380341
1,3,B02,M,00:02:57.59,8385888
1,4,B02,M,00:04:16.08,8404175
1,5,B02,M,00:05:34.56,8341255
1,6,B02,M,00:06:53.05,8467965
1,7,B02,M,00:08:11.53,8491845
1,8,B02,M,00:09:30.02,8509970
1,9,B02,M,00:10:48.54,8306407
1,10,B02,M,00:12:07.02,8411490
1,1,B03,M,00:00:21.19,8597272
1,2,B03,M,00:01:39.67,8410693
1,3,B03,M,00:02:58.16,8351580
1,4,B03,M,00:04:16.65,8171522
1,5,B03,M,00:05:35.13,8399562
1,6,B03,M,00:06:53.62,8371371
1,7,B03,M,00:08:12.10,8521104
1,8,B03,M,00:09:30.59,8341160
1,9,B03,M,00:10:49.11,8342565
1,10,B03,M,00:12:07.59,8334830
1,1,B04,M,00:00:21.76,8510282
1,2,B04,M,00:01:40.24,8405655
1,3,B04,M,00:02:58.73,8462950
1,4,B04,M,00:04:17.22,8432762
1,5,B04,M,00:05:35.70,8561362
1,6,B04,M,00:06:54.19,8515427
1,7,B04,M,00:08:12.67,8378937
1,8,B04,M,00:09:31.16,8330345
1,9,B04,M,00:10:49.68,8429346
1,10,B04,M,00:12:08.16,8458484
1,1,B05,M,00:00:22.33,8589062
1,2,B05,M,00:01:40.81,8382560
1,3,B05,M,00:02:59.30,8279654
1,4,B05,M,00:04:17.78,8438817
1,5,B05,M,00:05:36.27,8388360
1,6,B05,M,00:06:54.76,8431778
1,7,B05,M,00:08:13.24,8569123
1,8,B05,M,00:09:31.73,8473077
1,9,B05,M,00:10:50.25,8572246
1,10,B05,M,00:12:08.73,8513122
1,1,B06,M,00:00:22.90,8552619
1,2,B06,M,00:01:41.38,8501226
1,3,B06,M,00:02:59.87,8423667
1,4,B06,M,00:04:18.35,8332707
1,5,B06,M,00:05:36.84,8458516
1,6,B06,M,00:06:55.33,8334994
1,7,B06,M,00:08:13.81,8487735
1,8,B06,M,00:09:32.30,8384848
1,9,B06,M,00:10:50.82,8424147
1,10,B06,M,00:12:09.30,8518606
1,1,B07,M,00:00:23.47,8639175
1,2,B07,M,00:01:41.95,8568716
1,3,B07,M,00:03:00.44,8421768
1,4,B07,M,00:04:18.92,8438802
1,5,B07,M,00:05:37.41,8401170
1,6,B07,M,00:06:55.90,8578435
1,7,B07,M,00:08:14.38,8488168
1,8,B07,M,00:09:32.87,8539665
1,9,B07,M,00:10:51.39,8549304
1,10,B07,M,00:12:09.87,8461747
1,1,B08,M,00:00:24.04,8622763
1,2,B08,M,00:01:42.52,8533979
1,3,B08,M,00:03:01.01,8453897
1,4,B08,M,00:04:19.49,8485139
1,5,B08,M,00:05:37.98,8555040
1,6,B08,M,00:06:56.47,8576236
1,7,B08,M,00:08:14.95,8567018
1,8,B08,M,00:09:33.44,8614033
1,9,B08,M,00:10:51.96,8588652
1,10,B08,M,00:12:10.44,8327447
1,1,B09,M,00:00:24.61,8753254
1,2,B09,M,00:01:43.09,8422847
1,3,B09,M,00:03:01.58,8524841
1,4,B09,M,00:04:20.06,8510758
1,5,B09,M,00:05:38.55,8736741
1,6,B09,M,00:06:57.04,8543300
1,7,B09,M,00:08:15.52,8502076
1,8,B09,M,00:09:34.01,8598299
1,9,B09,M,00:10:52.53,8550623
1,10,B09,M,00:12:11.01,8521692
1,1,B10,M,00:00:25.17,8686118
1,2,B10,M,00:01:43.66,8485457
1,3,B10,M,00:03:02.15,8637780
1,4,B10,M,00:04:20.63,8313108
1,5,B10,M,00:05:39.12,8440622
1,6,B10,M,00:06:57.61,8482727
1,7,B10,M,00:08:16.09,8365258
1,8,B10,M,00:09:34.58,8597733
1,9,B10,M,00:10:53.10,8512261
1,10,B10,M,00:12:11.58,8340643
1,1,B11,M,00:00:25.74,8726941
1,2,B11,M,00:01:44.23,8494204
1,3,B11,M,00:03:02.72,8457231
1,4,B11,M,00:04:21.20,8481453
1,5,B11,M,00:05:39.69,8411516
1,6,B11,M,00:06:58.18,8538344
1,7,B11,M,00:08:16.66,8363301
1,8,B11,M,00:09:35.15,8456078
1,9,B11,M,00:10:53.67,8542306
1,10,B11,M,00:12:12.15,8313690
1,1,B12,M,00:00:26.31,8477674
1,2,B12,M,00:01:44.80,8455580
1,3,B12,M,00:03:03.29,8506736
1,4,B12,M,00:04:21.77,8424320
1,5,B12,M,00:05:40.26,8442459
1,6,B12,M,00:06:58.75,8364998
1,7,B12,M,00:08:17.23,8383407
1,8,B12,M,00:09:35.72,8401218
1,9,B12,M,00:10:54.24,8428682
1,10,B12,M,00:12:12.72,8396313
1,1,C01,M,00:00:29.32,8445106
1,2,C01,M,00:01:47.81,8400528
1,3,C01,M,00:03:06.31,8245143
1,4,C01,M,00:04:24.78,8216910
1,5,C01,M,00:05:43.27,8335735
1,6,C01,M,00:07:01.76,8390060
1,7,C01,M,00:08:20.24,8439838
1,8,C01,M,00:09:38.73,8209017
1,9,C01,M,00:10:57.25,8243184
1,10,C01,M,00:12:15.73,8348226
1,1,C02,M,00:00:29.89,8459730
1,2,C02,M,00:01:48.38,8357001
1,3,C02,M,00:03:06.87,8448308
1,4,C02,M,00:04:25.35,8369416
1,5,C02,M,00:05:43.84,8459449
1,6,C02,M,00:07:02.33,8467105
1,7,C02,M,00:08:20.81,8491286
1,8,C02,M,00:09:39.30,8445568
1,9,C02,M,00:10:57.82,8417505
1,10,C02,M,00:12:16.30,8469387
1,1,C03,M,00:00:30.46,8579163
1,2,C03,M,00:01:48.95,8379307
1,3,C03,M,00:03:07.44,8329131
1,4,C03,M,00:04:25.92,8260517
1,5,C03,M,00:05:44.41,8440621
1,6,C03,M,00:07:02.90,8363792
1,7,C03,M,00:08:21.38,8434601
1,8,C03,M,00:09:39.87,8376789
1,9,C03,M,00:10:58.39,8166382
1,10,C03,M,00:12:16.87,8320790
1,1,C04,M,00:00:31.03,8538355
1,2,C04,M,00:01:49.52,8405775
1,3,C04,M,00:03:08.01,8317707
1,4,C04,M,00:04:26.49,8494038
1,5,C04,M,00:05:44.98,8375244
1,6,C04,M,00:07:03.47,8396537
1,7,C04,M,00:08:21.95,8674957
1,8,C04,M,00:09:40.44,8411306
1,9,C04,M,00:10:58.96,8400884
1,10,C04,M,00:12:17.44,8359932
1,1,C05,M,00:00:31.60,8565461
1,2,C05,M,00:01:50.09,8509430
1,3,C05,M,00:03:08.58,8496234
1,4,C05,M,00:04:27.06,8379648
1,5,C05,M,00:05:45.55,8454232
1,6,C05,M,00:07:04.04,8460585
1,7,C05,M,00:08:22.52,8479988
1,8,C05,M,00:09:41.01,8508516
1,9,C05,M,00:10:59.53,8491286
1,10,C05,M,00:12:18.01,8377647
1,1,C06,M,00:00:32.17,8556291
1,2,C06,M,00:01:50.66,8310139
1,3,C06,M,00:03:09.15,8662502
1,4,C06,M,00:04:27.63,8494869
1,5,C06,M,00:05:46.12,8498253
1,6,C06,M,00:07:04.61,8425248
1,7,C06,M,00:08:23.09,8411125
1,8,C06,M,00:09:41.58,8327605
1,9,C06,M,00:11:00.10,8320470
1,10,C06,M,00:12:18.58,8343952
1,1,C07,M,00:00:32.74,8537326
1,2,C07,M,00:01:51.23,8413092
1,3,C07,M,00:03:09.72,8330903
