Plate,Repeat,Well,Type,Time,ANTS (RFU)
1,1,A01,M,00:00:09.05,8313744
1,2,A01,M,00:01:27.54,8265575
1,3,A01,M,00:02:46.03,8204855
1,4,A01,M,00:04:04.54,8108171
1,5,A01,M,00:05:23.04,8168283
1,6,A01,M,00:06:41.57,8071651
1,7,A01,M,00:08:00.06,8207140
1,8,A01,M,00:09:18.54,8245156
1,9,A01,M,00:10:37.03,8303274
1,10,A01,M,00:11:55.51,8264590
1,1,A02,M,00:00:09.62,8318982
1,2,A02,M,00:01:28.11,8284134
1,3,A02,M,00:02:46.60,8263014
1,4,A02,M,00:04:05.11,8045322
1,5,A02,M,00:05:23.60,8225424
1,6,A02,M,00:06:42.14,8233217
1,7,A02,M,00:08:00.62,8255113
1,8,A02,M,00:09:19.11,8210379
1,9,A02,M,00:10:37.59,8240304
1,10,A02,M,00:11:56.08,8317606
1,1,A03,M,00:00:10.19,8461210
1,2,A03,M,00:01:28.68,8249326
1,3,A03,M,00:02:47.17,8013052
1,4,A03,M,00:04:05.68,8288651
1,5,A03,M,00:05:24.17,8059569
1,6,A03,M,00:06:42.71,8094163
1,7,A03,M,00:08:01.19,8235045
1,8,A03,M,00:09:19.68,8224538
1,9,A03,M,00:10:38.16,8219921
1,10,A03,M,00:11:56.65,8124210
1,1,A04,M,00:00:10.76,8452564
1,2,A04,M,00:01:29.25,8252321
1,3,A04,M,00:02:47.74,8096251
1,4,A04,M,00:04:06.25,8311819
1,5,A04,M,00:05:24.74,8083179
1,6,A04,M,00:06:43.27,8136502
1,7,A04,M,00:08:01.76,8293505
1,8,A04,M,00:09:20.25,8159030
1,9,A04,M,00:10:38.73,8104137
1,10,A04,M,00:11:57.22,8160394
1,1,A05,M,00:00:11.33,8263335
1,2,A05,M,00:01:29.82,8144481
1,3,A05,M,00:02:48.31,8120928
1,4,A05,M,00:04:06.82,8086783
1,5,A05,M,00:05:25.31,8253457
1,6,A05,M,00:06:43.85,8240252
1,7,A05,M,00:08:02.33,8118078
1,8,A05,M,00:09:20.82,8081451
1,9,A05,M,00:10:39.30,8152230
1,10,A05,M,00:11:57.79,8271284
1,1,A06,M,00:00:11.90,8328299
1,2,A06,M,00:01:30.39,8327013
1,3,A06,M,00:02:48.88,8240439
1,4,A06,M,00:04:07.39,8205729
1,5,A06,M,00:05:25.88,8151923
1,6,A06,M,00:06:44.41,8105697
1,7,A06,M,00:08:02.90,8192282
1,8,A06,M,00:09:21.39,8186512
1,9,A06,M,00:10:39.87,8084564
1,10,A06,M,00:11:58.36,8111751
1,1,A07,M,00:00:12.47,8406893
1,2,A07,M,00:01:30.96,8185184
1,3,A07,M,00:02:49.45,8203167
1,4,A07,M,00:04:07.96,8156097
1,5,A07,M,00:05:26.45,8287170
1,6,A07,M,00:06:44.98,8226353
1,7,A07,M,00:08:03.47,8200803
1,8,A07,M,00:09:21.96,8193736
1,9,A07,M,00:10:40.44,8115463
1,10,A07,M,00:11:58.93,8391074
1,1,A08,M,00:00:13.04,8363287
1,2,A08,M,00:01:31.53,8072170
1,3,A08,M,00:02:50.02,8303514
1,4,A08,M,00:04:08.53,8172923
1,5,A08,M,00:05:27.02,8251316
1,6,A08,M,00:06:45.56,8024092
1,7,A08,M,00:08:04.04,8210771
1,8,A08,M,00:09:22.53,8134788
1,9,A08,M,00:10:41.01,8241366
1,10,A08,M,00:11:59.50,8165498
1,1,A09,M,00:00:13.61,8322217
1,2,A09,M,00:01:32.10,8157473
1,3,A09,M,00:02:50.59,8116479
1,4,A09,M,00:04:09.10,8177446
1,5,A09,M,00:05:27.59,8115478
1,6,A09,M,00:06:46.12,8242293
1,7,A09,M,00:08:04.61,8200646
