Plate,Repeat,Well,Type,Time,ANTS (RFU)
1,1,A01,M,00:00:09.06,8600064
1,2,A01,M,00:01:27.55,8614405
1,3,A01,M,00:02:45.99,8491804
1,4,A01,M,00:04:04.49,8535824
1,5,A01,M,00:05:22.96,8363973
1,6,A01,M,00:06:41.45,8548032
1,7,A01,M,00:07:59.93,8457201
1,8,A01,M,00:09:18.37,8391152
1,9,A01,M,00:10:36.87,8477004
1,10,A01,M,00:11:55.34,8421094
1,11,A01,M,00:13:13.83,8348036
1,12,A01,M,00:14:32.31,8424186
1,13,A01,M,00:15:50.79,8304465
1,14,A01,M,00:17:09.26,8555590
1,15,A01,M,00:18:27.75,8423110
1,16,A01,M,00:19:46.25,8232987
1,17,A01,M,00:21:04.74,8432069
1,18,A01,M,00:22:23.22,8408973
1,19,A01,M,00:23:41.73,8479895
1,20,A01,M,00:25:00.22,8513723
1,21,A01,M,00:26:18.74,8453240
1,22,A01,M,00:27:37.24,8402857
1,23,A01,M,00:28:55.74,8458047
1,24,A01,M,00:30:14.25,8327524
1,25,A01,M,00:31:32.76,8437092
1,26,A01,M,00:32:51.24,8297146
1,27,A01,M,00:34:09.73,8478682
1,28,A01,M,00:35:28.21,8418555
1,29,A01,M,00:36:46.70,8261065
1,30,A01,M,00:38:05.19,8095421
1,31,A01,M,00:39:23.67,8225652
1,32,A01,M,00:40:42.16,8312256
1,33,A01,M,00:42:00.67,8368726
1,34,A01,M,00:43:19.18,8192315
1,35,A01,M,00:44:37.70,8290125
1,36,A01,M,00:45:56.18,8228698
1,37,A01,M,00:47:14.68,8168592
1,38,A01,M,00:48:33.19,8297799
1,39,A01,M,00:49:51.67,8365795
1,40,A01,M,00:51:10.20,8175781
1,41,A01,M,00:52:28.70,8274647
1,42,A01,M,00:53:47.19,8283293
1,43,A01,M,00:55:05.68,8226538
1,44,A01,M,00:56:24.16,8344923
1,45,A01,M,00:57:42.68,8103798
1,46,A01,M,00:59:01.16,8161542
1,47,A01,M,01:00:19.65,8277113
1,48,A01,M,01:01:38.14,8255847
1,49,A01,M,01:02:56.64,8121272
1,50,A01,M,01:04:15.13,8127547
1,51,A01,M,01:05:33.61,8313185
1,52,A01,M,01:06:52.10,8123048
1,53,A01,M,01:08:10.59,8076476
1,54,A01,M,01:09:29.07,8145726
1,55,A01,M,01:10:47.58,8183750
1,56,A01,M,01:12:06.07,8162978
1,57,A01,M,01:13:24.54,8061417
1,58,A01,M,01:14:43.03,8118962
1,59,A01,M,01:16:01.53,8200338
1,60,A01,M,01:17:20.02,8175286
1,61,A01,M,01:18:38.50,7937208
1,62,A01,M,01:19:56.99,8152538
1,63,A01,M,01:21:15.48,8012305
1,64,A01,M,01:22:33.98,8144592
1,65,A01,M,01:23:52.49,8034008
1,66,A01,M,01:25:10.98,8024309
1,67,A01,M,01:26:29.46,8095966
1,68,A01,M,01:27:47.95,8042911
1,69,A01,M,01:29:06.43,8204075
1,70,A01,M,01:30:24.94,8256585
1,71,A01,M,01:31:43.43,8031883
1,72,A01,M,01:33:01.94,8044148
1,73,A01,M,01:34:20.43,8107744
1,74,A01,M,01:35:38.91,7966439
1,75,A01,M,01:36:57.39,8158500
1,76,A01,M,01:38:15.90,8245245
1,77,A01,M,01:39:34.38,8170307
1,78,A01,M,01:40:52.87,8232866
1,79,A01,M,01:42:11.35,8083703
1,80,A01,M,01:43:29.84,7972771
1,81,A01,M,01:44:48.33,7931598
1,82,A01,M,01:46:06.81,8180273
1,83,A01,M,01:47:25.30,8076966
1,84,A01,M,01:48:43.78,7963041
1,85,A01,M,01:50:02.27,8198240
1,86,A01,M,01:51:20.81,8144273
1,87,A01,M,01:52:39.31,8249814
1,88,A01,M,01:53:57.83,8163203
1,89,A01,M,01:55:16.31,8189870
1,90,A01,M,01:56:34.80,8109875
1,91,A01,M,01:57:53.29,8053853
1,92,A01,M,01:59:11.77,8042369
1,93,A01,M,02:00:30.26,8270279
1,94,A01,M,02:01:48.75,8197405
1,95,A01,M,02:03:07.24,8137672
1,96,A01,M,02:04:25.76,8130116
1,97,A01,M,02:05:44.28,8252054
1,98,A01,M,02:07:02.79,8078649
1,99,A01,M,02:08:21.28,7943963
1,100,A01,M,02:09:39.76,8066030
1,101,A01,M,02:10:58.28,8215308
1,102,A01,M,02:12:16.77,8010080
1,103,A01,M,02:13:35.27,7963631
1,104,A01,M,02:14:53.79,8204267
1,105,A01,M,02:16:12.30,8105657
1,106,A01,M,02:17:30.79,8062875
1,107,A01,M,02:18:49.27,8090288
