Plate,Repeat,Well,Type,Time,ANTS (RFU)
1,1,A01,M,00:13.3,656648
1,2,A01,M,01:31.7,821600
1,3,A01,M,02:50.2,794940
1,4,A01,M,04:08.7,825129
1,5,A01,M,05:27.1,817505
1,6,A01,M,06:45.6,806020
1,7,A01,M,08:04.0,796889
1,8,A01,M,09:22.5,741147
1,9,A01,M,10:40.9,843550
1,10,A01,M,11:59.4,814101
1,11,A01,M,13:17.9,790947
1,12,A01,M,14:36.4,840111
1,13,A01,M,15:54.9,835133
1,14,A01,M,55:22.8,1073308
1,15,A01,M,56:41.1,1078003
1,16,A01,M,57:59.6,1058889
1,17,A01,M,59:18.0,1046916
1,18,A01,M,00:36.5,1076802
1,19,A01,M,01:55.0,1086961
1,20,A01,M,03:13.5,1059329
1,21,A01,M,04:31.9,1044720
1,1,A02,M,00:13.9,487629
1,2,A02,M,01:32.3,521221
1,3,A02,M,02:50.7,487748
1,4,A02,M,04:09.2,506556
1,5,A02,M,05:27.7,509873
1,6,A02,M,06:46.1,516355
1,7,A02,M,08:04.6,490900
1,8,A02,M,09:23.0,503902
1,9,A02,M,10:41.5,496196
1,10,A02,M,12:00.0,506829
1,11,A02,M,13:18.5,488417
1,12,A02,M,14:36.9,513800
1,13,A02,M,15:55.4,529241
1,14,A02,M,55:23.3,669106
1,15,A02,M,56:41.7,675904
1,16,A02,M,58:00.2,653608
1,17,A02,M,59:18.6,667130
1,18,A02,M,00:37.1,648060
1,19,A02,M,01:55.6,649817
1,20,A02,M,03:14.0,628743
1,21,A02,M,04:32.5,664338
1,1,A03,M,00:14.5,338831
1,2,A03,M,01:32.9,351435
1,3,A03,M,02:51.3,363253
1,4,A03,M,04:09.8,344114
1,5,A03,M,05:28.3,353812
1,6,A03,M,06:46.7,345120
1,7,A03,M,08:05.2,352889
1,8,A03,M,09:23.6,350631
1,9,A03,M,10:42.1,359477
1,10,A03,M,12:00.5,358547
1,11,A03,M,13:19.0,359383
1,12,A03,M,14:37.5,357169
1,13,A03,M,15:56.0,370263
1,14,A03,M,55:23.9,464002
1,15,A03,M,56:42.3,460634
1,16,A03,M,58:00.7,495901
1,17,A03,M,59:19.2,463562
1,18,A03,M,00:37.7,467366
1,19,A03,M,01:56.1,444661
1,20,A03,M,03:14.6,444741
1,21,A03,M,04:33.0,458016
1,1,A04,M,00:15.0,248046
1,2,A04,M,01:33.4,261083
1,3,A04,M,02:51.9,254044
1,4,A04,M,04:10.4,246199
1,5,A04,M,05:28.8,243320
1,6,A04,M,06:47.3,241977
1,7,A04,M,08:05.7,257212
1,8,A04,M,09:24.2,233935
1,9,A04,M,10:42.6,251860
1,10,A04,M,12:01.1,250586
1,11,A04,M,13:19.6,246195
1,12,A04,M,14:38.1,234270
1,13,A04,M,15:56.6,257730
1,14,A04,M,55:24.5,296825
1,15,A04,M,56:42.8,307751
1,16,A04,M,58:01.3,305748
1,17,A04,M,59:19.7,311736
1,18,A04,M,00:38.2,311770
1,19,A04,M,01:56.7,316115
1,20,A04,M,03:15.2,326845
1,21,A04,M,04:33.6,303802
1,1,A05,M,00:15.6,185255
1,2,A05,M,01:34.0,181571
1,3,A05,M,02:52.5,176145
1,4,A05,M,04:11.0,172412
1,5,A05,M,05:29.4,168858
1,6,A05,M,06:47.8,175668
1,7,A05,M,08:06.3,178085
1,8,A05,M,09:24.7,180402
1,9,A05,M,10:43.2,182743
1,10,A05,M,12:01.7,174525
1,11,A05,M,13:20.2,170700
1,12,A05,M,14:38.7,161639
1,13,A05,M,15:57.1,176616
1,14,A05,M,55:25.0,219509
1,15,A05,M,56:43.4,232795
1,16,A05,M,58:01.9,219813
1,17,A05,M,59:20.3,222242
1,18,A05,M,00:38.8,191186
1,19,A05,M,01:57.3,218886
1,20,A05,M,03:15.7,219109
1,21,A05,M,04:34.2,213972
1,1,A06,M,00:16.2,123587
1,2,A06,M,01:34.6,120218
1,3,A06,M,02:53.1,128910
1,4,A06,M,04:11.5,138451
1,5,A06,M,05:30.0,126433
1,6,A06,M,06:48.4,123698
1,7,A06,M,08:06.9,120598
1,8,A06,M,09:25.3,125455
1,9,A06,M,10:43.8,137340
1,10,A06,M,12:02.3,132683
1,11,A06,M,13:20.7,122907
1,12,A06,M,14:39.2,127683
1,13,A06,M,15:57.7,126221
1,14,A06,M,55:25.6,157000
1,15,A06,M,56:44.0,148712
1,16,A06,M,58:02.4,156702
1,17,A06,M,59:20.9,151494
1,18,A06,M,00:39.4,158075
1,19,A06,M,01:57.8,150171
1,20,A06,M,03:16.3,143937
1,21,A06,M,04:34.8,149618
1,1,A07,M,00:16.7,100675
1,2,A07,M,01:35.1,94029
1,3,A07,M,02:53.6,97784
1,4,A07,M,04:12.1,97949
1,5,A07,M,05:30.6,97104
1,6,A07,M,06:49.0,96495
1,7,A07,M,08:07.4,105599
1,8,A07,M,09:25.9,95803
1,9,A07,M,10:44.4,101634
1,10,A07,M,12:02.8,85841
1,11,A07,M,13:21.3,86890
1,12,A07,M,14:39.8,101469
1,13,A07,M,15:58.3,96840
1,14,A07,M,55:26.2,118395
1,15,A07,M,56:44.5,115342
1,16,A07,M,58:03.0,111181
1,17,A07,M,59:21.5,118578
1,18,A07,M,00:39.9,110178
1,19,A07,M,01:58.4,118074
1,20,A07,M,03:16.9,114722
1,21,A07,M,04:35.3,107661
1,1,A08,M,00:17.3,72551
1,2,A08,M,01:35.7,66751
1,3,A08,M,02:54.2,70551
1,4,A08,M,04:12.7,74813
1,5,A08,M,05:31.1,68620
1,6,A08,M,06:49.6,61015
1,7,A08,M,08:08.0,76676
1,8,A08,M,09:26.4,61274
1,9,A08,M,10:44.9,68052
1,10,A08,M,12:03.4,68577
1,11,A08,M,13:21.9,68851
1,12,A08,M,14:40.4,70124
1,13,A08,M,15:58.8,62198
1,14,A08,M,55:26.7,82455
1,15,A08,M,56:45.1,82313
1,16,A08,M,58:03.6,79538
1,17,A08,M,59:22.0,77961
1,18,A08,M,00:40.5,82859
1,19,A08,M,01:59.0,80218
1,20,A08,M,03:17.4,78351
1,21,A08,M,04:35.9,76382
1,1,A09,M,00:17.9,50552
1,2,A09,M,01:36.3,57098
1,3,A09,M,02:54.8,50486
1,4,A09,M,04:13.2,49997
1,5,A09,M,05:31.7,56150
1,6,A09,M,06:50.1,45355
1,7,A09,M,08:08.6,51549
1,8,A09,M,09:27.0,62888
1,9,A09,M,10:45.5,53421
1,10,A09,M,12:04.0,53142
1,11,A09,M,13:22.5,57568
1,12,A09,M,14:40.9,52773
1,13,A09,M,15:59.4,46267
1,14,A09,M,55:27.3,61830
1,15,A09,M,56:45.7,54883
1,16,A09,M,58:04.1,60173
1,17,A09,M,59:22.6,54832
1,18,A09,M,00:41.1,63890
1,19,A09,M,01:59.6,50639
1,20,A09,M,03:18.0,54921
1,21,A09,M,04:36.5,59104
1,1,A10,M,00:18.4,35927
1,2,A10,M,01:36.9,36199
1,3,A10,M,02:55.3,44214
1,4,A10,M,04:13.8,42058
1,5,A10,M,05:32.2,42695
1,6,A10,M,06:50.7,38426
1,7,A10,M,08:09.2,41466
1,8,A10,M,09:27.6,40402
1,9,A10,M,10:46.1,38381
1,10,A10,M,12:04.5,36815
1,11,A10,M,13:23.0,36415
1,12,A10,M,14:41.5,34649
1,13,A10,M,16:00.0,43099
1,14,A10,M,55:27.9,43151
1,15,A10,M,56:46.3,45286
1,16,A10,M,58:04.7,46036
1,17,A10,M,59:23.2,35666
1,18,A10,M,00:41.7,42878
1,19,A10,M,02:00.1,42258
1,20,A10,M,03:18.6,43617
1,21,A10,M,04:37.0,44850
1,1,A11,M,00:19.0,29895
1,2,A11,M,01:37.4,29056
1,3,A11,M,02:55.9,27325
1,4,A11,M,04:14.4,33374
1,5,A11,M,05:32.8,29519
1,6,A11,M,06:51.3,25286
1,7,A11,M,08:09.7,29470
1,8,A11,M,09:28.2,26886
1,9,A11,M,10:46.6,28788
1,10,A11,M,12:05.1,27795
1,11,A11,M,13:23.6,28782
1,12,A11,M,14:42.1,33737
1,13,A11,M,16:00.6,23284
1,14,A11,M,55:28.5,36077
1,15,A11,M,56:46.8,36230
1,16,A11,M,58:05.3,32873
1,17,A11,M,59:23.7,34575
1,18,A11,M,00:42.2,29992
1,19,A11,M,02:00.7,32631
1,20,A11,M,03:19.1,30581
1,21,A11,M,04:37.6,30833
1,1,A12,M,00:19.6,8780
1,2,A12,M,01:38.0,9546
1,3,A12,M,02:56.5,7540
1,4,A12,M,04:15.0,8695
1,5,A12,M,05:33.4,6181
1,6,A12,M,06:51.8,9338
1,7,A12,M,08:10.3,7256
1,8,A12,M,09:28.7,8692
1,9,A12,M,10:47.2,10091
1,10,A12,M,12:05.7,5561
1,11,A12,M,13:24.2,9112
1,12,A12,M,14:42.6,8615
1,13,A12,M,16:01.1,9062
1,14,A12,M,55:29.0,9332
1,15,A12,M,56:47.4,10342
1,16,A12,M,58:05.9,7839
1,17,A12,M,59:24.3,5486
1,18,A12,M,00:42.8,10779
1,19,A12,M,02:01.2,9004
1,20,A12,M,03:19.7,9087
1,21,A12,M,04:38.2,9222
1,1,B01,M,00:22.6,811185
1,2,B01,M,01:41.0,811905
1,3,B01,M,02:59.5,794062
1,4,B01,M,04:18.0,805456
1,5,B01,M,05:36.4,795726
1,6,B01,M,06:54.8,831292
1,7,B01,M,08:13.3,822822
1,8,B01,M,09:31.7,818777
1,9,B01,M,10:50.2,818202
1,10,B01,M,12:08.7,824922
1,11,B01,M,13:27.2,855551
1,12,B01,M,14:45.6,828864
1,13,B01,M,16:04.1,837084
1,14,B01,M,55:32.0,1065726
1,15,B01,M,56:50.4,1074648
1,16,B01,M,58:08.9,1077880
1,17,B01,M,59:27.3,1067811
1,18,B01,M,00:45.8,1062302
1,19,B01,M,02:04.3,1408710
1,20,B01,M,03:22.7,1087365
1,21,B01,M,04:41.2,1053022
1,1,B02,M,00:23.2,495216
1,2,B02,M,01:41.6,478977
1,3,B02,M,03:00.1,495957
1,4,B02,M,04:18.5,499611
1,5,B02,M,05:37.0,505204
1,6,B02,M,06:55.4,507335
1,7,B02,M,08:13.9,489254
1,8,B02,M,09:32.3,460047
1,9,B02,M,10:50.8,486071
1,10,B02,M,12:09.3,502684
1,11,B02,M,13:27.7,522553
1,12,B02,M,14:46.2,487491
1,13,B02,M,16:04.7,492801
1,14,B02,M,55:32.6,639346
1,15,B02,M,56:51.0,644622
1,16,B02,M,58:09.4,603353
1,17,B02,M,59:27.9,638777
1,18,B02,M,00:46.4,605689
1,19,B02,M,02:04.8,605796
1,20,B02,M,03:23.3,630270
1,21,B02,M,04:41.7,623499
1,1,B03,M,00:23.7,344034
1,2,B03,M,01:42.1,348578
1,3,B03,M,03:00.6,336721
1,4,B03,M,04:19.1,344090
1,5,B03,M,05:37.5,352579
1,6,B03,M,06:56.0,340426
1,7,B03,M,08:14.4,352180
1,8,B03,M,09:32.9,269173
1,9,B03,M,10:51.3,332183
1,10,B03,M,12:09.8,337246
1,11,B03,M,13:28.3,347140
1,12,B03,M,14:46.8,352722
1,13,B03,M,16:05.3,336743
1,14,B03,M,55:33.2,422586
1,15,B03,M,56:51.5,425656
1,16,B03,M,58:10.0,438241
1,17,B03,M,59:28.5,439559
1,18,B03,M,00:46.9,421168
1,19,B03,M,02:05.4,444579
1,20,B03,M,03:23.9,436850
1,21,B03,M,04:42.3,431949
1,1,B04,M,00:24.3,243487
1,2,B04,M,01:42.7,237891
1,3,B04,M,03:01.2,239380
1,4,B04,M,04:19.7,235579
1,5,B04,M,05:38.1,242932
1,6,B04,M,06:56.6,251426
1,7,B04,M,08:15.0,246599
1,8,B04,M,09:33.5,235355
1,9,B04,M,10:51.9,249664
1,10,B04,M,12:10.4,232107
1,11,B04,M,13:28.9,226027
1,12,B04,M,14:47.3,241395
1,13,B04,M,16:05.9,237568
1,14,B04,M,55:33.7,304164
1,15,B04,M,56:52.1,301653
1,16,B04,M,58:10.6,316308
1,17,B04,M,59:29.0,278457
1,18,B04,M,00:47.5,303915
1,19,B04,M,02:06.0,286365
1,20,B04,M,03:24.4,307747
1,21,B04,M,04:42.9,295525
1,1,B05,M,00:24.9,173154
1,2,B05,M,01:43.3,184071
1,3,B05,M,03:01.8,166138
1,4,B05,M,04:20.2,171917
1,5,B05,M,05:38.7,185995
1,6,B05,M,06:57.1,175781
1,7,B05,M,08:15.6,174062
1,8,B05,M,09:34.0,165867
1,9,B05,M,10:52.5,164301
1,10,B05,M,12:11.0,179872
1,11,B05,M,13:29.5,166279
