##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	FALSE	Raw	FALSE	451	10800	24				1	515	1	12	96	355	Manual	475			20	High			1	4	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	43.00	32.382	30.968	29.988	29.248	29.282	29.165	29.361	28.786	28.936	29.454	28.556	28.266	32.646	30.227	30.048	28.554	28.675	29.238	29.105	29.751	29.875	29.395	29.381	28.24	31.478	30.277	28.458	29.408	29.098	28.946	28.712	27.998	28.615	28.698	28.782	28.673	27.723	27.899	27.658	27.658	27.826	27.855	6.588	6.659	6.103	6.787	6.525	6.847																																																	
0:24	43.00	32.493	31.13	30.276	29.235	28.928	29.165	29.251	28.503	28.719	29.295	28.34	28.57	32.66	30.517	29.823	28.896	28.597	29.193	29.451	29.106	30.079	29.512	29.077	28.338	31.434	30.337	28.787	28.839	29.306	28.35	28.577	28.27	27.858	28.122	28.611	28.184	28.06	27.267	27.235	27.236	27.11	27.486	6.403	6.656	6.114	6.886	6.573	6.448																																																	
0:48	42.90	32.597	30.861	30.572	29.343	29.564	28.66	28.896	28.363	28.461	29.66	28.804	28.115	33.821	31.056	29.653	28.549	28.534	29.395	29.491	29.423	29.192	30.041	28.937	27.895	31.821	30.555	29.15	28.597	29.067	28.952	29.019	28.116	28.65	28.936	28.695	28.602	27.492	27.719	27.358	27.267	26.768	27.956	6.415	6.644	6.194	6.478	6.442	6.575																																																	
1:12	42.80	33.249	31.528	30.848	29.415	28.902	29.363	29.345	28.788	28.594	29.34	28.288	28.051	33.694	30.433	29.818	29.303	28.559	29.743	29.509	29.729	29.682	29.676	28.359	28.179	32.043	30.942	29.205	29.226	29.338	28.867	28.704	28.059	28.183	28.181	28.851	28.244	27.757	27.554	26.812	27.172	26.945	28.248	6.327	6.617	6.264	6.615	6.472	6.542																																																	
1:36	42.90	33.736	31.797	31.303	30.036	29.494	28.952	29.063	28.752	28.347	29.505	28.222	27.818	33.894	31.151	30.648	29.407	28.625	29.047	29.002	29.18	29.758	29.663	28.716	28.095	33.03	31.199	29.424	28.981	29.323	29.204	28.269	28.219	28.025	27.995	28.304	27.9	27.319	27.287	27.362	27.198	26.704	27.829	6.241	6.477	6.38	6.643	6.546	6.581																																																	
2:00	42.90	33.621	32.244	30.619	29.275	28.961	29.101	29.184	28.911	28.628	28.496	28.08	27.891	34.161	30.967	30.12	29.153	28.784	29.17	29.315	29.141	29.585	29.207	28.708	27.828	33.621	31.27	29.494	29.566	28.892	28.705	29.002	27.868	28.036	28.3	28.148	28.226	27.276	27.062	26.883	27.036	27.405	27.412	6.264	6.385	6.206	6.582	6.387	6.531																																																	
2:24	43.00	34.146	32.441	31.487	29.769	29.5	29.152	29.222	28.731	28.685	28.911	28.444	27.475	35.092	32.142	30.22	29.998	29.018	29.039	29.16	29.364	29.467	28.939	28.751	28.32	34.065	32.067	29.589	29.66	29.507	29.117	28.659	27.964	28.128	28.291	28.188	28.279	27.118	27.394	27.073	27.601	26.902	28.012	6.555	6.412	6.455	6.514	6.325	6.465																																																	
2:48	43.10	34.544	32.389	31.061	30.423	29.832	28.996	29.345	29.18	28.705	29.242	28.274	27.625	35.265	32.457	31.034	29.671	28.838	30.215	29.529	29.698	29.6	29.498	28.676	27.737	34.091	32.168	29.453	29.806	29.608	28.798	28.352	27.877	28.094	28.415	28.603	27.963	27.013	26.857	27.314	27.325	26.53	27.737	6.386	6.519	6.105	6.588	6.299	6.214																																																	
3:12	43.10	34.546	32.383	31.301	30.045	29.717	29.906	29.654	28.889	28.247	29.131	28.1	27.507	35.251	32.896	31.435	29.98	29	29.281	28.631	29.123	29.676	29.018	28.32	28.141	34.116	32.399	30.421	29.834	29.299	28.714	28.67	27.245	28.187	28.302	27.91	27.989	27.041	27.177	26.723	27.096	26.895	27.567	6.076	6.363	6.315	6.502	6.315	6.146																																																	
3:36	43.00	35.478	33.167	31.698	30.456	29.405	29.616	29.127	28.149	28.192	28.987	27.316	27.416	35.919	32.88	31.547	29.897	29.254	29.421	29.262	29.262	29.195	29.366	28.793	27.487	34.685	32.831	30.383	29.459	29.41	28.899	28.294	28.076	28.283	28.232	27.903	27.98	27.033	27.284	27.167	26.672	26.659	27.285	6.129	6.321	5.778	6.387	6.265	6.437																																																	
4:00	43.00	36.145	33.384	32.486	30.945	30.198	29.62	29.319	28.838	28.806	29.045	28.277	27.858	36.229	33.038	32.068	30.301	29.487	29.931	29.788	29.484	29.092	29.19	28.854	27.705	35.662	33.493	30.555	30.506	29.9	29.422	29.054	28.324	28.36	28.191	28.458	27.629	27.362	27.478	27.703	27.077	26.792	27.423	6.295	6.468	6.263	6.565	6.317	6.237																																																	
4:24	43.00	36.236	33.608	32.34	30.139	29.949	29.538	28.963	28.56	28.138	28.878	28.217	27.345	36.559	33.794	32.266	30.414	30.078	29.868	29.959	29.76	29.58	29.214	28.256	27.344	35.99	33.687	30.848	30.847	29.773	29.315	28.75	28.113	28.05	28	28.609	28.074	26.945	27.287	27.046	26.98	26.954	27.612	6.278	6.436	6.137	6.483	6.156	6.208																																																	
4:48	42.90	36.66	34.536	32.624	31.032	30.393	29.408	29.416	28.656	28.612	29.073	27.785	27.6	37.041	33.945	31.932	30.278	29.808	29.581	29.48	30.16	29.152	29.182	28.614	27.594	36.241	34.502	31.798	30.75	29.803	29.268	28.429	28.069	28.246	28.165	28.33	27.638	27.332	27.067	26.983	26.743	26.833	27.342	5.951	6.61	6.098	6.258	6.369	6.229																																																	
5:12	43.00	37.191	35.387	32.48	31.153	29.915	29.486	29.617	29.055	28.51	29.097	28.116	27.464	37.448	34.396	32.392	30.491	30.245	30.14	29.543	29.482	29.628	29.232	28.813	27.694	37.021	34.817	31.245	30.47	30.187	29.313	28.951	27.888	28.451	28.082	28.148	27.547	26.65	27.006	26.869	26.939	26.556	27.573	6.203	6.325	6.138	6.47	6.275	6.315																																																	
5:36	43.00	37.648	35.254	32.54	31.296	30.435	29.806	28.886	28.656	28.309	28.999	27.803	27.441	38.048	34.136	33.196	30.894	30.133	30.247	29.382	29.213	28.711	28.958	28.294	27.159	37.503	34.896	32.045	31.238	30.348	29.483	29.23	28.393	27.955	27.821	27.84	27.509	27.015	27.234	26.655	26.749	26.772	27.817	6.155	6.399	6.14	6.584	6.329	6.138																																																	
6:00	43.00	37.952	35.211	33.044	31.756	30.78	29.583	29.342	29.118	28.259	29.043	28.011	26.799	39.215	35.077	33.45	31.499	30.479	29.909	29.296	29.763	29.71	29.282	28.529	27.629	37.887	35.005	32.2	31.037	30.147	29.766	29.348	28.309	28.306	28.245	28.255	27.782	27.273	27.409	26.857	27.328	26.622	28.262	6.185	6.15	5.974	6.532	6.356	6.302																																																	
6:24	43.00	38.333	36.195	33.765	32.21	30.418	29.858	29.276	28.259	28.07	29.286	27.713	27.126	39.523	35.441	33.179	31.65	30.755	30.267	30.058	29.439	29.56	29.215	28.72	27.418	37.942	36.033	32.598	31.488	31.002	29.821	29.178	28.387	27.941	28.215	27.777	27.415	26.898	26.63	27.062	26.513	26.864	27.684	6.081	6.451	5.998	6.353	6.278	6.282																																																	
6:48	43.00	39.099	36.692	34.385	32.199	31.326	30.036	29.265	28.417	28.536	28.928	27.8	26.986	39.78	36.044	33.59	31.816	30.699	30.233	29.885	29.613	29.424	28.84	29.065	27.513	38.697	35.572	33.173	31.784	31.196	29.746	29.251	28.233	28.066	28.048	27.792	27.331	27.154	27.195	27.08	27.218	26.681	27.433	6.189	6.395	6.377	6.412	6.104	6.137																																																	
7:12	43.00	39.951	36.979	33.896	32.267	31.221	30.591	29.614	29.087	28.552	29.363	27.839	27.276	40.56	36.524	33.903	31.834	31.243	30.794	29.96	29.529	29.619	29.097	29.006	27.614	39.19	36.59	33.429	32.061	31.368	29.787	29.065	28.098	28.528	28.018	27.883	27.784	26.89	27.193	27.06	26.935	26.966	27.431	6.339	6.401	6.158	6.308	6.135	6.278																																																	
7:36	43.00	40.976	37.467	35.11	32.75	31.611	30.661	29.812	29.291	29.133	29.201	28.055	27.329	41.162	36.826	34.473	32.273	31.353	31.054	29.673	29.587	29.834	29.198	28.265	27.164	40.672	37.348	34.029	32.273	31.604	31.066	29.593	28.871	28.317	28.445	28.214	27.615	27.252	27.738	27.159	27.289	26.406	27.568	6.064	6.24	5.884	6.448	6.426	6.369																																																	
