##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	FALSE	Raw	FALSE	26	600	24				1	515	1	12	96	355	Manual	475			20	High			1	4	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	43.10	172.833	172.193	171.398	165.771	168.845	167.161	163.712	171.48	166.21	171.597	166.456	162.759	173.79	175.338	173.564	169.492	169.967	172.259	173.71	175.283	177.048	172.618	169.228	173.609	173.497	174.694	171.836	168.901	171.883	168.043	169.693	170.092	169.872	163.166	171.242	162.313	156.009	161.733	164.518	168.364	164.233	169.638	6.007	6.367	5.874	5.945	5.737	5.855																																																	
0:24	43.00	172.189	172.13	171.083	165.14	169.317	166.258	164.162	171.607	166.248	169.934	167.145	162.842	174.842	174.801	172.069	169.713	171.294	171.937	171.92	174.094	175.752	171.778	171.266	175.159	173.682	175.91	171.069	167.753	169.89	167.067	167.988	169.859	167.455	163.693	170.171	162.547	156.532	161.906	163.825	166.404	164.239	169.012	5.958	6.174	5.894	6.035	5.924	6.017																																																	
0:48	43.00	174.213	172.41	171.48	165.328	168.393	166.182	164.079	170.113	165.452	169.084	165.745	161.666	174.192	175.003	171.997	170.322	170.734	171.031	172.353	173.956	174.979	170.91	170.146	172.871	175.041	175.156	170.102	169.004	170.588	165.499	169.235	170.335	167.529	163.462	168.051	161.369	156.328	160.655	162.69	167.029	164.28	168.802	5.817	6.215	5.986	5.97	6.214	5.75																																																	
1:12	43.00	171.795	170.99	169.89	164.619	167.354	165.376	162.606	170.95	164.809	167.32	165.167	161.205	173.079	173.835	170.563	169.939	168.456	170.577	172.262	172.837	173.604	170.828	169.846	173.26	172.79	173.913	169.661	168.063	168.928	165.207	166.779	171.293	167.247	163.336	169.82	160.788	155.89	160.337	162.063	167.049	164.311	167.316	5.855	6.045	5.75	6.064	5.986	5.749																																																	
1:36	43.00	171.37	170.718	170.176	164.129	168.57	165.508	162.631	170.748	165.558	167.631	165.533	160.556	172.541	173.869	172.531	169.341	169.6	168.938	172.544	173.348	174.1	171.306	168.749	172.979	172.983	173.331	169.277	167.254	168.349	166.075	167.316	169.28	165.974	161.864	168.467	161.242	156.49	158.73	162.698	165.71	162.797	168.004	5.96	6	5.681	5.854	5.965	5.639																																																	
2:00	43.00	171.091	170.532	171.429	164.418	166.591	164.798	162.863	170.178	165.4	168.239	165.836	161.796	171.854	173.428	171.547	169.403	169.173	170.068	172.226	172.95	173.149	170.574	169.359	172.028	171.99	172.594	170.104	167.153	168.131	165.714	165.808	168.687	166.157	163.159	168.897	160.861	156.015	159.507	162.064	166.25	164.47	166.339	5.926	5.858	5.827	6.136	6.047	5.975																																																	
2:24	43.00	172.007	171.822	171.548	164.868	168.424	166.455	163.574	169.724	165.692	168.375	166.608	160.913	173.954	174.01	172.189	170.162	168.815	169.154	172.861	174.938	174.989	170.924	170.298	173.845	173.462	175.86	169.625	168.437	169.268	165.933	169.135	169.679	167.797	163.223	169.607	162.152	156.673	160.689	162.585	167.501	165.486	169.031	5.631	6.233	5.862	6.183	5.991	5.701																																																	
2:48	43.00	172.548	172.175	172.226	164.323	167.455	167.002	163.615	170.42	166.312	168.042	165.299	162.374	174.487	174.053	172.711	170.526	169.177	171.186	171.941	173.982	174.043	170.811	171.023	172.4	173.92	175.055	169.162	168.453	168.795	165.874	167.819	169.583	166.952	162.472	169.943	161.74	155.592	161.169	163.542	165.857	163.731	168.11	5.779	6.104	5.962	6.083	5.728	5.794																																																	
3:12	43.00	171.871	170.117	170.307	163.445	167.498	165.134	162.17	168.434	164.72	167.097	165.325	160.613	173.603	173.248	171.674	170.001	169.813	168.585	171.424	173.648	173.967	170.967	169.161	172.202	172.75	175.135	168.826	167.332	169.072	165.248	166.97	169.088	166.752	162.677	167.171	159.461	155.838	160.007	161.594	166.737	163.96	167.304	5.879	5.828	5.827	5.912	5.947	5.722																																																	
3:36	43.00	171.213	171.457	170.874	164.423	167.044	165.438	163.433	170.544	163.39	167.56	166.117	160.621	173.505	173.109	171.467	169.553	169.674	170.55	172.386	173.968	173.151	171.126	170.513	172.826	172.625	173.841	168.469	168.79	169.812	164.603	167.515	169.54	167.349	162.597	168.769	160.21	155.7	159.542	163.364	165.721	164.272	166.493	5.768	6.192	5.92	6.107	5.968	5.719																																																	
