##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	FALSE	Raw	FALSE	515	10800	21				1	530	1	12	96	475	Manual	515			20	High			1	3	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	36.90	14.947	10.416	8.026	6.904	6.624	6.315	6.3	6.212	6.338	6.167	6.054	6.47	9.075	4.987	3.004	1.84	1.393	1.145	1.004	0.966	1.006	0.914	0.926	0.941	5.646	5.899	5.517	5.739	0.479	0.466	0.461	0.491	0.521	0.565	0.542	0.571																																																													
0:21	37.20	15.138	10.509	8.189	6.995	6.67	6.527	6.233	6.293	6.336	6.208	6.111	6.244	9.081	5.005	2.895	1.845	1.349	1.118	0.959	0.921	0.926	0.941	0.947	0.877	5.702	5.845	5.684	5.933	0.467	0.47	0.442	0.512	0.542	0.54	0.494	0.575																																																													
0:42	37.30	15.455	10.765	8.304	7.002	6.694	6.356	6.459	6.302	6.362	6.256	6.259	6.344	9.022	5.015	2.894	1.966	1.456	1.108	0.956	1.009	0.932	0.901	0.95	0.923	5.744	5.985	5.666	5.699	0.47	0.423	0.431	0.51	0.52	0.548	0.522	0.57																																																													
1:03	37.20	15.629	10.535	8.234	7.01	6.581	6.385	6.158	6.17	6.283	6.275	6.177	6.301	9.102	5.068	2.963	1.825	1.402	1.088	0.942	0.985	0.926	0.918	0.974	0.904	5.601	5.946	5.546	5.734	0.457	0.43	0.417	0.499	0.509	0.544	0.523	0.546																																																													
1:24	37.10	15.853	11.127	8.455	7.267	6.619	6.396	6.319	6.27	6.244	6.375	6.185	6.304	9.038	5.094	2.865	1.861	1.345	1.09	0.998	0.967	0.955	0.942	0.948	0.914	5.761	6.03	5.747	5.839	0.438	0.432	0.453	0.508	0.518	0.527	0.52	0.496																																																													
1:45	37.00	15.954	10.859	8.333	7.073	6.526	6.423	6.254	6.131	6.209	6.344	6.233	6.159	9.142	4.932	2.847	1.881	1.376	1.099	0.968	1.002	0.925	0.916	0.979	0.893	5.643	5.951	5.665	5.816	0.459	0.462	0.426	0.501	0.531	0.495	0.507	0.535																																																													
2:06	36.90	16.024	11.005	8.451	7.093	6.661	6.357	6.099	6.15	6.066	6.298	6.045	6.132	8.911	5.013	2.925	1.871	1.357	1.082	1.001	0.979	0.898	0.862	0.923	0.911	5.628	5.878	5.681	5.736	0.493	0.485	0.435	0.503	0.502	0.524	0.484	0.566																																																													
2:27	36.80	16.531	11.293	8.484	7.158	6.692	6.404	6.199	6.195	6.03	6.214	6.209	6.115	9.165	5.023	2.876	1.835	1.37	1.106	1.011	1.001	0.954	0.946	0.947	0.901	5.624	5.899	5.711	5.642	0.5	0.455	0.458	0.503	0.506	0.524	0.503	0.553																																																													
2:48	36.90	16.537	11.527	8.715	7.235	6.623	6.342	6.3	6.203	6.093	6.318	6.125	6.29	9.061	4.924	2.854	1.771	1.411	1.072	0.923	0.998	0.978	0.894	0.957	0.927	5.72	5.801	5.627	5.756	0.463	0.466	0.427	0.507	0.498	0.521	0.517	0.529																																																													
3:09	36.90	16.761	11.362	8.786	7.42	6.676	6.379	6.283	6.088	6.072	6.115	6.118	6.112	8.993	4.972	2.837	1.934	1.357	1.106	0.988	0.994	0.919	0.906	0.908	0.895	5.72	5.835	5.651	5.785	0.487	0.43	0.437	0.501	0.488	0.517	0.515	0.556																																																													
3:30	36.90	16.961	11.381	8.556	7.11	6.668	6.396	6.122	6.28	6.131	6.423	6.014	6.241	8.93	4.996	2.882	1.851	1.329	1.11	0.99	0.957	0.974	0.927	0.914	0.923	5.712	5.943	5.669	5.723	0.463	0.468	0.442	0.504	0.531	0.518	0.519	0.517																																																													
3:51	37.00	17.376	11.68	8.842	7.225	6.714	6.458	6.232	6.269	6.156	6.248	6.317	6.206	8.979	5.009	2.988	1.908	1.413	1.116	1.031	0.933	0.999	0.899	0.955	0.871	5.729	5.84	5.655	5.777	0.458	0.452	0.439	0.523	0.532	0.52	0.524	0.587																																																													
4:12	37.00	17.477	11.89	8.83	7.427	6.851	6.429	6.253	6.114	6.198	6.189	6.101	6.257	8.923	5.004	2.767	1.899	1.382	1.082	0.954	0.936	0.952	0.981	0.859	0.882	5.618	5.837	5.794	5.78	0.465	0.431	0.434	0.532	0.513	0.525	0.495	0.546																																																													
