##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	FALSE	Raw	FALSE	515	10800	21				1	530	1	12	96	475	Manual	515			20	High			1	3	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	36.90	6.253	6.153	6.037	6.135	5.827	5.943	5.936	6.022	5.94	6.17	6.055	5.877	5.757	5.641	5.587	5.725	6.012	5.75	5.966	6.08	6.123	6.214	6.205	5.729	2.577	2.372	2.214	2.345	2.341	2.408	2.256	2.321	2.319	2.401	2.328	2.184																																																													
0:21	37.10	6.401	6.376	6.274	6.348	6.023	6.135	6.178	6.059	6.101	6.519	6.184	6.116	6.239	5.805	5.674	6.076	6.081	6.085	6.106	6.24	6.361	6.312	6.238	5.966	2.561	2.346	2.306	2.355	2.21	2.273	2.296	2.278	2.326	2.324	2.399	2.173																																																													
0:42	37.20	6.708	6.68	6.62	6.656	6.414	6.643	6.461	6.415	6.548	6.615	6.609	6.333	6.502	6.153	6.264	6.27	6.288	6.317	6.334	6.605	6.57	6.874	6.816	6.415	2.518	2.396	2.32	2.338	2.352	2.428	2.384	2.342	2.392	2.432	2.385	2.281																																																													
1:03	37.10	6.963	6.94	6.898	7.013	6.737	6.619	6.789	6.59	6.674	6.881	6.616	6.543	6.606	6.303	6.508	6.421	6.74	6.538	6.334	6.744	6.864	6.995	6.812	6.441	2.583	2.372	2.328	2.344	2.374	2.414	2.338	2.401	2.375	2.408	2.38	2.351																																																													
1:24	37.00	7.037	7.094	7.199	7.222	6.86	7.001	6.989	6.924	6.973	7.166	6.808	6.689	6.807	6.616	6.685	6.875	6.742	6.752	6.553	6.851	6.77	7.066	7.014	6.536	2.505	2.438	2.373	2.362	2.378	2.333	2.323	2.308	2.441	2.597	2.381	2.328																																																													
1:45	36.90	7.209	7.393	7.23	7.267	7.108	7.158	7.192	6.971	6.769	7.088	7.007	6.745	7.027	6.703	6.837	7.03	7.05	6.878	6.912	6.93	7.088	7.075	7.164	6.64	2.508	2.281	2.364	2.39	2.241	2.286	2.397	2.305	2.401	2.424	2.305	2.288																																																													
2:06	36.90	7.377	7.705	7.413	7.579	7.306	7.239	7.049	7.013	7.125	7.308	7.196	6.681	7.186	7.087	7.187	7.256	7.224	7.164	6.965	7.263	7.066	7.297	7.156	6.762	2.614	2.39	2.374	2.326	2.392	2.316	2.402	2.371	2.345	2.373	2.392	2.351																																																													
2:27	36.90	7.587	7.762	7.537	7.904	7.526	7.578	7.355	7.191	7.148	7.346	7.234	7.122	7.352	7.272	7.372	7.466	7.404	7.438	7.209	7.286	7.46	7.539	7.333	6.769	2.536	2.443	2.318	2.358	2.292	2.41	2.342	2.402	2.337	2.333	2.313	2.397																																																													
2:48	36.90	7.72	8.085	7.732	8.103	7.541	7.569	7.41	7.267	7.285	7.449	7.254	7.034	7.609	7.501	7.452	7.711	7.678	7.666	7.348	7.389	7.544	7.502	7.333	6.986	2.579	2.455	2.316	2.37	2.366	2.366	2.387	2.361	2.416	2.349	2.341	2.238																																																													
3:09	36.90	7.845	8.246	7.955	8.286	7.865	7.773	7.683	7.639	7.51	7.595	7.416	7.24	7.67	7.415	7.806	7.737	7.656	7.653	7.715	7.633	7.67	7.639	7.702	7.031	2.506	2.373	2.318	2.352	2.382	2.352	2.357	2.46	2.397	2.482	2.377	2.381																																																													
3:30	37.00	8.069	8.382	8.212	8.435	7.819	8.036	7.865	7.601	7.666	7.848	7.559	7.134	7.845	7.65	7.945	7.908	8.076	7.995	7.787	7.869	7.994	7.682	7.71	7.159	2.597	2.321	2.29	2.386	2.251	2.366	2.349	2.402	2.309	2.435	2.3	2.34																																																													
3:51	37.00	8.199	8.632	8.339	8.548	8.252	8.265	7.896	8.036	7.738	7.951	7.795	7.044	8.2	7.953	8.101	8.236	8.112	8.132	7.817	7.897	7.874	7.772	7.744	7.372	2.557	2.406	2.327	2.348	2.282	2.367	2.317	2.426	2.401	2.338	2.389	2.282																																																													
4:12	37.10	8.128	8.784	8.318	8.608	8.225	8.454	8.131	7.937	7.87	8.037	7.809	7.547	8.128	8.058	8.296	8.552	8.338	8.308	8.03	7.924	8.059	7.99	7.996	7.458	2.503	2.411	2.225	2.284	2.378	2.353	2.293	2.443	2.47	2.344	2.368	2.249																																																													
