Plate,Repeat,Well,Type,Time,Fluorescein (0.1s) (Counts)
1,1,A01,M,00:00:14.82,3947
1,2,A01,M,00:01:18.29,4161
1,3,A01,M,00:02:21.76,4029
1,4,A01,M,00:03:25.22,3880
1,5,A01,M,00:04:28.68,3839
1,6,A01,M,00:05:32.15,3944
1,7,A01,M,00:06:35.61,3987
1,8,A01,M,00:07:39.07,3933
1,9,A01,M,00:08:42.52,3816
1,10,A01,M,00:09:45.96,3819
1,1,A02,M,00:00:15.24,6934
1,2,A02,M,00:01:18.70,6909
1,3,A02,M,00:02:22.17,6942
1,4,A02,M,00:03:25.64,6656
1,5,A02,M,00:04:29.09,6807
1,6,A02,M,00:05:32.56,6706
1,7,A02,M,00:06:36.02,6640
1,8,A02,M,00:07:39.48,6584
1,9,A02,M,00:08:42.94,6775
1,10,A02,M,00:09:46.38,6621
1,1,A03,M,00:00:15.66,7155
1,2,A03,M,00:01:19.12,7167
1,3,A03,M,00:02:22.59,7005
1,4,A03,M,00:03:26.05,7051
1,5,A03,M,00:04:29.51,6920
1,6,A03,M,00:05:32.98,7032
1,7,A03,M,00:06:36.44,7001
1,8,A03,M,00:07:39.90,7016
1,9,A03,M,00:08:43.36,6843
1,10,A03,M,00:09:46.80,6714
1,1,A04,M,00:00:16.07,8963
1,2,A04,M,00:01:19.53,8866
1,3,A04,M,00:02:23.00,8984
1,4,A04,M,00:03:26.47,8789
1,5,A04,M,00:04:29.92,9019
1,6,A04,M,00:05:33.39,8869
1,7,A04,M,00:06:36.85,8651
1,8,A04,M,00:07:40.31,8816
1,9,A04,M,00:08:43.77,8833
1,10,A04,M,00:09:47.21,8728
1,1,A05,M,00:00:16.49,9232
1,2,A05,M,00:01:19.95,9354
1,3,A05,M,00:02:23.42,9359
1,4,A05,M,00:03:26.88,9447
1,5,A05,M,00:04:30.34,9281
1,6,A05,M,00:05:33.81,9131
1,7,A05,M,00:06:37.27,9178
1,8,A05,M,00:07:40.73,9133
1,9,A05,M,00:08:44.19,9196
1,10,A05,M,00:09:47.63,9095
1,1,A06,M,00:00:16.90,9714
1,2,A06,M,00:01:20.36,9652
1,3,A06,M,00:02:23.83,9302
1,4,A06,M,00:03:27.30,9495
1,5,A06,M,00:04:30.75,9459
1,6,A06,M,00:05:34.22,9398
1,7,A06,M,00:06:37.68,9231
1,8,A06,M,00:07:41.14,9401
1,9,A06,M,00:08:44.60,9216
1,10,A06,M,00:09:48.04,9308
1,1,A07,M,00:00:17.31,9519
1,2,A07,M,00:01:20.78,9809
1,3,A07,M,00:02:24.25,9809
1,4,A07,M,00:03:27.71,9642
1,5,A07,M,00:04:31.17,9513
1,6,A07,M,00:05:34.64,9648
1,7,A07,M,00:06:38.10,9664
1,8,A07,M,00:07:41.56,9501
1,9,A07,M,00:08:45.02,9246
1,10,A07,M,00:09:48.45,9330
1,1,A08,M,00:00:17.73,9731
1,2,A08,M,00:01:21.19,9839
1,3,A08,M,00:02:24.66,9691
1,4,A08,M,00:03:28.13,9622
1,5,A08,M,00:04:31.58,9516
1,6,A08,M,00:05:35.05,9628
1,7,A08,M,00:06:38.51,9528
1,8,A08,M,00:07:41.97,9533
1,9,A08,M,00:08:45.43,9308
1,10,A08,M,00:09:48.87,9327
1,1,A09,M,00:00:18.14,9970
1,2,A09,M,00:01:21.61,9770
1,3,A09,M,00:02:25.08,9642
1,4,A09,M,00:03:28.54,9570
1,5,A09,M,00:04:32.00,9683
1,6,A09,M,00:05:35.47,9593
1,7,A09,M,00:06:38.93,9407
1,8,A09,M,00:07:42.39,9609
1,9,A09,M,00:08:45.85,9274
1,10,A09,M,00:09:49.28,9481
1,1,A10,M,00:00:18.56,9994
1,2,A10,M,00:01:22.02,9973
1,3,A10,M,00:02:25.49,9819
1,4,A10,M,00:03:28.96,9915
1,5,A10,M,00:04:32.41,9852
1,6,A10,M,00:05:35.88,9668
1,7,A10,M,00:06:39.34,9778
1,8,A10,M,00:07:42.80,9563
1,9,A10,M,00:08:46.26,9569
1,10,A10,M,00:09:49.70,9811
1,1,A11,M,00:00:18.98,9948
1,2,A11,M,00:01:22.44,9809
1,3,A11,M,00:02:25.91,9830
1,4,A11,M,00:03:29.37,9483
1,5,A11,M,00:04:32.83,9460
1,6,A11,M,00:05:36.30,9464
1,7,A11,M,00:06:39.76,9532
1,8,A11,M,00:07:43.22,9499
1,9,A11,M,00:08:46.68,9477
1,10,A11,M,00:09:50.12,9322
1,1,A12,M,00:00:19.39,9606
1,2,A12,M,00:01:22.85,9612
1,3,A12,M,00:02:26.32,9315
1,4,A12,M,00:03:29.79,9284
