Plate,Repeat,Well,Type,Time,Fluorescein (0.1s) (Counts)
1,1,A01,M,00:00:10.75,4348
1,2,A01,M,00:01:14.22,4375
1,3,A01,M,00:02:17.71,4373
1,4,A01,M,00:03:21.17,4399
1,5,A01,M,00:04:24.64,4384
1,6,A01,M,00:05:28.10,4150
1,7,A01,M,00:06:31.57,4210
1,8,A01,M,00:07:35.03,4344
1,9,A01,M,00:08:38.49,4338
1,10,A01,M,00:09:41.97,4168
1,11,A01,M,00:10:45.44,4314
1,12,A01,M,00:11:48.90,4200
1,13,A01,M,00:12:52.36,4271
1,14,A01,M,00:13:55.82,4223
1,15,A01,M,00:14:59.28,4246
1,16,A01,M,00:16:02.74,4369
1,17,A01,M,00:17:06.20,4332
1,18,A01,M,00:18:09.66,4292
1,19,A01,M,00:19:13.13,4358
1,20,A01,M,00:20:16.62,4243
1,21,A01,M,00:21:20.09,4352
1,22,A01,M,00:22:23.55,4282
1,23,A01,M,00:23:27.01,4280
1,24,A01,M,00:24:30.49,4236
1,25,A01,M,00:25:33.95,4338
1,26,A01,M,00:26:37.42,4337
1,27,A01,M,00:27:40.88,4289
1,28,A01,M,00:28:44.35,4427
1,29,A01,M,00:29:47.83,4171
1,30,A01,M,00:30:51.30,4311
1,31,A01,M,00:31:54.76,4398
1,32,A01,M,00:32:58.22,4240
1,33,A01,M,00:34:01.69,4270
1,34,A01,M,00:35:05.15,4250
1,35,A01,M,00:36:08.61,4357
1,36,A01,M,00:37:12.11,4299
1,37,A01,M,00:38:15.57,4306
1,38,A01,M,00:39:19.04,4365
1,39,A01,M,00:40:22.50,4333
1,40,A01,M,00:41:25.97,4341
1,41,A01,M,00:42:29.45,4357
1,42,A01,M,00:43:32.91,4338
1,43,A01,M,00:44:36.38,4389
1,44,A01,M,00:45:39.84,4394
1,45,A01,M,00:46:43.31,4369
1,46,A01,M,00:47:46.80,4374
1,47,A01,M,00:48:50.27,4410
1,48,A01,M,00:49:53.73,4213
1,49,A01,M,00:50:57.20,4277
1,50,A01,M,00:52:00.66,4222
1,51,A01,M,00:53:04.15,4176
1,52,A01,M,00:54:07.61,4281
1,53,A01,M,00:55:11.07,4304
1,54,A01,M,00:56:14.53,4281
1,55,A01,M,00:57:18.00,4227
1,56,A01,M,00:58:21.49,4399
1,57,A01,M,00:59:24.95,4253
1,58,A01,M,01:00:28.41,4205
1,59,A01,M,01:01:31.88,4202
1,60,A01,M,01:02:35.34,4241
1,61,A01,M,01:03:38.81,4250
1,62,A01,M,01:04:42.32,4274
1,63,A01,M,01:05:45.78,4207
1,64,A01,M,01:06:49.24,4288
1,65,A01,M,01:07:52.73,4274
1,66,A01,M,01:08:56.19,4177
1,67,A01,M,01:09:59.66,4220
1,68,A01,M,01:11:03.12,4244
1,69,A01,M,01:12:06.58,4244
1,70,A01,M,01:13:10.04,4274
1,71,A01,M,01:14:13.50,4329
1,72,A01,M,01:15:16.99,4394
1,73,A01,M,01:16:20.45,4228
1,74,A01,M,01:17:23.92,4220
1,75,A01,M,01:18:27.38,4186
1,76,A01,M,01:19:30.84,4313
1,77,A01,M,01:20:34.30,4301
1,78,A01,M,01:21:37.80,4260
1,79,A01,M,01:22:41.27,4164
1,80,A01,M,01:23:44.73,4307
1,81,A01,M,01:24:48.19,4145
1,82,A01,M,01:25:51.66,4214
1,83,A01,M,01:26:55.15,4213
1,84,A01,M,01:27:58.61,4097
1,85,A01,M,01:29:02.10,4238
1,86,A01,M,01:30:05.56,4163
1,87,A01,M,01:31:09.02,4197
1,88,A01,M,01:32:12.49,4151
1,89,A01,M,01:33:15.95,4141
1,90,A01,M,01:34:19.42,4222
1,91,A01,M,01:35:22.88,4139
1,92,A01,M,01:36:26.35,4135
1,93,A01,M,01:37:29.82,4112
1,94,A01,M,01:38:33.28,4302
1,95,A01,M,01:39:36.75,3981
1,96,A01,M,01:40:40.21,4104
1,97,A01,M,01:41:43.67,4114
1,98,A01,M,01:42:47.13,4228
1,99,A01,M,01:43:50.61,4064
1,100,A01,M,01:44:54.10,4147
1,101,A01,M,01:45:57.57,4108
1,102,A01,M,01:47:01.03,4130
1,103,A01,M,01:48:04.50,4161
1,104,A01,M,01:49:07.96,4025
1,105,A01,M,01:50:11.42,4123
1,106,A01,M,01:51:14.90,4063
1,107,A01,M,01:52:18.39,4088
1,1,A02,M,00:00:11.17,7487
1,2,A02,M,00:01:14.64,7453
1,3,A02,M,00:02:18.12,7437
1,4,A02,M,00:03:21.58,7439
1,5,A02,M,00:04:25.06,7370
1,6,A02,M,00:05:28.52,7219
1,7,A02,M,00:06:31.99,7235
1,8,A02,M,00:07:35.45,7319
1,9,A02,M,00:08:38.91,7260
1,10,A02,M,00:09:42.39,7333
1,11,A02,M,00:10:45.85,7230
1,12,A02,M,00:11:49.31,7368
1,13,A02,M,00:12:52.77,7473
1,14,A02,M,00:13:56.23,7166
1,15,A02,M,00:14:59.69,7324
1,16,A02,M,00:16:03.15,7145
1,17,A02,M,00:17:06.62,7203
1,18,A02,M,00:18:10.08,7316
1,19,A02,M,00:19:13.54,7250
1,20,A02,M,00:20:17.04,7182
1,21,A02,M,00:21:20.50,7381
1,22,A02,M,00:22:23.97,7212
1,23,A02,M,00:23:27.43,7306
1,24,A02,M,00:24:30.90,7417
1,25,A02,M,00:25:34.37,7158
1,26,A02,M,00:26:37.84,7307
1,27,A02,M,00:27:41.30,7331
1,28,A02,M,00:28:44.76,7240
1,29,A02,M,00:29:48.25,7420
1,30,A02,M,00:30:51.71,7246
1,31,A02,M,00:31:55.18,7361
1,32,A02,M,00:32:58.64,7135
1,33,A02,M,00:34:02.10,7338
1,34,A02,M,00:35:05.57,7097
