##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	FALSE	Raw	FALSE	515	10800	21				1	515	1	12	96	355	Manual	435			20	High			2	3	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	29.90													12.043	11.523	11.247	11.575	11.621	11.248	11.539	11.293	11.843	11.418	11.279	12.279	11.463	11.916	11.658	11.215	11.371	11.212	11.123	11.225	11.234	11.128	11.378	11.407	11.516	11.605	11.391	11.419	11.157	11.263	11.28	11.491	10.812	11.684	11.235	11.273																																																	
0:21	30.00													12.237	11.688	11.301	11.71	11.44	11.497	11.393	11.513	11.694	11.417	11.024	11.92	11.402	11.732	10.964	11.361	11.27	11.36	11.129	11.283	11.283	11.031	11.097	11.376	11.817	11.178	11.346	11.401	11.184	11.201	11.239	11.304	11.393	11.984	11.109	11.17																																																	
0:42	30.10													12.046	11.839	11.213	11.758	11.539	11.432	11.517	11.392	11.325	11.67	11.446	13.668	11.929	11.982	11.573	11.507	11.461	11.125	11.245	11.526	11.131	11.453	11.201	11.225	11.417	11.437	11.376	11.687	11.47	11.336	11.728	11.294	11.245	11.715	11.183	11.239																																																	
1:03	30.10													12.507	12.035	11.255	11.547	11.669	11.803	11.746	11.689	11.438	11.619	11.29	13.022	12.031	11.674	11.615	11.576	11.424	11.808	11.359	11.413	11.391	11.327	11.281	11.426	11.934	11.62	11.299	11.638	11.586	11.873	11.49	11.579	11.345	11.994	11.288	11.521																																																	
1:24	30.00													12.548	12.199	11.838	11.558	11.338	11.782	11.633	11.582	11.674	11.558	11.538	12.554	12.213	12.115	11.506	11.476	11.292	11.354	11.352	11.061	11.587	11.163	11.315	11.69	11.9	11.465	11.44	11.751	11.624	11.649	11.375	11.516	11.265	11.81	11.477	11.526																																																	
1:45	30.00													12.63	12.074	11.798	11.75	11.695	11.492	11.795	11.313	11.659	11.552	11.737	12.397	12.208	11.763	11.394	11.593	11.631	11.333	11.764	11.397	11.675	11.355	11.433	11.59	11.531	11.592	11.631	11.639	11.575	11.735	11.489	11.706	11.673	11.893	11.478	11.364																																																	
2:06	30.00													12.5	12.126	11.671	11.888	11.772	11.494	11.28	11.325	11.74	11.609	11.624	12.554	12.273	11.718	11.38	11.298	11.452	11.554	11.396	11.02	11.342	11.404	11.475	11.304	12.013	11.53	11.641	11.502	11.382	11.517	11.312	11.42	11.556	11.685	11.242	11.224																																																	
2:27	29.90													12.731	12.134	11.855	11.503	11.828	11.719	11.652	11.871	12.216	11.645	11.595	12.755	12.418	12.233	11.865	11.82	11.911	11.443	11.534	11.52	11.662	11.289	11.6	11.571	11.804	11.859	11.877	11.72	11.478	11.801	11.706	11.587	11.212	12.01	11.527	11.795																																																	
2:48	30.00													12.706	12.499	11.863	11.924	11.544	11.722	11.658	11.555	11.913	11.453	11.413	12.439	12.355	12.141	11.521	11.532	11.659	11.349	11.479	11.338	11.417	11.371	11.392	11.574	11.774	11.736	11.641	11.422	11.18	11.258	11.392	11.484	11.595	12.049	11.442	11.433																																																	
3:09	30.00													13.016	12.466	12.093	11.397	11.572	11.951	11.804	11.639	12.082	11.618	11.503	12.668	12.178	12.093	11.822	11.663	11.729	11.57	11.446	11.232	11.767	11.042	11.388	11.752	12.237	11.707	11.299	11.601	11.527	12.059	11.658	12.021	11.615	12.072	11.648	11.423																																																	
