##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	FALSE	Raw	FALSE	451	10800	24				1	515	1	12	96	355	Manual	435			20	High			2	4	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	30.00													524.476	253.368	164.626	119.239	94.199	79.016	69.233	65.198	61.017	56.72	54.526	49.455	78.247	73.832	68.224	65.016	61.284	58.18	56.134	54.257	53.163	52.306	51.824	50.49	55.242	52.868	52.674	51.369	52.571	52.414	52.685	52.779	51.315	52.342	50.828	49.651	54.546	55.26	52.085	50.639	51.776	51.952	51.375	52.668	51.718	51.757	51.855	50.567																																					
0:24	30.00													528.645	256.499	165.995	120.496	95.617	79.343	70.536	65.583	61.418	57.599	56.112	50.608	79.809	75.595	69.767	65.936	62.498	58.922	57.764	54.993	53.9	52.643	52.576	51.541	56.162	54.254	53.455	52.452	53.874	52.873	52.807	53.014	51.905	52.869	51.95	50.683	53.125	56.251	51.775	50.988	51.747	52.531	52.396	52.245	52.273	51.949	51.922	51.21																																					
0:48	30.00													529	256.647	165.79	118.801	94.978	79.045	70.071	64.973	61.486	57.227	55.257	50.51	79.209	75.485	70.395	66.915	62.749	58.746	56.7	55.669	54.164	53.668	53.321	51.57	56.171	55.221	54.789	52.232	53.375	53.164	52.597	53.01	51.732	52.966	51.357	49.657	53.055	52.866	52.53	50.878	51.974	51.811	52.152	52.253	52.378	51.957	51.648	51.136																																					
1:12	30.00													530.451	260.194	165.463	119.898	96.122	79.615	70.85	64.885	61.4	58.243	55.534	50.583	79.596	75.75	70.797	67.78	63.508	60.296	57.1	55.85	53.947	52.588	53.265	51.68	56.923	54.92	54.419	52.216	54.295	54.28	52.769	53.266	53.042	52.953	51.8	50.517	54.345	53.114	52.772	50.862	53.084	53.035	52.612	52.656	53.12	52.94	51.953	52.086																																					
1:36	30.00													534.551	260.515	166.885	119.794	95.542	80.73	70.384	64.513	61.358	57.578	55.498	51.564	79.963	76.74	71.825	68.457	64.822	59.905	57.456	56.096	55.221	53.824	53.125	51.603	57.928	55.824	54.967	53.462	54.877	53.125	52.715	53.636	52.034	53.354	52.465	51.383	53.462	53.427	53.269	51.895	52.711	52.965	52.856	52.432	52.573	52.257	52.181	51.738																																					
2:00	30.00													532.794	260.045	165.164	120.452	94.768	79.446	69.768	65.251	61.638	57.697	55.989	50.792	80.435	77.119	72.462	68.749	64.243	60.241	57.808	55.712	55.17	53.461	52.927	51.706	57.706	55.923	55.822	53.946	54.07	53.437	52.898	52.973	52.14	53.321	51.627	51.17	54.421	54.323	53.386	51.866	52.922	52.949	52.671	52.406	52.218	52.759	52.322	51.993																																					
2:24	30.00													528.948	258.889	166.193	118.81	95.09	79.317	69.236	64.845	61.919	57.168	54.87	50.424	80.744	77.577	71.835	69.099	64.642	59.983	57.433	56.125	55.131	53.269	52.948	51.134	58.722	55.771	55.917	54.221	54.181	53.859	53.715	53.144	52.021	52.695	51.765	51.596	54.977	54.111	53.439	51.723	53.262	52.51	52.017	52.67	52.328	52.447	51.972	51.251																																					
2:48	30.00													527.537	261.907	165	119.808	95.313	79.976	69.804	65.844	61.305	57.751	55.232	51.232	80.078	77.363	72.858	69.694	64.664	60.437	58.701	56.902	55.119	53.361	52.813	51.609	59.118	56.409	56.312	54.766	54.687	53.565	53.786	53.384	52.495	52.976	52.519	50.786	54.81	54.906	54.038	52.385	53.044	52.496	52.673	52.585	51.782	52.764	52.733	51.785																																					
3:12	30.00													521.989	260.005	165.04	119.068	94.036	79.104	69.377	64.444	60.953	56.949	54.84	50.628	78.982	77.376	72.43	68.809	64.548	60.37	57.487	55.971	54.439	53.479	52.13	50.881	59.41	56.245	55.611	54.185	54.113	53.077	52.501	53.357	51.314	52.405	51.383	50.261	54.944	54.574	53.618	52.059	52.729	52.476	51.445	52.158	52.172	52.517	51.864	51.065																																					
3:36	30.00													520.476	260.161	164.977	119.175	94.116	79.171	69.189	64.396	60.736	56.918	55.301	50.154	78.609	76.839	72.078	68.579	64.593	60.423	57.533	55.323	54.076	53.277	52.658	51.377	59.59	56.11	56.175	54.503	53.45	52.597	52.741	53.752	52.004	52.076	51.437	50.829	55.359	54.902	53.744	51.983	52.76	52.746	51.961	52.085	51.564	52.063	52.016	50.887																																					
