##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	8	196	28				1	515	1	12	96	355	Manual	475			20	High			1	4	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	32.60	162.939	158.25	162.581	162.263	163.057	157.824	160.963	159.931	160.393	161.474	164.725	165.495	166.305	161.114	161.093	151.786	148.339	146.431	147.711	139.542	147.714	138.388	133.8	125.968	169.017	155.501	153.381	151.16	148.66	152.676	146.531	138.595	138.499	131.57	130.168	126.854	152.358	157.983	152.503	150.669	148.419	141.861	135.42	134.973	128.016	132.76	129.613	126.332																																																	
0:28	32.50	160.254	159.412	160.526	160.342	159.563	156.389	159.35	160.55	159.974	158.52	164.996	165.48	165.845	159.636	158.275	152.114	147.092	147.221	145.198	137.872	146.316	135.784	133.772	124.336	168.337	153.139	152.687	148.92	147.193	152.123	145.318	139.317	136.849	131.1	130.01	126.28	152.946	156.672	154.163	149.89	146.011	140.48	135.456	134.894	128.018	132.469	128.544	125.616																																																	
0:56	32.40	158.337	156.689	159.247	158.368	159.433	156.202	159.312	157.403	159.518	160.12	164.306	164.324	163.637	158.86	158.281	150.176	148.108	146.219	144.677	138.209	144.282	135.239	132.319	123.983	166.331	152.925	151.929	146.787	145.745	150.979	143.576	137.889	136.449	130.086	130.41	125.146	151.591	155.841	153.575	148.651	147.303	139.124	135.98	134.003	126.048	129.862	127.615	125.389																																																	
1:24	32.40	159.566	156.379	159.557	160.648	158.424	157.413	159.412	158.94	159.096	159.121	166.121	164.316	164.435	158.865	157.439	151.054	146.829	146.485	144.733	137.524	144.354	134.918	131.256	123.877	166.179	152.813	151.131	148.746	147.346	150.177	144.891	137.863	135.382	129.379	128.892	126.826	152.001	156.573	150.996	148.719	147.19	140.203	134.744	133.17	126.158	131.401	127.063	123.777																																																	
1:52	32.30	158.645	157.35	159.253	157.814	159.574	155.68	158.647	158.409	159.218	157.946	163.778	164.63	163.543	158.023	156.573	148.98	146.693	145.22	145.418	137.342	142.826	134.466	132.836	124.551	165.221	153.672	151.608	147.827	146.38	151.304	143.428	137.448	136.34	129.585	128.189	125.86	151.23	154.012	151.497	147.737	147.737	139.181	133.176	132.564	126.509	127.964	126.994	124.826																																																	
2:20	32.20	156.516	153.979	159.385	157.978	157.494	155.623	157.688	156.311	158.85	158.188	162.917	163.891	161.741	157.861	155.175	149.142	145.447	144.642	142.409	136.748	143.291	133.833	130.471	122.998	163.129	150.672	149.508	148.123	146.044	149.445	142.489	136.146	134.99	130.036	127.848	124.342	151.015	155.031	150.703	148.348	145.738	138.281	132.436	129.94	124.882	129.083	125.303	123.11																																																	
2:48	32.20	157.102	154.106	156.895	158.362	156.672	154.675	157.252	155.25	158.603	158.3	163.967	163.874	163.212	157.626	155.182	149.511	145.51	144.306	142.331	136.638	141.418	133.764	130.248	121.886	163.334	151.245	149.499	145.52	145.336	148.998	142.355	135.864	134.611	130.015	125.992	124.076	150.717	154.528	150.998	146.958	146.713	138.758	132.585	131.398	125.253	127.902	126.337	123.22																																																	
3:16	32.10	155.682	154.526	156.268	156.915	156.678	153.579	155.845	155.641	157.118	155.987	161.134	163.636	161.468	156.849	156.397	147.72	144.477	142.879	140.975	135.752	141.899	133.608	129.603	122.317	162.104	151.261	149.338	145.548	142.832	148.096	142.114	136.192	134.606	127.664	125.654	123.535	150.102	153.779	152.106	147.535	145.143	137.581	131.029	130.122	125.211	128.111	124.688	122.261																																																	

~End
