##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	386	10800	28				1	515	1	12	96	355	Manual	475			20	High			1	4	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	42.80	131.652	128.963	130.146	126.914	130.767	124.787	121.732	119.35	120.245	122.548	125.272	128.05	137.13	125.59	122.959	125.043	121.731	124.149	120.918	116	118.124	122.116	122.466	124.5	132.054	125.143	124.636	123.325	121.283	129.25	121.287	120.992	119.748	118.808	119.59	123.883	160.038	142.4	137.542	132.67	138.214	131.237	131.51	128.304	126.86	129.195	120.237	124.266																																																	
0:28	43.10	128.635	121.907	124.592	122.541	122.272	121.946	119.916	118.739	118.792	119.031	123.773	125.888	135.245	122.61	120.825	122.494	117.546	121.453	117.669	114.227	114.965	118.799	118.814	122.49	126.204	122.925	121.392	120.877	117.493	123.953	121.135	118.984	116.191	116.776	118.523	122.02	156.429	141.73	135.932	127.537	128.237	126.886	124.938	122.592	122.758	125.256	117.146	119.933																																																	
0:56	43.20	126.674	120.4	121.846	120.21	120.243	121.322	118.564	116.694	116.57	118.496	122.29	123.848	143.491	121.731	119.659	119.46	118.143	120.767	117.221	112.185	114.447	116.582	117.496	120.079	125.087	122.476	119.924	118.161	115.824	124.768	118.269	116.591	116.274	116.526	115.615	118.552	155.301	143.19	135.528	126.849	127.234	124.461	123.517	121.006	121.325	119.261	115.64	119.579																																																	
1:24	43.10	126.119	119.949	121.143	120.079	120.448	118.625	117.171	115.437	115.989	117.208	122.797	123.947	142.725	122.054	119.932	119.401	117.656	118.827	116.208	113.517	114.307	117.917	116.928	119.176	124.797	118.569	119.05	115.119	115.877	122.362	117.374	117.369	115.069	114.812	115.954	118.235	156.34	141.981	134.162	126.493	126.284	123.807	122.045	120.594	119.236	118.75	114.936	117.622																																																	
1:52	42.90	123.788	118.51	119.607	120.085	116.475	118.42	116.545	115.851	115.051	116.131	120.941	123.507	142.491	119.874	119.353	119.401	116.483	117.901	116.212	113.105	114.128	115.243	116.558	117.093	123.441	118.66	117.928	114.393	115.214	121.113	116.256	115.284	115.364	114.217	113.882	115.83	155.369	141.29	134.657	125.992	124.156	121.769	119.957	119.489	118.241	118.226	115.337	116.866																																																	
2:20	42.90	122.511	117.842	118.938	118.564	119.145	118.804	115.862	113.993	114.132	115.443	120.916	121.719	140.99	119.712	117.765	116.27	115.843	116.542	115.419	113.886	111.841	115.17	115.468	115.804	122.423	116.482	116.313	113.516	113.668	120.713	115.128	113.275	115.931	114.305	113.79	115.319	156.202	141.401	134.497	125.958	123.322	122.024	119.321	118.246	116.368	116.26	115.246	116.175																																																	
2:48	42.90	120.496	116.252	115.924	115.761	115.515	115.565	114.449	112.147	112.981	113.387	117.719	118.556	139.82	118.352	116.889	113.833	114.663	113.541	112.811	110.809	110.44	112.959	114.279	115.233	121.553	115.325	114.078	113.524	114.405	118.195	112.928	112.8	112.198	111.399	112.775	114.917	154.577	140.445	132.545	123.466	121.327	119.532	117.382	116.081	115.689	113.442	111.77	113.876																																																	
3:16	43.00	119.862	114.164	115.079	115.77	115.671	114.335	112.838	110.57	111.59	113.409	117.703	117.774	138.379	116.277	114.569	114.091	111.755	113.569	112.868	109.263	109.769	112.475	112.365	114.747	119.883	114.045	113.245	112.049	112.776	117.564	112.934	111.754	111.45	112.236	109.738	112.536	152.705	139.266	131.304	121.841	120.317	118.472	115.764	114.8	113.391	112.417	110.978	111.785																																																	
3:44	43.00	118.202	114.596	115.724	113.878	114.608	114.274	111.365	112.408	112.638	113.139	117.102	117.802	139.767	117.662	114.911	115.426	112.915	112.982	112.204	109.55	112.241	113.506	112.931	114.06	120.69	115.526	114.532	112.503	112.083	118.048	113.047	113.379	111.913	110.783	111.3	113.524	153.983	140.652	133.865	125.272	121.077	117.444	116.173	116.236	114.229	114.061	112.316	112.637																																																	
4:12	43.10	117.153	114.227	113.338	114.134	113.173	113.48	111.549	109.675	111.109	113.11	115.193	116.863	137.315	115.418	114.153	113.254	112.542	112.199	111.819	108.054	110.904	111.792	113.127	113.591	118.935	114.864	113.49	110.936	110.908	117.152	112.23	110.835	110.942	110.415	111.285	112.185	152.235	140.445	132.014	124.273	121.399	117.781	115.482	115.906	113.457	110.671	111.512	111.869																																																	
4:40	43.10	115.283	110.892	112.642	110.631	112.129	112.111	108.705	108.853	109.687	110.72	112.88	115.548	136.919	115.192	112.086	112.642	111.78	111.525	109.14	108.116	109.641	111.601	110.724	111.063	117.187	112.678	111.099	109.071	109.674	114.868	110.472	108.142	108.601	107.988	108.961	109.247	149.402	138.637	130.182	122.029	118.569	114.555	113.876	112.367	111.373	110.528	108.583	110.008																																																	
5:08	43.00	115.074	112.199	113.121	110.827	111.864	110.764	109.783	109.35	109.098	110.543	113.126	114.487	135.982	116.323	113.16	112.042	109.866	111.311	109.25	106.992	107.596	110.034	110.629	110.733	117.42	112.461	110.067	108.89	109.176	116.843	111.213	109.34	108.899	107.825	108.602	110.419	149.044	139.056	130.109	122.477	117.906	116.151	114.14	112.623	111.774	109.898	109.445	110.217																																																	
5:36	43.00	113.213	109.836	110.865	109.449	108.9	108.534	108.182	108.188	107.663	108.845	111.465	112.273	134.517	113.296	111.677	111.774	109.739	110.182	107.782	106.619	107.125	110.048	109.103	110.995	114.923	111.241	111.425	106.706	106.963	114.686	109.94	108.535	107.049	106.514	107.403	108.211	147.439	136.259	128.164	121.717	117.771	114.901	111.89	111.675	110.271	107.376	108.184	107.845																																																	
6:04	43.00	113.554	110.245	110.622	109.609	110.089	109.366	107.138	108.141	107.631	108.116	110.875	112.656	134.553	113.878	111.968	110.643	107.687	111.133	108.238	107.265	108.768	110.247	108.838	110.677	116.727	110.076	110.233	108.232	108.178	115.15	109.647	109.038	108.757	107.753	108.061	109.011	148.395	137.515	129.703	121.513	117.944	115.654	112.257	111.493	110.136	108.801	107.894	107.274																																																	
6:32	42.90	112.608	108.565	110.47	110.286	109.484	109.15	107.597	107.741	107.043	108.804	111.924	110.802	135.92	114.153	111.923	109.803	110.762	110.548	108.566	105.971	107.727	109.703	108.729	108.514	116.178	110.847	109.7	107.69	108.4	115.274	109.397	107.436	108.303	107.523	106.445	107.765	148.761	138.031	130.256	120.772	117.391	113.721	112.645	110.155	110.353	109.735	107.361	107.131																																																	
7:00	43.00	111.225	107.614	109.598	108.058	108.381	109.435	106.743	106.845	107.792	108.047	110.138	111.123	135.619	113.939	111.123	110.517	109.205	108.786	107.717	105.891	107.43	108.506	106.817	107.821	114.767	110.425	109.653	107.87	106.918	113.781	107.373	106.716	107.748	106.995	107.365	107.508	147.03	137.084	129.788	121.876	116.314	114.084	112.767	111.229	108.363	106.342	106.778	106.541																																																	
7:28	43.00	110.595	108.379	108.506	108.74	108.491	108.692	107.958	106.215	107.954	107.849	109.385	110.396	134.54	112.836	112.789	111.891	108.959	109.572	107.834	105.804	107.653	109.147	107.135	106.381	116.484	110.592	108.942	106.763	106.65	111.87	107.77	106.48	107.477	106.06	106.346	107.831	146.726	137.246	130.12	120.213	117.858	114.394	111.346	109.652	108.575	108.635	106.007	105.78																																																	
7:56	43.00	110.752	106.917	108.197	108.125	109.065	107.452	107.205	106.108	106.85	106.654	108.597	110.461	136.134	113.614	112.395	111.378	110.188	108.736	107.892	104.558	106.833	109.981	107.285	107.937	116.582	110.892	110.089	107.544	107.052	113.006	106.811	106.208	107.058	106.922	106.622	106.978	146.094	138.397	130.891	120.331	117.461	114.574	111.929	110.811	109.655	107.86	105.9	106.443																																																	
8:24	43.00	109.528	107.118	107.343	108.135	107.121	107.341	105.259	106.177	106.934	107.122	108.681	109.604	135.55	112.755	111.219	110.551	107.561	108	106.888	104.469	106.103	107.752	107.647	106.863	115.309	110.365	109.887	106.012	107.045	110.872	106.089	107.852	106.314	105.574	104.496	106.62	146.944	136.328	129.288	119.486	116.032	113.823	111.98	109.951	109.332	106.485	104.169	104.966																																																	
8:52	43.00	109.515	105.492	107.337	106.001	106.134	106.304	105.023	104.484	104.348	104.973	108.818	108.474	134.986	113.191	110.054	109.954	106.607	108.163	106.22	103.791	106.059	106.437	105.519	106.399	114.284	109.824	108.79	106.936	105.104	112.113	106.458	105.772	105.708	103.529	104.48	104.133	144.445	136.76	128.252	119.451	115.507	113.112	109.94	109.295	107.876	105.48	104.326	103.876																																																	
