##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	8	196	28				1	515	1	12	96	355	Manual	475			20	High			1	4	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	28.50	116.519	112.577	114.45	111.863	113.545	111.07	112.59	112.337	112.484	114.939	116.819	119.643	115.002	116.926	119.645	115.449	114.351	114.698	115.571	113.915	125.018	115.622	119.132	117.573	116.36	116.648	112.347	115.39	117.571	114.576	118.022	117.786	120.163	115.578	119.027	119.567	119.951	113.313	115.916	114.324	113.567	115.055	118.451	118.538	117.198	118.27	122.281	117.266																																																	
0:28	28.50	115.08	111.431	112.879	112.427	112.924	111.12	112.767	112.838	113.302	115.578	117.223	118.157	115.743	115.577	119.547	115.939	114.353	114.67	115.054	115.243	124.002	117.374	117.822	118.382	116.666	115.531	111.976	114.748	116.482	115.688	117.307	116.817	118.881	116.551	117.199	119.195	119.75	113.279	114.887	113.456	114.145	113.623	118.328	118.076	116.793	117.458	121.315	118.182																																																	
0:56	28.50	115	110.847	112.251	111.099	112.454	110.92	112.219	110.574	111.13	112.893	116.597	118.018	114.594	116.224	118.051	116.147	114.342	114.135	115.31	113.458	124.673	116.589	117.415	116.362	115.556	114.275	110.748	114.352	117.274	115.457	115.559	115.837	118.725	114.602	118.745	118.323	119.312	111.936	113.531	112.508	113.807	114.324	116.974	118.119	116.793	117.387	120.543	118.086																																																	
1:24	28.50	114.406	109.012	111.977	109.999	112.5	111.773	110.877	110.881	111.589	114.084	115.415	116.558	112.397	114.594	118.406	113.687	115.221	112.208	115.242	112.746	123.834	115.564	117.837	115.495	115.092	115.078	110.55	112.758	115.174	115.433	118.048	116.521	117.414	115.858	116.227	117.274	118.584	112.35	113.751	111.541	113.192	113.085	117.275	117.425	114.501	115.798	121.032	117.465																																																	
1:52	28.50	113.88	110.922	111.234	110.192	111.169	109.948	108.736	110.192	111.021	112.549	114.83	117.482	112.465	114.343	118.666	113.067	112.351	112.767	113.058	112.07	121.731	116.699	117.778	116.953	113.991	112.724	109.693	113.344	115.731	113.634	117.566	114.852	117.444	114.618	117.235	116.061	118.263	111.01	113.236	113.254	113.186	114.505	117.251	116.58	114.408	115.543	121.617	116.495																																																	
2:20	28.50	114.657	109.934	112.393	109.627	111.783	109.291	110.882	110.833	111.618	112.795	114.732	115.835	112.915	114.044	118.023	112.764	114.66	112.265	114.62	112.226	123.033	115.83	116.891	116.89	113.281	114.179	110.124	112.758	115.205	113.643	116.03	116.271	118.153	114.225	118.128	117.461	118.635	111.233	112.469	111.535	111.327	113.562	115.88	117.502	115.291	115.414	119.29	117.39																																																	
2:48	28.50	113.996	109.718	111.402	109.758	112.569	109.886	110.712	108.259	110.129	111.4	115.782	115.7	113.071	115.166	117.679	111.691	111.75	112.853	113.698	111.915	120.552	115.758	115.602	116.148	112.093	113.99	110.382	113.167	115.984	114.312	115.27	113.802	117.408	113.955	116.617	117.371	117.264	111.126	112.47	112.452	111.492	112.772	116.207	114.95	115.247	114.631	119.676	115.754																																																	
3:16	28.40	113.204	110.436	110.479	109.97	112.159	109.917	110.228	110.044	110.515	112.957	114.765	117.344	111.641	113.604	116.785	112.846	112.531	113.188	113.502	112.146	121.75	116.49	116.31	116.561	112.673	113.427	111.482	112.571	115.4	113.189	116.273	116.058	117.923	113.499	116.156	116.624	118.835	111.156	113.221	110.943	112.701	112.591	115.805	117.382	115.234	115.85	119.33	115.962																																																	

~End
