##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	470	10800	23				1	515	1	12	96	355	Manual	435			30	High			1	2	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	25.50	30.257	30.327	30.4	31.245	31.192	31.035	112.003	110.493	111.442	110.172	109.517	110.41	29.181	29.515	30.386	30.819	31.23	31.504	116.593	111.493	108.711	108.728	108.529	106.807																																																																									
0:23	25.50	29.996	30.855	30.577	31.328	31.294	31.266	112.276	110.558	111.414	109.673	108.895	109.509	29.525	30.407	30.975	31.047	31.978	32.439	116.322	110.259	110.412	107.515	110.178	106.658																																																																									
0:46	25.50	30.383	30.381	30.817	30.9	31.282	31.324	112.509	110.72	110.491	110.045	109.564	108.152	29.507	30.67	30.725	31.465	31.383	31.927	115.557	110.579	109.61	107.746	109.202	106.936																																																																									
1:09	25.50	30.086	30.646	30.748	31.339	31.203	32.05	112.408	110.667	110.602	108.825	110.199	110.003	29.856	30.943	30.852	31.358	31.723	32.145	117.389	110.227	109.358	107.896	108.917	107.703																																																																									
1:32	25.60	30.766	30.61	30.762	31.494	31.582	31.472	111.063	110.768	111.188	110.269	108.567	108.923	29.315	30.786	30.573	31.216	31.777	32.114	117.224	110.268	108.128	108.289	110.191	107.848																																																																									
1:55	25.60	30.373	30.505	30.623	31.466	31.625	31.351	111.269	110.843	110.717	109.795	108.056	108.119	29.706	31.12	30.182	31.283	31.412	32.541	116.552	111.369	109.786	107.965	110.366	106.512																																																																									
2:18	25.60	30.446	30.549	31.118	31.014	31.567	31.736	111.751	110.539	111.566	110.502	108.83	109.041	29.546	30.718	31.157	31.709	31.945	32.484	116.208	111.468	108.898	109.021	109.226	108.781																																																																									
2:41	25.60	30.073	30.776	30.943	31.316	31.942	31.595	111.325	110.164	110.86	110.097	109.54	108.782	29.81	30.956	30.673	31.477	31.677	33.201	116.638	110.286	108.877	109.702	110.051	107.806																																																																									
3:04	25.60	30.219	30.406	30.471	31.087	32.093	32.391	110.848	109.508	110.374	109.503	108.766	108.134	29.581	30.077	31.301	31.8	32.14	32.38	115.695	109.806	109.621	108.513	109.012	107.158																																																																									
3:27	25.60	30.401	30.017	30.926	31.591	31.244	32.198	111.898	109.932	110.272	110.124	107.678	108.53	29.873	30.346	31.556	31.45	31.889	32.324	115.81	110.468	109.744	108.148	109.277	107.214																																																																									
3:50	25.60	30.853	30.205	31.077	31.288	31.939	32.079	110.626	110.072	110.035	110.436	108.483	107.62	29.991	31.235	31.124	31.561	31.909	32.91	115.661	109.701	109.147	108.663	109.015	107.984																																																																									
4:13	25.60	29.835	30.457	31.334	31.307	31.947	31.489	108.7	108.274	109.317	108.392	107.377	107.702	29.748	30.819	30.92	30.534	32.051	32.031	114.799	109.234	108.095	107.376	109.144	107.193																																																																									
