##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	349	10800	31				1	515	1	12	96	355	Manual	435			20	High			1	5	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	43.00	29.455	29.916	29.849	30.157	30.224	30.048	29.954	30.094	30.027	30.543	30.401	29.498	40.217	40.172	40.714	41.504	40.719	40.852	41.339	41.172	41.39	41.325	40.525	39.89	41.149	42.392	40.97	41.537	41.568	43.081	43.365	42.995	46.012	40.517	51.933	40.505	40.584	40.361	41.367	43.27	43.008	43.287	44.68	43.657	41.568	142.246	42.151	41.774	78.335	65.537	59.596	53.921	50.712	47.189	45.754	58.965	41.345	41.392	40.895	40.053																																					
0:31	43.30	29.414	29.498	30.339	29.489	30.038	30.223	30.863	29.913	30.354	30.693	29.987	30.637	40.207	40.477	40.444	41.46	41.1	41.179	41.605	41.394	41.785	41.673	39.576	40.944	41.342	42.135	40.779	41.993	42.078	42.691	42.461	42.511	45.9	40.822	53.376	39.881	41.23	40.801	40.941	43.563	42.692	43.627	44.474	44.073	42.121	143	43.367	41.822	79.952	67.68	60.721	54.459	51.623	47.756	45.605	58.87	41.756	40.834	40.313	40.609																																					
1:02	43.20	29.617	29.442	29.99	30.174	30.301	30.619	30.73	30.356	30.395	30.007	29.871	29.066	38.848	40.277	40.67	40.348	41.152	41.032	41.731	41.527	40.921	41.741	39.663	40.353	41.509	42.215	41.423	40.604	42.592	43.932	44.338	43.098	45.769	42.649	53.171	39.525	40.596	39.59	40.859	44.009	43.062	42.829	44.511	44.514	41.61	142.134	41.873	41.011	81.318	69.134	62.487	55.812	50.493	48.324	45.659	58.071	40.949	40.149	40.814	39.684																																					
1:33	42.90	29.133	28.999	29.818	29.365	30.162	29.812	30.459	30.657	30.19	30.408	29.562	29.419	39.702	39.812	40.146	41.303	40.437	41.47	41.235	40.674	41.061	41.127	39.71	39.983	41.122	41.671	41.559	40.887	42.625	43.083	43.518	41.783	45.401	41.198	54.235	40.259	40.222	40.457	39.964	42.657	43.172	42.524	43.862	44.17	40.648	138.09	42.534	41.586	83.291	69.366	61.978	55.612	50.764	48.037	45.41	58.366	40.161	40.168	40.435	39.368																																					
2:04	42.90	29.524	29.533	29.8	30.381	30.142	30.215	29.859	30.401	29.846	30.305	30.514	29.934	39.451	39.559	40.867	41.47	40.057	41.104	40.825	41.295	40.383	41.186	39.646	40.093	41.695	41.643	40.541	40.98	41.648	42.974	43.847	42.323	45.549	41.185	52.964	40.402	40.542	40.303	41.201	43.452	43.2	42.562	43.649	44.119	41.534	137.714	41.95	40.646	84.895	71.473	64.09	55.235	52.695	49.379	45.623	57.447	40.826	39.766	39.926	39.405																																					
2:35	42.90	29.26	29.516	29.054	29.66	29.722	30.236	30.221	30.333	29.964	29.521	30.184	29.018	38.805	40.082	40.029	40.532	41.062	40.612	41.335	40.554	39.936	40.698	38.796	40.027	41.747	41.203	39.765	40.568	41.979	41.972	41.748	42.565	45.743	40.705	52.489	39.64	41.578	40.164	41.262	43.706	43.116	42.493	43.169	43.695	40.416	137.501	41.581	41.108	84.57	72.031	64.922	56.429	51.755	47.543	46.011	57.615	41.537	39.925	39.776	39.57																																					
3:06	42.90	29.063	29.477	29.591	29.736	29.889	30.103	29.825	30.252	29.334	29.708	29.219	29.614	39.332	39.645	39.917	40.538	40.156	40.254	40.226	40.119	40.168	40.112	39.248	39.252	41.385	40.653	40.493	40.689	41.412	42.508	43.267	41.641	44.634	40.692	52.528	39.542	40.861	40.376	40.347	42.547	42.199	42.955	43.659	43.392	40.113	135.631	41.451	40.588	85.607	73.812	65.319	56.643	51.701	48.462	45.21	56.313	39.539	39.376	40.813	39.536																																					
3:37	43.00	29.1	28.925	29.405	29.713	29.96	30.587	30.127	30.411	29.58	29.837	29.207	29.499	39.658	40.749	40.306	40.934	40.772	41.501	40.82	40.789	40.541	41.066	39.871	40.615	41.991	41.319	40.376	41.158	42.517	43.356	42.983	43.656	44.601	41.474	52.93	39.247	41.013	40.293	40.467	43.684	43.056	42.73	43.978	44.866	40.687	139.246	41.809	40.385	86.997	74.851	66.997	57.893	53.413	49.594	46.125	58.155	41.002	39.565	39.464	39.312																																					
4:08	43.10	28.986	28.95	29.377	30.091	29.629	29.226	30.163	29.726	29.21	30.022	29.332	29.144	38.928	38.939	39.913	41.082	39.982	40.294	40.32	40.917	40.561	40.345	39.374	39.192	41.626	41.021	40.716	40.764	41.587	42.697	43.351	42.967	44.075	40.948	53.305	39.631	40.891	40.62	41.119	42.657	42.865	42.519	43.955	43.101	41.012	135.974	41.12	40.511	86.599	75.789	66.152	57.676	52.735	48.198	45.562	57.16	40.898	39.775	39.919	38.583																																					
4:39	43.10	28.314	28.803	29.829	29.727	29.618	30.111	29.967	29.943	29.682	30.711	29.383	29.323	38.781	40.145	39.65	40.838	40.624	40.577	41.103	40.906	40.676	40.421	38.733	39.36	41.556	42.056	40.255	41.136	42.043	42.77	42.978	42.759	44.123	41.423	53.431	39.588	42.116	40.269	40.709	43.13	42.896	42.895	43.832	44.006	41.003	134.707	42.512	41.099	88.425	74.881	67.037	57.828	53.048	48.727	46.148	57.073	40.873	39.797	40.265	39.285																																					
5:10	43.00	28.694	28.619	29.725	29.412	29.98	29.232	29.682	29.791	29.469	29.468	28.916	29.376	39.629	38.992	40.038	40.529	41.03	40.974	41.226	40.376	40.321	40.892	39.349	38.962	42.121	41.602	40.608	41.431	42.355	43.273	43.108	42.028	44.219	40.809	52.063	38.933	42.325	40.352	39.954	42.839	43.127	42.931	43.907	43.685	41.05	137.737	41.081	41.209	87.736	75.797	67.235	57.886	53.47	48.776	45.943	57.822	40.584	39.584	39.583	38.703																																					
5:41	43.00	28.921	28.977	29.922	29.973	29.261	29.865	29.321	30.442	29.779	30.105	29.559	29.188	38.939	40.048	40.423	40.484	40.551	41.523	40.775	41.406	40.79	41.322	39.439	39.531	43.077	41.794	40.667	41.328	41.579	42.94	43.741	42.779	43.669	41.46	52.867	39.902	42.053	40.967	41.662	44.029	43.76	42.649	44.095	44.186	41.051	135.956	41.76	40.917	89.265	77.431	69.518	58.248	53.626	48.234	45.028	57.755	40.36	39.716	40.32	39.491																																					
6:12	43.00	28.668	28.347	29.211	29.673	29.659	29.673	29.398	29.537	29.762	28.873	29.06	29.233	38.925	40.066	39.913	39.865	40.754	40.644	40.645	40.261	40.265	41.268	39.577	39.456	42.648	41.635	40.556	40.659	41.443	42.362	42.745	42.316	42.498	41.181	52.377	39.062	41.221	41.014	41.176	43.291	42.126	42.765	43.306	43.722	40.148	134.472	40.825	40.316	88.246	76.559	68.72	58.353	52.872	48.565	45.795	56.918	40.414	39.192	40.092	38.864																																					
6:43	43.00	28.311	29.21	29.071	29.128	28.708	29.428	29.663	29.22	29.295	29.309	29.308	28.771	38.54	39.061	39.921	40.415	40.482	40.38	40.773	40.743	40.811	40.694	38.23	39.117	43.207	42.339	41.43	40.906	41.729	42.975	43.458	41.671	42.719	40.746	52.047	38.469	41.554	40.337	40.454	42.862	43.11	42.849	43.21	44.045	39.252	135.281	42.1	39.741	89.291	77.681	68.465	58.274	52.89	49.437	45.018	55.858	40.81	40.04	39.007	38.808																																					
7:14	43.00	28.693	28.93	29.113	29.782	29.498	29.21	29.734	30.058	29.563	29.231	28.893	28.951	39.229	39.871	39.755	40.204	40.348	40.283	40.783	40.474	39.82	41.214	38.974	38.531	44.356	42.609	40.783	41.835	42.104	42.785	43.735	41.917	42.736	41.179	52.839	39.682	42.917	41.119	41.209	44.165	44.032	43.07	44.14	44.013	41.32	134.398	40.96	40.067	90.547	78.756	69.057	59.139	53.359	49.194	45.318	56.894	40.503	40.138	40.357	38.511																																					
7:45	43.00	28.789	28.456	29.441	29.877	29.496	30.112	30.133	30.033	29.616	29.576	28.833	28.721	39.36	40.286	39.61	39.916	40.078	40.589	40.385	40.325	39.975	41.218	39.284	39.427	44.595	43.309	42.047	41.28	42.007	43.472	42.909	42.45	42.955	41.18	51.968	38.823	43.939	41.458	41.097	43.29	43.681	42.157	43.961	43.885	40.511	134.816	42.007	40.69	90.533	79.52	69.851	59.332	54.183	50.696	45.438	56.929	40.328	39.525	39.417	38.959																																					
8:16	43.00	28.576	27.804	28.94	28.715	29.48	29.86	29.801	29.721	29.036	28.858	28.821	28.615	38.926	39.593	39.146	40.005	39.805	39.996	40.881	40.932	39.664	40.311	38.632	38.152	44.282	42.695	40.674	41.315	41.672	42.501	42.658	42.484	42.183	40.348	52.532	38.398	42.885	41.566	41.454	43.358	42.902	43.519	43.781	43.076	40.442	134.954	41.72	39.672	90.777	78.01	69.935	58.591	52.973	48.67	45.322	56.509	40.488	39.658	39.022	38.476																																					
8:47	43.00	28.436	28.931	29.38	29.307	29.662	29.544	29.987	29.925	29.269	29.487	29.03	28.545	38.72	39.406	39.641	39.374	39.88	40.328	39.664	41.224	40.884	40.852	37.683	39.142	44.872	42.964	40.593	41.505	42.171	42.889	43.106	41.797	42.41	41.319	52.323	38.593	44.191	42.296	41.535	43.265	43.646	42.343	44.102	43.008	40.729	134.75	40.923	40.648	90.623	79.241	69.382	59.907	54.009	48.681	45.861	56.39	40.872	38.854	39.122	38.285																																					
