##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	16	540	35				1	515	1	12	96	355	Manual	435			20	High			1	6	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	31.90	30.334	30.047	31.06	30.617	30.582	30.172	30.226	30.258	30.931	31.351	31.219	30.915	105.447	105.074	106.564	107.669	106.938	106.586	107.097	106.535	107.345	107.71	107.007	106.611	108.796	106.014	102.657	102.976	97.166	96.631	89.104	82.74	72.728	66.385	59.998	51.003	110.805	106.413	106.171	104.973	103.673	100.982	93.981	89.069	77.741	67.787	61.199	50.811	112.721	109.945	108.224	105.561	103.789	101.374	96.282	89.883	78.406	68.957	62.364	50.679	112.162	112.328	107.699	105.153	105.873	100.414	94.958	88.559	79.013	69.682	62.72	50.656																									
0:35	31.90	29.987	30.194	30.732	30.49	31.485	30.201	31.045	31.186	30.671	31.702	30.675	31.537	105.675	105.646	106.291	107.485	107.247	107.218	106.199	106.73	105.616	107.667	107.085	107.737	109.222	106.207	102.571	102.973	98.377	97.167	89.276	82.266	72.868	66.506	60.568	51.293	110.522	106.906	105.83	104.436	103.087	101.396	94.421	88.348	77.895	68.374	61.594	51.499	111.632	109.494	109.123	105.891	106.484	101.176	96.6	88.464	79.1	69.111	62.515	50.986	113.462	111.12	107.166	106.56	105.097	101	95.119	89.525	79.28	70.385	62.786	50.863																									
1:10	31.90	30.803	29.511	30.808	30.755	30.647	31.443	30.885	31.365	30.609	32.03	30.886	31.249	104.983	104.979	107.06	108.157	107.292	108.055	107.405	107.268	106.502	108.023	107.378	108.733	108.24	104.383	101.568	102.993	97.688	97.308	88.692	82.367	73.454	67.135	61.11	50.911	112.551	108.043	106.442	104.431	103.583	101.772	95.552	88.663	77.444	68.357	62.296	52.134	113.17	109.096	107.97	104.63	104.907	101.199	95.761	89.812	79.595	71.272	63.222	51.238	113.333	111.487	106.538	105.698	104.367	101.422	96.002	88.964	78.625	70.896	63.216	50.884																									
1:45	31.90	30.423	29.826	30.647	30.861	30.677	30.86	30.738	31.083	30.75	31.199	30.359	30.509	105.142	105.51	105.964	105.624	105.876	106.434	105.71	106.771	105.514	108.112	106.76	106.065	109.297	103.863	103.222	103.146	98.77	97.193	88.006	82.961	73.33	66.847	60.433	51.699	110.543	108.305	105.647	104.936	103.044	100.568	94.665	87.532	77.434	67.95	62.489	50.735	111.698	109.456	105.754	104.785	104.545	103.242	96.434	89.596	78.341	70.236	63.142	51.178	112.531	112.044	107.046	105.886	102.897	101.485	94.858	89.209	79.579	70.047	64.192	50.997																									
2:20	31.80	30.634	30.107	30.381	30.603	31.231	31.261	31.821	30.747	30.761	32.416	30.852	31.061	105.018	103.839	106.359	107.177	105.952	107.985	108.002	107.539	106.333	109.01	106.725	106.82	109.484	108.052	103.261	102.273	99.805	96.026	87.842	82.972	74.612	67.652	60.396	51.269	111.666	108.674	107.753	105.055	103.163	102.473	94.407	87.47	78.525	68.548	62.999	51.532	114.302	109.829	107.483	106.736	102.89	103.851	97.618	89.403	79.005	70.797	63.456	51.4	112.431	111.839	107.741	107.02	105.417	101.724	95.584	89.948	78.662	70.538	63.378	51.051																									
2:55	31.80	29.788	29.764	30.63	30.176	30.691	31.256	30.376	31.014	30.758	30.811	30.21	31.037	104.933	104.135	106.041	105.539	106.15	107.087	105.393	105.989	106.341	107.493	106.517	105.776	108.711	105.404	102.477	102.112	97.72	96.926	88.333	82.012	74.358	67.247	59.957	51.255	110.606	107.258	107.463	103.849	102.657	101.926	94.685	88.362	78.208	68.484	61.388	50.593	111.47	108.012	108.335	105.665	105.53	100.478	96.277	90.349	78.776	69.934	63.206	51.486	113.137	112.993	107.162	105.732	103.275	101.165	93.993	88.209	78.464	71.296	62.469	49.732																									
3:30	31.70	29.223	29.942	29.874	30.478	30.009	30.044	31.14	30.868	30.908	31.194	30.153	31.539	104.828	104.683	104.749	106.549	104.929	105.986	105.185	106.017	104.922	108.095	104.545	105.52	107.512	105.584	102.218	101.004	97.488	96.084	87.558	81.896	73.16	67.652	60.923	50.532	110.632	107.094	105.674	103.488	101.748	101.858	93.498	86.799	78.263	67.441	62.224	50.878	112.235	107.602	106.434	105.757	104.094	101.313	95.145	89.351	78.64	70.088	63.407	50.826	113.4	111.282	107.098	104.379	103.731	100.672	93.845	89.197	79.519	69.738	62.474	50.603																									
4:05	0.00																																																																																																	
4:40	0.00																																																																																																	
5:15	0.00																																																																																																	
5:50	0.00																																																																																																	
6:25	0.00																																																																																																	
7:00	0.00																																																																																																	
7:35	0.00																																																																																																	
8:10	0.00																																																																																																	
8:45	0.00																																																																																																	

~End
