##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	361	12600	35				1	515	1	12	96	355	Manual	435			20	High			1	6	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	37.00	32.199	31.613	33.593	33.123	33.159	32.54	33.464	32.636	33.541	33.456	32.518	33.48	53.23	53.074	53.635	54.082	53.886	54.278	55.074	53.99	54.789	55.369	53.694	53.56	59.015	57.782	56.742	56.01	54.794	57.058	57.272	56.377	54.698	54.573	54.113	53.696	63.806	59.38	57.267	56.619	57.05	57.724	58.315	57.203	56.149	54.011	54.522	53.173	74.181	65.826	62.992	60.511	59.163	58.305	59.25	56.922	53.991	53.852	53.669	53.287	79.2	74.298	67.253	62.807	61.323	59.439	57.934	56.084	55.631	53.754	52.769	51.867																									
0:35	37.30	31.528	31.694	32.723	32.747	32.482	33.364	32.452	32.615	32.039	32.827	32.718	33.082	51.928	51.466	51.434	51.987	52.763	53.342	53.651	53.697	53.079	53.857	52.715	52.748	57.992	55.793	55.263	54.719	53.661	56.187	56.376	56.139	52.935	53.593	52.856	52.526	64.35	59.623	57.155	56.038	56.189	56.477	57.371	56.953	55.066	52.937	53.609	52.144	75.462	66.853	63.112	59.985	59.284	57.669	57.624	55.777	54.108	52.328	52.803	51.366	79.932	75.064	67.884	63.736	62.155	58.521	57.097	55.375	53.351	52.369	51.635	51.775																									
1:10	37.20	31.82	32.638	32.83	33.053	33.232	33.355	33.185	33.078	33.407	34.148	32.772	33.468	53.326	53.537	54.793	54.313	54.429	54.027	53.758	54.712	53.745	55.038	52.938	54.52	60.345	58.308	56.36	56.496	56.526	57.654	56.721	56.589	54.969	53.311	53.8	53.928	66.871	61.552	60.186	57.512	57.813	58.917	58.369	57.347	56.149	54.416	54.237	52.992	79.046	71.08	64.904	63.734	60.927	59.886	58.596	57.462	55.155	53.542	53.956	53.508	83.064	78.986	69.92	67.711	63.793	61.485	58.564	57.111	55.148	53.368	52.879	52.956																									
1:45	36.90	32.225	31.795	32.406	33.062	32.988	32.757	32.998	33.185	32.982	33.451	32.687	32.678	52.084	51.143	52.403	53.503	53.012	53.481	53.986	53.09	53.479	53.844	52.25	53.138	59.585	57.819	56.142	55.71	55.492	56.292	56.563	54.977	53.309	54.022	53.446	52.183	66.457	62.921	59.011	57.375	57.761	57.851	57.811	57.422	55.099	52.544	53.848	51.656	79.946	70.016	65.458	63.013	61.672	58.654	59.446	56.475	53.134	52.681	52.419	52.554	83.591	79.164	71.813	67.044	64.452	60.972	58.509	57.045	53.986	53.171	52.666	51.439																									
2:20	36.80	31.636	31.852	32.924	32.579	33.382	33.129	33.458	32.804	32.927	33.337	32.315	33.522	52.35	51.753	52.93	54.055	54.187	54.696	54.323	53.755	53.622	54.591	53.075	53.283	61.106	58.402	56.538	56.931	54.879	56.527	57.655	57.095	54.676	54.913	53.238	52.247	68.521	64.327	60.653	58.904	57.922	58.365	58.4	57.656	56.08	53.976	55.153	52.451	83.347	73.43	68.215	64.464	62.805	61.361	60.119	57.441	54.415	53.981	53.657	52.507	87.294	81.395	74.098	69.653	66.924	64.139	58.93	58.151	55.042	53.405	52.403	52.89																									
2:55	36.90	31.666	31.683	32.615	32.203	32.389	32.923	33.296	32.956	32.674	33.26	32.226	32.675	52.643	52.021	52.882	52.037	52.796	53.715	53.299	53.654	53.076	53.403	53.173	52.606	61.932	57.542	57.167	55.901	56.187	56.94	58.369	55.468	54.031	53.968	53.735	51.812	69.578	64.991	61.195	59.779	58.768	57.948	58.208	57.59	55.238	53.339	52.955	52.372	83.323	74.126	68.343	63.921	63.227	60.64	59.789	56.974	54.584	53.06	53.056	52.394	87.513	83.158	74.605	70.734	67.629	62.135	59.728	57.887	55.623	52.786	51.977	52.389																									
3:30	36.90	31.558	32.105	31.969	32.601	32.736	33.008	32.153	33.389	32.368	33.051	31.99	32.953	52.794	51.286	52.325	52.312	53.923	53.691	53.883	54.131	52.151	55.615	52.703	52.795	61.943	58.772	57.411	56.381	55.701	56.356	57.623	55.815	54.9	54.152	53.501	53.166	70.817	65.532	61.672	59.758	59.22	59.176	58.09	57.018	55.496	52.897	53.694	52.257	84.009	75.327	70.464	65.996	63.719	61.059	60.147	56.888	53.875	53.368	53.995	52.692	89.79	83.744	76.158	72.029	69.649	63.84	60.947	56.914	55.15	53.766	52.876	51.776																									
4:05	37.00	31.364	31.385	31.179	32.495	32.301	31.65	32.22	32.225	32.131	32.754	31.104	32.059	51.444	51.667	52.037	52.525	52.417	53.744	53.207	52.623	52.735	53.495	53.13	51.882	62.258	58.374	56.698	57.19	54.451	56.698	56.722	55.326	53.317	53.379	53.198	51.704	71.773	66.443	62.515	59.336	58.595	58.934	57.477	57.27	55.373	52.655	53.363	52.134	84.262	75.117	70.838	66.209	63.616	61.379	59.388	57.754	53.049	52.119	51.873	52.625	88.179	85.245	77.172	74.28	69.747	64.265	61.644	57.963	53.755	51.989	52.061	51.172																									
4:40	37.00	31.206	31.661	31.93	31.53	32.417	32.116	32.351	32.263	32.35	33.272	31.939	32.996	51.292	51.028	52.497	52.135	54.442	53.476	53.827	53.902	52.753	54.096	53.84	53.587	63.195	59.893	57.91	57.379	55.824	56.535	56.539	55.532	53.369	53.143	52.529	53.224	72.968	67.142	63.43	61.083	58.779	59.097	58.768	57.443	54.877	52.823	53.661	52.459	86.471	78.102	73.089	69.351	64.625	62.641	60.684	57.224	54.162	53.667	53.53	52.269	91.261	87.229	79.141	75.252	72.115	65.924	61.266	59.613	55.007	52.795	52.274	50.986																									
5:15	37.00	29.963	30.265	32.215	32.254	31.566	31.282	31.978	31.884	31.894	32.239	31.751	32.135	51.205	50.224	51.272	52.131	52.322	52.955	53.711	51.865	52.455	53.263	52.13	51.318	63.262	58.836	56.803	56.749	55.562	55.996	56.662	55.025	52.934	53.435	52.523	51.848	73.264	67.887	63.786	59.864	59.168	59.347	58.093	56.977	54.575	52.009	52.905	51.893	85.958	78.576	73.843	68.272	66.37	62.074	59.658	57.638	53.491	51.361	52.731	51.466	90.264	86.806	79.414	76.026	71.457	65.425	61.47	57.55	54.598	52.278	50.993	51.163																									
5:50	37.10	31.19	31.154	31.715	32.156	31.916	32.758	31.828	31.904	32.107	32.343	31.569	32.171	51.647	51.148	52.069	52.528	53.275	53.789	53.194	52.552	51.977	53.311	52.171	51.495	64.568	60.032	58.15	56.794	54.883	56.637	56.941	55.381	53.643	53.56	52.537	52.611	74.977	68.736	65.033	61.975	59.732	60.193	57.586	56.709	55.21	52.178	53.593	52.416	87.528	78.92	74.189	70.202	67.085	63.654	60.939	57.349	54.743	52.497	51.959	51.825	93.144	88.457	81.017	78.549	73.765	67.715	62.902	59.154	54.457	52.464	52.286	51.456																									
6:25	37.00	30.871	32.155	31.566	31.913	31.764	32.123	32.365	31.824	31.784	32.206	32.134	32.507	51.335	52.065	51.728	51.756	51.729	52.995	52.781	53.914	52.86	54.005	53.282	52.473	64.533	60.822	58.49	57.379	56.055	57.58	56.244	54.478	53.613	52.45	52.364	51.345	76.037	69.732	66.539	61.655	60.443	60.304	58.303	57.628	54.409	52.766	53.198	50.941	88.936	81.444	75.645	71.37	68.007	64.018	61.7	58.798	54.285	52.142	52.28	50.931	94.241	90.226	82.671	78.68	75.658	68.448	64.112	60.019	55.527	52.738	52.603	51.96																									
