##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	10	300	31				1	515	1	12	96	355	Manual	435			20	High			3	5	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	37.00																									53.511	41.938	35.147	33.65	33.614	32.598	33.05	32.26	32.73	39.277	29.952	28.901	52.888	41.415	36.832	33.742	33.477	32.725	34.574	32.445	31.24	30.02	29.833	29.452	65.686	49.609	43.458	42.166	41.64	42.559	41.608	41.316	38.933	38.643	38.833	38.219	63.83	51.543	44.293	41.732	40.894	41.179	40.05	40.345	38.631	38.281	38.264	39.205	298.73	290.673	84.887	86.669	32.452	33.431	33.315	31.278	31.494	31.361	30.692	30.177													
0:31	37.00																									53.289	41.723	36.064	33.407	33.418	32.712	32.99	32.625	32.571	40.474	29.522	28.736	52.971	41.3	37.39	34.001	33.905	33.482	34.914	33.418	32.653	30.609	30.275	29.598	64.946	50.666	44.13	41.409	42.438	42.314	41.371	40.792	39.131	38.652	38.847	39.044	63.787	50.774	44.979	41.968	41.299	41.262	41.374	40.371	38.674	39.157	38.664	39.326	301.578	294.125	83.682	85.821	31.982	31.914	33.264	32.492	32.179	32.138	30.619	29.604													
1:02	37.00																									54.12	43.226	35.876	33.212	32.841	33.229	33.482	32.973	33.075	40.675	29.609	28.687	52.802	42.622	36.684	34.06	34.085	33.125	35.155	33.367	31.935	29.764	30.52	29.172	65.817	51.043	44.351	42.193	42.252	42.324	41.626	41.218	39.508	38.318	38.815	38.865	64.703	50.742	44.514	41.391	40.868	41.462	41.461	40.118	39.527	38.291	37.784	39.529	300.402	292.371	84.169	85.127	33.293	32.15	33.558	31.521	31.803	31.67	29.891	28.796													
1:33	37.00																									53.34	42.259	36.245	33.934	33.393	33.518	33.135	32.412	32.819	40.579	30.071	28.73	53.408	42.293	36.034	34.991	33.512	33.632	35.256	32.987	32.225	29.921	30.63	29.3	64.699	51.811	45.079	42.938	42.71	42.912	42.019	40.24	39.308	39.181	38.307	38.454	63.068	50.852	43.862	41.833	40.603	41.663	41.544	40.595	38.685	38.834	38.011	39.904	300.696	296.656	84.54	87.091	32.22	32.452	32.732	31.339	31.942	31.493	30.793	29.677													
2:04	37.00																									53.389	41.352	35.944	34.212	33.227	33.639	33.245	32.613	33.961	40.798	30.588	29.047	53.273	41.708	36.057	34.91	34.263	34.446	34.928	33.571	33.014	29.825	30.43	29.324	65.275	51.286	44.782	42.508	42.937	43.274	42.114	40.854	39.874	39.169	39.527	39.124	64.044	51.876	45.244	41.824	40.909	41.759	41.008	39.999	39.937	39.815	38.301	39.305	301.585	295.392	84.944	86.534	32.913	33.041	33.567	31.926	32.588	31.639	30.93	29.757													
2:35	37.00																									53.895	41.454	36.49	33.422	32.377	33.371	33.401	32.727	32.443	40.402	28.869	28.708	53.847	42.854	36.175	34.423	34.305	33.375	35.075	33.174	32.783	30.727	30.414	29.377	64.871	51.059	44.598	42.441	42.375	42.332	42.476	40.664	39.552	39.342	39.424	39.274	64.291	51.37	44.155	41.872	42.26	41.22	41.463	40.388	40.161	38.723	38.703	39.181	301.685	294.001	84.453	85.875	32.066	33.112	33.743	32.3	31.633	30.567	30.345	29.917													
3:06	37.00																									53.576	42.087	36.186	32.729	33.353	33.388	33.04	32.721	32.86	40.263	29.708	27.825	51.82	41.559	36.133	33.84	34.191	33.558	34.567	32.694	31.983	30.452	30.89	29.403	64.192	50.615	44.464	41.492	42.587	42.456	41.342	40.497	39.877	37.696	39.249	38.49	62.819	50.177	44.436	42.389	41.317	41.003	41.768	39.71	39.738	38.184	38.432	40.054	297.492	294.165	84.298	85.706	31.858	32.254	32.816	31.365	31.255	31.803	30.076	29.47													
3:37	37.00																									54.311	41.521	36.188	33.583	32.361	33.114	33.488	32.664	33.361	40.251	30.237	28.491	52.945	42.418	36.633	34.458	34.386	33.755	35.016	33.041	31.169	30.494	30.903	29.276	63.968	51.672	44.977	42.072	43.043	42.794	41.491	41.689	39.243	38.986	39.241	38.619	63.921	50.508	44.957	42.194	41.714	41.76	40.948	40.335	39.31	38.416	38.615	40.056	299.772	295.356	85.052	86.81	32.282	32.334	33.154	31.412	31.553	31.027	30.381	29.46													
4:08	37.00																									53.236	42.242	35.627	33.842	32.957	33.368	32.272	32.754	33.022	40.313	30.081	28.67	52.097	41.918	36.325	33.989	34.133	33.409	34.573	33.171	32.049	30.36	30.153	29.366	63.858	50.611	44.268	42.243	42.885	42.444	41.385	41.377	39.582	38.919	39.417	38.994	62.316	50.828	44.245	41.931	41.059	41.539	40.906	40.184	38.936	38.282	37.914	39.041	299.259	294.18	85.269	86.281	32.616	31.773	33.138	31.381	31.075	30.955	30.488	29.177													
4:39	37.00																									54.56	41.868	36.041	34.249	33.135	32.877	33.078	32.936	32.903	40.031	29.753	27.952	52.676	42.224	36.46	34.3	33.782	33.348	35.138	32.973	32.091	30.145	30.087	29.182	64.676	50.567	44.589	42.233	42.177	43.269	42.042	41.069	39.531	38.958	39.029	39.036	62.795	50.42	44.054	42.342	41.599	42.02	41.233	40.574	39.177	38.593	37.03	39.571	300.004	295.853	84.778	86.077	32.76	32.041	32.622	32	31.76	31.063	30.723	30.132													

~End
