##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	349	10800	31				1	515	1	12	96	355	Manual	435			20	High			3	5	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	37.30																									55.965	44.99	39.236	36.702	36.593	37.331	37.935	37.209	35.268	45.858	33.465	32.245	54.666	44.416	39.186	37.781	37.536	37.092	38.321	37.266	35.852	34.244	34.438	33.063	59.232	45.13	40.209	36.935	37.834	36.931	36.318	35.949	34.19	33.182	33.538	32.645	56.96	46.04	38.598	36.306	35.45	36.15	35.38	35.196	33.592	34.183	31.592	31.952	159.452	156.165	89.255	89.203	36.896	37.212	37.317	36.949	37.08	35.752	33.941	36.003													
0:31	37.30																									55.712	45.179	39.73	36.548	44.062	36.492	37.025	36.858	34.833	46.379	33.604	32.989	55.193	44.075	38.764	37.342	37.67	37.464	38.697	37.266	35.155	33.885	34.662	33.556	59.73	46.027	40.121	37.618	38.55	37.335	36.814	36.422	34.534	32.993	33.745	32.984	57.326	44.881	39.135	36.597	34.974	36.187	35.514	34.915	34.02	33.05	32.461	31.289	167.423	163.475	87.796	89.435	37.121	36.427	37.384	36.926	36.46	34.887	35.449	35.901													
1:02	37.10																									55.78	43.77	39.601	36.554	43.595	36.836	37.428	36.579	34.555	44.208	33.792	32.57	55.498	44.149	39.393	37.375	38.015	36.964	39.076	36.752	36.072	33.999	35.138	33.006	59.765	45.721	39.118	37.662	38.763	37.893	36.383	35.878	34.21	33.436	33.868	32.294	56.676	45.016	39.52	36.844	35.613	36.039	35.888	35.073	34.439	32.948	32.218	31.434	177.051	171.63	88.392	89.25	36.624	37.617	37.78	36.62	36.626	35.924	34.872	36.044													
1:33	36.90																									55.744	45.012	39.188	37.107	43.35	37.472	37.377	36.63	34.666	43.766	33.592	32.255	54.156	44.272	40.204	36.786	37.44	37.643	39.068	36.317	36.013	34.104	33.784	33.228	58.991	45.466	39.163	38.025	38.409	36.703	37.363	35.884	34.653	33.019	33.476	32.929	56.582	44.501	39.656	35.804	36.376	36.031	35.19	35.027	33.175	32.869	32.322	31.826	182.531	178.373	88.781	89.442	36.929	37.674	37.452	36.647	35.891	35.654	34.323	35.75													
2:04	36.80																									54.715	43.749	39.25	36.185	43.274	36.203	38.164	36.575	34.752	44.965	33.098	31.785	54.597	43.607	38.775	37.75	37.754	37.265	39.158	36.614	35.706	33.099	34.101	32.023	58.836	45.721	39.106	37.014	37.929	37.231	37.122	36.212	34.094	33.009	33.784	33.134	56.91	44.587	39.047	36.634	35.77	36.254	35.66	34.94	34.021	32.774	31.755	31.257	188.428	186.921	87.442	89.722	36.493	37.338	37.055	36.659	36.504	35.418	35.08	35.77													
2:35	36.90																									54.098	43.815	38.494	36.588	42.588	37.153	37.203	35.705	33.723	45.127	32.324	31.675	53.612	43.895	39.23	37.257	37.165	36.904	38.397	36.251	35.693	33.716	34.831	33.002	57.727	44.934	38.96	36.925	37.748	36.033	35.982	34.492	33.644	33.083	33.135	32.192	56.171	44.544	38.314	36.403	35.335	35.906	34.795	34.45	33.365	32.48	31.482	31.704	195.056	191.044	88.028	87.962	36.881	36.593	37.882	35.449	35.506	35.083	34.657	36.385													
3:06	36.90																									54.468	43.856	38.75	36.49	42.88	35.512	36.634	35.78	33.618	43.535	33.458	31.541	53.372	43.388	39.217	37.138	36.952	36.712	38.867	36.336	34.452	33.289	34.095	32.211	58.611	44.472	39.716	37.164	36.6	36.281	36.379	35.148	33.76	32.681	33.324	32.295	55.843	44.477	38.72	35.523	34.778	35.307	35.689	34.016	32.011	32.01	31.804	31.257	202.041	199.005	88.409	88.761	35.823	36.871	37.664	36.614	36.218	35.157	34.459	35.143													
3:37	37.00																									54.441	43.933	38.524	36.17	42.695	36.995	36.343	35.304	33.646	43.767	32.895	31.595	52.307	43.695	39.059	36.934	36.724	37.407	38.161	35.612	35.354	33.134	33.527	32.14	56.855	44.919	39.281	36.631	36.947	36.768	36.715	35.153	33.109	32.245	33.025	31.701	54.903	44.309	39.07	36.079	34.926	34.757	35.181	33.626	33.168	32.16	31.514	31.296	206.875	203.783	87.319	88.092	36.783	36.824	37.086	36.108	35.667	34.894	33.445	35.073													
4:08	37.10																									54.441	44.124	38.96	35.677	42.596	36.293	36.935	36.286	33.864	44.892	33.321	31.401	52.953	43.746	39.19	36.486	37.247	36.728	38.297	36.256	34.534	32.611	34.041	32.064	57.418	45.197	38.407	37.3	37.872	36.68	36.671	34.971	34.069	32.393	33.184	32.304	56.15	44.423	37.958	36.082	34.953	35.662	35.215	33.531	32.847	31.994	32.551	31.314	213.579	208.278	87.787	89.515	35.682	36.456	37.634	35.43	35.476	35.474	34.121	35.789													
4:39	37.00																									53.722	44.132	39.067	35.802	43.23	36.133	36.739	36.275	34.685	43.599	32.264	31.527	53.701	43.044	38.195	37.102	36.44	36.123	37.943	36.253	35.022	32.95	33.611	31.615	56.608	44.512	38.783	36.83	37.227	36.096	36.312	34.743	33.546	32.984	32.821	33.004	55.701	43.921	37.756	35.447	34.291	35.683	35.121	33.767	32.623	32.004	32.3	31.193	219.27	213.98	86.992	87.238	35.691	36.067	36.126	35.916	36.315	34.773	35.157	35.577													
