##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	349	10800	31				1	515	1	12	96	355	Manual	435			20	High			3	5	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	37.00																									64.395	51.544	46.382	43.611	43.556	43.505	44.634	45.186	48.083	60.161	50.963	54.662	63.417	51.934	46.825	44.547	43.51	44.169	44.527	44.76	45.212	46.242	48.206	51.45	70.358	56.234	50.703	50.324	53.049	50.671	51.854	52.381	51.491	51.205	50.106	49.468	66.433	56.2	50.23	47.201	48.018	48.859	49.754	48.261	45.839	47.099	44.388	46.421	308.738	305.635	89.186	90.164	35.783	36.195	38.231	35.637	34.438	36.963	34.018	34.913													
0:31	37.00																									63.637	51.968	46.606	43.623	43.224	43.84	45.165	44.983	50.133	61.327	53.385	56.816	63.411	51.999	46.693	44.298	44.581	43.714	45.668	44.972	46.701	48.29	50.381	53.08	69.793	56.123	51.217	50.843	53.278	51.004	53.158	53.2	51.451	52.018	51.154	50.849	67.154	55.952	50.923	47.672	48.774	49.61	50.535	48.697	46.868	47.345	44.836	47.007	310.108	303.393	87.213	89.092	35.166	35.719	38.218	34.995	34.305	35.751	32.671	34.047													
1:02	37.00																									62.815	52.106	46.478	44.351	44.35	44.038	44.783	46.258	51.814	64.254	56.246	59.332	62.889	52.55	46.443	44.301	44.138	43.696	45.803	44.753	47.427	50.083	51.747	56.397	71.094	55.809	51.332	50.994	53.452	52.28	55.311	53.992	53.992	54.164	53.468	53.628	65.891	55.715	51.632	48.861	50.05	49.593	52.327	50.263	48.256	48.531	45.396	47.195	310.966	304.966	87.606	89.789	36.132	36.297	38.119	34.803	34.813	36.642	33.342	34.166													
1:33	37.00																									62.732	51.629	45.566	43.543	43.273	43.893	44.394	46.198	53.3	65.055	56.579	61.676	62.849	50.636	46.022	44.221	44.3	43.795	45.478	45.428	48.62	50.39	53.906	58.449	70.441	56.318	51.421	50.854	55.059	53.604	56.69	55.226	55.37	55.584	54.624	53.846	66.158	56.519	50.825	48.624	49.475	50.599	53.708	51.605	48.937	49.959	46.352	48.492	308.494	303.835	88.487	88.964	35.511	35.569	37.606	35.589	34.324	36.196	33.01	33.945													
2:04	37.00																									63.221	51.887	47.054	43.993	43.322	44.187	44.344	46.918	54.946	68.284	60.552	63.448	62.445	52.065	46.156	43.895	44.326	44.277	44.89	46.88	49.904	53.125	55.493	60.194	69.245	55.985	52.286	51.95	55.358	54.718	56.834	57.068	56.522	56.785	56.616	55.924	66.07	56.634	50.878	48.911	50.956	51.37	54.265	53.417	50.097	51.253	47.713	49.974	308.519	303.872	89.086	90.668	35.633	36.215	37.925	36.055	34.407	36.556	33.61	33.686													
2:35	37.00																									62.635	51.321	46.676	44.014	43.423	43.759	44.863	47.653	55.666	69.025	61.661	65.001	62.026	51.726	46.321	44.231	44.405	44.199	45.868	46.649	51.746	54.402	58.737	61.885	69.173	56.14	52.137	52.671	56.453	55.806	59.114	58.735	58.073	57.607	57.932	56.814	65.661	55.815	51.25	49.241	52.739	51.604	55.009	53.698	52.251	52.677	49.683	51.476	310.142	303.096	88.15	89.947	34.572	36.448	37.783	35.737	34.689	34.903	33.33	32.919													
3:06	37.00																									61.494	51.625	46.033	43.937	44.406	43.893	43.766	48.145	57.029	70.054	63.645	67.161	61.799	50.468	46.311	44.715	44.902	44.121	45.021	46.964	53.013	55.587	59.291	65.153	69.246	55.766	52.335	52.422	57.773	56.255	60.535	60.741	60.29	60.079	59.047	58.234	65.596	55.704	51.505	50.186	52.764	53.363	56.827	56.52	53.816	54.926	50.965	53.142	308.359	304.685	89.169	89.954	34.569	36.159	38.312	35.149	34.079	36.521	32.693	33.748													
3:37	37.00																									63.434	52.74	46.004	43.635	42.902	44.423	44.713	48.95	58.865	74.023	65.617	68.463	62.441	50.943	47.051	45.225	44.992	43.335	45.872	47.912	55.181	57.803	61.264	66.722	70.797	56.197	52.64	53.124	59.351	58.701	62.355	63.76	61.541	62.429	61.752	61.77	65.47	57.136	52.631	51.052	54.012	54.457	59.322	57.808	54.192	56.186	52.821	54.037	310.812	303.846	88.632	89.504	35.719	35.825	38.42	34.846	34.883	36.41	33.329	34.223													
4:08	37.00																									63.223	50.943	45.868	43.923	43.642	43.8	44.861	50.056	59.393	73.627	66.044	70.105	62.275	50.646	46.419	44.76	44.191	45.221	45.181	48.257	54.722	60.085	62.974	67.789	69.277	56.652	52.303	54.235	59.774	59.421	64.078	63.763	63.609	64.015	64.086	63.289	65.178	56.378	51.583	52.833	54.978	56.736	60.205	59.799	55.802	58.4	55.286	56.557	309.533	304.071	87.922	89.694	34.742	35.096	37.355	35.139	33.983	35.927	33.24	33.912													
4:39	37.00																									62.381	51.714	46.174	43.309	42.427	43.819	43.59	50.43	62.095	75.844	67.299	72.454	61.344	51.127	46.073	43.331	44.234	43.954	45.797	48.648	56.752	60.902	64.662	70.073	69.085	56.715	53.11	54.287	60.113	60.235	65.199	65.711	65.243	65.546	64.867	65.219	65.09	55.655	52.557	52.219	56.345	56.895	62.133	62.265	58.185	59.132	56.37	58.293	308.65	304.396	88.132	88.974	35.161	34.518	37.404	35.064	34.267	35.073	32.699	33.464													
