##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	10	300	31				1	515	1	12	96	355	Manual	435			20	High			3	5	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	37.00																									128.299	114.651	110.116	109.603	108.443	109.271	109.272	108.92	106.566	116.383	104.079	104.93	128.214	117.702	110.597	108.189	106.367	108.51	109.656	108.722	106.293	104.36	106.39	106.099	127.984	117.401	108.804	108.101	109.048	107.064	108.406	106.72	103.704	103.495	103.413	104.333	127.516	118.358	110.654	110.822	106.937	105.39	105.617	105.039	103.063	102.852	102.256	103.986	542.572	520.336	542.305	551.177	35.882	36.068	36.166	35.824	35.794	37.359	33.757	33.411													
0:31	37.00																									126.774	116.563	110.807	109.59	107.07	109.861	108.708	108.407	106.616	115.77	105.741	105.636	128.587	116.748	110.602	110.287	107.381	107.982	110.418	109	106.881	106.92	105.437	103.91	126.896	117.292	108.716	109.164	108.998	108.019	107.086	108.145	104.114	103.456	104.121	104.744	129.053	119.188	109.587	111.419	106.789	104.989	105.274	104.216	103.479	103.331	103.604	104.267	543.239	520.853	540.438	551.957	36.152	36.329	37.291	35.248	34.713	36.749	33.517	33.136													
1:02	37.00																									127.032	116.194	109.552	109.978	105.758	107.871	107.491	108.136	106.751	116.517	104.507	105.699	127.67	117.025	111.942	108.693	106.738	108.527	109.456	107.76	107.664	105.477	104.681	106.288	126.092	116.552	107.846	106.497	108.892	105.997	105.57	107.598	103.801	103.105	103.426	105.847	128.756	116.938	111.546	110.603	105.148	104.467	105.874	104.99	103.926	103.008	102.454	104.805	542.979	520.229	540.381	549.477	36.038	36.088	35.318	34.499	35.053	36.597	33.172	32.898													
1:33	37.00																									127.073	116.017	109.287	110.047	108.189	107.776	108.675	108.38	104.965	117.753	105.09	106.524	127.312	116.059	110.567	108.108	107.378	109.269	110.525	108.19	105.47	105.468	105.067	106.157	125.432	116.437	107.489	108.174	107.838	107.077	107.196	107.318	102.751	104.593	102.384	105.009	127.122	118.383	109.734	109.195	106.195	105.603	106.525	104.291	104.497	103.602	103.779	103.049	542.964	520.772	540.818	549.883	36.294	35.458	36.56	35.317	34.524	36.749	33.065	33.299													
2:04	37.00																									126.81	114.881	109.233	110.121	106.649	108.474	109.714	108.079	105.657	114.81	103.549	106.266	128.241	115.481	109.636	109.08	108.036	108.733	109.363	109.186	106.131	103.361	105.385	104.876	125.972	116.373	107.868	106.797	107.832	108.967	105.867	107.574	102.001	102.614	103.649	104.899	128.258	118.057	110.627	110.243	107.584	105.846	105.56	104.532	103.116	103.059	102.674	103.703	542.211	519.41	544.603	549.278	35.806	35.289	36.09	35.152	34.564	36.894	33.155	33.236													
2:35	37.00																									126.87	116.564	112.458	111.661	108.252	108.466	109.521	109.193	106.663	117.194	104.868	104.457	128.169	115.809	110.595	110.314	108.108	109.103	110.967	109.564	106.97	106.256	105.862	105.14	128.739	117.069	109.597	107.96	109.277	108.593	107.546	108.015	104.477	105.43	104.087	104.829	126.931	118.749	111.114	109.792	106.944	107.076	106.495	105.441	104.126	104.879	103.95	105.177	545.932	523.321	546.958	554.924	36.447	36.593	36.395	35.222	35.239	37.152	33.759	33.125													
3:06	37.00																									125.244	114.885	109.221	108.767	106.966	106.64	106.828	106.728	104.383	115.589	104.668	104.97	125.196	115.126	110.836	108.515	106.649	107.439	108.575	106.081	104.633	103.232	106.03	103.63	125.697	114.087	107.124	106.448	107.487	105.895	105.411	106.822	102.368	103.069	103.464	104.622	126.565	117.372	108.875	108.019	105.547	103.784	103.529	104.866	101.015	101.754	102.624	102.56	537.052	516.268	537.708	542.706	34.67	35.468	35.593	34.583	33.872	35.626	32.318	31.651													
3:37	37.00																									126.194	116.6	109.536	108.349	107.239	108.519	108.716	107.351	105.32	116.746	105.215	105.562	126.625	116.239	111.704	107.819	106.473	107.871	108.81	108.202	105.692	106.279	105.315	104.375	126.802	116.068	108.451	107.851	107.344	105.845	107.035	107.007	103.841	103.881	104.524	104.971	126.886	117.788	109.171	110.76	107.19	105.103	105.119	105.159	104.556	102.428	102.86	103.902	540.353	522	541.316	548.555	35.602	35.27	35.607	35.108	34.05	36.369	33.05	32.701													
4:08	37.00																									125.448	114.576	109.833	107.625	106.688	107.99	107.419	105.859	104.492	115.759	103.313	103.392	124.464	113.459	109.728	108.724	107.103	106.069	109.415	108.316	105.395	104.351	104.143	104.335	125.022	115.77	106.888	106.489	108.066	106.568	105.02	106.687	102.082	102.824	103.059	103.588	126.16	117.37	108.904	109.221	105.777	105.046	105.399	102.965	103.131	101.719	100.894	103.347	537.194	514.57	536.809	547.879	34.717	35.094	36.18	34.318	34.04	36.478	32.513	32.239													
4:39	37.00																									125.791	116.035	110.374	108.543	106.959	107.226	108.203	106.677	103.89	114.996	103.149	103.355	124.916	113.512	109.883	108.546	107.275	108.032	109.153	106.996	104.83	104.523	104.466	104.722	123.57	114.837	106.739	107.521	107.176	107.009	106.786	106.131	102.646	102.965	103.729	103.192	124.97	117.108	108.47	109.407	105.628	104.078	105.872	103.611	102.613	103.447	101.575	102.902	537.53	518.561	538.188	547.357	35.31	35.152	35.399	34.819	33.863	36.106	33.183	31.76													

~End
