##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	43	1800	42				1	535	1	12	96	465	Manual	495			20	High			1	8	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	37.30	5.982	5.684	5.897	5.985	5.856	5.877	6.147	5.94	5.991	5.82	5.855	5.269	5.816	5.926	5.717	5.841	5.713	6.066	6.044	5.933	5.826	5.742	5.871	4.436	5.917	5.786	5.947	5.806	5.817	5.874	5.879	5.835	5.747	5.909	5.659	5.551	5.679	5.816	6.057	5.954	5.895	5.843	5.883	6.077	5.682	5.852	5.688	4.341	5.835	5.676	6.108	5.692	5.922	5.864	5.857	6.033	5.881	5.914	5.614	5.63	5.795	5.984	5.628	5.869	5.802	5.743	5.932	5.871	5.889	6.091	5.671	4.695	5.751	5.735	5.752	5.976	5.918	6.146	5.7	6.046	5.892	5.838	5.712	5.454	6.044	5.77	5.592	5.713	5.932	5.919	5.798	5.865	5.826	6.12	5.698	4.51	
0:42	37.10	5.849	5.655	5.776	5.815	5.902	5.796	5.689	5.733	5.786	5.65	5.635	5.322	5.78	5.616	5.788	5.721	5.743	5.928	5.891	5.639	5.833	5.646	5.599	4.328	5.714	5.602	5.64	5.763	5.707	5.762	5.804	5.786	5.637	5.594	5.512	5.317	5.71	5.739	5.705	5.764	5.836	5.753	5.82	5.808	5.956	5.552	5.576	4.543	5.56	5.54	5.773	5.798	5.93	5.739	5.874	5.851	5.864	5.731	5.8	5.65	5.682	5.673	5.782	5.46	5.572	5.794	5.709	5.852	5.638	5.76	5.394	4.388	5.667	5.449	5.887	5.894	5.617	5.868	5.69	5.811	5.747	5.85	5.527	5.578	5.529	5.525	5.551	5.713	5.692	5.525	5.661	5.693	5.634	5.69	5.483	4.421	
1:24	36.60	5.711	5.723	5.707	5.615	5.738	5.908	5.944	5.756	5.675	5.572	5.711	5.226	5.724	5.636	5.923	5.668	5.745	6.02	6.079	5.704	5.79	5.729	5.462	4.261	5.609	5.856	5.604	5.907	5.951	5.717	5.816	5.808	5.998	5.731	5.612	5.407	5.711	5.552	5.921	5.658	5.724	5.717	5.664	5.883	5.715	5.676	5.771	4.512	5.453	5.76	5.785	5.798	5.693	5.722	5.863	5.839	5.924	5.732	5.48	5.587	5.385	5.831	5.701	5.649	5.495	5.619	5.738	5.857	5.814	5.613	5.428	4.491	5.539	5.564	5.692	5.442	5.92	5.928	5.937	5.896	5.938	5.723	5.67	5.584	5.486	5.537	5.665	5.531	5.585	5.675	5.656	5.719	5.704	5.533	5.656	4.448	
2:06	36.60	5.723	5.606	5.751	5.74	5.657	5.837	5.935	5.723	5.784	5.674	5.444	5.275	5.611	5.745	5.667	5.658	5.942	5.911	5.622	5.759	5.675	5.472	5.417	4.343	5.491	5.595	5.381	5.832	5.721	5.876	5.873	5.809	5.549	5.67	5.462	5.363	5.68	5.779	5.766	5.703	5.738	5.704	5.942	5.792	5.637	5.514	5.454	4.38	5.621	5.983	5.789	5.816	5.569	5.701	5.812	5.786	5.538	5.673	5.648	5.438	5.532	5.537	5.614	5.794	5.611	5.369	5.675	5.969	5.643	5.868	5.749	4.466	5.467	5.636	5.699	5.678	5.508	5.783	5.587	5.668	5.656	5.614	5.623	5.484	5.446	5.697	5.676	5.48	5.813	5.706	5.599	5.605	5.748	5.423	5.564	4.521	
2:48	36.90	5.767	5.645	5.741	5.627	5.579	5.756	5.72	5.784	5.69	5.662	5.559	5.211	5.749	5.651	5.56	5.729	5.845	5.734	5.749	5.941	5.841	5.788	5.438	4.282	5.627	5.54	5.568	5.694	5.78	5.584	5.784	5.655	5.709	5.881	5.367	5.309	5.667	5.706	5.498	5.593	5.516	5.936	5.636	5.864	5.791	5.652	5.616	4.448	5.607	5.556	5.638	5.639	5.522	5.56	5.644	5.685	5.522	5.859	5.561	5.257	5.427	5.422	5.687	5.689	5.589	5.695	5.684	5.914	5.603	5.806	5.699	4.5	5.429	5.676	5.55	5.667	5.615	5.629	5.557	5.502	5.738	5.785	5.522	5.166	5.489	5.5	5.486	5.654	5.705	5.454	5.682	5.71	5.719	5.663	5.593	4.403	
3:30	37.00	5.741	5.715	5.625	5.678	5.674	5.553	5.65	5.706	5.772	5.578	5.531	5.211	5.481	5.625	5.52	5.596	5.524	5.715	5.587	5.776	5.738	5.429	5.354	4.317	5.579	5.861	5.641	5.531	5.746	5.607	5.706	5.728	5.511	5.873	5.589	5.285	5.403	5.465	5.625	5.585	5.761	5.56	5.577	5.825	5.698	5.674	5.328	4.291	5.52	5.587	5.62	5.731	5.82	5.522	5.625	5.537	5.503	5.503	5.6	5.238	5.222	5.701	5.57	5.54	5.553	5.54	5.544	5.703	5.681	5.83	5.592	4.349	5.554	5.621	5.769	5.643	5.701	5.587	5.598	5.493	5.399	5.524	5.317	5.301	5.335	5.602	5.547	5.692	5.61	5.603	5.526	5.619	5.842	5.558	5.473	4.572	
4:12	37.10	5.618	5.528	5.656	5.572	5.472	5.669	5.888	5.758	5.653	5.682	5.586	5.3	5.564	5.711	5.621	5.502	5.337	5.698	5.789	5.634	5.413	5.776	5.383	4.152	5.44	5.552	5.484	5.538	5.579	5.617	5.516	5.769	5.513	5.651	5.468	5.265	5.676	5.459	5.422	5.47	5.472	5.554	5.61	5.723	5.572	5.707	5.558	4.359	5.394	5.669	5.626	5.545	5.667	5.52	5.621	5.54	5.883	5.508	5.444	5.406	5.333	5.571	5.683	5.465	5.614	5.432	5.441	5.664	5.632	5.644	5.497	4.315	5.574	5.448	5.402	5.48	5.418	5.657	5.612	5.597	5.52	5.634	5.522	5.249	5.646	5.396	5.427	5.586	5.53	5.612	5.56	5.567	5.468	5.673	5.55	4.434	
4:54	37.00	5.641	5.67	5.584	5.639	5.804	5.948	5.584	5.546	5.594	5.723	5.53	5.243	5.495	5.734	5.62	5.655	5.559	5.69	5.464	5.437	5.46	5.638	5.433	4.379	5.665	5.466	5.454	5.531	5.624	5.685	5.725	5.637	5.574	5.64	5.495	5.211	5.571	5.516	5.692	5.702	5.403	5.452	5.595	5.775	5.631	5.554	5.42	4.428	5.867	5.424	5.529	5.625	5.676	5.829	5.643	5.772	5.854	5.43	5.471	5.377	5.27	5.528	5.263	5.577	5.524	5.693	5.509	5.633	5.627	5.535	5.461	4.424	5.414	5.563	5.52	5.549	5.508	5.692	5.841	5.594	5.647	5.632	5.484	5.336	5.501	5.503	5.356	5.446	5.616	5.559	5.64	5.609	5.488	5.558	5.421	4.357	
5:36	36.90	5.762	5.405	5.839	5.691	5.737	5.881	5.722	5.718	5.663	5.629	5.472	5.04	5.577	5.391	5.72	5.682	5.556	5.918	5.709	5.78	5.528	5.38	5.606	4.411	5.56	5.499	5.517	5.651	5.723	5.79	5.717	5.815	5.636	5.666	5.378	5.33	5.539	5.462	5.639	5.6	5.811	5.753	5.808	5.644	5.522	5.531	5.645	4.368	5.499	5.571	5.797	5.75	5.722	5.624	5.719	5.71	5.72	5.6	5.338	5.413	5.447	5.585	5.68	5.548	5.643	5.751	5.602	5.866	5.787	5.845	5.305	4.381	5.44	5.614	5.553	5.837	5.559	5.604	5.689	5.581	5.441	5.56	5.481	5.477	5.447	5.417	5.632	5.584	5.53	5.773	5.638	5.607	5.69	5.622	5.817	4.314	
6:18	36.90	5.542	5.446	5.426	5.717	5.749	5.53	5.756	5.767	5.592	5.628	5.456	5.238	5.63	5.664	5.575	5.522	5.592	5.8	5.553	5.687	5.514	5.73	5.543	4.243	5.438	5.468	5.447	5.542	5.42	5.608	5.421	5.685	5.735	5.678	5.346	5.207	5.276	5.455	5.575	5.681	5.774	5.507	5.732	5.468	5.586	5.407	5.444	4.303	5.379	5.532	5.515	5.399	5.361	5.644	5.621	5.625	5.613	5.51	5.29	5.108	5.126	5.4	5.436	5.415	5.483	5.634	5.473	5.668	5.575	5.654	5.465	4.457	5.359	5.447	5.537	5.578	5.431	5.642	5.948	5.514	5.656	5.544	5.337	5.251	5.369	5.294	5.423	5.378	5.44	5.524	5.534	5.603	5.736	5.491	5.52	4.369	
