##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	515	21600	42				1	535	1	12	96	465	Manual	495			20	High			1	8	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	37.00	8.447	8.446	8.58	8.771	8.921	8.708	8.746	8.665	8.478	8.607	8.298	5.659	8.199	8.239	8.559	8.53	8.725	8.473	8.749	8.565	8.322	8.402	8.194	4.618	8.137	8.284	8.276	8.546	8.476	8.306	8.391	8.391	8.262	8.273	8.183	5.443	7.97	8.079	8.124	8.23	8.356	8.236	8.317	8.246	8.286	8.088	8.048	4.441	7.966	8.137	8.401	8.101	8.222	8.264	8.271	8.328	8.142	7.971	8.033	5.542	7.998	8.213	8.156	8.051	8.28	8.154	8.124	8.451	7.962	8.102	7.706	4.672	8.197	8.291	8.255	8.513	8.087	8.243	8.135	8.265	8.064	8.01	7.905	5.309	9.608	9.193	9.145	9.036	9.014	8.986	9.252	8.966	9.101	8.938	8.963	5.358	
0:42	37.10	8.417	8.565	8.594	8.825	8.772	8.617	8.73	8.38	8.54	8.578	8.376	5.592	8.396	8.369	8.561	8.564	8.805	8.675	8.601	8.289	8.53	8.375	8.221	4.528	8.221	8.364	8.293	8.498	8.477	8.709	8.477	8.405	8.253	8.295	8.035	5.39	8.085	7.94	8.424	8.369	8.443	8.423	8.508	8.288	8.189	8.303	8.223	4.667	8.212	8.219	8.174	8.127	8.148	8.395	8.225	8.198	8.215	8.267	7.989	5.372	7.886	8.258	8.427	8.104	8.16	8.324	8.026	8.229	7.965	7.787	7.812	4.532	8.254	8.383	8.214	8.337	8.125	8.228	8.232	8.281	8.082	8.153	7.933	5.335	9.469	9.245	9.435	9.11	9.1	9.062	9.078	8.853	9.272	9.185	8.937	5.185	
1:24	37.00	8.392	8.42	8.886	8.63	8.57	8.817	8.493	8.718	8.41	8.673	8.194	5.499	8.107	8.448	8.465	8.612	8.696	8.507	8.71	8.623	8.594	8.217	8.386	4.633	7.99	8.124	8.217	8.624	8.262	8.408	8.39	8.426	8.344	8.278	8.096	5.56	7.927	8.292	8.12	8.369	8.249	8.329	8.361	8.382	8.111	8.151	8.09	4.443	7.746	8.32	8.265	8.276	8.286	8.356	8.404	8.201	8.033	8.142	7.884	5.546	7.86	7.918	7.987	7.982	8.135	8.223	8.16	8.029	8.157	8.039	7.81	4.671	8.116	8.096	8.371	8.307	8.033	8.323	8.346	8.316	8.133	8.012	7.897	5.534	9.494	9.571	9.584	9.102	9.14	9.035	9.008	8.939	8.966	8.939	8.982	5.25	
2:06	37.00	8.33	8.632	8.655	8.778	8.714	8.427	8.582	8.417	8.646	8.407	8.315	5.53	8.137	8.201	8.577	8.57	8.655	8.518	8.599	8.41	8.575	8.452	8.112	4.376	8.119	8.295	8.262	8.61	8.473	8.402	8.389	8.457	8.238	8.41	7.996	5.277	8.063	8.187	8.436	8.309	8.395	8.484	8.392	8.357	8.396	8.282	7.888	4.696	7.925	8.137	8.174	8.287	8.156	8.464	8.422	8.397	8.139	8.123	7.919	5.674	7.892	8.188	8.234	8.297	8.079	8.226	8.25	8.118	7.915	7.952	8.167	4.56	7.994	8.2	8.168	8.355	8.108	8.271	8.266	8.33	7.963	7.937	8.152	5.44	9.648	9.44	9.468	9.304	9.241	9.055	8.861	9.095	9.073	9.061	9.001	4.91	
2:48	37.00	8.382	8.362	8.472	8.609	8.785	8.803	8.62	8.386	8.341	8.419	8.267	5.65	8.052	8.444	8.664	8.751	8.731	8.58	8.587	8.424	8.518	8.489	8	4.434	7.965	8.26	8.315	8.799	8.432	8.593	8.405	8.417	8.162	8.19	8.213	5.272	7.839	8.039	8.388	8.18	8.505	8.411	8.306	8.412	8.383	8.242	8.107	4.502	7.945	8.32	8.254	8.287	8.129	8.298	8.365	8.105	8.301	8.402	7.95	5.387	7.81	8.112	8.062	7.855	8.204	8.172	7.891	8.24	7.931	8.012	7.841	4.588	7.834	8.058	8.201	7.985	8.007	8.03	8.269	8.313	8.111	8.164	7.897	5.421	9.892	9.713	9.488	9.435	9.338	8.868	9.113	9.033	9.038	8.811	8.718	5.207	
3:30	37.00	8.363	8.374	8.848	9.012	8.689	8.547	8.605	8.729	8.266	8.501	8.434	5.495	8.193	8.343	8.555	8.773	8.843	8.782	8.806	8.836	8.476	8.28	8.311	4.451	8.141	8.277	8.146	8.598	8.377	8.512	8.493	8.668	8.321	8.315	8.291	5.392	8.114	8.084	8.052	8.219	8.24	8.229	8.302	8.442	8.153	7.989	8.101	4.686	7.909	8.063	8.22	8.348	8.22	8.326	8.073	8.24	8.111	8.235	7.964	5.353	7.865	7.773	8.273	7.916	8.253	8.174	8.068	8.232	7.904	8.084	7.55	4.53	8.36	8.142	8.02	8.253	8.14	8.196	8.226	8.363	8.077	8.05	7.72	5.275	9.782	9.599	9.791	9.291	9.36	9.107	8.902	9.171	9.381	8.958	8.915	5.283	
4:12	37.00	8.277	8.395	8.68	8.708	8.803	8.634	8.914	8.714	8.507	8.44	8.279	5.423	8.142	8.383	8.463	8.649	8.393	8.662	8.545	8.876	8.483	8.219	8.296	4.444	8.148	8.344	8.487	8.57	8.505	8.524	8.52	8.175	8.092	8.235	7.896	5.157	8.066	8.123	8.289	8.038	8.25	8.335	8.484	8.383	8.132	8.054	7.916	4.452	7.864	8.13	7.933	8.302	8.091	8.157	8.164	8.075	8.004	8.281	8.015	5.194	7.714	8	8.021	7.942	8.015	7.997	7.981	8.155	7.916	8.095	7.697	4.748	8.166	8.166	7.949	8.121	8.062	8.196	8.005	8.135	7.966	8.1	7.757	5.35	9.706	9.557	9.447	9.55	9.503	9.144	9.105	8.9	8.89	8.864	8.912	5.102	
4:54	37.00	8.106	8.279	8.633	8.515	8.625	8.839	8.824	8.613	8.417	8.623	8.488	5.629	8.14	8.417	8.203	8.553	8.715	8.747	8.802	8.575	8.557	8.356	8.38	4.318	8.058	8.163	8.406	8.608	8.463	8.409	8.462	8.399	8.198	8.25	7.975	5.255	7.906	8.038	8.144	8.119	8.346	8.295	8.403	8.302	8.38	8.159	7.925	4.512	8.063	8.089	8.16	8.289	8.015	8.378	8.223	8.242	8.071	8.107	7.686	5.297	7.716	8.012	8.101	8.049	7.899	7.859	8.033	8.115	8.021	7.939	7.841	4.627	7.8	7.921	7.973	8.293	7.977	8.009	8.273	8.142	7.95	8.067	7.776	5.407	9.919	10.109	9.705	9.517	9.464	9.3	9.111	9.257	9.132	9.128	8.94	5.106	
5:36	37.00	8.196	8.347	8.266	8.615	8.624	8.53	8.783	8.657	8.645	8.505	8.356	5.563	8.151	8.322	8.373	8.701	8.787	8.862	8.732	8.759	8.473	8.365	8.266	4.439	7.984	8.169	8.206	8.666	8.414	8.579	8.287	8.413	8.506	8.423	8.024	5.031	7.957	8.057	8.115	8.349	8.36	8.188	8.169	8.384	8.288	8.272	7.886	4.406	7.864	8.129	8.236	8.013	7.957	7.993	8.274	8.153	8.019	8.16	7.971	5.182	7.533	7.79	8.101	8.136	8.204	7.962	8.09	8.069	7.962	7.773	7.611	4.619	7.843	8.001	8.057	8.252	7.929	7.952	8.05	8.334	7.986	8.042	7.788	5.285	10.003	9.673	9.959	9.359	9.726	9.3	9.051	9.22	9.511	9.015	8.955	5.225	
6:18	37.00	8.096	8.336	8.719	8.887	8.556	8.783	8.849	8.738	8.602	8.383	8.387	5.337	8.149	8.353	8.594	8.76	8.957	8.799	8.701	8.628	8.403	8.609	8.214	4.433	8.184	8.349	8.363	8.742	8.65	8.727	8.498	8.535	8.28	8.366	7.997	5.288	8.1	8.232	8.3	8.332	8.34	8.375	8.435	8.435	8.216	8.256	8.114	4.44	7.815	8.023	8.064	8.377	8.271	8.313	8.528	8.216	8.058	8.107	7.987	5.384	7.713	8.013	8.016	7.89	8.05	7.944	7.939	8.089	8.08	7.964	7.753	4.553	8.005	7.822	8.101	8.24	8.165	8.123	8.311	8.108	8.095	8.04	7.88	5.488	10.169	10.03	9.982	9.748	9.655	9.479	9.201	9.094	9.474	8.872	8.989	5.046	
