##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	117	3600	31				1	535	1	12	96	465	Manual	495			20	High			1	5	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	37.40	6.904	6.982	7.021	7.101	7.141	7.064	7.158	7.368	7.277	7.24	7.15	6.952	6.883	6.948	7.181	7.393	7.201	7.341	7.273	7.546	7.053	7.174	7.265	6.992	6.972	6.937	7.165	7.217	7.016	7.285	7.081	7.162	7.056	7.31	7.36	6.903	6.775	7.129	6.941	6.897	7.377	7.184	7.218	7.107	7.445	7.204	7.188	7.077	4.733	4.597	4.678	4.632	4.798	4.804	4.893	4.86	4.632	4.852	4.745	4.64																																					
0:31	37.50	6.657	6.701	6.76	7.133	6.954	7.11	7.153	7.312	7.299	7.228	7.052	7.09	7.108	6.911	7.037	7.301	7.163	7.051	7.107	7.398	7.005	7.05	7.335	7.079	6.736	6.849	6.919	6.89	7.147	7.166	7.24	7.113	7.072	7.058	7.169	6.691	7.029	6.756	6.851	6.924	6.983	6.987	7.221	7.071	7.241	6.98	7.008	6.875	4.646	4.548	4.507	4.515	4.586	4.718	4.827	4.823	4.987	4.679	4.681	4.609																																					
1:02	36.90	6.734	6.769	6.848	6.851	6.805	7.195	7.03	6.96	7.061	7.051	7.098	6.912	7.217	6.927	7.027	7.114	7.15	7.422	6.966	7.107	7.232	7.034	7.142	6.979	7.094	6.814	7.156	6.977	6.802	7.039	7.17	7.009	7.152	7.189	6.975	6.766	6.826	6.875	6.676	6.871	7.08	7.188	7.167	6.797	7.394	7.011	6.893	6.923	4.356	4.576	4.724	4.555	4.86	4.715	4.777	5.025	4.592	4.661	4.555	4.605																																					
1:33	36.80	6.968	6.837	6.989	6.773	6.928	6.811	7.411	6.88	7.165	6.956	6.884	6.704	6.86	6.797	6.917	7.161	7.176	7.211	7.081	7.183	7.085	6.796	7.019	7.108	6.711	6.932	6.857	7.163	6.866	7.11	7.082	7.242	7.035	7.102	7.248	7.089	6.85	6.599	6.812	7.075	6.759	7.078	7.209	7.025	6.812	7.017	6.736	6.684	4.672	4.546	4.591	4.711	4.603	4.726	4.53	4.762	4.819	4.629	4.808	4.517																																					
2:04	36.60	6.637	6.851	7.012	7.16	6.913	6.805	7.161	6.96	6.93	6.893	6.947	6.976	6.982	6.97	7.072	7.256	7.422	7.099	7.304	7.589	7.133	7.139	7.028	6.99	6.82	6.685	6.855	6.946	7.309	7.208	7.2	6.877	6.982	6.979	7.187	6.943	6.722	6.951	6.994	6.842	6.956	6.992	6.947	6.929	7.196	7.027	6.638	6.75	4.372	4.691	4.669	4.557	4.721	4.64	4.481	4.842	4.941	4.672	4.471	4.621																																					
2:35	36.90	6.909	6.582	6.756	6.999	6.892	6.923	6.925	6.864	6.934	6.922	7.132	7.046	6.93	6.536	7.038	7.057	6.997	7.025	7.013	7.478	6.91	6.893	7.173	7.046	6.473	6.717	6.758	7.185	6.895	7.06	7.112	6.963	6.868	7.2	6.892	6.952	6.771	6.711	6.854	6.675	7.206	6.976	7.062	6.961	6.993	6.874	7.056	6.744	4.401	4.478	4.529	4.633	4.597	4.517	4.738	4.826	4.582	4.702	4.828	4.672																																					
3:06	36.90	6.579	6.817	6.76	7.054	6.808	6.821	7.011	6.993	6.923	6.644	6.997	6.91	6.593	6.773	6.907	7.047	6.974	7.167	7.152	7.398	6.847	6.922	6.984	6.809	6.593	6.932	6.918	6.962	6.684	7.253	6.85	7.271	7.134	7.213	6.856	6.716	6.79	6.567	7.043	6.772	7.053	6.931	6.853	7.003	7.064	6.929	6.897	6.696	4.544	4.598	4.663	4.649	4.581	4.574	4.827	4.677	4.651	4.688	4.68	4.559																																					
3:37	37.10	6.591	6.718	6.524	6.968	6.747	6.799	6.941	6.804	7.401	6.936	6.991	6.615	6.781	6.875	6.845	6.85	7.114	7.172	6.788	7.107	6.889	7.076	6.981	6.908	6.8	6.684	6.741	6.789	6.615	6.91	6.909	7.35	6.872	7.007	6.794	6.68	6.697	6.677	6.598	6.766	6.896	6.873	6.927	6.842	7.01	6.825	6.702	6.602	4.453	4.404	4.443	4.613	4.595	4.74	4.68	4.63	4.862	4.516	4.619	4.599																																					
4:08	37.30	6.596	6.632	6.802	6.804	6.691	6.915	6.838	6.857	7.073	6.762	6.931	6.775	6.773	6.816	6.924	7.153	6.816	7.31	7.21	7.287	6.905	7.038	6.801	6.642	6.798	6.624	7.025	7.001	6.908	6.804	6.87	6.843	6.699	6.814	7.048	6.838	6.637	6.457	6.726	6.823	6.928	7.036	7.039	6.806	6.825	6.736	6.903	6.67	4.559	4.508	4.551	4.35	4.527	4.719	4.708	4.654	4.634	4.793	4.632	4.574																																					
4:39	37.10	6.676	6.677	6.839	7.112	6.579	6.875	6.932	7.052	6.851	6.778	6.718	6.814	6.632	6.836	6.921	7.084	7.01	7.202	7.15	7.285	6.801	7.063	7.108	6.862	6.704	6.712	6.685	7.352	6.967	7.176	7.074	7.131	6.882	6.919	6.957	6.953	6.757	6.807	6.97	6.876	6.845	6.89	6.983	6.911	7.145	6.857	6.714	6.858	4.461	4.384	4.605	4.772	4.68	4.599	4.676	4.736	4.631	4.728	4.708	4.659																																					
5:10	36.90	6.683	6.768	6.707	7.002	6.986	6.908	6.963	6.65	7.077	7.026	6.876	6.84	6.68	7.001	6.93	7.244	7.045	7.119	6.943	7.453	7.156	6.897	6.845	6.883	6.911	6.663	6.842	6.995	6.772	6.904	7.006	6.882	6.986	6.818	7.147	6.613	6.435	6.765	6.838	6.819	6.742	6.887	7.031	6.967	7.046	6.946	6.818	7	4.544	4.375	4.605	4.607	4.624	4.696	4.581	4.694	4.889	4.755	4.484	4.512																																					
5:41	36.90	6.653	6.689	6.726	6.997	6.826	6.761	7.144	6.918	6.838	6.892	6.82	6.705	6.769	6.98	6.918	6.91	6.946	7.268	7.028	7.085	6.753	6.912	7.068	6.656	6.619	6.854	7.023	6.826	6.837	6.905	7.124	6.931	7.063	6.87	7.13	6.654	6.94	6.712	6.661	6.777	6.841	6.945	7.067	6.612	6.86	7.009	6.671	6.84	4.525	4.499	4.609	4.533	4.518	4.743	4.827	4.738	4.713	4.751	4.578	4.527																																					
6:12	36.90	6.741	6.666	6.652	6.847	6.787	6.825	6.878	6.723	7.212	6.891	6.897	6.67	6.855	6.805	6.869	6.957	6.726	6.962	7.148	7.146	6.93	7.113	6.878	6.706	6.856	6.687	6.998	6.728	6.781	6.94	6.838	6.949	6.919	6.955	6.897	6.502	6.661	6.515	6.758	6.491	6.795	6.847	6.727	6.623	6.979	6.911	6.591	6.653	4.28	4.578	4.736	4.585	4.501	4.597	4.473	4.608	4.745	4.515	4.51	4.413																																					
6:43	36.90	6.434	6.586	6.76	6.901	6.852	6.856	6.823	6.681	7.073	6.956	7.065	6.809	6.749	6.81	6.921	6.826	6.985	6.959	7.154	7.135	6.812	6.963	6.722	6.783	6.659	6.692	6.721	6.608	6.935	6.786	6.937	6.966	6.774	6.833	6.845	6.536	6.653	6.814	6.709	6.729	6.913	6.789	7.125	6.877	6.981	6.587	6.762	6.533	4.364	4.585	4.57	4.644	4.663	4.557	4.465	4.753	4.786	4.584	4.579	4.482																																					
7:14	37.00	6.44	6.362	6.634	6.641	6.528	6.876	6.895	6.77	7.029	6.611	6.965	6.703	6.769	6.895	6.929	6.978	6.836	6.932	6.965	6.947	6.725	6.785	6.878	6.822	6.64	6.587	6.781	6.751	6.822	7.06	6.758	6.846	6.879	6.842	6.662	6.64	6.563	6.878	6.652	6.726	6.735	6.904	7.101	6.759	6.772	6.619	6.688	6.59	4.367	4.533	4.387	4.694	4.63	4.754	4.51	4.53	4.682	4.608	4.568	4.591																																					
