##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	1046	32400	31				1	535	1	12	96	465	Manual	495			20	High			1	5	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0:00	37.00	9.981	10.006	10.015	10.03	10.11	9.937	9.928	9.749	9.789	9.759	9.896	9.525	10.059	9.904	9.786	9.859	9.869	9.967	9.858	9.998	9.673	9.83	9.819	9.476	9.623	9.813	9.844	10.011	9.932	9.926	9.899	9.866	9.703	9.764	9.578	9.45	10.916	10.587	10.673	10.726	10.821	10.753	10.844	10.787	10.56	10.515	10.635	10.374	8.135	8.161	8.066	8.26	8.227	8.05	7.358	7.351	7.403	7.262	7.391	7.241																																					
0:31	37.10	10.23	9.828	9.841	9.991	10.161	10.123	10.085	9.786	10.041	9.786	9.871	9.723	9.943	10.184	9.826	10.277	10.141	9.735	9.932	10.289	9.899	9.825	9.75	9.53	9.635	9.668	9.992	10.057	10.291	10.081	9.754	9.903	10.093	9.529	9.699	9.429	10.644	10.651	10.474	10.989	10.697	10.783	10.786	10.793	10.993	11.062	10.821	10.499	7.838	8.207	8.22	8.162	8.167	8.09	7.318	7.347	7.332	7.277	7.208	7.041																																					
1:02	37.00	9.963	10.091	9.79	9.91	9.911	10.029	10.103	9.965	9.824	9.651	9.85	9.795	9.77	10.125	9.968	9.926	9.987	10.096	9.914	10.14	9.74	9.836	9.822	9.368	9.677	9.79	10	9.823	9.733	10.132	9.831	9.764	9.738	9.809	9.519	9.569	10.69	10.645	10.578	10.737	10.773	10.725	10.845	10.727	10.699	10.564	10.263	10.652	8.035	8.011	8.076	8.007	7.938	7.939	7.115	7.403	7.294	7.298	7.073	7.154																																					
1:33	37.00	9.796	9.701	9.969	9.953	10.018	10.026	9.958	9.63	10.03	9.885	9.837	9.36	9.985	10.187	9.833	9.983	10.088	9.93	9.935	9.786	9.749	9.917	9.701	9.594	9.695	9.851	9.753	10.048	9.787	9.904	9.873	9.828	9.774	9.787	9.79	9.629	10.655	10.645	10.685	10.805	10.822	10.839	10.685	10.581	10.72	10.872	10.825	10.28	7.84	7.941	7.905	8.074	7.923	8.015	7.43	7.306	7.244	7.153	7.136	7.017																																					
2:04	36.90	9.902	9.988	9.992	9.924	10.221	10.033	10.026	9.942	9.835	9.795	9.784	9.61	9.768	10.097	9.791	10.024	10.285	9.705	10.146	9.993	9.918	9.644	9.699	9.544	9.634	9.83	10.008	10.039	9.746	9.721	9.697	9.876	9.755	10	9.649	9.483	10.792	10.561	10.774	10.766	11.075	10.934	11.103	10.752	10.904	10.657	10.944	10.63	7.974	8.031	8.199	8.191	8.092	8.072	7.233	7.287	7.203	7.158	7.198	7.031																																					
2:35	37.00	9.934	9.879	10.061	10.184	10.093	9.973	9.906	9.958	9.859	9.804	9.691	9.517	9.636	9.671	9.895	9.961	10.141	9.937	9.871	9.997	9.697	9.55	9.577	9.531	9.896	10.13	9.792	10.102	10.016	9.846	9.96	9.832	9.705	9.772	9.569	9.47	10.794	10.525	10.732	10.94	11.133	10.71	11.197	10.865	10.764	10.901	10.823	10.831	7.945	7.912	8.112	8.118	8.067	7.829	7.233	7.311	7.21	7.162	7.178	7.135																																					
3:06	37.00	9.74	10.018	9.858	9.764	10.154	9.786	9.953	9.999	9.91	9.667	9.966	9.322	9.754	9.911	9.816	9.851	10.061	10.053	10.305	9.92	9.825	9.978	9.655	9.571	9.666	9.959	9.875	9.924	9.83	10.016	9.884	9.948	9.803	9.703	9.407	9.268	10.546	10.613	10.726	10.809	10.905	10.898	10.841	11.058	10.917	10.943	10.827	10.454	7.826	7.852	7.97	8.096	8.017	8.171	7.226	7.106	7.219	7.065	7.062	7.188																																					
3:37	37.00	9.859	10.142	9.847	9.869	9.85	9.915	9.993	9.989	9.913	9.876	9.779	9.459	9.895	9.86	9.818	10.146	9.88	9.823	9.871	9.929	9.703	9.667	9.849	9.438	9.621	9.706	9.862	9.952	9.793	9.93	9.914	9.987	9.755	9.646	9.731	9.377	10.724	10.879	11.007	10.947	10.714	10.929	10.914	10.902	10.881	10.787	10.757	10.543	7.822	7.939	8.049	7.905	8.002	7.922	7.244	7.301	7.024	7.179	7.11	6.85																																					
4:08	37.00	9.904	9.761	9.707	10.154	9.831	9.705	9.988	9.92	9.693	9.735	9.732	9.454	9.692	10.1	9.827	9.923	10.026	9.775	9.855	10.057	9.676	9.932	9.393	9.583	9.842	9.915	10.027	9.935	9.842	9.926	9.888	9.738	9.699	9.645	9.536	9.059	10.707	10.763	11.04	11.014	11.052	11.029	10.847	10.914	10.91	10.756	10.79	10.662	7.796	7.761	7.958	8.052	8.039	8.098	7.46	7.017	7.063	7.052	7.216	7.124																																					
4:39	37.00	9.743	9.729	9.882	9.881	9.84	9.961	9.74	9.632	9.745	9.726	9.793	9.403	9.857	9.872	9.786	9.917	10.041	9.897	9.874	9.869	9.769	10.074	9.606	9.526	9.82	9.923	10	10.064	10.069	9.802	9.849	9.789	9.762	9.69	9.491	9.177	11.034	10.721	11.004	10.843	10.848	10.852	10.878	10.833	10.932	10.841	10.826	10.651	8.013	7.992	7.712	7.913	7.879	7.779	7.218	7.244	7.17	7.113	6.955	6.916																																					
